<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACHUSDTSWAP,1440,20250225,030000,0.02829,0.03103,0.02692,0.03035,307679.69
ACHUSDTSWAP,1440,20250226,030000,0.03036,0.03408,0.02992,0.0316,360814.12
ACHUSDTSWAP,1440,20250227,030000,0.03161,0.03234,0.02952,0.03006,134505.39
ACHUSDTSWAP,1440,20250228,030000,0.03006,0.03232,0.02905,0.03203,233843.05
ACHUSDTSWAP,1440,20250301,030000,0.03203,0.03225,0.0293,0.02983,112314.64
ACHUSDTSWAP,1440,20250302,030000,0.02982,0.03156,0.02854,0.03131,154819.92
ACHUSDTSWAP,1440,20250303,030000,0.03131,0.0314,0.02628,0.02644,171132.07
ACHUSDTSWAP,1440,20250304,030000,0.02644,0.02717,0.02489,0.02686,110215.96
ACHUSDTSWAP,1440,20250305,030000,0.02686,0.02711,0.02585,0.02633,48942.41
ACHUSDTSWAP,1440,20250306,030000,0.02633,0.02689,0.02429,0.02457,64428.33
ACHUSDTSWAP,1440,20250307,030000,0.02457,0.02619,0.02376,0.02564,99884.2
ACHUSDTSWAP,1440,20250308,030000,0.02564,0.02608,0.02435,0.0248,65890.39
ACHUSDTSWAP,1440,20250309,030000,0.0248,0.02505,0.02166,0.0222,48662.36
ACHUSDTSWAP,1440,20250310,030000,0.02221,0.02461,0.02117,0.02166,75130.59
ACHUSDTSWAP,1440,20250311,030000,0.02168,0.0236,0.02033,0.02301,67460.79
ACHUSDTSWAP,1440,20250312,030000,0.02301,0.02426,0.02226,0.02332,52173.66
ACHUSDTSWAP,1440,20250313,030000,0.02332,0.02394,0.02205,0.02265,38236.52
ACHUSDTSWAP,1440,20250314,030000,0.02266,0.02362,0.02259,0.0231,29804.27
ACHUSDTSWAP,1440,20250315,030000,0.0231,0.0236,0.02283,0.02337,28202.4
ACHUSDTSWAP,1440,20250316,030000,0.02336,0.02401,0.02204,0.02226,37003.31
ACHUSDTSWAP,1440,20250317,030000,0.02225,0.02363,0.02222,0.02321,30875.57
ACHUSDTSWAP,1440,20250318,030000,0.02321,0.02362,0.0218,0.02264,29089.33
ACHUSDTSWAP,1440,20250319,030000,0.02265,0.02354,0.02246,0.02343,38630.28
ACHUSDTSWAP,1440,20250320,030000,0.02342,0.02446,0.02236,0.02435,47855.21
