<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACHUSDTSWAP,60,20250531,190000,0.02144,0.02174,0.02137,0.0216,743.39
ACHUSDTSWAP,60,20250531,200000,0.02159,0.02166,0.0215,0.02153,238.72
ACHUSDTSWAP,60,20250531,210000,0.02153,0.02165,0.0215,0.02154,607.43
ACHUSDTSWAP,60,20250531,220000,0.02155,0.0217,0.02154,0.02164,290.04
ACHUSDTSWAP,60,20250531,230000,0.02166,0.02189,0.02166,0.02182,577.74
ACHUSDTSWAP,60,20250601,000000,0.02182,0.02204,0.02175,0.02194,830.25
ACHUSDTSWAP,60,20250601,010000,0.02195,0.02215,0.02187,0.02196,527.52
ACHUSDTSWAP,60,20250601,020000,0.02195,0.02202,0.0218,0.02184,469.01
ACHUSDTSWAP,60,20250601,030000,0.02184,0.02184,0.02163,0.02171,559.87
ACHUSDTSWAP,60,20250601,040000,0.02173,0.02182,0.02153,0.02155,704.99
ACHUSDTSWAP,60,20250601,050000,0.02158,0.02163,0.02141,0.0216,442.86
ACHUSDTSWAP,60,20250601,060000,0.0216,0.02162,0.02142,0.02155,178.18
ACHUSDTSWAP,60,20250601,070000,0.02156,0.02173,0.02149,0.02165,446.7
ACHUSDTSWAP,60,20250601,080000,0.02166,0.02175,0.02164,0.02172,145.34
ACHUSDTSWAP,60,20250601,090000,0.02172,0.02176,0.02162,0.02165,211.14
ACHUSDTSWAP,60,20250601,100000,0.02164,0.02168,0.02154,0.02161,392.94
ACHUSDTSWAP,60,20250601,110000,0.02161,0.02164,0.02141,0.02145,279.74
ACHUSDTSWAP,60,20250601,120000,0.02146,0.02149,0.02109,0.0212,526.37
ACHUSDTSWAP,60,20250601,130000,0.02122,0.02136,0.02117,0.02135,209.99
ACHUSDTSWAP,60,20250601,140000,0.02135,0.02168,0.02129,0.02154,645.88
ACHUSDTSWAP,60,20250601,150000,0.02154,0.02154,0.02126,0.02141,1005.44
ACHUSDTSWAP,60,20250601,160000,0.0214,0.02172,0.02139,0.0216,648.91
ACHUSDTSWAP,60,20250601,170000,0.0216,0.02194,0.0216,0.02178,735.67
ACHUSDTSWAP,60,20250601,180000,0.02179,0.02185,0.02175,0.0218,339.97
ACHUSDTSWAP,60,20250601,190000,0.02178,0.02207,0.02175,0.02189,1064.17
ACHUSDTSWAP,60,20250601,200000,0.0219,0.02201,0.02184,0.02193,529.87
ACHUSDTSWAP,60,20250601,210000,0.02192,0.02192,0.02164,0.02182,564.42
ACHUSDTSWAP,60,20250601,220000,0.02184,0.02191,0.02182,0.02186,379.8
ACHUSDTSWAP,60,20250601,230000,0.02188,0.02203,0.02183,0.02189,303.78
ACHUSDTSWAP,60,20250602,000000,0.02189,0.02203,0.02184,0.02203,397.06
ACHUSDTSWAP,60,20250602,010000,0.02203,0.02213,0.02199,0.02203,232.64
