<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACHUSDTSWAP,3,20250604,172700,0.02134,0.02134,0.02128,0.02128,25.82
ACHUSDTSWAP,3,20250604,173000,0.0213,0.02131,0.02128,0.0213,48.73
ACHUSDTSWAP,3,20250604,173300,0.02132,0.02135,0.02132,0.02132,36.09
ACHUSDTSWAP,3,20250604,173600,0.02132,0.02134,0.02131,0.02131,1.13
ACHUSDTSWAP,3,20250604,173900,0.02131,0.02135,0.02131,0.02134,7.71
ACHUSDTSWAP,3,20250604,174200,0.02135,0.02135,0.02133,0.02135,1.15
ACHUSDTSWAP,3,20250604,174500,0.02135,0.0214,0.02135,0.0214,7.28
ACHUSDTSWAP,3,20250604,174800,0.0214,0.02144,0.0214,0.0214,115.9
ACHUSDTSWAP,3,20250604,175100,0.0214,0.02141,0.02138,0.02141,3.27
ACHUSDTSWAP,3,20250604,175400,0.02142,0.02147,0.02142,0.02147,1.95
ACHUSDTSWAP,3,20250604,175700,0.02148,0.0215,0.02147,0.0215,18.6
ACHUSDTSWAP,3,20250604,180000,0.02151,0.02155,0.02151,0.02151,90.32
ACHUSDTSWAP,3,20250604,180300,0.02151,0.02151,0.02148,0.02148,62.83
ACHUSDTSWAP,3,20250604,180600,0.02149,0.02157,0.02149,0.02153,55.92
ACHUSDTSWAP,3,20250604,180900,0.02153,0.02158,0.02153,0.02158,6.57
ACHUSDTSWAP,3,20250604,181200,0.02157,0.02158,0.02157,0.02157,11.45
ACHUSDTSWAP,3,20250604,181500,0.02157,0.02166,0.02157,0.02165,8.63
ACHUSDTSWAP,3,20250604,181800,0.02164,0.02166,0.0216,0.0216,83.92
ACHUSDTSWAP,3,20250604,182100,0.02162,0.02164,0.02161,0.02163,35.39
ACHUSDTSWAP,3,20250604,182400,0.02162,0.02163,0.02161,0.02161,0.54
ACHUSDTSWAP,3,20250604,182700,0.02162,0.02163,0.0216,0.0216,3.81
ACHUSDTSWAP,3,20250604,183000,0.0216,0.0216,0.02156,0.0216,13.52
ACHUSDTSWAP,3,20250604,183300,0.02159,0.0216,0.02157,0.02157,13.43
ACHUSDTSWAP,3,20250604,183600,0.02158,0.02166,0.02158,0.02166,16.55
ACHUSDTSWAP,3,20250604,183900,0.02165,0.02167,0.02164,0.02166,1.21
ACHUSDTSWAP,3,20250604,184200,0.02167,0.02169,0.02164,0.02164,8.6
ACHUSDTSWAP,3,20250604,184500,0.02165,0.02166,0.02163,0.02163,6.13
ACHUSDTSWAP,3,20250604,184800,0.02162,0.02162,0.02159,0.02161,30.98
ACHUSDTSWAP,3,20250604,185100,0.0216,0.02163,0.02159,0.02163,10.13
ACHUSDTSWAP,3,20250604,185400,0.02163,0.02169,0.02163,0.02169,48.49
ACHUSDTSWAP,3,20250604,185700,0.02168,0.02169,0.02163,0.02165,30.2
ACHUSDTSWAP,3,20250604,190000,0.02165,0.02165,0.02159,0.0216,9.01
ACHUSDTSWAP,3,20250604,190300,0.02161,0.02163,0.0216,0.02161,12.45
ACHUSDTSWAP,3,20250604,190600,0.0216,0.02161,0.02158,0.02159,21.75
ACHUSDTSWAP,3,20250604,190900,0.0216,0.02163,0.0216,0.02163,2.22
ACHUSDTSWAP,3,20250604,191200,0.02165,0.02165,0.02164,0.02164,17.02
ACHUSDTSWAP,3,20250604,191500,0.02164,0.02164,0.02159,0.02159,2.94
ACHUSDTSWAP,3,20250604,191800,0.02159,0.02161,0.02158,0.0216,125.78
ACHUSDTSWAP,3,20250604,192100,0.02162,0.02162,0.02158,0.02158,12.39
ACHUSDTSWAP,3,20250604,192400,0.02157,0.02157,0.02155,0.02155,6.02
ACHUSDTSWAP,3,20250604,192700,0.02154,0.02156,0.02153,0.02156,18.35
ACHUSDTSWAP,3,20250604,193000,0.02154,0.02157,0.02153,0.02157,34.79
ACHUSDTSWAP,3,20250604,193300,0.02158,0.02162,0.02158,0.02162,24.08
ACHUSDTSWAP,3,20250604,193600,0.02162,0.02165,0.02162,0.02165,77.29
ACHUSDTSWAP,3,20250604,193900,0.02166,0.02167,0.02164,0.02165,16.79
ACHUSDTSWAP,3,20250604,194200,0.02164,0.02164,0.02163,0.02163,0.82
ACHUSDTSWAP,3,20250604,194500,0.02163,0.02163,0.0216,0.02163,22.0
ACHUSDTSWAP,3,20250604,194800,0.02162,0.02162,0.02159,0.02162,25.21
ACHUSDTSWAP,3,20250604,195100,0.02163,0.02163,0.02162,0.02162,1.34
ACHUSDTSWAP,3,20250604,195400,0.02163,0.02165,0.02163,0.02163,7.09
ACHUSDTSWAP,3,20250604,195700,0.02162,0.02163,0.02161,0.02162,26.46
ACHUSDTSWAP,3,20250604,200000,0.02163,0.02163,0.02158,0.02158,6.25
ACHUSDTSWAP,3,20250604,200300,0.02159,0.0216,0.02158,0.02158,22.76
ACHUSDTSWAP,3,20250604,200600,0.0216,0.0216,0.02156,0.02158,29.72
ACHUSDTSWAP,3,20250604,200900,0.02157,0.02157,0.02156,0.02156,1.01
ACHUSDTSWAP,3,20250604,201200,0.02156,0.02158,0.02156,0.02157,0.71
ACHUSDTSWAP,3,20250604,201500,0.02156,0.02156,0.02153,0.02153,14.27
