<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACTUSDTSWAP,1440,20250225,030000,0.1858,0.2325,0.183,0.2162,140904625.57
ACTUSDTSWAP,1440,20250226,030000,0.2161,0.2527,0.2105,0.237,112637747.68
ACTUSDTSWAP,1440,20250227,030000,0.2371,0.2417,0.2033,0.2056,87556187.71
ACTUSDTSWAP,1440,20250228,030000,0.2057,0.2548,0.1939,0.2221,130833169.02
ACTUSDTSWAP,1440,20250301,030000,0.2222,0.2256,0.1987,0.203,76573635.87
ACTUSDTSWAP,1440,20250302,030000,0.2031,0.2241,0.1876,0.2099,98149524.12
ACTUSDTSWAP,1440,20250303,030000,0.2097,0.215,0.1872,0.1949,83239948.0
ACTUSDTSWAP,1440,20250304,030000,0.1948,0.2026,0.1901,0.1971,99361053.55
ACTUSDTSWAP,1440,20250305,030000,0.197,0.1987,0.1913,0.1947,40865235.96
ACTUSDTSWAP,1440,20250306,030000,0.1947,0.2002,0.1919,0.1936,40399111.98
ACTUSDTSWAP,1440,20250307,030000,0.1935,0.1963,0.1899,0.1913,43479482.7
ACTUSDTSWAP,1440,20250308,030000,0.1912,0.1941,0.1878,0.1912,25249930.32
ACTUSDTSWAP,1440,20250309,030000,0.1912,0.1952,0.1891,0.1932,27619938.06
ACTUSDTSWAP,1440,20250310,030000,0.1932,0.1975,0.1902,0.1939,38666664.69
ACTUSDTSWAP,1440,20250311,030000,0.1939,0.2089,0.1925,0.1978,62242025.84
ACTUSDTSWAP,1440,20250312,030000,0.1977,0.2006,0.1934,0.1963,35613062.36
ACTUSDTSWAP,1440,20250313,030000,0.1963,0.1985,0.1886,0.1928,31943513.07
ACTUSDTSWAP,1440,20250314,030000,0.1929,0.1981,0.1922,0.1944,23731625.89
ACTUSDTSWAP,1440,20250315,030000,0.1943,0.1949,0.1924,0.1935,11881130.82
ACTUSDTSWAP,1440,20250316,030000,0.1935,0.1952,0.19,0.1909,24237249.43
ACTUSDTSWAP,1440,20250317,030000,0.1909,0.192,0.19,0.191,16657063.31
ACTUSDTSWAP,1440,20250318,030000,0.1911,0.1921,0.1863,0.1898,20291888.72
ACTUSDTSWAP,1440,20250319,030000,0.1898,0.1907,0.1881,0.1903,13512245.02
ACTUSDTSWAP,1440,20250320,030000,0.1903,0.1908,0.1882,0.1893,6820920.62
ACTUSDTSWAP,1440,20250321,030000,0.1893,0.1904,0.1881,0.1886,9140614.19
ACTUSDTSWAP,1440,20250322,030000,0.1887,0.193,0.1886,0.19,13133810.79
ACTUSDTSWAP,1440,20250323,030000,0.1899,0.1962,0.1891,0.1933,18190146.71
ACTUSDTSWAP,1440,20250324,030000,0.1932,0.199,0.1915,0.1953,24912982.54
ACTUSDTSWAP,1440,20250325,030000,0.1953,0.2103,0.1909,0.1938,39661200.0
ACTUSDTSWAP,1440,20250326,030000,0.1938,0.1974,0.1908,0.1922,21482507.91
ACTUSDTSWAP,1440,20250327,030000,0.1921,0.1937,0.1908,0.192,9722862.76
ACTUSDTSWAP,1440,20250328,030000,0.192,0.1925,0.1889,0.1901,12656269.63
ACTUSDTSWAP,1440,20250329,030000,0.1901,0.1912,0.1878,0.1898,10408010.74
ACTUSDTSWAP,1440,20250330,030000,0.1898,0.1907,0.1882,0.1898,7881969.04
ACTUSDTSWAP,1440,20250331,030000,0.1898,0.1903,0.188,0.1886,8916212.2
ACTUSDTSWAP,1440,20250401,030000,0.1885,0.19,0.0772,0.0811,650000434.86
ACTUSDTSWAP,1440,20250402,030000,0.0811,0.0818,0.0506,0.0522,378162070.5
ACTUSDTSWAP,1440,20250403,030000,0.0521,0.0655,0.0493,0.0611,171727695.8
ACTUSDTSWAP,1440,20250404,030000,0.0612,0.0627,0.0556,0.0559,75547200.7
ACTUSDTSWAP,1440,20250405,030000,0.0558,0.0676,0.0525,0.0537,94061729.44
ACTUSDTSWAP,1440,20250406,030000,0.0537,0.0562,0.0499,0.0533,50791918.65
ACTUSDTSWAP,1440,20250407,030000,0.0533,0.0582,0.0464,0.0561,74676991.56
ACTUSDTSWAP,1440,20250408,030000,0.0561,0.0587,0.0518,0.052,33609975.57
ACTUSDTSWAP,1440,20250409,030000,0.052,0.0579,0.0505,0.0573,43258224.83
ACTUSDTSWAP,1440,20250410,030000,0.0573,0.0577,0.0527,0.0544,21121078.88
ACTUSDTSWAP,1440,20250411,030000,0.0543,0.0584,0.0541,0.0571,15345939.33
ACTUSDTSWAP,1440,20250412,030000,0.0571,0.0598,0.0556,0.0577,17028275.38
ACTUSDTSWAP,1440,20250413,030000,0.0577,0.0582,0.0521,0.0538,23826937.75
ACTUSDTSWAP,1440,20250414,030000,0.0538,0.0656,0.041,0.0585,142291176.12
ACTUSDTSWAP,1440,20250415,030000,0.0585,0.0631,0.058,0.0599,47342689.35
ACTUSDTSWAP,1440,20250416,030000,0.0599,0.0624,0.0571,0.0583,28306483.39
ACTUSDTSWAP,1440,20250417,030000,0.0584,0.0607,0.0563,0.0588,12884730.04
ACTUSDTSWAP,1440,20250418,030000,0.0588,0.0616,0.0568,0.0601,12826307.13
ACTUSDTSWAP,1440,20250419,030000,0.0601,0.0611,0.0582,0.0598,7801985.89
ACTUSDTSWAP,1440,20250420,030000,0.0599,0.063,0.0589,0.0614,13863521.3
ACTUSDTSWAP,1440,20250421,030000,0.0613,0.0639,0.0548,0.0562,25006422.37
ACTUSDTSWAP,1440,20250422,030000,0.0561,0.06249,0.0543,0.06204,14400033.1
ACTUSDTSWAP,1440,20250423,030000,0.06205,0.08486,0.05488,0.05846,138297093.8
ACTUSDTSWAP,1440,20250424,030000,0.05846,0.0597,0.05509,0.05889,22845226.38
ACTUSDTSWAP,1440,20250425,030000,0.05891,0.0619,0.05774,0.05967,20008643.36
ACTUSDTSWAP,1440,20250426,030000,0.05968,0.06502,0.05921,0.06197,24045397.26
ACTUSDTSWAP,1440,20250427,030000,0.06196,0.06199,0.0525,0.05475,24162745.73
ACTUSDTSWAP,1440,20250428,030000,0.05473,0.05713,0.05319,0.05578,15369431.52
ACTUSDTSWAP,1440,20250429,030000,0.05578,0.05628,0.05119,0.05318,10961279.1
ACTUSDTSWAP,1440,20250430,030000,0.05317,0.05469,0.05171,0.05463,8971569.55
ACTUSDTSWAP,1440,20250501,030000,0.05464,0.05648,0.05425,0.05565,11062714.37
ACTUSDTSWAP,1440,20250502,030000,0.05564,0.0562,0.05413,0.05518,6713991.89
ACTUSDTSWAP,1440,20250503,030000,0.05518,0.05592,0.04996,0.05065,10717731.64
ACTUSDTSWAP,1440,20250504,030000,0.05063,0.05245,0.04806,0.05192,14417040.9
ACTUSDTSWAP,1440,20250505,030000,0.05191,0.05357,0.05072,0.05158,9517800.71
ACTUSDTSWAP,1440,20250506,030000,0.05158,0.05202,0.04823,0.05016,10672053.95
ACTUSDTSWAP,1440,20250507,030000,0.05016,0.0513,0.04929,0.05077,7017403.56
ACTUSDTSWAP,1440,20250508,030000,0.0508,0.06365,0.0508,0.06034,19470709.19
ACTUSDTSWAP,1440,20250509,030000,0.06033,0.07252,0.05921,0.07008,38531869.73
ACTUSDTSWAP,1440,20250510,030000,0.07004,0.08809,0.05581,0.06253,106763599.52
ACTUSDTSWAP,1440,20250511,030000,0.06253,0.06543,0.05672,0.06403,41885684.23
ACTUSDTSWAP,1440,20250512,030000,0.06404,0.08979,0.06361,0.08188,146228991.71
ACTUSDTSWAP,1440,20250513,030000,0.0819,0.08326,0.06739,0.08149,87287578.48
ACTUSDTSWAP,1440,20250514,030000,0.08148,0.084,0.0728,0.07442,54231397.21
ACTUSDTSWAP,1440,20250515,030000,0.07443,0.07485,0.06214,0.06462,38737133.77
ACTUSDTSWAP,1440,20250516,030000,0.06463,0.06687,0.06031,0.06111,21493960.19
ACTUSDTSWAP,1440,20250517,030000,0.06111,0.06137,0.05721,0.05805,19387394.2
ACTUSDTSWAP,1440,20250518,030000,0.05806,0.06584,0.05759,0.06364,24864369.24
ACTUSDTSWAP,1440,20250519,030000,0.06366,0.06385,0.05716,0.06161,18328746.82
ACTUSDTSWAP,1440,20250520,030000,0.06161,0.06293,0.05804,0.06146,15767006.75
ACTUSDTSWAP,1440,20250521,030000,0.06146,0.06591,0.06007,0.06397,17138802.53
ACTUSDTSWAP,1440,20250522,030000,0.06398,0.06884,0.06388,0.06854,17946928.71
ACTUSDTSWAP,1440,20250523,030000,0.06856,0.07278,0.05889,0.05977,32858996.85
ACTUSDTSWAP,1440,20250524,030000,0.05977,0.06312,0.05951,0.06116,12078909.5
ACTUSDTSWAP,1440,20250525,030000,0.06116,0.0622,0.05662,0.06174,21340264.56
ACTUSDTSWAP,1440,20250526,030000,0.06175,0.06277,0.05977,0.06042,11910510.37
ACTUSDTSWAP,1440,20250527,030000,0.06042,0.06474,0.0585,0.06278,13942525.73
ACTUSDTSWAP,1440,20250528,030000,0.06279,0.06417,0.05979,0.06258,11173951.8
ACTUSDTSWAP,1440,20250529,030000,0.06258,0.06429,0.05442,0.05708,17189185.84
ACTUSDTSWAP,1440,20250530,030000,0.05707,0.05744,0.04564,0.04683,32392215.49
ACTUSDTSWAP,1440,20250531,030000,0.04683,0.05291,0.04565,0.05215,17689662.59
ACTUSDTSWAP,1440,20250601,030000,0.05215,0.05391,0.0507,0.05298,9369522.4
ACTUSDTSWAP,1440,20250602,030000,0.05297,0.0548,0.05111,0.05382,7320595.96
ACTUSDTSWAP,1440,20250603,030000,0.05384,0.05528,0.04977,0.05199,11677215.09
ACTUSDTSWAP,1440,20250604,030000,0.05198,0.05307,0.05032,0.05084,6147463.35
