<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACTUSDTSWAP,60,20250531,190000,0.051,0.052,0.05083,0.05168,464266.31
ACTUSDTSWAP,60,20250531,200000,0.05168,0.05172,0.05093,0.05108,376016.29
ACTUSDTSWAP,60,20250531,210000,0.05107,0.05186,0.05106,0.0517,219123.7
ACTUSDTSWAP,60,20250531,220000,0.0517,0.05202,0.05153,0.05165,260649.79
ACTUSDTSWAP,60,20250531,230000,0.05164,0.05207,0.05158,0.05195,221432.73
ACTUSDTSWAP,60,20250601,000000,0.05195,0.05227,0.05181,0.05202,199443.43
ACTUSDTSWAP,60,20250601,010000,0.05202,0.05229,0.05175,0.05204,170434.32
ACTUSDTSWAP,60,20250601,020000,0.05203,0.05235,0.05179,0.05215,268854.93
ACTUSDTSWAP,60,20250601,030000,0.05215,0.05215,0.05125,0.05161,484756.57
ACTUSDTSWAP,60,20250601,040000,0.05161,0.05203,0.05108,0.05127,282898.36
ACTUSDTSWAP,60,20250601,050000,0.05128,0.05201,0.05087,0.05188,363000.92
ACTUSDTSWAP,60,20250601,060000,0.05189,0.05193,0.05123,0.05133,424384.23
ACTUSDTSWAP,60,20250601,070000,0.05133,0.0519,0.05116,0.05176,281222.49
ACTUSDTSWAP,60,20250601,080000,0.05174,0.05204,0.05161,0.05193,200752.29
ACTUSDTSWAP,60,20250601,090000,0.05192,0.05226,0.05165,0.0517,333834.75
ACTUSDTSWAP,60,20250601,100000,0.05169,0.0517,0.05126,0.05163,284689.55
ACTUSDTSWAP,60,20250601,110000,0.05164,0.05179,0.05128,0.05141,227629.89
ACTUSDTSWAP,60,20250601,120000,0.05141,0.05155,0.0507,0.05092,547987.98
ACTUSDTSWAP,60,20250601,130000,0.05092,0.05146,0.05082,0.05141,261117.3
ACTUSDTSWAP,60,20250601,140000,0.05141,0.05222,0.05121,0.05187,329135.15
ACTUSDTSWAP,60,20250601,150000,0.05187,0.05208,0.05137,0.05171,308803.64
ACTUSDTSWAP,60,20250601,160000,0.05169,0.05293,0.05166,0.0525,503327.24
ACTUSDTSWAP,60,20250601,170000,0.05252,0.05391,0.05252,0.05351,693543.35
ACTUSDTSWAP,60,20250601,180000,0.05353,0.05365,0.05251,0.05267,835124.15
ACTUSDTSWAP,60,20250601,190000,0.05266,0.05328,0.05221,0.05231,787162.1
ACTUSDTSWAP,60,20250601,200000,0.05234,0.05247,0.05175,0.0519,544369.39
ACTUSDTSWAP,60,20250601,210000,0.05189,0.05219,0.05119,0.05164,507418.71
ACTUSDTSWAP,60,20250601,220000,0.05165,0.05205,0.05159,0.05199,270473.85
ACTUSDTSWAP,60,20250601,230000,0.05199,0.05263,0.05171,0.05245,241227.36
ACTUSDTSWAP,60,20250602,000000,0.05245,0.05302,0.05225,0.05268,248555.93
ACTUSDTSWAP,60,20250602,010000,0.05269,0.05323,0.0526,0.0527,242589.29
ACTUSDTSWAP,60,20250602,020000,0.05271,0.05301,0.05268,0.05298,152489.92
ACTUSDTSWAP,60,20250602,030000,0.05297,0.053,0.05252,0.05278,243323.15
ACTUSDTSWAP,60,20250602,040000,0.05278,0.05332,0.05237,0.05241,419171.48
ACTUSDTSWAP,60,20250602,050000,0.05243,0.05265,0.05178,0.05203,362401.46
ACTUSDTSWAP,60,20250602,060000,0.05205,0.0522,0.05161,0.05195,243332.19
ACTUSDTSWAP,60,20250602,070000,0.05195,0.05217,0.05166,0.05188,208633.43
ACTUSDTSWAP,60,20250602,080000,0.05189,0.05236,0.05162,0.05211,222885.3
ACTUSDTSWAP,60,20250602,090000,0.0521,0.0528,0.05171,0.05254,235561.66
ACTUSDTSWAP,60,20250602,100000,0.05254,0.05312,0.05237,0.05247,327281.43
ACTUSDTSWAP,60,20250602,110000,0.05246,0.05272,0.05191,0.05203,259036.83
ACTUSDTSWAP,60,20250602,120000,0.05204,0.05206,0.05111,0.05134,376644.91
ACTUSDTSWAP,60,20250602,130000,0.05133,0.0516,0.05112,0.05149,319051.57
ACTUSDTSWAP,60,20250602,140000,0.05149,0.05182,0.05134,0.05172,259347.87
ACTUSDTSWAP,60,20250602,150000,0.05171,0.05239,0.05122,0.05239,286358.03
ACTUSDTSWAP,60,20250602,160000,0.0524,0.05259,0.05162,0.05184,449065.54
ACTUSDTSWAP,60,20250602,170000,0.05183,0.05277,0.05161,0.05226,384473.8
ACTUSDTSWAP,60,20250602,180000,0.05225,0.05266,0.05192,0.05244,202627.49
ACTUSDTSWAP,60,20250602,190000,0.05244,0.05261,0.05193,0.05244,208242.86
ACTUSDTSWAP,60,20250602,200000,0.05246,0.05281,0.05228,0.05264,173945.29
ACTUSDTSWAP,60,20250602,210000,0.05264,0.0531,0.05243,0.05249,181750.86
ACTUSDTSWAP,60,20250602,220000,0.0525,0.05279,0.05165,0.05197,342429.31
ACTUSDTSWAP,60,20250602,230000,0.05198,0.05319,0.05198,0.05301,302038.31
ACTUSDTSWAP,60,20250603,000000,0.05302,0.05387,0.05302,0.05372,399929.7
ACTUSDTSWAP,60,20250603,010000,0.05371,0.0548,0.0537,0.05405,460999.32
ACTUSDTSWAP,60,20250603,020000,0.05406,0.05413,0.0537,0.05382,377757.66
ACTUSDTSWAP,60,20250603,030000,0.05384,0.05494,0.05378,0.05471,407383.48
ACTUSDTSWAP,60,20250603,040000,0.05472,0.05528,0.05447,0.05519,393249.49
ACTUSDTSWAP,60,20250603,050000,0.05519,0.05526,0.05416,0.05442,258499.92
ACTUSDTSWAP,60,20250603,060000,0.05442,0.0545,0.04977,0.05269,3454244.96
ACTUSDTSWAP,60,20250603,070000,0.05271,0.05298,0.05186,0.05202,657427.69
ACTUSDTSWAP,60,20250603,080000,0.05201,0.05276,0.05201,0.05251,350178.18
ACTUSDTSWAP,60,20250603,090000,0.05252,0.053,0.05232,0.053,433844.93
ACTUSDTSWAP,60,20250603,100000,0.05299,0.05308,0.05223,0.05231,475420.13
ACTUSDTSWAP,60,20250603,110000,0.05232,0.05272,0.05201,0.05259,323988.67
ACTUSDTSWAP,60,20250603,120000,0.05259,0.05293,0.05239,0.05269,320911.02
ACTUSDTSWAP,60,20250603,130000,0.05269,0.0528,0.05239,0.05257,210780.02
ACTUSDTSWAP,60,20250603,140000,0.05258,0.05278,0.05232,0.05247,210491.78
ACTUSDTSWAP,60,20250603,150000,0.05248,0.05283,0.05233,0.05269,271972.19
ACTUSDTSWAP,60,20250603,160000,0.05269,0.05356,0.05269,0.05298,580691.54
ACTUSDTSWAP,60,20250603,170000,0.05299,0.05356,0.05248,0.0535,438469.68
ACTUSDTSWAP,60,20250603,180000,0.05352,0.05367,0.05315,0.05331,362482.13
ACTUSDTSWAP,60,20250603,190000,0.05331,0.05346,0.05271,0.05278,325048.56
ACTUSDTSWAP,60,20250603,200000,0.05278,0.0534,0.05273,0.05323,206186.28
ACTUSDTSWAP,60,20250603,210000,0.05323,0.05329,0.05258,0.05281,170926.53
ACTUSDTSWAP,60,20250603,220000,0.05281,0.05368,0.0528,0.05326,350177.83
ACTUSDTSWAP,60,20250603,230000,0.05326,0.05337,0.05211,0.05258,469629.21
ACTUSDTSWAP,60,20250604,000000,0.05257,0.05282,0.05163,0.05196,347227.85
ACTUSDTSWAP,60,20250604,010000,0.05196,0.05251,0.05192,0.05232,314300.69
ACTUSDTSWAP,60,20250604,020000,0.05233,0.0524,0.05183,0.05199,244500.88
ACTUSDTSWAP,60,20250604,030000,0.05198,0.0527,0.05185,0.05258,389499.03
ACTUSDTSWAP,60,20250604,040000,0.0526,0.05307,0.05256,0.05282,333918.21
ACTUSDTSWAP,60,20250604,050000,0.05283,0.05285,0.05226,0.05234,258645.06
ACTUSDTSWAP,60,20250604,060000,0.05233,0.05278,0.0521,0.05241,288497.8
ACTUSDTSWAP,60,20250604,070000,0.05242,0.05253,0.05202,0.05228,206359.25
ACTUSDTSWAP,60,20250604,080000,0.05228,0.0525,0.05205,0.05213,199189.57
ACTUSDTSWAP,60,20250604,090000,0.05214,0.05241,0.05196,0.0521,242237.28
ACTUSDTSWAP,60,20250604,100000,0.05212,0.05223,0.05155,0.05193,428535.85
ACTUSDTSWAP,60,20250604,110000,0.05193,0.05226,0.0518,0.05204,243857.88
ACTUSDTSWAP,60,20250604,120000,0.05204,0.05209,0.05148,0.05197,456013.25
ACTUSDTSWAP,60,20250604,130000,0.05198,0.0521,0.05129,0.05142,336530.79
ACTUSDTSWAP,60,20250604,140000,0.05142,0.05168,0.0511,0.05122,370729.1
ACTUSDTSWAP,60,20250604,150000,0.05121,0.0515,0.0509,0.05126,325001.5
ACTUSDTSWAP,60,20250604,160000,0.05125,0.05173,0.05095,0.05125,303060.01
ACTUSDTSWAP,60,20250604,170000,0.05125,0.05147,0.05092,0.05145,438485.88
ACTUSDTSWAP,60,20250604,180000,0.05146,0.0519,0.05128,0.05181,392330.47
ACTUSDTSWAP,60,20250604,190000,0.05181,0.05181,0.05132,0.05146,211817.31
ACTUSDTSWAP,60,20250604,200000,0.05147,0.0515,0.05032,0.05073,361856.18
ACTUSDTSWAP,60,20250604,210000,0.05073,0.05117,0.05073,0.0509,223835.27
ACTUSDTSWAP,60,20250604,220000,0.0509,0.05091,0.05056,0.05084,116433.5
