<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ACTUSDTSWAP,3,20250604,172700,0.05111,0.05114,0.05107,0.05111,8839.93
ACTUSDTSWAP,3,20250604,173000,0.05112,0.05112,0.05099,0.05104,18520.67
ACTUSDTSWAP,3,20250604,173300,0.05105,0.0512,0.05105,0.05113,17413.1
ACTUSDTSWAP,3,20250604,173600,0.05112,0.05112,0.051,0.05103,38739.35
ACTUSDTSWAP,3,20250604,173900,0.05103,0.0512,0.05103,0.05115,6501.32
ACTUSDTSWAP,3,20250604,174200,0.05116,0.05116,0.05107,0.05112,9847.43
ACTUSDTSWAP,3,20250604,174500,0.05112,0.05118,0.05102,0.05118,5445.71
ACTUSDTSWAP,3,20250604,174800,0.05119,0.05126,0.05111,0.05117,7771.87
ACTUSDTSWAP,3,20250604,175100,0.05116,0.05117,0.05109,0.05117,6732.14
ACTUSDTSWAP,3,20250604,175400,0.05118,0.05134,0.05118,0.05133,16612.0
ACTUSDTSWAP,3,20250604,175700,0.05133,0.05147,0.0513,0.05145,18467.71
ACTUSDTSWAP,3,20250604,180000,0.05146,0.05149,0.05138,0.05139,23267.69
ACTUSDTSWAP,3,20250604,180300,0.0514,0.05143,0.05128,0.05132,5990.57
ACTUSDTSWAP,3,20250604,180600,0.05133,0.05154,0.05132,0.05133,7857.75
ACTUSDTSWAP,3,20250604,180900,0.05135,0.05152,0.05135,0.05151,14481.98
ACTUSDTSWAP,3,20250604,181200,0.0515,0.05157,0.05145,0.05148,9068.89
ACTUSDTSWAP,3,20250604,181500,0.05148,0.05177,0.05148,0.05173,20547.47
ACTUSDTSWAP,3,20250604,181800,0.05172,0.05176,0.05164,0.05167,33941.72
ACTUSDTSWAP,3,20250604,182100,0.05165,0.05177,0.05163,0.05174,28041.04
ACTUSDTSWAP,3,20250604,182400,0.05173,0.05178,0.05168,0.05168,27028.61
ACTUSDTSWAP,3,20250604,182700,0.05169,0.05175,0.05159,0.05164,21888.08
ACTUSDTSWAP,3,20250604,183000,0.05163,0.05166,0.05151,0.05166,29732.89
ACTUSDTSWAP,3,20250604,183300,0.05165,0.05174,0.05158,0.05163,9101.45
ACTUSDTSWAP,3,20250604,183600,0.05163,0.05184,0.05162,0.05181,25826.98
ACTUSDTSWAP,3,20250604,183900,0.05182,0.05187,0.05178,0.05184,30313.66
ACTUSDTSWAP,3,20250604,184200,0.05184,0.05186,0.05176,0.05179,25552.14
ACTUSDTSWAP,3,20250604,184500,0.05181,0.05185,0.05172,0.05172,17953.77
ACTUSDTSWAP,3,20250604,184800,0.05172,0.05178,0.05167,0.05172,16710.53
ACTUSDTSWAP,3,20250604,185100,0.05172,0.05187,0.05169,0.0518,13305.07
ACTUSDTSWAP,3,20250604,185400,0.0518,0.0519,0.05174,0.05186,14693.02
ACTUSDTSWAP,3,20250604,185700,0.05184,0.05186,0.05175,0.05181,18615.9
ACTUSDTSWAP,3,20250604,190000,0.05181,0.05181,0.05163,0.05166,24201.44
ACTUSDTSWAP,3,20250604,190300,0.05167,0.0517,0.05157,0.05157,10804.3
ACTUSDTSWAP,3,20250604,190600,0.05158,0.05158,0.05152,0.05153,7574.88
ACTUSDTSWAP,3,20250604,190900,0.05153,0.0517,0.05153,0.05169,9700.42
ACTUSDTSWAP,3,20250604,191200,0.05169,0.0517,0.05161,0.05162,12847.81
ACTUSDTSWAP,3,20250604,191500,0.05161,0.05161,0.05143,0.05143,9777.36
ACTUSDTSWAP,3,20250604,191800,0.05144,0.05151,0.0514,0.0515,7326.55
ACTUSDTSWAP,3,20250604,192100,0.05151,0.05156,0.05145,0.05149,14591.13
ACTUSDTSWAP,3,20250604,192400,0.05149,0.05151,0.05132,0.05138,36069.52
ACTUSDTSWAP,3,20250604,192700,0.05139,0.05142,0.05135,0.05138,18830.79
ACTUSDTSWAP,3,20250604,193000,0.05137,0.05144,0.05136,0.05143,8606.99
ACTUSDTSWAP,3,20250604,193300,0.05144,0.05148,0.0514,0.05147,4003.47
ACTUSDTSWAP,3,20250604,193600,0.05148,0.05149,0.05141,0.05144,10548.82
ACTUSDTSWAP,3,20250604,193900,0.05145,0.05156,0.05145,0.05149,14238.38
ACTUSDTSWAP,3,20250604,194200,0.05149,0.05151,0.05144,0.05148,2759.86
ACTUSDTSWAP,3,20250604,194500,0.05148,0.05149,0.05139,0.05148,5882.52
ACTUSDTSWAP,3,20250604,194800,0.05148,0.05156,0.05144,0.05153,2921.54
ACTUSDTSWAP,3,20250604,195100,0.05152,0.05153,0.05147,0.05152,1343.59
ACTUSDTSWAP,3,20250604,195400,0.05151,0.05157,0.05147,0.05147,7313.54
ACTUSDTSWAP,3,20250604,195700,0.05147,0.05148,0.0514,0.05146,1372.6
ACTUSDTSWAP,3,20250604,200000,0.05147,0.0515,0.0513,0.05131,6924.46
ACTUSDTSWAP,3,20250604,200300,0.05131,0.05134,0.05124,0.05128,10098.22
ACTUSDTSWAP,3,20250604,200600,0.05129,0.05129,0.0512,0.05123,6723.09
ACTUSDTSWAP,3,20250604,200900,0.05123,0.05123,0.05104,0.0511,10217.72
ACTUSDTSWAP,3,20250604,201200,0.05111,0.05119,0.0511,0.05117,12219.79
ACTUSDTSWAP,3,20250604,201500,0.05117,0.05118,0.05101,0.05106,12046.44
ACTUSDTSWAP,3,20250604,201800,0.05106,0.05113,0.05104,0.05109,13123.24
ACTUSDTSWAP,3,20250604,202100,0.0511,0.0511,0.05094,0.05097,21822.36
ACTUSDTSWAP,3,20250604,202400,0.05097,0.051,0.05085,0.0509,12365.22
ACTUSDTSWAP,3,20250604,202700,0.05091,0.05096,0.0506,0.05074,47021.75
ACTUSDTSWAP,3,20250604,203000,0.05073,0.05073,0.05045,0.05052,59912.99
ACTUSDTSWAP,3,20250604,203300,0.05052,0.05063,0.05032,0.05058,35513.19
ACTUSDTSWAP,3,20250604,203600,0.05057,0.05057,0.05045,0.05056,26643.51
ACTUSDTSWAP,3,20250604,203900,0.05056,0.05065,0.05051,0.05063,10033.88
ACTUSDTSWAP,3,20250604,204200,0.05063,0.05063,0.05047,0.05051,21662.1
ACTUSDTSWAP,3,20250604,204500,0.05051,0.0506,0.0505,0.05052,8948.65
ACTUSDTSWAP,3,20250604,204800,0.05053,0.05072,0.0505,0.05061,13936.22
ACTUSDTSWAP,3,20250604,205100,0.05059,0.05073,0.05059,0.05071,6358.71
ACTUSDTSWAP,3,20250604,205400,0.0507,0.05076,0.05069,0.0507,5122.58
ACTUSDTSWAP,3,20250604,205700,0.0507,0.05074,0.05063,0.05073,16575.1
ACTUSDTSWAP,3,20250604,210000,0.05073,0.05104,0.05073,0.05104,30217.43
ACTUSDTSWAP,3,20250604,210300,0.05104,0.05113,0.05104,0.05106,16166.15
ACTUSDTSWAP,3,20250604,210600,0.05107,0.05111,0.05089,0.0509,21575.7
ACTUSDTSWAP,3,20250604,210900,0.05092,0.0511,0.05092,0.05109,24965.06
ACTUSDTSWAP,3,20250604,211200,0.05108,0.05108,0.05099,0.05103,15985.49
ACTUSDTSWAP,3,20250604,211500,0.05104,0.05105,0.05101,0.05102,6517.45
ACTUSDTSWAP,3,20250604,211800,0.05101,0.05111,0.05098,0.05106,2622.73
ACTUSDTSWAP,3,20250604,212100,0.05106,0.05107,0.05094,0.05103,16261.08
ACTUSDTSWAP,3,20250604,212400,0.05104,0.05108,0.05103,0.05106,3268.6
ACTUSDTSWAP,3,20250604,212700,0.05107,0.05113,0.05107,0.05113,2837.35
ACTUSDTSWAP,3,20250604,213000,0.05113,0.05117,0.05101,0.05104,8866.1
ACTUSDTSWAP,3,20250604,213300,0.05103,0.05103,0.05093,0.05097,8583.19
ACTUSDTSWAP,3,20250604,213600,0.05098,0.05102,0.05096,0.05097,9028.51
ACTUSDTSWAP,3,20250604,213900,0.05097,0.05102,0.05095,0.05097,7688.82
ACTUSDTSWAP,3,20250604,214200,0.05098,0.0511,0.05098,0.05107,6991.96
ACTUSDTSWAP,3,20250604,214500,0.05106,0.05107,0.05098,0.05104,10457.55
ACTUSDTSWAP,3,20250604,214800,0.05104,0.05106,0.05094,0.05097,5855.82
ACTUSDTSWAP,3,20250604,215100,0.05096,0.05098,0.05091,0.05092,6813.15
ACTUSDTSWAP,3,20250604,215400,0.05093,0.05095,0.05086,0.05095,12424.68
ACTUSDTSWAP,3,20250604,215700,0.05096,0.051,0.0509,0.0509,7803.3
ACTUSDTSWAP,3,20250604,220000,0.0509,0.0509,0.05082,0.05086,22076.76
ACTUSDTSWAP,3,20250604,220300,0.05085,0.05087,0.0508,0.05086,17412.51
ACTUSDTSWAP,3,20250604,220600,0.05086,0.05086,0.05062,0.05071,30013.35
ACTUSDTSWAP,3,20250604,220900,0.05071,0.05072,0.05057,0.05068,10754.53
ACTUSDTSWAP,3,20250604,221200,0.05069,0.05074,0.05066,0.05071,7697.94
ACTUSDTSWAP,3,20250604,221500,0.0507,0.0507,0.05056,0.05064,6112.19
ACTUSDTSWAP,3,20250604,221800,0.05065,0.05081,0.05065,0.0508,7087.45
ACTUSDTSWAP,3,20250604,222100,0.0508,0.05091,0.05079,0.05091,12540.89
ACTUSDTSWAP,3,20250604,222400,0.05091,0.05091,0.05087,0.05087,1618.38
