<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADAUSDTSWAP,1440,20250225,030000,0.6815,0.6951,0.6303,0.6831,2480502.85
ADAUSDTSWAP,1440,20250226,030000,0.6832,0.6954,0.6311,0.6474,1585067.31
ADAUSDTSWAP,1440,20250227,030000,0.6474,0.6797,0.626,0.6451,901748.76
ADAUSDTSWAP,1440,20250228,030000,0.6452,0.6465,0.5801,0.6328,1950014.22
ADAUSDTSWAP,1440,20250301,030000,0.6329,0.6769,0.6252,0.6593,811412.55
ADAUSDTSWAP,1440,20250302,030000,0.6593,1.1487,0.6449,1.1348,14025597.06
ADAUSDTSWAP,1440,20250303,030000,1.1348,1.177,0.8221,0.8574,23029387.1
ADAUSDTSWAP,1440,20250304,030000,0.8574,0.9558,0.7571,0.9407,14427310.32
ADAUSDTSWAP,1440,20250305,030000,0.9407,1.0277,0.9131,0.9739,8943149.86
ADAUSDTSWAP,1440,20250306,030000,0.974,0.9885,0.8852,0.9063,6837359.81
ADAUSDTSWAP,1440,20250307,030000,0.9062,0.9209,0.8054,0.818,9889976.45
ADAUSDTSWAP,1440,20250308,030000,0.8179,0.8389,0.7926,0.805,2773266.13
ADAUSDTSWAP,1440,20250309,030000,0.805,0.8177,0.7087,0.7212,4121569.97
ADAUSDTSWAP,1440,20250310,030000,0.7213,0.7785,0.6582,0.6712,4224862.2
ADAUSDTSWAP,1440,20250311,030000,0.6713,0.7443,0.6466,0.7239,3964203.59
ADAUSDTSWAP,1440,20250312,030000,0.7239,0.7688,0.7109,0.7358,2768781.77
ADAUSDTSWAP,1440,20250313,030000,0.7358,0.7424,0.69,0.7028,2515834.7
ADAUSDTSWAP,1440,20250314,030000,0.7029,0.7512,0.6965,0.7375,1913573.48
ADAUSDTSWAP,1440,20250315,030000,0.7374,0.7595,0.7307,0.7467,1060824.38
ADAUSDTSWAP,1440,20250316,030000,0.7466,0.7473,0.6931,0.7047,1809037.93
ADAUSDTSWAP,1440,20250317,030000,0.7046,0.7304,0.7023,0.7174,1339202.43
ADAUSDTSWAP,1440,20250318,030000,0.7175,0.7185,0.6814,0.7014,1351783.2
ADAUSDTSWAP,1440,20250319,030000,0.7014,0.747,0.7002,0.7436,1887188.17
ADAUSDTSWAP,1440,20250320,030000,0.7436,0.7553,0.7118,0.7177,1541957.44
ADAUSDTSWAP,1440,20250321,030000,0.7177,0.7278,0.7006,0.7047,907003.93
ADAUSDTSWAP,1440,20250322,030000,0.7047,0.716,0.6968,0.7013,569920.06
ADAUSDTSWAP,1440,20250323,030000,0.7012,0.7161,0.6916,0.7106,740713.53
ADAUSDTSWAP,1440,20250324,030000,0.7107,0.7451,0.7055,0.732,1239394.56
ADAUSDTSWAP,1440,20250325,030000,0.732,0.7663,0.7207,0.7447,1862187.14
ADAUSDTSWAP,1440,20250326,030000,0.7447,0.7746,0.7194,0.7286,1594553.87
ADAUSDTSWAP,1440,20250327,030000,0.7286,0.7443,0.7206,0.7382,896694.65
ADAUSDTSWAP,1440,20250328,030000,0.738,0.7465,0.6891,0.706,1330433.71
ADAUSDTSWAP,1440,20250329,030000,0.7062,0.712,0.6585,0.6731,1117748.36
ADAUSDTSWAP,1440,20250330,030000,0.6732,0.6874,0.651,0.6612,865813.09
ADAUSDTSWAP,1440,20250331,030000,0.6612,0.6655,0.6293,0.6617,1606795.21
ADAUSDTSWAP,1440,20250401,030000,0.6616,0.6947,0.6577,0.6772,1052875.53
ADAUSDTSWAP,1440,20250402,030000,0.6772,0.7102,0.6346,0.6399,2025690.14
ADAUSDTSWAP,1440,20250403,030000,0.6398,0.6574,0.6127,0.6507,1094163.69
ADAUSDTSWAP,1440,20250404,030000,0.6508,0.6721,0.6274,0.6603,1936342.1
ADAUSDTSWAP,1440,20250405,030000,0.6603,0.6676,0.6449,0.6548,600997.73
ADAUSDTSWAP,1440,20250406,030000,0.655,0.6554,0.5596,0.5736,1770469.19
ADAUSDTSWAP,1440,20250407,030000,0.5735,0.6056,0.511,0.5861,4298371.55
ADAUSDTSWAP,1440,20250408,030000,0.5862,0.6207,0.5528,0.5584,2593304.42
ADAUSDTSWAP,1440,20250409,030000,0.5584,0.6464,0.5367,0.6316,2918407.41
ADAUSDTSWAP,1440,20250410,030000,0.6316,0.6338,0.5856,0.6094,1699356.75
