<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADAUSDTSWAP,60,20250531,190000,0.6792,0.6878,0.6788,0.6869,53819.06
ADAUSDTSWAP,60,20250531,200000,0.687,0.688,0.6803,0.6811,40583.77
ADAUSDTSWAP,60,20250531,210000,0.6812,0.6865,0.681,0.6857,22609.5
ADAUSDTSWAP,60,20250531,220000,0.6857,0.6932,0.6857,0.6888,30518.38
ADAUSDTSWAP,60,20250531,230000,0.6888,0.6914,0.6869,0.6895,15694.38
ADAUSDTSWAP,60,20250601,000000,0.6896,0.6948,0.6895,0.6911,41049.06
ADAUSDTSWAP,60,20250601,010000,0.6912,0.6921,0.6848,0.685,18290.53
ADAUSDTSWAP,60,20250601,020000,0.6849,0.69,0.684,0.6854,40899.83
ADAUSDTSWAP,60,20250601,030000,0.6855,0.6858,0.679,0.6813,25880.02
ADAUSDTSWAP,60,20250601,040000,0.6812,0.6835,0.6745,0.6767,23966.86
ADAUSDTSWAP,60,20250601,050000,0.6767,0.6789,0.6716,0.6769,34724.73
ADAUSDTSWAP,60,20250601,060000,0.677,0.6787,0.6714,0.6777,27516.26
ADAUSDTSWAP,60,20250601,070000,0.6775,0.6841,0.6758,0.6821,24446.5
ADAUSDTSWAP,60,20250601,080000,0.682,0.6826,0.6777,0.6793,21078.44
ADAUSDTSWAP,60,20250601,090000,0.6793,0.6793,0.6734,0.6739,19602.42
ADAUSDTSWAP,60,20250601,100000,0.6739,0.6739,0.6702,0.6728,25185.4
ADAUSDTSWAP,60,20250601,110000,0.6728,0.6728,0.6655,0.6682,37048.47
ADAUSDTSWAP,60,20250601,120000,0.6682,0.6694,0.6536,0.6574,89076.0
ADAUSDTSWAP,60,20250601,130000,0.6573,0.6615,0.6547,0.6613,33068.3
ADAUSDTSWAP,60,20250601,140000,0.6612,0.6643,0.6571,0.6633,27872.36
ADAUSDTSWAP,60,20250601,150000,0.6634,0.6641,0.6567,0.6591,33940.87
ADAUSDTSWAP,60,20250601,160000,0.6591,0.6655,0.6586,0.663,26586.38
ADAUSDTSWAP,60,20250601,170000,0.663,0.6726,0.663,0.6698,36958.94
ADAUSDTSWAP,60,20250601,180000,0.6698,0.6753,0.669,0.6746,28435.76
ADAUSDTSWAP,60,20250601,190000,0.6745,0.6849,0.6744,0.6822,87568.11
ADAUSDTSWAP,60,20250601,200000,0.6823,0.6838,0.6796,0.6818,25218.56
