<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ADAUSDTSWAP,3,20250604,172700,0.6826,0.6826,0.6813,0.6821,435.7
ADAUSDTSWAP,3,20250604,173000,0.6821,0.6831,0.6819,0.683,743.76
ADAUSDTSWAP,3,20250604,173300,0.6831,0.6838,0.6827,0.6831,1037.7
ADAUSDTSWAP,3,20250604,173600,0.6831,0.6831,0.6813,0.6813,1907.63
ADAUSDTSWAP,3,20250604,173900,0.6813,0.6826,0.6812,0.6826,426.9
ADAUSDTSWAP,3,20250604,174200,0.6826,0.6828,0.6815,0.6828,544.65
ADAUSDTSWAP,3,20250604,174500,0.6827,0.6843,0.6822,0.6843,1030.95
ADAUSDTSWAP,3,20250604,174800,0.6844,0.685,0.6839,0.6842,1477.76
ADAUSDTSWAP,3,20250604,175100,0.6841,0.6846,0.6837,0.6842,935.71
ADAUSDTSWAP,3,20250604,175400,0.6842,0.686,0.6841,0.6858,3641.18
ADAUSDTSWAP,3,20250604,175700,0.6857,0.6871,0.6855,0.6868,2277.48
ADAUSDTSWAP,3,20250604,180000,0.6867,0.6869,0.6847,0.6847,2107.41
ADAUSDTSWAP,3,20250604,180300,0.6847,0.6849,0.6839,0.6844,2318.94
ADAUSDTSWAP,3,20250604,180600,0.6844,0.6861,0.6839,0.6842,2522.9
ADAUSDTSWAP,3,20250604,180900,0.6842,0.6861,0.6842,0.6861,2201.55
ADAUSDTSWAP,3,20250604,181200,0.686,0.6872,0.6858,0.6867,2458.14
ADAUSDTSWAP,3,20250604,181500,0.6868,0.6892,0.6868,0.6889,3339.36
ADAUSDTSWAP,3,20250604,181800,0.689,0.6892,0.688,0.6882,5074.35
ADAUSDTSWAP,3,20250604,182100,0.6882,0.689,0.6876,0.6886,1590.5
ADAUSDTSWAP,3,20250604,182400,0.6886,0.6887,0.6878,0.688,1906.94
ADAUSDTSWAP,3,20250604,182700,0.688,0.6888,0.6879,0.688,900.73
ADAUSDTSWAP,3,20250604,183000,0.688,0.689,0.6871,0.6889,2755.72
ADAUSDTSWAP,3,20250604,183300,0.6889,0.6895,0.6884,0.6887,1096.94
ADAUSDTSWAP,3,20250604,183600,0.6887,0.6909,0.6887,0.6907,3678.28
ADAUSDTSWAP,3,20250604,183900,0.6906,0.6913,0.6902,0.6908,2418.14
ADAUSDTSWAP,3,20250604,184200,0.6909,0.6912,0.6891,0.6894,2260.42
ADAUSDTSWAP,3,20250604,184500,0.6893,0.6903,0.6887,0.6887,1051.04
ADAUSDTSWAP,3,20250604,184800,0.6886,0.689,0.688,0.6885,1578.2
ADAUSDTSWAP,3,20250604,185100,0.6886,0.6895,0.6882,0.6888,1468.51
ADAUSDTSWAP,3,20250604,185400,0.6887,0.6899,0.6887,0.6896,2215.62
ADAUSDTSWAP,3,20250604,185700,0.6896,0.6896,0.6877,0.6879,1874.54
ADAUSDTSWAP,3,20250604,190000,0.6879,0.6884,0.6858,0.6862,2073.12
ADAUSDTSWAP,3,20250604,190300,0.6862,0.6864,0.6852,0.6852,3464.62
ADAUSDTSWAP,3,20250604,190600,0.6852,0.6858,0.6843,0.6844,5897.65
ADAUSDTSWAP,3,20250604,190900,0.6845,0.6866,0.6845,0.6866,888.48
ADAUSDTSWAP,3,20250604,191200,0.6867,0.6867,0.6855,0.6855,1643.0
ADAUSDTSWAP,3,20250604,191500,0.6854,0.6858,0.6843,0.6846,1294.72
ADAUSDTSWAP,3,20250604,191800,0.6846,0.6865,0.6841,0.6863,1447.45
ADAUSDTSWAP,3,20250604,192100,0.6863,0.6867,0.6852,0.6854,1212.76
ADAUSDTSWAP,3,20250604,192400,0.6854,0.6856,0.6848,0.6851,2294.31
ADAUSDTSWAP,3,20250604,192700,0.685,0.685,0.6843,0.6844,910.71
ADAUSDTSWAP,3,20250604,193000,0.6843,0.6857,0.6835,0.6857,1570.47
ADAUSDTSWAP,3,20250604,193300,0.6856,0.6864,0.6853,0.686,568.57
ADAUSDTSWAP,3,20250604,193600,0.686,0.6863,0.6855,0.6863,221.58
ADAUSDTSWAP,3,20250604,193900,0.6864,0.6875,0.6864,0.6868,837.96
ADAUSDTSWAP,3,20250604,194200,0.6867,0.6869,0.686,0.6862,559.94
ADAUSDTSWAP,3,20250604,194500,0.6862,0.6867,0.6856,0.6865,1154.19
ADAUSDTSWAP,3,20250604,194800,0.6865,0.6869,0.6856,0.6866,219.41
ADAUSDTSWAP,3,20250604,195100,0.6865,0.6868,0.6863,0.6867,457.62
ADAUSDTSWAP,3,20250604,195400,0.6867,0.6878,0.6867,0.6871,1137.38
ADAUSDTSWAP,3,20250604,195700,0.6871,0.6871,0.6863,0.6867,656.59
ADAUSDTSWAP,3,20250604,200000,0.6866,0.6868,0.6842,0.6842,2030.07
ADAUSDTSWAP,3,20250604,200300,0.6843,0.6845,0.6825,0.6826,3015.92
ADAUSDTSWAP,3,20250604,200600,0.6827,0.6827,0.6813,0.6814,3409.88
ADAUSDTSWAP,3,20250604,200900,0.6815,0.6815,0.6801,0.6803,5178.17
ADAUSDTSWAP,3,20250604,201200,0.6803,0.6823,0.6803,0.6814,2760.73
ADAUSDTSWAP,3,20250604,201500,0.6815,0.6815,0.6793,0.6803,3621.29
ADAUSDTSWAP,3,20250604,201800,0.6804,0.6813,0.6804,0.6809,1580.09
ADAUSDTSWAP,3,20250604,202100,0.681,0.6819,0.6807,0.6813,999.5
ADAUSDTSWAP,3,20250604,202400,0.6813,0.6815,0.6798,0.6803,1048.52
ADAUSDTSWAP,3,20250604,202700,0.6803,0.681,0.6789,0.6789,1946.2
ADAUSDTSWAP,3,20250604,203000,0.6788,0.6788,0.677,0.6776,5216.92
ADAUSDTSWAP,3,20250604,203300,0.6777,0.6791,0.6769,0.6785,4255.28
ADAUSDTSWAP,3,20250604,203600,0.6784,0.6787,0.6774,0.6785,902.75
ADAUSDTSWAP,3,20250604,203900,0.6784,0.68,0.6783,0.6799,1398.39
ADAUSDTSWAP,3,20250604,204200,0.6798,0.68,0.6794,0.6795,556.01
ADAUSDTSWAP,3,20250604,204500,0.6794,0.6802,0.6791,0.6798,1318.78
ADAUSDTSWAP,3,20250604,204800,0.6798,0.6805,0.6792,0.6794,2713.42
ADAUSDTSWAP,3,20250604,205100,0.6793,0.6805,0.6792,0.6804,1315.33
ADAUSDTSWAP,3,20250604,205400,0.6805,0.6809,0.6799,0.6801,1367.67
ADAUSDTSWAP,3,20250604,205700,0.6801,0.6804,0.6795,0.6802,1521.38
ADAUSDTSWAP,3,20250604,210000,0.6802,0.6818,0.6801,0.6802,6571.34
ADAUSDTSWAP,3,20250604,210300,0.6801,0.6811,0.6796,0.6797,3634.18
ADAUSDTSWAP,3,20250604,210600,0.6797,0.6797,0.6758,0.676,7427.29
ADAUSDTSWAP,3,20250604,210900,0.6761,0.6789,0.6761,0.6786,2619.48
ADAUSDTSWAP,3,20250604,211200,0.6787,0.6787,0.6776,0.6781,546.35
ADAUSDTSWAP,3,20250604,211500,0.6781,0.6788,0.6779,0.6786,624.73
ADAUSDTSWAP,3,20250604,211800,0.6786,0.6794,0.678,0.679,1067.1
ADAUSDTSWAP,3,20250604,212100,0.6791,0.6798,0.6788,0.6793,2188.6
ADAUSDTSWAP,3,20250604,212400,0.6793,0.6798,0.6792,0.6798,519.32
ADAUSDTSWAP,3,20250604,212700,0.6799,0.6807,0.6797,0.6805,970.83
ADAUSDTSWAP,3,20250604,213000,0.6804,0.6808,0.6795,0.6798,790.49
ADAUSDTSWAP,3,20250604,213300,0.6797,0.6798,0.6793,0.6795,228.31
ADAUSDTSWAP,3,20250604,213600,0.6795,0.6796,0.6791,0.6796,92.55
ADAUSDTSWAP,3,20250604,213900,0.6797,0.6797,0.6782,0.6785,1518.18
ADAUSDTSWAP,3,20250604,214200,0.6785,0.679,0.6781,0.6787,2244.82
ADAUSDTSWAP,3,20250604,214500,0.6788,0.6791,0.6777,0.6783,1065.51
ADAUSDTSWAP,3,20250604,214800,0.6783,0.6792,0.6773,0.6779,1311.76
ADAUSDTSWAP,3,20250604,215100,0.6778,0.6779,0.6767,0.6768,1305.92
ADAUSDTSWAP,3,20250604,215400,0.6767,0.6767,0.6758,0.6762,1348.93
ADAUSDTSWAP,3,20250604,215700,0.6762,0.6768,0.6758,0.6763,1392.63
ADAUSDTSWAP,3,20250604,220000,0.6764,0.6764,0.6744,0.6754,7111.2
ADAUSDTSWAP,3,20250604,220300,0.6754,0.6755,0.6747,0.6752,2245.3
ADAUSDTSWAP,3,20250604,220600,0.6752,0.6756,0.6737,0.674,4591.5
ADAUSDTSWAP,3,20250604,220900,0.674,0.6741,0.6715,0.6737,8200.69
ADAUSDTSWAP,3,20250604,221200,0.6737,0.6739,0.6726,0.6729,1909.33
ADAUSDTSWAP,3,20250604,221500,0.6729,0.6734,0.6717,0.6732,2398.22
