<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AI16ZUSDTSWAP,1440,20250225,030000,0.3013,0.3302,0.2702,0.3209,62596829.77
AI16ZUSDTSWAP,1440,20250226,030000,0.3209,0.3766,0.3004,0.3592,65708439.32
AI16ZUSDTSWAP,1440,20250227,030000,0.3593,0.374,0.3351,0.3484,56529058.84
AI16ZUSDTSWAP,1440,20250228,030000,0.3484,0.4136,0.3145,0.4044,90537327.64
AI16ZUSDTSWAP,1440,20250301,030000,0.4044,0.4148,0.3492,0.3606,60358803.69
AI16ZUSDTSWAP,1440,20250302,030000,0.3606,0.4565,0.3456,0.4422,79062777.12
AI16ZUSDTSWAP,1440,20250303,030000,0.4422,0.4445,0.3184,0.3232,107207857.71
AI16ZUSDTSWAP,1440,20250304,030000,0.3233,0.3317,0.2759,0.2971,72722198.38
AI16ZUSDTSWAP,1440,20250305,030000,0.2971,0.3126,0.2833,0.2908,44079383.81
AI16ZUSDTSWAP,1440,20250306,030000,0.2909,0.3031,0.2595,0.2617,52173617.52
AI16ZUSDTSWAP,1440,20250307,030000,0.2617,0.2706,0.2256,0.2296,69256611.72
AI16ZUSDTSWAP,1440,20250308,030000,0.2296,0.2419,0.2011,0.2039,40808477.65
AI16ZUSDTSWAP,1440,20250309,030000,0.2039,0.2185,0.1907,0.193,47686381.93
AI16ZUSDTSWAP,1440,20250310,030000,0.193,0.2037,0.1759,0.1814,45923654.81
AI16ZUSDTSWAP,1440,20250311,030000,0.1815,0.1857,0.1585,0.1687,46238332.34
AI16ZUSDTSWAP,1440,20250312,030000,0.1688,0.1801,0.1591,0.1759,37237725.13
AI16ZUSDTSWAP,1440,20250313,030000,0.1759,0.1964,0.165,0.175,42956566.79
AI16ZUSDTSWAP,1440,20250314,030000,0.1749,0.202,0.174,0.1849,34226040.56
AI16ZUSDTSWAP,1440,20250315,030000,0.1849,0.2049,0.1829,0.1976,30949386.47
AI16ZUSDTSWAP,1440,20250316,030000,0.1976,0.2258,0.1909,0.1948,62935026.96
AI16ZUSDTSWAP,1440,20250317,030000,0.1949,0.2089,0.1909,0.2021,37504658.45
AI16ZUSDTSWAP,1440,20250318,030000,0.2021,0.2026,0.1634,0.1709,39580590.58
AI16ZUSDTSWAP,1440,20250319,030000,0.171,0.1938,0.1689,0.1911,44028480.65
AI16ZUSDTSWAP,1440,20250320,030000,0.1912,0.1981,0.1793,0.1855,32615383.56
AI16ZUSDTSWAP,1440,20250321,030000,0.1855,0.1996,0.1708,0.1968,32377090.61
AI16ZUSDTSWAP,1440,20250322,030000,0.1969,0.2042,0.1918,0.1995,25842490.98
AI16ZUSDTSWAP,1440,20250323,030000,0.1994,0.2049,0.1847,0.1989,29031047.39
AI16ZUSDTSWAP,1440,20250324,030000,0.199,0.2264,0.1903,0.2007,43647735.25
AI16ZUSDTSWAP,1440,20250325,030000,0.2007,0.2182,0.1926,0.2098,29895979.78
AI16ZUSDTSWAP,1440,20250326,030000,0.2098,0.2254,0.1806,0.1856,31129484.53
AI16ZUSDTSWAP,1440,20250327,030000,0.1855,0.2021,0.185,0.1988,25101915.46
AI16ZUSDTSWAP,1440,20250328,030000,0.1988,0.2087,0.1705,0.1791,36723849.27
AI16ZUSDTSWAP,1440,20250329,030000,0.1792,0.181,0.1535,0.1581,33428998.76
AI16ZUSDTSWAP,1440,20250330,030000,0.1581,0.1669,0.155,0.1606,15278002.35
AI16ZUSDTSWAP,1440,20250331,030000,0.1607,0.1689,0.1565,0.165,22362063.39
AI16ZUSDTSWAP,1440,20250401,030000,0.1651,0.2092,0.1637,0.1952,57399897.81
AI16ZUSDTSWAP,1440,20250402,030000,0.1952,0.1983,0.1666,0.1715,58895692.08
AI16ZUSDTSWAP,1440,20250403,030000,0.1715,0.1811,0.1446,0.1578,35908071.12
AI16ZUSDTSWAP,1440,20250404,030000,0.1578,0.1583,0.1322,0.143,43774525.57
AI16ZUSDTSWAP,1440,20250405,030000,0.143,0.147,0.1182,0.1275,41859358.97
AI16ZUSDTSWAP,1440,20250406,030000,0.1276,0.1276,0.1033,0.1089,33975644.19
AI16ZUSDTSWAP,1440,20250407,030000,0.1089,0.1239,0.0986,0.1132,36164998.16
AI16ZUSDTSWAP,1440,20250408,030000,0.1132,0.1221,0.1037,0.1047,26569826.3
AI16ZUSDTSWAP,1440,20250409,030000,0.1046,0.1379,0.1,0.1278,34209460.96
AI16ZUSDTSWAP,1440,20250410,030000,0.1279,0.1378,0.1202,0.1345,44045550.86
AI16ZUSDTSWAP,1440,20250411,030000,0.1344,0.1449,0.1269,0.1347,42064824.88
AI16ZUSDTSWAP,1440,20250412,030000,0.1347,0.1562,0.1286,0.1538,39144016.66
AI16ZUSDTSWAP,1440,20250413,030000,0.1538,0.158,0.1269,0.1341,38875925.88
AI16ZUSDTSWAP,1440,20250414,030000,0.1342,0.143,0.1293,0.1348,23551872.26
AI16ZUSDTSWAP,1440,20250415,030000,0.1347,0.1439,0.1283,0.1295,21999052.6
AI16ZUSDTSWAP,1440,20250416,030000,0.1294,0.1372,0.1221,0.1301,27847015.74
AI16ZUSDTSWAP,1440,20250417,030000,0.1302,0.1401,0.1276,0.1332,19741242.99
AI16ZUSDTSWAP,1440,20250418,030000,0.1333,0.136,0.128,0.1327,14156093.29
AI16ZUSDTSWAP,1440,20250419,030000,0.1326,0.1504,0.1293,0.1498,15852785.61
AI16ZUSDTSWAP,1440,20250420,030000,0.1498,0.1575,0.1421,0.1447,17356872.11
AI16ZUSDTSWAP,1440,20250421,030000,0.1448,0.1509,0.1302,0.1331,19705377.76
AI16ZUSDTSWAP,1440,20250422,030000,0.1331,0.1775,0.1306,0.1769,30389236.41
AI16ZUSDTSWAP,1440,20250423,030000,0.1769,0.197,0.1709,0.1794,59517616.7
AI16ZUSDTSWAP,1440,20250424,030000,0.1793,0.1961,0.1672,0.1942,24908682.51
AI16ZUSDTSWAP,1440,20250425,030000,0.1941,0.2555,0.1921,0.2333,81938200.28
AI16ZUSDTSWAP,1440,20250426,030000,0.2333,0.2649,0.2267,0.2399,47558933.13
AI16ZUSDTSWAP,1440,20250427,030000,0.2398,0.2512,0.2263,0.2392,30135407.98
AI16ZUSDTSWAP,1440,20250428,030000,0.2392,0.291,0.222,0.27,55971332.03
AI16ZUSDTSWAP,1440,20250429,030000,0.27,0.3297,0.2691,0.2879,76256530.38
AI16ZUSDTSWAP,1440,20250430,030000,0.2878,0.2971,0.2379,0.2759,73196256.89
AI16ZUSDTSWAP,1440,20250501,030000,0.2758,0.3181,0.2709,0.3109,60310604.16
AI16ZUSDTSWAP,1440,20250502,030000,0.311,0.323,0.2805,0.2985,53739464.88
AI16ZUSDTSWAP,1440,20250503,030000,0.2985,0.3022,0.2601,0.2611,41734378.11
AI16ZUSDTSWAP,1440,20250504,030000,0.2612,0.2691,0.2369,0.2553,56481681.91
AI16ZUSDTSWAP,1440,20250505,030000,0.2554,0.2826,0.2493,0.2581,48199360.77
AI16ZUSDTSWAP,1440,20250506,030000,0.2582,0.2832,0.2385,0.2652,59389095.3
AI16ZUSDTSWAP,1440,20250507,030000,0.2652,0.2776,0.2426,0.2649,46544681.82
AI16ZUSDTSWAP,1440,20250508,030000,0.2649,0.3246,0.2584,0.3231,50604890.71
AI16ZUSDTSWAP,1440,20250509,030000,0.3231,0.3739,0.3122,0.3552,60752847.12
AI16ZUSDTSWAP,1440,20250510,030000,0.3552,0.3711,0.3319,0.3682,34326498.87
AI16ZUSDTSWAP,1440,20250511,030000,0.3681,0.3694,0.3192,0.3513,36645157.83
AI16ZUSDTSWAP,1440,20250512,030000,0.3512,0.4088,0.3273,0.3607,63790715.62
AI16ZUSDTSWAP,1440,20250513,030000,0.3609,0.3896,0.3289,0.3802,31929503.66
AI16ZUSDTSWAP,1440,20250514,030000,0.3805,0.3809,0.3361,0.3407,30281522.51
AI16ZUSDTSWAP,1440,20250515,030000,0.3408,0.3466,0.2859,0.3025,41081251.04
AI16ZUSDTSWAP,1440,20250516,030000,0.3025,0.3176,0.2834,0.2893,22879201.51
AI16ZUSDTSWAP,1440,20250517,030000,0.2894,0.2908,0.2601,0.2672,20993286.97
AI16ZUSDTSWAP,1440,20250518,030000,0.2672,0.3077,0.2635,0.3001,26661268.37
AI16ZUSDTSWAP,1440,20250519,030000,0.3002,0.3026,0.2637,0.2819,22883950.9
AI16ZUSDTSWAP,1440,20250520,030000,0.282,0.2998,0.2768,0.2932,25624815.48
AI16ZUSDTSWAP,1440,20250521,030000,0.2933,0.3391,0.2837,0.3135,37203203.83
AI16ZUSDTSWAP,1440,20250522,030000,0.3136,0.3464,0.3125,0.3431,28173936.9
AI16ZUSDTSWAP,1440,20250523,030000,0.3431,0.3623,0.2952,0.2987,46891339.42
AI16ZUSDTSWAP,1440,20250524,030000,0.2987,0.3077,0.2895,0.2948,14770078.17
AI16ZUSDTSWAP,1440,20250525,030000,0.2948,0.3035,0.2619,0.3013,20998487.55
AI16ZUSDTSWAP,1440,20250526,030000,0.3012,0.3241,0.2876,0.2924,30800626.46
AI16ZUSDTSWAP,1440,20250527,030000,0.2923,0.3275,0.2801,0.3178,29000873.92
AI16ZUSDTSWAP,1440,20250528,030000,0.3178,0.3269,0.2828,0.2996,25379852.81
AI16ZUSDTSWAP,1440,20250529,030000,0.2996,0.3131,0.2683,0.2749,25358580.82
AI16ZUSDTSWAP,1440,20250530,030000,0.2748,0.2749,0.208,0.2098,48695262.66
AI16ZUSDTSWAP,1440,20250531,030000,0.2097,0.2302,0.1936,0.2237,23922590.47
AI16ZUSDTSWAP,1440,20250601,030000,0.2237,0.2583,0.2087,0.253,25387762.66
AI16ZUSDTSWAP,1440,20250602,030000,0.2531,0.2575,0.2285,0.2449,30077994.48
AI16ZUSDTSWAP,1440,20250603,030000,0.245,0.2575,0.2321,0.2354,27550013.33
AI16ZUSDTSWAP,1440,20250604,030000,0.2354,0.2424,0.2224,0.2246,18790485.56
