<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AI16ZUSDTSWAP,60,20250531,190000,0.2195,0.2275,0.2184,0.2259,1454487.34
AI16ZUSDTSWAP,60,20250531,200000,0.2258,0.227,0.222,0.2236,1061903.76
AI16ZUSDTSWAP,60,20250531,210000,0.2236,0.2294,0.2231,0.2278,582878.91
AI16ZUSDTSWAP,60,20250531,220000,0.2278,0.2302,0.2269,0.2275,502611.09
AI16ZUSDTSWAP,60,20250531,230000,0.2274,0.2283,0.2255,0.2276,326195.07
AI16ZUSDTSWAP,60,20250601,000000,0.2275,0.2292,0.2253,0.2268,613656.45
AI16ZUSDTSWAP,60,20250601,010000,0.2268,0.2273,0.224,0.2241,306424.49
AI16ZUSDTSWAP,60,20250601,020000,0.2241,0.2278,0.2224,0.2237,547466.22
AI16ZUSDTSWAP,60,20250601,030000,0.2237,0.2256,0.2216,0.2226,755774.03
AI16ZUSDTSWAP,60,20250601,040000,0.2226,0.2237,0.2165,0.2174,902462.25
AI16ZUSDTSWAP,60,20250601,050000,0.2174,0.2205,0.2137,0.2183,842711.75
AI16ZUSDTSWAP,60,20250601,060000,0.2185,0.2191,0.2153,0.2167,494804.39
AI16ZUSDTSWAP,60,20250601,070000,0.2168,0.2192,0.2155,0.2174,537990.5
AI16ZUSDTSWAP,60,20250601,080000,0.2175,0.22,0.215,0.217,461260.73
AI16ZUSDTSWAP,60,20250601,090000,0.217,0.2188,0.2153,0.2157,390660.33
AI16ZUSDTSWAP,60,20250601,100000,0.2156,0.2175,0.2138,0.2164,506400.85
AI16ZUSDTSWAP,60,20250601,110000,0.2164,0.2171,0.2145,0.2158,410483.97
AI16ZUSDTSWAP,60,20250601,120000,0.2159,0.2169,0.2087,0.2116,1268149.53
AI16ZUSDTSWAP,60,20250601,130000,0.2115,0.2149,0.2115,0.2143,637869.62
AI16ZUSDTSWAP,60,20250601,140000,0.2143,0.2267,0.2121,0.2257,1790851.74
AI16ZUSDTSWAP,60,20250601,150000,0.2257,0.2273,0.2203,0.2213,2011472.48
AI16ZUSDTSWAP,60,20250601,160000,0.2213,0.227,0.2191,0.2252,1088999.6
AI16ZUSDTSWAP,60,20250601,170000,0.2252,0.2338,0.2249,0.2308,1518091.67
AI16ZUSDTSWAP,60,20250601,180000,0.2308,0.2355,0.2276,0.2342,1321019.11
AI16ZUSDTSWAP,60,20250601,190000,0.2341,0.2423,0.2326,0.2386,2723248.55
AI16ZUSDTSWAP,60,20250601,200000,0.2387,0.2407,0.2361,0.2369,843758.19
AI16ZUSDTSWAP,60,20250601,210000,0.2368,0.2369,0.2282,0.2327,1452994.62
AI16ZUSDTSWAP,60,20250601,220000,0.2327,0.2379,0.2323,0.2376,571860.95
AI16ZUSDTSWAP,60,20250601,230000,0.2377,0.2497,0.2347,0.2481,2183110.72
AI16ZUSDTSWAP,60,20250602,000000,0.2482,0.2551,0.2477,0.2515,1072748.45
AI16ZUSDTSWAP,60,20250602,010000,0.2515,0.2583,0.2505,0.2537,1481191.9
AI16ZUSDTSWAP,60,20250602,020000,0.2538,0.2562,0.2516,0.253,651559.42
AI16ZUSDTSWAP,60,20250602,030000,0.2531,0.2556,0.2501,0.2507,753555.14
AI16ZUSDTSWAP,60,20250602,040000,0.2508,0.2575,0.2506,0.2539,807116.79
AI16ZUSDTSWAP,60,20250602,050000,0.2539,0.2548,0.2454,0.2459,1737000.23
AI16ZUSDTSWAP,60,20250602,060000,0.246,0.2481,0.2422,0.2466,1518779.4
AI16ZUSDTSWAP,60,20250602,070000,0.2465,0.2477,0.2422,0.2429,760388.66
AI16ZUSDTSWAP,60,20250602,080000,0.2429,0.2459,0.2399,0.2433,796962.43
AI16ZUSDTSWAP,60,20250602,090000,0.2434,0.2492,0.2408,0.2463,988143.64
AI16ZUSDTSWAP,60,20250602,100000,0.2464,0.2516,0.2463,0.2495,1380591.03
AI16ZUSDTSWAP,60,20250602,110000,0.2494,0.2532,0.2427,0.2451,2390690.79
AI16ZUSDTSWAP,60,20250602,120000,0.2452,0.2453,0.237,0.2389,2702027.01
AI16ZUSDTSWAP,60,20250602,130000,0.2389,0.2409,0.2376,0.2393,1633642.87
AI16ZUSDTSWAP,60,20250602,140000,0.2394,0.2405,0.2359,0.2391,1126599.88
AI16ZUSDTSWAP,60,20250602,150000,0.239,0.2403,0.2352,0.2401,810493.93
AI16ZUSDTSWAP,60,20250602,160000,0.2401,0.2449,0.2356,0.2374,1846342.35
AI16ZUSDTSWAP,60,20250602,170000,0.2373,0.2447,0.2355,0.2391,1465663.52
AI16ZUSDTSWAP,60,20250602,180000,0.239,0.2425,0.236,0.2387,857086.27
AI16ZUSDTSWAP,60,20250602,190000,0.2388,0.2403,0.2353,0.2397,698800.2
AI16ZUSDTSWAP,60,20250602,200000,0.2396,0.2409,0.2357,0.238,504329.25
AI16ZUSDTSWAP,60,20250602,210000,0.2381,0.2424,0.2302,0.2324,1142034.51
AI16ZUSDTSWAP,60,20250602,220000,0.2326,0.2351,0.2285,0.2319,1179332.24
AI16ZUSDTSWAP,60,20250602,230000,0.232,0.2427,0.232,0.2423,1409539.2
AI16ZUSDTSWAP,60,20250603,000000,0.2422,0.2466,0.2417,0.2463,460620.8
AI16ZUSDTSWAP,60,20250603,010000,0.2462,0.2495,0.2461,0.2476,857661.83
AI16ZUSDTSWAP,60,20250603,020000,0.2477,0.2487,0.2445,0.2449,1052006.42
AI16ZUSDTSWAP,60,20250603,030000,0.245,0.2546,0.2436,0.2522,1708612.85
AI16ZUSDTSWAP,60,20250603,040000,0.2522,0.2575,0.2519,0.2567,1189705.33
AI16ZUSDTSWAP,60,20250603,050000,0.2567,0.2572,0.2464,0.2467,1338903.3
AI16ZUSDTSWAP,60,20250603,060000,0.2468,0.2478,0.2394,0.2411,1651465.41
AI16ZUSDTSWAP,60,20250603,070000,0.2411,0.2416,0.2369,0.2382,934326.63
AI16ZUSDTSWAP,60,20250603,080000,0.2382,0.2414,0.2371,0.241,1049463.23
AI16ZUSDTSWAP,60,20250603,090000,0.241,0.2427,0.2382,0.2426,455770.77
AI16ZUSDTSWAP,60,20250603,100000,0.2425,0.2428,0.2381,0.2381,569267.3
AI16ZUSDTSWAP,60,20250603,110000,0.2382,0.2393,0.2341,0.2364,1067934.45
AI16ZUSDTSWAP,60,20250603,120000,0.2364,0.242,0.2363,0.2408,719966.37
AI16ZUSDTSWAP,60,20250603,130000,0.2407,0.2424,0.2397,0.2412,683463.32
AI16ZUSDTSWAP,60,20250603,140000,0.2413,0.2427,0.2367,0.2389,751947.26
AI16ZUSDTSWAP,60,20250603,150000,0.239,0.2416,0.2369,0.2401,709917.47
AI16ZUSDTSWAP,60,20250603,160000,0.2401,0.2464,0.2393,0.2406,1714708.0
