<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AI16ZUSDTSWAP,3,20250604,172700,0.2265,0.2267,0.2259,0.2261,27688.27
AI16ZUSDTSWAP,3,20250604,173000,0.2262,0.2265,0.2258,0.226,21978.04
AI16ZUSDTSWAP,3,20250604,173300,0.2261,0.2271,0.2257,0.2262,33014.44
AI16ZUSDTSWAP,3,20250604,173600,0.2262,0.2264,0.2252,0.2253,11957.84
AI16ZUSDTSWAP,3,20250604,173900,0.2252,0.2264,0.2251,0.226,30303.36
AI16ZUSDTSWAP,3,20250604,174200,0.226,0.2265,0.2256,0.2265,26335.55
AI16ZUSDTSWAP,3,20250604,174500,0.2265,0.2272,0.2254,0.2271,36905.68
AI16ZUSDTSWAP,3,20250604,174800,0.2271,0.2283,0.2268,0.2268,137904.43
AI16ZUSDTSWAP,3,20250604,175100,0.2268,0.2274,0.2265,0.2274,17037.67
AI16ZUSDTSWAP,3,20250604,175400,0.2274,0.2287,0.2274,0.2285,40554.06
AI16ZUSDTSWAP,3,20250604,175700,0.2285,0.2296,0.228,0.2294,67485.42
AI16ZUSDTSWAP,3,20250604,180000,0.2294,0.2297,0.2283,0.2283,52607.61
AI16ZUSDTSWAP,3,20250604,180300,0.2284,0.2289,0.228,0.2284,28255.14
AI16ZUSDTSWAP,3,20250604,180600,0.2285,0.2319,0.2285,0.2298,142424.51
AI16ZUSDTSWAP,3,20250604,180900,0.2299,0.231,0.2298,0.2308,34087.5
AI16ZUSDTSWAP,3,20250604,181200,0.2308,0.231,0.2303,0.2306,44242.05
AI16ZUSDTSWAP,3,20250604,181500,0.2306,0.2333,0.2306,0.2327,132565.94
AI16ZUSDTSWAP,3,20250604,181800,0.2325,0.233,0.2318,0.2319,77021.21
AI16ZUSDTSWAP,3,20250604,182100,0.2319,0.2329,0.2313,0.2321,51613.75
AI16ZUSDTSWAP,3,20250604,182400,0.2321,0.2323,0.2316,0.2316,30726.33
AI16ZUSDTSWAP,3,20250604,182700,0.2317,0.2323,0.2315,0.2315,39999.3
AI16ZUSDTSWAP,3,20250604,183000,0.2316,0.2321,0.2306,0.2316,46913.82
AI16ZUSDTSWAP,3,20250604,183300,0.2318,0.2324,0.231,0.2311,20348.33
AI16ZUSDTSWAP,3,20250604,183600,0.2312,0.2328,0.2312,0.2327,209382.35
AI16ZUSDTSWAP,3,20250604,183900,0.2328,0.2334,0.2322,0.2331,57968.6
AI16ZUSDTSWAP,3,20250604,184200,0.2333,0.2338,0.2324,0.2327,69150.12
AI16ZUSDTSWAP,3,20250604,184500,0.2327,0.2331,0.2315,0.2315,68302.1
AI16ZUSDTSWAP,3,20250604,184800,0.2315,0.2321,0.2308,0.2312,62575.14
AI16ZUSDTSWAP,3,20250604,185100,0.2311,0.232,0.2308,0.2315,39054.28
AI16ZUSDTSWAP,3,20250604,185400,0.2314,0.2329,0.2313,0.2327,45303.03
AI16ZUSDTSWAP,3,20250604,185700,0.2325,0.2326,0.2309,0.2314,53203.21
AI16ZUSDTSWAP,3,20250604,190000,0.2315,0.2319,0.231,0.2312,24328.1
AI16ZUSDTSWAP,3,20250604,190300,0.2312,0.2316,0.2309,0.231,12873.45
AI16ZUSDTSWAP,3,20250604,190600,0.2309,0.231,0.2301,0.2303,39446.96
AI16ZUSDTSWAP,3,20250604,190900,0.2304,0.2312,0.2304,0.2308,15837.0
AI16ZUSDTSWAP,3,20250604,191200,0.2308,0.2312,0.2302,0.2304,16553.21
AI16ZUSDTSWAP,3,20250604,191500,0.2305,0.2306,0.229,0.229,48922.47
AI16ZUSDTSWAP,3,20250604,191800,0.2291,0.2298,0.2283,0.2298,79106.17
