<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIDOGEUSDTSWAP,1440,20250225,030000,0.0000000000952,0.0000000001013,0.000000000088,0.0000000000996,0.0
AIDOGEUSDTSWAP,1440,20250226,030000,0.0000000000996,0.0000000001006,0.0000000000933,0.0000000000979,0.0
AIDOGEUSDTSWAP,1440,20250227,030000,0.0000000000979,0.0000000001149,0.0000000000966,0.0000000001086,0.0
AIDOGEUSDTSWAP,1440,20250228,030000,0.0000000001087,0.0000000001205,0.0000000001023,0.0000000001123,0.0
AIDOGEUSDTSWAP,1440,20250301,030000,0.0000000001122,0.0000000001143,0.0000000001045,0.0000000001087,0.0
AIDOGEUSDTSWAP,1440,20250302,030000,0.0000000001086,0.000000000118,0.0000000001063,0.0000000001167,0.0
AIDOGEUSDTSWAP,1440,20250303,030000,0.0000000001167,0.000000000117,0.0000000000935,0.000000000098,0.0
AIDOGEUSDTSWAP,1440,20250304,030000,0.0000000000979,0.0000000000989,0.000000000089,0.0000000000969,0.0
AIDOGEUSDTSWAP,1440,20250305,030000,0.0000000000969,0.0000000001002,0.0000000000953,0.0000000000993,0.0
AIDOGEUSDTSWAP,1440,20250306,030000,0.0000000000993,0.0000000001034,0.0000000000958,0.0000000000972,0.0
AIDOGEUSDTSWAP,1440,20250307,030000,0.0000000000973,0.0000000000997,0.0000000000926,0.0000000000959,0.0
AIDOGEUSDTSWAP,1440,20250308,030000,0.0000000000959,0.000000000097,0.0000000000921,0.0000000000952,0.0
AIDOGEUSDTSWAP,1440,20250309,030000,0.0000000000952,0.0000000000956,0.000000000078,0.0000000000813,0.0
AIDOGEUSDTSWAP,1440,20250310,030000,0.0000000000812,0.0000000000874,0.0000000000711,0.0000000000747,0.0
AIDOGEUSDTSWAP,1440,20250311,030000,0.0000000000748,0.0000000000778,0.0000000000676,0.0000000000756,0.0
AIDOGEUSDTSWAP,1440,20250312,030000,0.0000000000756,0.0000000000784,0.0000000000725,0.0000000000768,0.0
AIDOGEUSDTSWAP,1440,20250313,030000,0.0000000000767,0.0000000000812,0.0000000000742,0.0000000000773,0.0
AIDOGEUSDTSWAP,1440,20250314,030000,0.0000000000774,0.0000000000823,0.0000000000768,0.0000000000788,0.0
AIDOGEUSDTSWAP,1440,20250315,030000,0.0000000000788,0.0000000000815,0.0000000000779,0.0000000000805,0.0
AIDOGEUSDTSWAP,1440,20250316,030000,0.0000000000805,0.0000000000868,0.0000000000764,0.0000000000775,0.0
AIDOGEUSDTSWAP,1440,20250317,030000,0.0000000000775,0.0000000000883,0.0000000000773,0.000000000086,0.0
AIDOGEUSDTSWAP,1440,20250318,030000,0.0000000000859,0.0000000000917,0.00000000008,0.0000000000886,0.0
AIDOGEUSDTSWAP,1440,20250319,030000,0.0000000000885,0.000000000094,0.000000000087,0.0000000000912,0.0
AIDOGEUSDTSWAP,1440,20250320,030000,0.0000000000912,0.0000000000922,0.0000000000858,0.0000000000903,0.0
AIDOGEUSDTSWAP,1440,20250321,030000,0.0000000000903,0.0000000000932,0.0000000000879,0.0000000000888,0.0
AIDOGEUSDTSWAP,1440,20250322,030000,0.0000000000888,0.0000000000932,0.0000000000883,0.0000000000914,0.0
AIDOGEUSDTSWAP,1440,20250323,030000,0.0000000000913,0.0000000000969,0.0000000000892,0.0000000000915,0.0
AIDOGEUSDTSWAP,1440,20250324,030000,0.0000000000916,0.0000000000946,0.0000000000893,0.0000000000937,0.0
AIDOGEUSDTSWAP,1440,20250325,030000,0.0000000000937,0.0000000000954,0.0000000000911,0.000000000094,0.0
