<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIDOGEUSDTSWAP,60,20250531,190000,0.0000000001254,0.0000000001284,0.0000000001248,0.000000000127,0.0
AIDOGEUSDTSWAP,60,20250531,200000,0.0000000001271,0.0000000001287,0.0000000001265,0.0000000001268,0.0
AIDOGEUSDTSWAP,60,20250531,210000,0.000000000127,0.000000000129,0.0000000001265,0.0000000001287,0.0
AIDOGEUSDTSWAP,60,20250531,220000,0.0000000001288,0.0000000001293,0.0000000001283,0.0000000001286,0.0
AIDOGEUSDTSWAP,60,20250531,230000,0.0000000001285,0.0000000001294,0.0000000001273,0.0000000001291,0.0
AIDOGEUSDTSWAP,60,20250601,000000,0.0000000001292,0.0000000001296,0.0000000001287,0.0000000001294,0.0
AIDOGEUSDTSWAP,60,20250601,010000,0.0000000001295,0.0000000001298,0.0000000001286,0.000000000129,0.0
AIDOGEUSDTSWAP,60,20250601,020000,0.0000000001289,0.0000000001303,0.0000000001281,0.0000000001289,0.0
AIDOGEUSDTSWAP,60,20250601,030000,0.0000000001289,0.0000000001296,0.0000000001271,0.0000000001283,0.0
AIDOGEUSDTSWAP,60,20250601,040000,0.0000000001283,0.0000000001297,0.0000000001265,0.0000000001275,0.0
AIDOGEUSDTSWAP,60,20250601,050000,0.0000000001276,0.0000000001288,0.0000000001252,0.0000000001279,0.0
AIDOGEUSDTSWAP,60,20250601,060000,0.000000000128,0.0000000001282,0.0000000001267,0.0000000001276,0.0
AIDOGEUSDTSWAP,60,20250601,070000,0.0000000001276,0.0000000001293,0.0000000001272,0.0000000001288,0.0
AIDOGEUSDTSWAP,60,20250601,080000,0.0000000001288,0.00000000013,0.0000000001287,0.0000000001292,0.0
AIDOGEUSDTSWAP,60,20250601,090000,0.0000000001292,0.0000000001295,0.0000000001282,0.0000000001284,0.0
AIDOGEUSDTSWAP,60,20250601,100000,0.0000000001284,0.0000000001285,0.0000000001274,0.0000000001282,0.0
AIDOGEUSDTSWAP,60,20250601,110000,0.0000000001282,0.0000000001284,0.0000000001271,0.0000000001275,0.0
AIDOGEUSDTSWAP,60,20250601,120000,0.0000000001276,0.000000000128,0.0000000001244,0.0000000001264,0.0
AIDOGEUSDTSWAP,60,20250601,130000,0.0000000001263,0.0000000001273,0.0000000001253,0.0000000001265,0.0
AIDOGEUSDTSWAP,60,20250601,140000,0.0000000001265,0.0000000001277,0.000000000126,0.0000000001273,0.0
AIDOGEUSDTSWAP,60,20250601,150000,0.0000000001275,0.000000000128,0.0000000001258,0.0000000001268,0.0
AIDOGEUSDTSWAP,60,20250601,160000,0.0000000001269,0.0000000001281,0.0000000001265,0.0000000001277,0.0
AIDOGEUSDTSWAP,60,20250601,170000,0.0000000001277,0.00000000013,0.0000000001274,0.000000000129,0.0
AIDOGEUSDTSWAP,60,20250601,180000,0.0000000001289,0.00000000013,0.0000000001285,0.0000000001292,0.0
AIDOGEUSDTSWAP,60,20250601,190000,0.0000000001292,0.0000000001304,0.0000000001289,0.0000000001295,0.0
AIDOGEUSDTSWAP,60,20250601,200000,0.0000000001296,0.0000000001297,0.0000000001289,0.0000000001291,0.0
AIDOGEUSDTSWAP,60,20250601,210000,0.0000000001291,0.0000000001291,0.0000000001266,0.0000000001277,0.0
AIDOGEUSDTSWAP,60,20250601,220000,0.0000000001278,0.0000000001285,0.0000000001275,0.0000000001285,0.0
AIDOGEUSDTSWAP,60,20250601,230000,0.0000000001284,0.0000000001296,0.0000000001278,0.0000000001287,0.0
AIDOGEUSDTSWAP,60,20250602,000000,0.0000000001287,0.0000000001307,0.0000000001285,0.0000000001302,0.0
AIDOGEUSDTSWAP,60,20250602,010000,0.0000000001301,0.000000000131,0.0000000001301,0.0000000001305,0.0
AIDOGEUSDTSWAP,60,20250602,020000,0.0000000001305,0.0000000001312,0.0000000001302,0.0000000001307,0.0
AIDOGEUSDTSWAP,60,20250602,030000,0.0000000001307,0.0000000001311,0.00000000013,0.0000000001304,0.0
AIDOGEUSDTSWAP,60,20250602,040000,0.0000000001305,0.0000000001315,0.0000000001291,0.0000000001295,0.0
AIDOGEUSDTSWAP,60,20250602,050000,0.0000000001295,0.0000000001296,0.0000000001279,0.0000000001281,0.0
AIDOGEUSDTSWAP,60,20250602,060000,0.0000000001282,0.0000000001284,0.0000000001265,0.0000000001273,0.0
AIDOGEUSDTSWAP,60,20250602,070000,0.0000000001275,0.000000000128,0.0000000001266,0.0000000001268,0.0
AIDOGEUSDTSWAP,60,20250602,080000,0.0000000001269,0.0000000001278,0.0000000001261,0.0000000001274,0.0
AIDOGEUSDTSWAP,60,20250602,090000,0.0000000001274,0.0000000001288,0.0000000001262,0.0000000001278,0.0
AIDOGEUSDTSWAP,60,20250602,100000,0.0000000001278,0.0000000001289,0.0000000001275,0.0000000001276,0.0
