<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIXBTUSDTSWAP,1440,20250225,030000,0.174,0.2061,0.1587,0.194,7635978.17
AIXBTUSDTSWAP,1440,20250226,030000,0.194,0.2164,0.1888,0.213,6530839.47
AIXBTUSDTSWAP,1440,20250227,030000,0.2131,0.2268,0.1982,0.1996,3966176.07
AIXBTUSDTSWAP,1440,20250228,030000,0.1997,0.2162,0.1804,0.2078,5587907.15
AIXBTUSDTSWAP,1440,20250301,030000,0.2079,0.2139,0.1859,0.1906,3261143.1
AIXBTUSDTSWAP,1440,20250302,030000,0.1906,0.2338,0.1902,0.2278,4724920.63
AIXBTUSDTSWAP,1440,20250303,030000,0.2277,0.2321,0.1752,0.1784,6068027.85
AIXBTUSDTSWAP,1440,20250304,030000,0.1784,0.1807,0.1536,0.1668,6041182.75
AIXBTUSDTSWAP,1440,20250305,030000,0.1668,0.1726,0.1504,0.1558,3898421.91
AIXBTUSDTSWAP,1440,20250306,030000,0.1558,0.1573,0.1376,0.1387,4579205.83
AIXBTUSDTSWAP,1440,20250307,030000,0.1387,0.1429,0.1291,0.1314,5511797.22
AIXBTUSDTSWAP,1440,20250308,030000,0.1314,0.136,0.1158,0.1185,3109678.76
AIXBTUSDTSWAP,1440,20250309,030000,0.1184,0.1246,0.1076,0.1096,4010440.18
AIXBTUSDTSWAP,1440,20250310,030000,0.1096,0.1181,0.1009,0.1044,3325698.02
AIXBTUSDTSWAP,1440,20250311,030000,0.1045,0.1109,0.0936,0.1055,3356591.62
AIXBTUSDTSWAP,1440,20250312,030000,0.1054,0.1086,0.098,0.1075,3270442.48
AIXBTUSDTSWAP,1440,20250313,030000,0.1076,0.1164,0.1048,0.1107,3334471.92
AIXBTUSDTSWAP,1440,20250314,030000,0.1107,0.124,0.1107,0.1139,3445607.24
AIXBTUSDTSWAP,1440,20250315,030000,0.1138,0.1234,0.1113,0.118,2508536.19
AIXBTUSDTSWAP,1440,20250316,030000,0.118,0.1343,0.1125,0.114,6567310.41
AIXBTUSDTSWAP,1440,20250317,030000,0.114,0.1226,0.1135,0.1163,4295648.14
AIXBTUSDTSWAP,1440,20250318,030000,0.1163,0.1164,0.0931,0.0976,6414149.92
AIXBTUSDTSWAP,1440,20250319,030000,0.0976,0.1063,0.0941,0.1056,4562342.94
AIXBTUSDTSWAP,1440,20250320,030000,0.1057,0.1074,0.0999,0.1047,2934381.57
AIXBTUSDTSWAP,1440,20250321,030000,0.1047,0.1068,0.0987,0.1029,2279470.92
AIXBTUSDTSWAP,1440,20250322,030000,0.1029,0.1074,0.1005,0.103,2517302.59
AIXBTUSDTSWAP,1440,20250323,030000,0.103,0.1069,0.0993,0.1053,1935739.36
AIXBTUSDTSWAP,1440,20250324,030000,0.1053,0.139,0.1015,0.118,10187740.78
AIXBTUSDTSWAP,1440,20250325,030000,0.118,0.1275,0.1149,0.1224,5242557.22
AIXBTUSDTSWAP,1440,20250326,030000,0.1224,0.1329,0.1181,0.122,3322083.98
AIXBTUSDTSWAP,1440,20250327,030000,0.122,0.1443,0.1202,0.1279,8799870.49
AIXBTUSDTSWAP,1440,20250328,030000,0.128,0.1338,0.1123,0.1165,4635257.98
AIXBTUSDTSWAP,1440,20250329,030000,0.1165,0.1177,0.1026,0.1041,2983450.95
AIXBTUSDTSWAP,1440,20250330,030000,0.1041,0.11,0.1022,0.1069,2215834.4
AIXBTUSDTSWAP,1440,20250331,030000,0.107,0.1131,0.1027,0.1051,3907179.04
AIXBTUSDTSWAP,1440,20250401,030000,0.1051,0.1159,0.1029,0.1042,3532827.41
AIXBTUSDTSWAP,1440,20250402,030000,0.1042,0.1044,0.0767,0.0798,9282258.75
AIXBTUSDTSWAP,1440,20250403,030000,0.0799,0.0853,0.075,0.0806,2817494.44
AIXBTUSDTSWAP,1440,20250404,030000,0.0807,0.087,0.0782,0.0838,2211108.18
AIXBTUSDTSWAP,1440,20250405,030000,0.0838,0.085,0.0788,0.0813,1065768.99
AIXBTUSDTSWAP,1440,20250406,030000,0.0813,0.0814,0.0681,0.0713,2464820.15
AIXBTUSDTSWAP,1440,20250407,030000,0.0713,0.0803,0.0669,0.076,4089007.02
AIXBTUSDTSWAP,1440,20250408,030000,0.076,0.0788,0.0681,0.0686,1917804.14
AIXBTUSDTSWAP,1440,20250409,030000,0.0686,0.0816,0.0657,0.0798,2291733.51
AIXBTUSDTSWAP,1440,20250410,030000,0.0798,0.0799,0.0728,0.077,1966044.01
AIXBTUSDTSWAP,1440,20250411,030000,0.077,0.0844,0.0758,0.0806,2262176.76
AIXBTUSDTSWAP,1440,20250412,030000,0.0806,0.0905,0.0772,0.0897,2811316.64
AIXBTUSDTSWAP,1440,20250413,030000,0.0897,0.0939,0.0808,0.0833,3166482.93
AIXBTUSDTSWAP,1440,20250414,030000,0.0834,0.0875,0.0789,0.0797,2876993.42
AIXBTUSDTSWAP,1440,20250415,030000,0.0798,0.0837,0.0756,0.0766,1698557.44
AIXBTUSDTSWAP,1440,20250416,030000,0.0766,0.0794,0.073,0.0755,1610752.69
AIXBTUSDTSWAP,1440,20250417,030000,0.0755,0.0783,0.0724,0.0757,1417066.82
AIXBTUSDTSWAP,1440,20250418,030000,0.0757,0.0808,0.0748,0.0778,1089007.41
AIXBTUSDTSWAP,1440,20250419,030000,0.0778,0.0847,0.0768,0.0835,703758.81
AIXBTUSDTSWAP,1440,20250420,030000,0.0835,0.087,0.0807,0.0841,1114501.39
AIXBTUSDTSWAP,1440,20250421,030000,0.0841,0.0884,0.0821,0.083,1160993.6
AIXBTUSDTSWAP,1440,20250422,030000,0.083,0.1011,0.0807,0.10024,2093817.84
AIXBTUSDTSWAP,1440,20250423,030000,0.10026,0.13539,0.10026,0.11193,11143943.92
AIXBTUSDTSWAP,1440,20250424,030000,0.11192,0.11311,0.10146,0.11105,5314810.85
AIXBTUSDTSWAP,1440,20250425,030000,0.11104,0.14199,0.10793,0.12388,8598195.19
AIXBTUSDTSWAP,1440,20250426,030000,0.12387,0.1664,0.12383,0.15336,10647000.46
AIXBTUSDTSWAP,1440,20250427,030000,0.15336,0.15344,0.12838,0.1313,6585977.87
AIXBTUSDTSWAP,1440,20250428,030000,0.13132,0.1616,0.12386,0.15608,6967379.19
AIXBTUSDTSWAP,1440,20250429,030000,0.15605,0.16858,0.14304,0.1533,6725541.52
AIXBTUSDTSWAP,1440,20250430,030000,0.15336,0.16821,0.14407,0.16459,4564661.33
AIXBTUSDTSWAP,1440,20250501,030000,0.16453,0.21629,0.15977,0.21176,12287339.63
AIXBTUSDTSWAP,1440,20250502,030000,0.21179,0.2179,0.18546,0.19326,10712574.13
AIXBTUSDTSWAP,1440,20250503,030000,0.19325,0.19497,0.17279,0.17389,4207593.6
AIXBTUSDTSWAP,1440,20250504,030000,0.17388,0.17725,0.15675,0.1675,5192568.88
AIXBTUSDTSWAP,1440,20250505,030000,0.16752,0.19182,0.16107,0.17029,7325831.86
AIXBTUSDTSWAP,1440,20250506,030000,0.17029,0.18254,0.15221,0.16574,5860801.11
AIXBTUSDTSWAP,1440,20250507,030000,0.16574,0.175,0.15583,0.17101,4209420.76
AIXBTUSDTSWAP,1440,20250508,030000,0.17103,0.21384,0.16567,0.20026,7649913.47
AIXBTUSDTSWAP,1440,20250509,030000,0.20029,0.23305,0.18722,0.21966,7738508.79
AIXBTUSDTSWAP,1440,20250510,030000,0.21962,0.23284,0.20415,0.21955,5950968.25
AIXBTUSDTSWAP,1440,20250511,030000,0.21951,0.22938,0.19363,0.21073,5473591.82
AIXBTUSDTSWAP,1440,20250512,030000,0.21072,0.24478,0.20094,0.21986,8035778.54
AIXBTUSDTSWAP,1440,20250513,030000,0.21992,0.23366,0.19812,0.22754,4462815.23
AIXBTUSDTSWAP,1440,20250514,030000,0.22752,0.23035,0.20428,0.2075,3655027.12
AIXBTUSDTSWAP,1440,20250515,030000,0.20753,0.21002,0.1768,0.18361,3328778.71
AIXBTUSDTSWAP,1440,20250516,030000,0.18361,0.19363,0.17045,0.17189,2150453.17
AIXBTUSDTSWAP,1440,20250517,030000,0.17194,0.17356,0.16131,0.1667,1605613.89
AIXBTUSDTSWAP,1440,20250518,030000,0.16672,0.19422,0.16602,0.19094,3214488.47
AIXBTUSDTSWAP,1440,20250519,030000,0.19096,0.19119,0.16585,0.187,3620245.65
AIXBTUSDTSWAP,1440,20250520,030000,0.18707,0.1999,0.1766,0.18474,3830193.52
AIXBTUSDTSWAP,1440,20250521,030000,0.18475,0.20816,0.17948,0.19847,3311686.61
AIXBTUSDTSWAP,1440,20250522,030000,0.19848,0.20969,0.19493,0.20929,2998257.74
AIXBTUSDTSWAP,1440,20250523,030000,0.20933,0.21991,0.1746,0.17622,4916978.75
AIXBTUSDTSWAP,1440,20250524,030000,0.1762,0.18477,0.17489,0.17972,1066520.28
AIXBTUSDTSWAP,1440,20250525,030000,0.17969,0.18876,0.16294,0.18775,1646164.89
AIXBTUSDTSWAP,1440,20250526,030000,0.18777,0.21619,0.18607,0.20039,9164041.06
AIXBTUSDTSWAP,1440,20250527,030000,0.2004,0.25575,0.19215,0.23608,9941610.93
AIXBTUSDTSWAP,1440,20250528,030000,0.23608,0.24489,0.2226,0.23362,6219947.59
AIXBTUSDTSWAP,1440,20250529,030000,0.23363,0.24267,0.22142,0.22731,4225871.64
AIXBTUSDTSWAP,1440,20250530,030000,0.2273,0.22862,0.17847,0.1792,5552225.05
AIXBTUSDTSWAP,1440,20250531,030000,0.17919,0.19438,0.17073,0.18986,4390418.59
AIXBTUSDTSWAP,1440,20250601,030000,0.18984,0.1989,0.17569,0.19756,3697378.32
AIXBTUSDTSWAP,1440,20250602,030000,0.19752,0.20121,0.18167,0.19148,4402311.14
AIXBTUSDTSWAP,1440,20250603,030000,0.19153,0.19999,0.1821,0.18289,3062005.43
AIXBTUSDTSWAP,1440,20250604,030000,0.18286,0.18666,0.17485,0.17806,1934881.52
