<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AIXBTUSDTSWAP,60,20250531,190000,0.18101,0.19197,0.18038,0.19112,403715.83
AIXBTUSDTSWAP,60,20250531,200000,0.1911,0.19438,0.18736,0.18832,401991.27
AIXBTUSDTSWAP,60,20250531,210000,0.18831,0.1931,0.18756,0.19113,169297.85
AIXBTUSDTSWAP,60,20250531,220000,0.19111,0.19234,0.18947,0.19006,91143.8
AIXBTUSDTSWAP,60,20250531,230000,0.19005,0.19127,0.18789,0.18879,76423.86
AIXBTUSDTSWAP,60,20250601,000000,0.18879,0.19217,0.18731,0.18977,98789.84
AIXBTUSDTSWAP,60,20250601,010000,0.18978,0.19133,0.18659,0.18929,79273.57
AIXBTUSDTSWAP,60,20250601,020000,0.18929,0.19226,0.18795,0.18986,97889.81
AIXBTUSDTSWAP,60,20250601,030000,0.18984,0.19134,0.18673,0.19,104879.96
AIXBTUSDTSWAP,60,20250601,040000,0.18998,0.19095,0.1859,0.1866,94132.05
AIXBTUSDTSWAP,60,20250601,050000,0.18659,0.18771,0.18188,0.18626,177888.19
AIXBTUSDTSWAP,60,20250601,060000,0.18627,0.1865,0.18303,0.18348,94471.67
AIXBTUSDTSWAP,60,20250601,070000,0.18348,0.18643,0.18263,0.18531,129566.05
AIXBTUSDTSWAP,60,20250601,080000,0.18534,0.18583,0.18164,0.18305,101389.32
AIXBTUSDTSWAP,60,20250601,090000,0.18304,0.18544,0.18143,0.18294,193845.03
AIXBTUSDTSWAP,60,20250601,100000,0.18294,0.18294,0.17961,0.18213,106050.32
AIXBTUSDTSWAP,60,20250601,110000,0.18209,0.18243,0.17918,0.17981,85378.0
AIXBTUSDTSWAP,60,20250601,120000,0.1798,0.18086,0.17569,0.17717,153145.55
AIXBTUSDTSWAP,60,20250601,130000,0.17713,0.18077,0.17681,0.17944,78078.37
