<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALCHUSDTSWAP,1440,20250225,030000,0.01468,0.02989,0.01408,0.02498,6430210.96
ALCHUSDTSWAP,1440,20250226,030000,0.02497,0.04458,0.02423,0.04293,10831070.4
ALCHUSDTSWAP,1440,20250227,030000,0.04294,0.05154,0.03045,0.04626,25672869.64
ALCHUSDTSWAP,1440,20250228,030000,0.04626,0.0597,0.03965,0.04553,18430221.04
ALCHUSDTSWAP,1440,20250301,030000,0.04553,0.04633,0.0351,0.04228,11794230.39
ALCHUSDTSWAP,1440,20250302,030000,0.0423,0.06856,0.03819,0.06218,14148293.22
ALCHUSDTSWAP,1440,20250303,030000,0.06221,0.07663,0.05128,0.05376,16303495.14
ALCHUSDTSWAP,1440,20250304,030000,0.05376,0.06081,0.04352,0.04381,13802689.15
ALCHUSDTSWAP,1440,20250305,030000,0.04382,0.05535,0.04043,0.05198,8247429.73
ALCHUSDTSWAP,1440,20250306,030000,0.05195,0.07418,0.04872,0.06569,13444102.47
ALCHUSDTSWAP,1440,20250307,030000,0.06569,0.06905,0.06058,0.06147,8767638.72
ALCHUSDTSWAP,1440,20250308,030000,0.06144,0.06583,0.05395,0.05555,4659715.28
ALCHUSDTSWAP,1440,20250309,030000,0.05556,0.05902,0.05192,0.05646,4299130.4
ALCHUSDTSWAP,1440,20250310,030000,0.05647,0.06576,0.04816,0.05781,8880421.15
ALCHUSDTSWAP,1440,20250311,030000,0.05782,0.06296,0.05034,0.0565,5429010.11
ALCHUSDTSWAP,1440,20250312,030000,0.05649,0.06226,0.05283,0.06062,3173673.5
ALCHUSDTSWAP,1440,20250313,030000,0.06059,0.06742,0.04623,0.0554,6076484.52
ALCHUSDTSWAP,1440,20250314,030000,0.05539,0.06391,0.05057,0.05766,7637690.71
ALCHUSDTSWAP,1440,20250315,030000,0.05766,0.05792,0.04908,0.05311,6522517.36
ALCHUSDTSWAP,1440,20250316,030000,0.05313,0.05552,0.05117,0.0516,4074315.7
ALCHUSDTSWAP,1440,20250317,030000,0.0516,0.07366,0.0506,0.06758,8157925.94
ALCHUSDTSWAP,1440,20250318,030000,0.06759,0.0694,0.06335,0.0646,4991999.97
ALCHUSDTSWAP,1440,20250319,030000,0.0646,0.06623,0.05789,0.06208,4707136.82
ALCHUSDTSWAP,1440,20250320,030000,0.06208,0.06208,0.05161,0.05347,5359763.28
ALCHUSDTSWAP,1440,20250321,030000,0.05346,0.05794,0.052,0.05481,2737588.29
ALCHUSDTSWAP,1440,20250322,030000,0.05482,0.06906,0.0486,0.06048,5926502.1
ALCHUSDTSWAP,1440,20250323,030000,0.06048,0.06794,0.05713,0.06645,4474793.7
ALCHUSDTSWAP,1440,20250324,030000,0.06645,0.09809,0.06381,0.0934,12339517.87
ALCHUSDTSWAP,1440,20250325,030000,0.0934,0.10231,0.08646,0.09629,12144020.99
ALCHUSDTSWAP,1440,20250326,030000,0.09629,0.10326,0.08776,0.09007,9110320.72
ALCHUSDTSWAP,1440,20250327,030000,0.09007,0.09619,0.08075,0.08394,6812798.88
ALCHUSDTSWAP,1440,20250328,030000,0.08394,0.08479,0.07896,0.07979,3951682.75
ALCHUSDTSWAP,1440,20250329,030000,0.07979,0.08069,0.0572,0.05853,4813543.59
ALCHUSDTSWAP,1440,20250330,030000,0.05852,0.08545,0.05567,0.06997,10247171.11
ALCHUSDTSWAP,1440,20250331,030000,0.06996,0.07813,0.06137,0.06335,6998202.2
ALCHUSDTSWAP,1440,20250401,030000,0.06336,0.07999,0.06165,0.07878,6477555.05
ALCHUSDTSWAP,1440,20250402,030000,0.0788,0.0988,0.07359,0.0924,10447591.86
ALCHUSDTSWAP,1440,20250403,030000,0.09237,0.09469,0.08437,0.08846,7831627.12
ALCHUSDTSWAP,1440,20250404,030000,0.08846,0.08994,0.07229,0.0725,5163296.44
ALCHUSDTSWAP,1440,20250405,030000,0.07251,0.07517,0.06336,0.06912,5454948.33
ALCHUSDTSWAP,1440,20250406,030000,0.06911,0.07158,0.05647,0.05852,4430301.73
ALCHUSDTSWAP,1440,20250407,030000,0.0585,0.06643,0.05227,0.05723,4245514.77
ALCHUSDTSWAP,1440,20250408,030000,0.05723,0.06988,0.05638,0.06701,4672908.36
ALCHUSDTSWAP,1440,20250409,030000,0.06702,0.08969,0.06556,0.08729,8973231.2
ALCHUSDTSWAP,1440,20250410,030000,0.08727,0.08739,0.0812,0.08428,3845798.74
ALCHUSDTSWAP,1440,20250411,030000,0.08427,0.11175,0.07661,0.10718,8390607.33
ALCHUSDTSWAP,1440,20250412,030000,0.10715,0.11478,0.1034,0.10909,4807212.75
ALCHUSDTSWAP,1440,20250413,030000,0.10908,0.15184,0.10237,0.13535,10972116.9
ALCHUSDTSWAP,1440,20250414,030000,0.13536,0.15907,0.13202,0.15166,9114948.43
ALCHUSDTSWAP,1440,20250415,030000,0.15167,0.16907,0.13974,0.15557,10623336.57
ALCHUSDTSWAP,1440,20250416,030000,0.15557,0.1651,0.14195,0.14369,7049259.56
ALCHUSDTSWAP,1440,20250417,030000,0.14369,0.17544,0.13671,0.15518,5279846.09
ALCHUSDTSWAP,1440,20250418,030000,0.15512,0.16246,0.13234,0.14038,6565742.21
ALCHUSDTSWAP,1440,20250419,030000,0.14037,0.1566,0.13755,0.14932,3794201.52
ALCHUSDTSWAP,1440,20250420,030000,0.1493,0.164,0.14265,0.14944,3142215.43
ALCHUSDTSWAP,1440,20250421,030000,0.14943,0.15821,0.14185,0.14517,2440347.16
ALCHUSDTSWAP,1440,20250422,030000,0.14519,0.21989,0.14317,0.19625,6707307.29
ALCHUSDTSWAP,1440,20250423,030000,0.19626,0.21953,0.1893,0.20066,7645159.14
ALCHUSDTSWAP,1440,20250424,030000,0.20065,0.24,0.1963,0.22737,5405543.51
ALCHUSDTSWAP,1440,20250425,030000,0.22736,0.23616,0.157,0.15987,9519395.41
ALCHUSDTSWAP,1440,20250426,030000,0.15992,0.16909,0.15339,0.15786,2510280.39
ALCHUSDTSWAP,1440,20250427,030000,0.15792,0.18473,0.14746,0.17092,3652018.44
ALCHUSDTSWAP,1440,20250428,030000,0.17089,0.17996,0.16341,0.1726,2140339.32
ALCHUSDTSWAP,1440,20250429,030000,0.17253,0.18459,0.1693,0.1729,1575683.88
ALCHUSDTSWAP,1440,20250430,030000,0.17289,0.178,0.15427,0.15869,1433206.41
ALCHUSDTSWAP,1440,20250501,030000,0.15861,0.18359,0.15748,0.17695,1069811.29
ALCHUSDTSWAP,1440,20250502,030000,0.17697,0.195,0.17415,0.17554,1586360.5
ALCHUSDTSWAP,1440,20250503,030000,0.17558,0.17633,0.16252,0.17048,833730.39
ALCHUSDTSWAP,1440,20250504,030000,0.17047,0.17246,0.16111,0.16579,762382.24
ALCHUSDTSWAP,1440,20250505,030000,0.16577,0.1896,0.16421,0.17954,2220866.94
ALCHUSDTSWAP,1440,20250506,030000,0.17965,0.18788,0.16143,0.17845,2062261.28
ALCHUSDTSWAP,1440,20250507,030000,0.17847,0.18197,0.16339,0.17292,1156250.38
ALCHUSDTSWAP,1440,20250508,030000,0.17293,0.191,0.16935,0.18036,1947688.8
ALCHUSDTSWAP,1440,20250509,030000,0.18032,0.18873,0.1679,0.17885,2022733.47
ALCHUSDTSWAP,1440,20250510,030000,0.1788,0.18504,0.12177,0.14667,6704300.18
ALCHUSDTSWAP,1440,20250511,030000,0.1465,0.1699,0.14078,0.14602,1949717.96
