<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALCHUSDTSWAP,60,20250531,190000,0.13195,0.13208,0.12959,0.13,45072.01
ALCHUSDTSWAP,60,20250531,200000,0.13006,0.13469,0.12995,0.1319,31073.55
ALCHUSDTSWAP,60,20250531,210000,0.1319,0.13246,0.13052,0.13173,10799.58
ALCHUSDTSWAP,60,20250531,220000,0.13179,0.13295,0.13083,0.13094,6909.35
ALCHUSDTSWAP,60,20250531,230000,0.1309,0.13228,0.13077,0.13098,10035.45
ALCHUSDTSWAP,60,20250601,000000,0.13096,0.1321,0.13073,0.13188,4659.82
ALCHUSDTSWAP,60,20250601,010000,0.13189,0.13338,0.13083,0.13221,13383.14
ALCHUSDTSWAP,60,20250601,020000,0.1322,0.13248,0.13149,0.13207,7408.09
ALCHUSDTSWAP,60,20250601,030000,0.13205,0.1325,0.13001,0.13036,14650.55
ALCHUSDTSWAP,60,20250601,040000,0.13034,0.13082,0.1295,0.13022,8930.11
ALCHUSDTSWAP,60,20250601,050000,0.13022,0.13189,0.13011,0.13141,7030.19
ALCHUSDTSWAP,60,20250601,060000,0.13142,0.13298,0.13136,0.13276,8149.88
ALCHUSDTSWAP,60,20250601,070000,0.13273,0.13399,0.13258,0.1331,6494.21
ALCHUSDTSWAP,60,20250601,080000,0.13307,0.13336,0.13211,0.13224,5419.14
ALCHUSDTSWAP,60,20250601,090000,0.13226,0.13388,0.1321,0.1335,3835.54
ALCHUSDTSWAP,60,20250601,100000,0.13348,0.13434,0.13316,0.13384,11291.34
ALCHUSDTSWAP,60,20250601,110000,0.13377,0.13394,0.13308,0.13375,2973.31
ALCHUSDTSWAP,60,20250601,120000,0.13368,0.1344,0.127,0.13011,98809.44
ALCHUSDTSWAP,60,20250601,130000,0.13007,0.1311,0.10872,0.11636,967132.1
ALCHUSDTSWAP,60,20250601,140000,0.1162,0.12674,0.0843,0.12563,1426396.83
ALCHUSDTSWAP,60,20250601,150000,0.12564,0.13083,0.12202,0.12642,299504.78
ALCHUSDTSWAP,60,20250601,160000,0.12648,0.133,0.125,0.13025,266108.35
ALCHUSDTSWAP,60,20250601,170000,0.13032,0.13209,0.12721,0.13032,82762.19
ALCHUSDTSWAP,60,20250601,180000,0.13033,0.13033,0.12665,0.12817,54984.01
