<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALCHUSDTSWAP,3,20250604,172700,0.14242,0.14243,0.1417,0.14196,4119.21
ALCHUSDTSWAP,3,20250604,173000,0.14203,0.14222,0.14176,0.14178,2413.94
ALCHUSDTSWAP,3,20250604,173300,0.14183,0.14201,0.14106,0.14131,6310.16
ALCHUSDTSWAP,3,20250604,173600,0.14131,0.14141,0.13814,0.14016,36441.73
ALCHUSDTSWAP,3,20250604,173900,0.14018,0.14172,0.14005,0.1417,14661.99
ALCHUSDTSWAP,3,20250604,174200,0.14172,0.14252,0.14147,0.14209,8770.2
ALCHUSDTSWAP,3,20250604,174500,0.14214,0.14277,0.14161,0.1426,5491.01
ALCHUSDTSWAP,3,20250604,174800,0.14264,0.1427,0.1421,0.14244,3885.37
ALCHUSDTSWAP,3,20250604,175100,0.14241,0.14285,0.14212,0.1427,2824.84
ALCHUSDTSWAP,3,20250604,175400,0.14268,0.14383,0.14237,0.14309,9280.05
ALCHUSDTSWAP,3,20250604,175700,0.14312,0.14391,0.14304,0.1438,13185.22
ALCHUSDTSWAP,3,20250604,180000,0.1438,0.14431,0.14302,0.14341,13087.09
ALCHUSDTSWAP,3,20250604,180300,0.14341,0.14374,0.14323,0.14374,2679.19
ALCHUSDTSWAP,3,20250604,180600,0.1437,0.14419,0.14365,0.14372,9484.06
ALCHUSDTSWAP,3,20250604,180900,0.14372,0.14383,0.1434,0.14369,4696.91
ALCHUSDTSWAP,3,20250604,181200,0.14367,0.14378,0.14335,0.14357,2680.74
ALCHUSDTSWAP,3,20250604,181500,0.14358,0.14575,0.1435,0.14512,24399.12
ALCHUSDTSWAP,3,20250604,181800,0.14513,0.14546,0.14481,0.14522,5796.2
ALCHUSDTSWAP,3,20250604,182100,0.14517,0.14517,0.14465,0.14502,10774.95
ALCHUSDTSWAP,3,20250604,182400,0.14501,0.14562,0.14501,0.14521,7541.25
ALCHUSDTSWAP,3,20250604,182700,0.14514,0.14534,0.14452,0.14456,7590.1
ALCHUSDTSWAP,3,20250604,183000,0.1446,0.14481,0.14398,0.14475,6432.1
ALCHUSDTSWAP,3,20250604,183300,0.14473,0.1449,0.144,0.14402,5994.14
ALCHUSDTSWAP,3,20250604,183600,0.14402,0.14448,0.14374,0.14438,3092.25
ALCHUSDTSWAP,3,20250604,183900,0.14439,0.14466,0.14423,0.14442,5674.24
ALCHUSDTSWAP,3,20250604,184200,0.14448,0.14495,0.14438,0.14455,5491.4
ALCHUSDTSWAP,3,20250604,184500,0.14453,0.14483,0.1443,0.14467,901.29
ALCHUSDTSWAP,3,20250604,184800,0.14464,0.14464,0.14396,0.14399,1872.51
ALCHUSDTSWAP,3,20250604,185100,0.14398,0.14417,0.14379,0.14403,2109.02
ALCHUSDTSWAP,3,20250604,185400,0.14404,0.14438,0.14379,0.14418,2774.21
ALCHUSDTSWAP,3,20250604,185700,0.14424,0.14443,0.14391,0.14425,2415.15
ALCHUSDTSWAP,3,20250604,190000,0.14429,0.14496,0.14429,0.14493,1580.41
ALCHUSDTSWAP,3,20250604,190300,0.14496,0.14498,0.14455,0.14458,718.71
ALCHUSDTSWAP,3,20250604,190600,0.14463,0.14488,0.14445,0.14462,2281.68
ALCHUSDTSWAP,3,20250604,190900,0.14466,0.14478,0.14429,0.14446,2076.3
ALCHUSDTSWAP,3,20250604,191200,0.14445,0.14468,0.14411,0.14468,980.24
ALCHUSDTSWAP,3,20250604,191500,0.14463,0.14503,0.1446,0.14486,1167.6
ALCHUSDTSWAP,3,20250604,191800,0.14493,0.14504,0.14475,0.14496,1308.72
ALCHUSDTSWAP,3,20250604,192100,0.14498,0.14507,0.14472,0.14481,2626.75
ALCHUSDTSWAP,3,20250604,192400,0.14482,0.14543,0.14475,0.1448,4698.97
ALCHUSDTSWAP,3,20250604,192700,0.14485,0.14502,0.1447,0.14497,3702.22
ALCHUSDTSWAP,3,20250604,193000,0.14493,0.14505,0.1447,0.145,924.07
ALCHUSDTSWAP,3,20250604,193300,0.14497,0.14497,0.14472,0.14478,1863.01
ALCHUSDTSWAP,3,20250604,193600,0.14474,0.14515,0.14463,0.14499,1971.79
ALCHUSDTSWAP,3,20250604,193900,0.14499,0.14518,0.14478,0.14478,733.65
ALCHUSDTSWAP,3,20250604,194200,0.14484,0.14504,0.14478,0.145,1478.53
ALCHUSDTSWAP,3,20250604,194500,0.14502,0.14511,0.14486,0.14509,801.38
ALCHUSDTSWAP,3,20250604,194800,0.14508,0.14528,0.14508,0.14512,1597.19
ALCHUSDTSWAP,3,20250604,195100,0.14512,0.14515,0.14472,0.14472,671.03
ALCHUSDTSWAP,3,20250604,195400,0.14473,0.14508,0.14465,0.14465,770.54
ALCHUSDTSWAP,3,20250604,195700,0.14466,0.14508,0.14465,0.14508,428.92
ALCHUSDTSWAP,3,20250604,200000,0.14507,0.14629,0.14486,0.14493,9155.8
ALCHUSDTSWAP,3,20250604,200300,0.14492,0.14525,0.14466,0.14493,1069.94
ALCHUSDTSWAP,3,20250604,200600,0.14499,0.1451,0.1448,0.14504,851.96
