<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALPHAUSDTSWAP,1440,20250225,030000,0.04264,0.04453,0.04036,0.04389,1896368.8
ALPHAUSDTSWAP,1440,20250226,030000,0.04388,0.04528,0.04218,0.04441,1475285.05
ALPHAUSDTSWAP,1440,20250227,030000,0.04439,0.04864,0.04366,0.04546,4354963.25
ALPHAUSDTSWAP,1440,20250228,030000,0.04545,0.04595,0.04133,0.0456,2775359.8
ALPHAUSDTSWAP,1440,20250301,030000,0.0456,0.0456,0.04303,0.0443,1356474.55
ALPHAUSDTSWAP,1440,20250302,030000,0.0443,0.04924,0.04361,0.04889,2061603.67
ALPHAUSDTSWAP,1440,20250303,030000,0.04888,0.049,0.04048,0.04119,2080245.01
ALPHAUSDTSWAP,1440,20250304,030000,0.04118,0.04144,0.03656,0.03982,3043390.36
ALPHAUSDTSWAP,1440,20250305,030000,0.03982,0.04188,0.03929,0.04169,1640673.4
ALPHAUSDTSWAP,1440,20250306,030000,0.04169,0.04288,0.04056,0.04121,1734320.01
ALPHAUSDTSWAP,1440,20250307,030000,0.04121,0.04586,0.03913,0.04293,6632547.61
ALPHAUSDTSWAP,1440,20250308,030000,0.0429,0.04423,0.03804,0.03941,7709022.32
ALPHAUSDTSWAP,1440,20250309,030000,0.03943,0.03975,0.03562,0.03645,2469938.93
ALPHAUSDTSWAP,1440,20250310,030000,0.03646,0.03957,0.03465,0.03585,2392511.25
ALPHAUSDTSWAP,1440,20250311,030000,0.03585,0.03865,0.03287,0.03734,2544652.61
ALPHAUSDTSWAP,1440,20250312,030000,0.03735,0.03906,0.03581,0.03841,1948618.26
ALPHAUSDTSWAP,1440,20250313,030000,0.03842,0.0386,0.03596,0.03709,1499120.97
ALPHAUSDTSWAP,1440,20250314,030000,0.03708,0.03963,0.03693,0.03844,972048.05
ALPHAUSDTSWAP,1440,20250315,030000,0.03845,0.03991,0.03817,0.0395,876259.12
ALPHAUSDTSWAP,1440,20250316,030000,0.03953,0.03965,0.03715,0.03754,900258.0
ALPHAUSDTSWAP,1440,20250317,030000,0.03754,0.04031,0.03747,0.03963,1006888.16
ALPHAUSDTSWAP,1440,20250318,030000,0.03963,0.03982,0.03771,0.0396,1113752.56
ALPHAUSDTSWAP,1440,20250319,030000,0.03961,0.04077,0.0392,0.04066,1264804.66
ALPHAUSDTSWAP,1440,20250320,030000,0.04066,0.0409,0.03919,0.03944,753437.32
ALPHAUSDTSWAP,1440,20250321,030000,0.03943,0.03985,0.03787,0.03832,924509.3
ALPHAUSDTSWAP,1440,20250322,030000,0.03832,0.04097,0.03808,0.03998,780660.75
ALPHAUSDTSWAP,1440,20250323,030000,0.03998,0.04069,0.03867,0.0392,927820.78
ALPHAUSDTSWAP,1440,20250324,030000,0.0392,0.0414,0.0387,0.0412,1230280.04
ALPHAUSDTSWAP,1440,20250325,030000,0.04116,0.04172,0.04027,0.04154,1156205.31
ALPHAUSDTSWAP,1440,20250326,030000,0.04151,0.04265,0.04,0.04058,1069955.28
ALPHAUSDTSWAP,1440,20250327,030000,0.04058,0.04191,0.0394,0.03962,1133453.17
ALPHAUSDTSWAP,1440,20250328,030000,0.03962,0.03988,0.03543,0.03642,1643526.9
ALPHAUSDTSWAP,1440,20250329,030000,0.03641,0.03669,0.03364,0.03436,1072242.46
ALPHAUSDTSWAP,1440,20250330,030000,0.03437,0.0359,0.03389,0.03434,1008424.77
ALPHAUSDTSWAP,1440,20250331,030000,0.03435,0.03489,0.03301,0.03439,1109401.43
ALPHAUSDTSWAP,1440,20250401,030000,0.03438,0.03614,0.03418,0.03487,769388.89
ALPHAUSDTSWAP,1440,20250402,030000,0.03485,0.03566,0.03179,0.03218,905554.98
ALPHAUSDTSWAP,1440,20250403,030000,0.03217,0.03348,0.03009,0.03195,1122271.07
ALPHAUSDTSWAP,1440,20250404,030000,0.03197,0.03267,0.03069,0.03209,1215923.93
ALPHAUSDTSWAP,1440,20250405,030000,0.03212,0.03253,0.03091,0.03166,428786.74
ALPHAUSDTSWAP,1440,20250406,030000,0.03167,0.03167,0.02683,0.02763,1256075.43
ALPHAUSDTSWAP,1440,20250407,030000,0.02763,0.02979,0.02517,0.02831,1998744.78
ALPHAUSDTSWAP,1440,20250408,030000,0.02832,0.02935,0.02579,0.02593,829165.36
ALPHAUSDTSWAP,1440,20250409,030000,0.02594,0.02936,0.02485,0.02893,1075988.06
ALPHAUSDTSWAP,1440,20250410,030000,0.02893,0.02898,0.02663,0.02783,639800.55
ALPHAUSDTSWAP,1440,20250411,030000,0.02784,0.02927,0.02783,0.02852,724086.3
ALPHAUSDTSWAP,1440,20250412,030000,0.02853,0.02968,0.02812,0.02927,397930.42
ALPHAUSDTSWAP,1440,20250413,030000,0.02928,0.02936,0.02644,0.02682,654344.61
ALPHAUSDTSWAP,1440,20250414,030000,0.02685,0.02812,0.02673,0.02729,633082.35
ALPHAUSDTSWAP,1440,20250415,030000,0.02728,0.02807,0.02618,0.02672,429635.45
ALPHAUSDTSWAP,1440,20250416,030000,0.02671,0.02693,0.0255,0.02621,688624.61
ALPHAUSDTSWAP,1440,20250417,030000,0.02621,0.0269,0.02571,0.02641,546159.97
ALPHAUSDTSWAP,1440,20250418,030000,0.02641,0.02964,0.02607,0.02863,1647715.41
ALPHAUSDTSWAP,1440,20250419,030000,0.02862,0.03073,0.02854,0.0303,1222240.63
ALPHAUSDTSWAP,1440,20250420,030000,0.0303,0.03182,0.02777,0.03068,2871564.66
ALPHAUSDTSWAP,1440,20250421,030000,0.03069,0.03154,0.02955,0.02998,1496993.38
ALPHAUSDTSWAP,1440,20250422,030000,0.02997,0.03233,0.02928,0.03226,804219.6
ALPHAUSDTSWAP,1440,20250423,030000,0.03226,0.03297,0.03139,0.03266,1153307.87
ALPHAUSDTSWAP,1440,20250424,030000,0.03266,0.03291,0.02948,0.03233,1668818.48
ALPHAUSDTSWAP,1440,20250425,030000,0.0323,0.03487,0.03194,0.03404,1767152.25
ALPHAUSDTSWAP,1440,20250426,030000,0.03403,0.03476,0.03277,0.03343,1226859.5
ALPHAUSDTSWAP,1440,20250427,030000,0.03339,0.03361,0.03039,0.03048,1284362.84
ALPHAUSDTSWAP,1440,20250428,030000,0.03048,0.03192,0.02887,0.03099,1938586.46
ALPHAUSDTSWAP,1440,20250429,030000,0.031,0.03204,0.02897,0.02946,1577446.04
ALPHAUSDTSWAP,1440,20250430,030000,0.02947,0.03357,0.02754,0.03127,5794291.38
ALPHAUSDTSWAP,1440,20250501,030000,0.03126,0.0445,0.03084,0.03849,89510316.23
ALPHAUSDTSWAP,1440,20250502,030000,0.03846,0.03999,0.03607,0.0365,15636336.21
ALPHAUSDTSWAP,1440,20250503,030000,0.03651,0.03698,0.03153,0.03169,9723754.19
ALPHAUSDTSWAP,1440,20250504,030000,0.0317,0.03445,0.03076,0.03226,9492164.09
ALPHAUSDTSWAP,1440,20250505,030000,0.03225,0.03354,0.02987,0.03008,6300074.3
ALPHAUSDTSWAP,1440,20250506,030000,0.03008,0.03138,0.02783,0.02966,4277282.42
ALPHAUSDTSWAP,1440,20250507,030000,0.02967,0.03132,0.02345,0.02642,22425820.0
ALPHAUSDTSWAP,1440,20250508,030000,0.0264,0.02996,0.02635,0.02877,5648528.66
ALPHAUSDTSWAP,1440,20250509,030000,0.02876,0.03123,0.02854,0.03112,4242027.61
ALPHAUSDTSWAP,1440,20250510,030000,0.03111,0.03235,0.02921,0.03148,5848252.21
ALPHAUSDTSWAP,1440,20250511,030000,0.03148,0.03223,0.02948,0.03045,5174500.85
ALPHAUSDTSWAP,1440,20250512,030000,0.03045,0.03265,0.02866,0.03052,6821315.0
ALPHAUSDTSWAP,1440,20250513,030000,0.03051,0.03173,0.02759,0.03122,4839910.25
ALPHAUSDTSWAP,1440,20250514,030000,0.03122,0.03172,0.02885,0.02923,3703052.06
ALPHAUSDTSWAP,1440,20250515,030000,0.02923,0.02948,0.0265,0.02738,3676247.54
ALPHAUSDTSWAP,1440,20250516,030000,0.02738,0.02861,0.02653,0.02698,2823955.05
