<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALPHAUSDTSWAP,60,20250531,190000,0.02464,0.02495,0.02455,0.02483,89298.76
ALPHAUSDTSWAP,60,20250531,200000,0.02484,0.02489,0.02463,0.02466,25932.49
ALPHAUSDTSWAP,60,20250531,210000,0.02464,0.02494,0.02459,0.02491,66161.18
ALPHAUSDTSWAP,60,20250531,220000,0.02491,0.02505,0.02485,0.0249,42475.54
ALPHAUSDTSWAP,60,20250531,230000,0.02492,0.02508,0.02484,0.02503,39630.97
ALPHAUSDTSWAP,60,20250601,000000,0.02505,0.02526,0.02505,0.02516,57367.93
ALPHAUSDTSWAP,60,20250601,010000,0.02514,0.02518,0.02497,0.02499,52712.22
ALPHAUSDTSWAP,60,20250601,020000,0.025,0.02516,0.02485,0.0249,49106.38
ALPHAUSDTSWAP,60,20250601,030000,0.02492,0.02506,0.02473,0.02494,73089.64
ALPHAUSDTSWAP,60,20250601,040000,0.02494,0.0251,0.02477,0.02483,50613.19
ALPHAUSDTSWAP,60,20250601,050000,0.02482,0.02492,0.02457,0.02479,89342.84
ALPHAUSDTSWAP,60,20250601,060000,0.0248,0.02484,0.02461,0.02481,33191.9
ALPHAUSDTSWAP,60,20250601,070000,0.02481,0.02509,0.02472,0.02501,74394.22
ALPHAUSDTSWAP,60,20250601,080000,0.02501,0.02524,0.025,0.0252,55552.91
ALPHAUSDTSWAP,60,20250601,090000,0.02518,0.02531,0.02506,0.0251,34421.94
ALPHAUSDTSWAP,60,20250601,100000,0.02511,0.02519,0.02501,0.02511,44689.57
ALPHAUSDTSWAP,60,20250601,110000,0.0251,0.02512,0.0248,0.02486,55074.87
ALPHAUSDTSWAP,60,20250601,120000,0.02486,0.02494,0.02429,0.02448,103432.94
ALPHAUSDTSWAP,60,20250601,130000,0.02447,0.02466,0.02442,0.02465,54291.54
ALPHAUSDTSWAP,60,20250601,140000,0.02464,0.02493,0.02458,0.02479,55050.59
ALPHAUSDTSWAP,60,20250601,150000,0.0248,0.02489,0.02451,0.02468,76835.81
