<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ALPHAUSDTSWAP,3,20250604,172700,0.02564,0.02566,0.02562,0.02562,5465.83
ALPHAUSDTSWAP,3,20250604,173000,0.02563,0.02567,0.02563,0.02566,5176.41
ALPHAUSDTSWAP,3,20250604,173300,0.02567,0.02571,0.02567,0.02569,11726.62
ALPHAUSDTSWAP,3,20250604,173600,0.02568,0.0257,0.02565,0.02568,13985.82
ALPHAUSDTSWAP,3,20250604,173900,0.02568,0.02575,0.02565,0.02572,4385.78
ALPHAUSDTSWAP,3,20250604,174200,0.02572,0.02573,0.0257,0.02572,316.28
ALPHAUSDTSWAP,3,20250604,174500,0.02573,0.02576,0.02571,0.02576,3137.08
ALPHAUSDTSWAP,3,20250604,174800,0.02577,0.02582,0.02573,0.02576,4574.38
ALPHAUSDTSWAP,3,20250604,175100,0.02575,0.02578,0.02574,0.02578,845.01
ALPHAUSDTSWAP,3,20250604,175400,0.02578,0.02586,0.02578,0.02586,3179.47
ALPHAUSDTSWAP,3,20250604,175700,0.02585,0.02587,0.02584,0.02586,4007.58
ALPHAUSDTSWAP,3,20250604,180000,0.02586,0.02587,0.02582,0.02583,988.01
ALPHAUSDTSWAP,3,20250604,180300,0.02584,0.02584,0.02578,0.02579,2411.57
ALPHAUSDTSWAP,3,20250604,180600,0.02579,0.02586,0.02579,0.02579,9647.47
ALPHAUSDTSWAP,3,20250604,180900,0.02581,0.02587,0.02581,0.02585,227.1
ALPHAUSDTSWAP,3,20250604,181200,0.02585,0.02588,0.02584,0.02586,7535.59
ALPHAUSDTSWAP,3,20250604,181500,0.02586,0.02598,0.02586,0.02596,1864.71
ALPHAUSDTSWAP,3,20250604,181800,0.02595,0.02597,0.02592,0.02592,1195.08
ALPHAUSDTSWAP,3,20250604,182100,0.02592,0.02601,0.0259,0.026,4247.95
ALPHAUSDTSWAP,3,20250604,182400,0.02598,0.02599,0.02597,0.02597,642.1
ALPHAUSDTSWAP,3,20250604,182700,0.02598,0.026,0.02595,0.02596,314.9
ALPHAUSDTSWAP,3,20250604,183000,0.02595,0.02603,0.02593,0.02601,1495.97
ALPHAUSDTSWAP,3,20250604,183300,0.02601,0.02605,0.026,0.026,637.09
