<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ANIMEUSDTSWAP,1440,20250225,030000,0.02366,0.02537,0.02222,0.02407,5762347.12
ANIMEUSDTSWAP,1440,20250226,030000,0.02407,0.02826,0.02366,0.02738,4998255.1
ANIMEUSDTSWAP,1440,20250227,030000,0.02739,0.02847,0.02545,0.02604,4130908.01
ANIMEUSDTSWAP,1440,20250228,030000,0.02604,0.02703,0.02355,0.0258,5306505.34
ANIMEUSDTSWAP,1440,20250301,030000,0.0258,0.02591,0.02394,0.02463,1907895.96
ANIMEUSDTSWAP,1440,20250302,030000,0.02463,0.02577,0.02406,0.02543,2473267.66
ANIMEUSDTSWAP,1440,20250303,030000,0.02544,0.02553,0.02089,0.02097,4423279.51
ANIMEUSDTSWAP,1440,20250304,030000,0.02097,0.02109,0.01904,0.02038,4214935.4
ANIMEUSDTSWAP,1440,20250305,030000,0.02038,0.02073,0.01977,0.02052,2266009.5
ANIMEUSDTSWAP,1440,20250306,030000,0.02052,0.02085,0.01942,0.01967,2184086.64
ANIMEUSDTSWAP,1440,20250307,030000,0.01968,0.02022,0.01843,0.01923,2888936.09
ANIMEUSDTSWAP,1440,20250308,030000,0.01923,0.02047,0.01876,0.01917,2104709.96
ANIMEUSDTSWAP,1440,20250309,030000,0.01917,0.01926,0.0165,0.01696,2272461.76
ANIMEUSDTSWAP,1440,20250310,030000,0.01696,0.01878,0.01611,0.01673,3286763.0
ANIMEUSDTSWAP,1440,20250311,030000,0.01674,0.01808,0.01567,0.01756,2506454.22
ANIMEUSDTSWAP,1440,20250312,030000,0.01757,0.01784,0.01667,0.01767,1671236.91
ANIMEUSDTSWAP,1440,20250313,030000,0.01767,0.01842,0.01722,0.01797,1530776.43
ANIMEUSDTSWAP,1440,20250314,030000,0.01796,0.01901,0.01793,0.01862,1092345.34
ANIMEUSDTSWAP,1440,20250315,030000,0.01861,0.01935,0.01838,0.01916,661611.59
ANIMEUSDTSWAP,1440,20250316,030000,0.01916,0.01919,0.0176,0.01773,1135418.09
ANIMEUSDTSWAP,1440,20250317,030000,0.01772,0.01904,0.01763,0.01865,1676869.42
ANIMEUSDTSWAP,1440,20250318,030000,0.01865,0.01894,0.01715,0.01799,1262314.45
