<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ANIMEUSDTSWAP,60,20250531,190000,0.02318,0.0237,0.023,0.0236,65007.15
ANIMEUSDTSWAP,60,20250531,200000,0.0236,0.02364,0.02331,0.02335,37004.09
ANIMEUSDTSWAP,60,20250531,210000,0.02335,0.02367,0.02332,0.02355,29274.6
ANIMEUSDTSWAP,60,20250531,220000,0.02355,0.02365,0.02346,0.02353,17998.51
ANIMEUSDTSWAP,60,20250531,230000,0.02352,0.02391,0.02348,0.02379,34750.31
ANIMEUSDTSWAP,60,20250601,000000,0.02378,0.02378,0.02343,0.02347,27942.88
ANIMEUSDTSWAP,60,20250601,010000,0.02348,0.02348,0.02325,0.02332,23523.95
ANIMEUSDTSWAP,60,20250601,020000,0.02332,0.02346,0.02316,0.02321,31692.3
ANIMEUSDTSWAP,60,20250601,030000,0.02321,0.02344,0.02296,0.02344,56018.33
ANIMEUSDTSWAP,60,20250601,040000,0.02345,0.02405,0.02338,0.02389,151206.61
ANIMEUSDTSWAP,60,20250601,050000,0.02388,0.02392,0.02351,0.02374,105521.66
ANIMEUSDTSWAP,60,20250601,060000,0.02375,0.02378,0.02339,0.02347,86051.36
ANIMEUSDTSWAP,60,20250601,070000,0.02346,0.02421,0.02327,0.02393,154272.96
ANIMEUSDTSWAP,60,20250601,080000,0.02392,0.02438,0.02384,0.02434,64317.2
ANIMEUSDTSWAP,60,20250601,090000,0.02433,0.02484,0.02428,0.02468,121764.21
ANIMEUSDTSWAP,60,20250601,100000,0.02468,0.02477,0.02414,0.02451,113047.06
ANIMEUSDTSWAP,60,20250601,110000,0.02452,0.02474,0.02428,0.02451,97509.79
ANIMEUSDTSWAP,60,20250601,120000,0.02451,0.02464,0.02413,0.02444,129849.25
ANIMEUSDTSWAP,60,20250601,130000,0.02444,0.02467,0.02432,0.02452,70028.4
ANIMEUSDTSWAP,60,20250601,140000,0.02451,0.02499,0.0243,0.02484,83785.01
ANIMEUSDTSWAP,60,20250601,150000,0.02485,0.02509,0.02462,0.02505,115452.26
ANIMEUSDTSWAP,60,20250601,160000,0.02505,0.02544,0.02488,0.02518,203789.57
ANIMEUSDTSWAP,60,20250601,170000,0.02518,0.02581,0.02515,0.02548,173165.76
ANIMEUSDTSWAP,60,20250601,180000,0.02547,0.02583,0.02521,0.02532,147629.49
ANIMEUSDTSWAP,60,20250601,190000,0.02532,0.02583,0.02507,0.02564,151851.76
ANIMEUSDTSWAP,60,20250601,200000,0.02564,0.02584,0.02531,0.02571,92283.64
ANIMEUSDTSWAP,60,20250601,210000,0.02571,0.02573,0.02536,0.02544,74619.39
ANIMEUSDTSWAP,60,20250601,220000,0.02545,0.0264,0.02545,0.02624,137390.2
ANIMEUSDTSWAP,60,20250601,230000,0.02624,0.02648,0.02596,0.02597,116460.02
ANIMEUSDTSWAP,60,20250602,000000,0.02597,0.02634,0.02588,0.02596,41931.29
ANIMEUSDTSWAP,60,20250602,010000,0.02596,0.02605,0.0257,0.02573,53400.39
ANIMEUSDTSWAP,60,20250602,020000,0.02574,0.02603,0.02572,0.02581,53596.91
ANIMEUSDTSWAP,60,20250602,030000,0.02581,0.02676,0.02553,0.02664,430384.1
ANIMEUSDTSWAP,60,20250602,040000,0.02663,0.02687,0.02536,0.02547,212787.76
ANIMEUSDTSWAP,60,20250602,050000,0.02547,0.02551,0.02495,0.02515,166160.55
ANIMEUSDTSWAP,60,20250602,060000,0.02515,0.02519,0.02476,0.02493,92413.17
ANIMEUSDTSWAP,60,20250602,070000,0.02492,0.02514,0.02458,0.02469,93124.99
ANIMEUSDTSWAP,60,20250602,080000,0.0247,0.02495,0.02459,0.0248,80599.26
ANIMEUSDTSWAP,60,20250602,090000,0.0248,0.02546,0.02472,0.02519,111078.78
ANIMEUSDTSWAP,60,20250602,100000,0.02519,0.02546,0.02514,0.0253,71111.6
ANIMEUSDTSWAP,60,20250602,110000,0.0253,0.02594,0.02523,0.02576,126875.07
ANIMEUSDTSWAP,60,20250602,120000,0.02577,0.02597,0.0254,0.02545,128130.53
ANIMEUSDTSWAP,60,20250602,130000,0.02544,0.02571,0.02517,0.02557,107962.4
ANIMEUSDTSWAP,60,20250602,140000,0.02557,0.02631,0.02544,0.02631,136951.51
ANIMEUSDTSWAP,60,20250602,150000,0.02631,0.02704,0.02596,0.02618,465118.76
ANIMEUSDTSWAP,60,20250602,160000,0.02619,0.02724,0.02619,0.02663,288423.16
ANIMEUSDTSWAP,60,20250602,170000,0.02662,0.0272,0.02652,0.02709,188728.72
ANIMEUSDTSWAP,60,20250602,180000,0.02709,0.02722,0.02664,0.02687,153226.62
