<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ANIMEUSDTSWAP,3,20250604,172700,0.0335,0.03363,0.03346,0.03354,21920.66
ANIMEUSDTSWAP,3,20250604,173000,0.03354,0.0336,0.03331,0.03343,31220.04
ANIMEUSDTSWAP,3,20250604,173300,0.03343,0.03352,0.03337,0.03342,20031.49
ANIMEUSDTSWAP,3,20250604,173600,0.03342,0.03347,0.03323,0.03334,31286.17
ANIMEUSDTSWAP,3,20250604,173900,0.03334,0.03354,0.03333,0.03346,29057.88
ANIMEUSDTSWAP,3,20250604,174200,0.03346,0.03366,0.03344,0.03364,21277.75
ANIMEUSDTSWAP,3,20250604,174500,0.03364,0.0338,0.03361,0.03373,35199.11
ANIMEUSDTSWAP,3,20250604,174800,0.03375,0.03398,0.03375,0.03387,46945.54
ANIMEUSDTSWAP,3,20250604,175100,0.03386,0.03411,0.03382,0.03409,32729.62
ANIMEUSDTSWAP,3,20250604,175400,0.03409,0.03423,0.03396,0.03413,45840.21
ANIMEUSDTSWAP,3,20250604,175700,0.03414,0.03422,0.03407,0.03417,27602.09
ANIMEUSDTSWAP,3,20250604,180000,0.03418,0.0345,0.03417,0.03419,85382.7
ANIMEUSDTSWAP,3,20250604,180300,0.0342,0.0342,0.03395,0.03411,46366.92
ANIMEUSDTSWAP,3,20250604,180600,0.03412,0.03414,0.03401,0.03411,21287.43
ANIMEUSDTSWAP,3,20250604,180900,0.03412,0.03435,0.03408,0.03432,35282.78
ANIMEUSDTSWAP,3,20250604,181200,0.03432,0.03444,0.03424,0.03431,38313.99
ANIMEUSDTSWAP,3,20250604,181500,0.03431,0.03476,0.0343,0.03467,104972.65
ANIMEUSDTSWAP,3,20250604,181800,0.03468,0.03471,0.03444,0.03451,46900.47
ANIMEUSDTSWAP,3,20250604,182100,0.03451,0.03457,0.03435,0.03453,34603.45
ANIMEUSDTSWAP,3,20250604,182400,0.03453,0.03473,0.03449,0.03458,36538.96
ANIMEUSDTSWAP,3,20250604,182700,0.03458,0.03465,0.03438,0.03441,27904.26
ANIMEUSDTSWAP,3,20250604,183000,0.0344,0.0345,0.03424,0.03439,48796.88
ANIMEUSDTSWAP,3,20250604,183300,0.0344,0.0346,0.03439,0.03446,31895.4
ANIMEUSDTSWAP,3,20250604,183600,0.03446,0.03452,0.03436,0.03447,29201.47
ANIMEUSDTSWAP,3,20250604,183900,0.03447,0.03465,0.03447,0.03462,23885.16
ANIMEUSDTSWAP,3,20250604,184200,0.03461,0.03473,0.03453,0.03456,32673.64
ANIMEUSDTSWAP,3,20250604,184500,0.03456,0.0347,0.03426,0.0343,51468.96
ANIMEUSDTSWAP,3,20250604,184800,0.03431,0.03443,0.03421,0.03425,27392.66
ANIMEUSDTSWAP,3,20250604,185100,0.03426,0.03442,0.03422,0.03426,24402.75
ANIMEUSDTSWAP,3,20250604,185400,0.03425,0.03429,0.03403,0.0341,55419.99
ANIMEUSDTSWAP,3,20250604,185700,0.0341,0.0342,0.03396,0.03417,43106.22
ANIMEUSDTSWAP,3,20250604,190000,0.03416,0.03433,0.03415,0.03432,28591.65
ANIMEUSDTSWAP,3,20250604,190300,0.03432,0.03465,0.0343,0.03443,36744.91
ANIMEUSDTSWAP,3,20250604,190600,0.03444,0.03453,0.03421,0.03428,35670.61
ANIMEUSDTSWAP,3,20250604,190900,0.03429,0.03458,0.03429,0.03436,26369.73
ANIMEUSDTSWAP,3,20250604,191200,0.03435,0.03439,0.03411,0.03413,21025.15
ANIMEUSDTSWAP,3,20250604,191500,0.03412,0.03418,0.03393,0.03398,31793.05
ANIMEUSDTSWAP,3,20250604,191800,0.03399,0.03411,0.03395,0.03407,35111.36
ANIMEUSDTSWAP,3,20250604,192100,0.03406,0.03415,0.03395,0.03407,28491.53
ANIMEUSDTSWAP,3,20250604,192400,0.03408,0.03427,0.034,0.03426,22738.01
ANIMEUSDTSWAP,3,20250604,192700,0.03425,0.03439,0.03423,0.03432,27775.48
ANIMEUSDTSWAP,3,20250604,193000,0.03431,0.03448,0.03424,0.03439,18953.5
ANIMEUSDTSWAP,3,20250604,193300,0.03438,0.03443,0.03423,0.03427,17635.94
ANIMEUSDTSWAP,3,20250604,193600,0.03427,0.03429,0.03409,0.0342,17428.73
ANIMEUSDTSWAP,3,20250604,193900,0.03419,0.03435,0.03419,0.03422,14793.43
ANIMEUSDTSWAP,3,20250604,194200,0.03422,0.03443,0.03422,0.03439,16632.05
ANIMEUSDTSWAP,3,20250604,194500,0.03438,0.03448,0.0342,0.03424,19929.64
ANIMEUSDTSWAP,3,20250604,194800,0.03423,0.03428,0.03401,0.03404,17202.9
ANIMEUSDTSWAP,3,20250604,195100,0.03403,0.03412,0.03393,0.03398,23735.92
ANIMEUSDTSWAP,3,20250604,195400,0.03398,0.03411,0.03398,0.0341,20682.57
ANIMEUSDTSWAP,3,20250604,195700,0.03411,0.03415,0.034,0.03414,14439.41
ANIMEUSDTSWAP,3,20250604,200000,0.03414,0.03418,0.03386,0.03412,28732.02
ANIMEUSDTSWAP,3,20250604,200300,0.03412,0.03422,0.03402,0.03409,15713.01
ANIMEUSDTSWAP,3,20250604,200600,0.03409,0.03428,0.03407,0.03423,15411.65
ANIMEUSDTSWAP,3,20250604,200900,0.03422,0.03424,0.03404,0.03419,9977.39
ANIMEUSDTSWAP,3,20250604,201200,0.03418,0.03421,0.03411,0.03415,11062.94
ANIMEUSDTSWAP,3,20250604,201500,0.03415,0.03426,0.0341,0.03413,11770.48
ANIMEUSDTSWAP,3,20250604,201800,0.03412,0.03417,0.03397,0.03402,10424.75
ANIMEUSDTSWAP,3,20250604,202100,0.03402,0.0341,0.03398,0.03402,12538.72
ANIMEUSDTSWAP,3,20250604,202400,0.03401,0.03404,0.03388,0.03392,13047.6
ANIMEUSDTSWAP,3,20250604,202700,0.03392,0.03406,0.03392,0.03405,11339.9
ANIMEUSDTSWAP,3,20250604,203000,0.03406,0.03413,0.03393,0.03397,16669.61
ANIMEUSDTSWAP,3,20250604,203300,0.03398,0.034,0.03384,0.03385,15304.93
ANIMEUSDTSWAP,3,20250604,203600,0.03384,0.03387,0.03368,0.03385,28916.92
ANIMEUSDTSWAP,3,20250604,203900,0.03385,0.03401,0.03381,0.03397,22913.78
ANIMEUSDTSWAP,3,20250604,204200,0.03398,0.03406,0.03392,0.03403,11267.53
ANIMEUSDTSWAP,3,20250604,204500,0.03403,0.03403,0.03382,0.03386,11675.49
ANIMEUSDTSWAP,3,20250604,204800,0.03386,0.03386,0.03368,0.03371,14287.5
ANIMEUSDTSWAP,3,20250604,205100,0.03371,0.03402,0.03371,0.03394,25810.3
ANIMEUSDTSWAP,3,20250604,205400,0.03394,0.03395,0.03384,0.03395,10981.97
ANIMEUSDTSWAP,3,20250604,205700,0.03394,0.03396,0.03389,0.03394,5934.85
ANIMEUSDTSWAP,3,20250604,210000,0.03394,0.03425,0.03393,0.0342,43137.71
ANIMEUSDTSWAP,3,20250604,210300,0.03419,0.03432,0.03418,0.03426,23855.63
ANIMEUSDTSWAP,3,20250604,210600,0.03426,0.03439,0.03421,0.03423,23284.84
ANIMEUSDTSWAP,3,20250604,210900,0.03424,0.03435,0.03406,0.03433,19781.58
ANIMEUSDTSWAP,3,20250604,211200,0.03433,0.03437,0.03425,0.03429,14295.6
ANIMEUSDTSWAP,3,20250604,211500,0.03429,0.03447,0.03428,0.03446,20718.09
ANIMEUSDTSWAP,3,20250604,211800,0.03444,0.0346,0.03441,0.03458,39743.55
ANIMEUSDTSWAP,3,20250604,212100,0.03457,0.03457,0.03437,0.0344,28004.33
ANIMEUSDTSWAP,3,20250604,212400,0.03441,0.03453,0.03439,0.03451,8651.22
ANIMEUSDTSWAP,3,20250604,212700,0.0345,0.03458,0.03448,0.03455,9382.83
ANIMEUSDTSWAP,3,20250604,213000,0.03454,0.03454,0.03436,0.03443,15911.09
ANIMEUSDTSWAP,3,20250604,213300,0.03443,0.03453,0.03438,0.03445,11695.53
ANIMEUSDTSWAP,3,20250604,213600,0.03444,0.03447,0.03437,0.03442,13029.48
ANIMEUSDTSWAP,3,20250604,213900,0.03442,0.0345,0.03442,0.03446,8342.86
ANIMEUSDTSWAP,3,20250604,214200,0.03446,0.03468,0.03438,0.03457,21987.55
ANIMEUSDTSWAP,3,20250604,214500,0.03457,0.03458,0.03438,0.03444,10389.43
ANIMEUSDTSWAP,3,20250604,214800,0.03444,0.03452,0.03434,0.03436,8494.32
ANIMEUSDTSWAP,3,20250604,215100,0.03435,0.0344,0.0343,0.03439,10527.55
ANIMEUSDTSWAP,3,20250604,215400,0.03439,0.0345,0.03433,0.03445,8056.41
ANIMEUSDTSWAP,3,20250604,215700,0.03445,0.03451,0.03439,0.03445,6105.44
ANIMEUSDTSWAP,3,20250604,220000,0.03444,0.03452,0.03438,0.03442,10234.09
ANIMEUSDTSWAP,3,20250604,220300,0.03441,0.03464,0.0344,0.03464,12068.62
ANIMEUSDTSWAP,3,20250604,220600,0.03463,0.03464,0.03447,0.03455,8407.26
ANIMEUSDTSWAP,3,20250604,220900,0.03455,0.03455,0.03441,0.0345,7408.0
ANIMEUSDTSWAP,3,20250604,221200,0.0345,0.03463,0.03449,0.03457,12984.94
ANIMEUSDTSWAP,3,20250604,221500,0.03457,0.03458,0.03431,0.03433,15939.64
ANIMEUSDTSWAP,3,20250604,221800,0.03434,0.03441,0.03421,0.03427,20291.51
ANIMEUSDTSWAP,3,20250604,222100,0.03427,0.03427,0.03399,0.03403,29530.49
ANIMEUSDTSWAP,3,20250604,222400,0.03404,0.03407,0.03401,0.03404,2962.57
