<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APEUSDTSWAP,1440,20250225,030000,0.5896,0.6284,0.5456,0.6172,161447955.23
APEUSDTSWAP,1440,20250226,030000,0.6174,0.6476,0.6028,0.633,85862984.89
APEUSDTSWAP,1440,20250227,030000,0.6331,0.6694,0.6206,0.6456,62960800.4
APEUSDTSWAP,1440,20250228,030000,0.6457,0.6531,0.5828,0.6415,96391497.17
APEUSDTSWAP,1440,20250301,030000,0.6416,0.6445,0.6013,0.6274,44823319.33
APEUSDTSWAP,1440,20250302,030000,0.6275,0.6889,0.6082,0.6876,94057961.04
APEUSDTSWAP,1440,20250303,030000,0.6877,0.6899,0.555,0.5699,169652005.02
APEUSDTSWAP,1440,20250304,030000,0.57,0.5762,0.4987,0.5506,194887642.65
APEUSDTSWAP,1440,20250305,030000,0.5505,0.5801,0.5437,0.5754,74315141.11
APEUSDTSWAP,1440,20250306,030000,0.5755,0.5925,0.5539,0.5612,88010021.41
APEUSDTSWAP,1440,20250307,030000,0.5613,0.5867,0.529,0.5579,107862842.59
APEUSDTSWAP,1440,20250308,030000,0.5579,0.5625,0.5239,0.5373,39936531.17
APEUSDTSWAP,1440,20250309,030000,0.5374,0.5421,0.4611,0.4729,82475795.84
APEUSDTSWAP,1440,20250310,030000,0.4729,0.5292,0.449,0.4614,102277187.59
APEUSDTSWAP,1440,20250311,030000,0.4615,0.5062,0.4195,0.4912,111708483.57
APEUSDTSWAP,1440,20250312,030000,0.4912,0.5426,0.4823,0.5143,80452958.36
APEUSDTSWAP,1440,20250313,030000,0.5142,0.5183,0.4818,0.5018,61877316.25
APEUSDTSWAP,1440,20250314,030000,0.5019,0.5337,0.5,0.5223,50106880.84
APEUSDTSWAP,1440,20250315,030000,0.5222,0.5432,0.5112,0.5317,41883878.69
APEUSDTSWAP,1440,20250316,030000,0.5319,0.5376,0.4959,0.5022,55637839.97
APEUSDTSWAP,1440,20250317,030000,0.5021,0.5724,0.5015,0.5391,100294745.63
APEUSDTSWAP,1440,20250318,030000,0.5391,0.5488,0.5102,0.5264,118006557.58
APEUSDTSWAP,1440,20250319,030000,0.5263,0.5413,0.5142,0.5403,111038366.64
APEUSDTSWAP,1440,20250320,030000,0.5403,0.5436,0.5125,0.5222,58117509.98
APEUSDTSWAP,1440,20250321,030000,0.5221,0.5357,0.5033,0.5072,56878644.83
APEUSDTSWAP,1440,20250322,030000,0.5072,0.5428,0.5072,0.5311,62666992.53
APEUSDTSWAP,1440,20250323,030000,0.531,0.5554,0.5264,0.5402,59832300.49
APEUSDTSWAP,1440,20250324,030000,0.5403,0.5629,0.5344,0.5573,62026129.87
APEUSDTSWAP,1440,20250325,030000,0.5572,0.5756,0.5487,0.5631,81293114.13
APEUSDTSWAP,1440,20250326,030000,0.5632,0.5848,0.5408,0.5545,62475785.57
APEUSDTSWAP,1440,20250327,030000,0.5545,0.5709,0.5433,0.553,35116459.49
APEUSDTSWAP,1440,20250328,030000,0.553,0.557,0.4861,0.5008,64239547.49
APEUSDTSWAP,1440,20250329,030000,0.5008,0.504,0.4614,0.4697,37742606.7
APEUSDTSWAP,1440,20250330,030000,0.4698,0.4834,0.4637,0.4738,30452884.19
APEUSDTSWAP,1440,20250331,030000,0.4739,0.4818,0.4591,0.47,36616143.67
APEUSDTSWAP,1440,20250401,030000,0.47,0.4973,0.469,0.477,38518663.88
APEUSDTSWAP,1440,20250402,030000,0.4772,0.4784,0.4242,0.4324,62248421.76
APEUSDTSWAP,1440,20250403,030000,0.4325,0.4543,0.4197,0.4403,30542042.37
APEUSDTSWAP,1440,20250404,030000,0.4404,0.4504,0.4277,0.4447,26181885.7
APEUSDTSWAP,1440,20250405,030000,0.4446,0.4488,0.4348,0.442,18406250.16
APEUSDTSWAP,1440,20250406,030000,0.442,0.4421,0.3784,0.3882,53305280.89
APEUSDTSWAP,1440,20250407,030000,0.3883,0.4171,0.3484,0.3989,87276592.76
APEUSDTSWAP,1440,20250408,030000,0.399,0.4118,0.3768,0.3816,23764463.94
APEUSDTSWAP,1440,20250409,030000,0.3817,0.4275,0.364,0.4214,34428483.85
APEUSDTSWAP,1440,20250410,030000,0.4213,0.4216,0.3957,0.4072,19953726.46
APEUSDTSWAP,1440,20250411,030000,0.4072,0.4297,0.406,0.4235,22378308.38
APEUSDTSWAP,1440,20250412,030000,0.4235,0.4487,0.4189,0.442,19468447.04
APEUSDTSWAP,1440,20250413,030000,0.4419,0.443,0.4162,0.4229,26070368.64
APEUSDTSWAP,1440,20250414,030000,0.4229,0.4388,0.4122,0.4184,34145733.44
APEUSDTSWAP,1440,20250415,030000,0.4184,0.4282,0.4063,0.409,38112158.51
APEUSDTSWAP,1440,20250416,030000,0.4091,0.4207,0.3999,0.4095,30478511.29
APEUSDTSWAP,1440,20250417,030000,0.4094,0.4232,0.4046,0.4134,35448304.72
APEUSDTSWAP,1440,20250418,030000,0.4135,0.4356,0.4096,0.4347,19814793.88
APEUSDTSWAP,1440,20250419,030000,0.4348,0.4698,0.4327,0.4591,30942093.29
APEUSDTSWAP,1440,20250420,030000,0.459,0.4898,0.4541,0.4699,45517684.21
APEUSDTSWAP,1440,20250421,030000,0.4698,0.4851,0.4596,0.4628,36935551.97
APEUSDTSWAP,1440,20250422,030000,0.4628,0.4949,0.4538,0.4932,27452852.64
APEUSDTSWAP,1440,20250423,030000,0.4933,0.5185,0.4911,0.514,42249199.92
APEUSDTSWAP,1440,20250424,030000,0.5139,0.5247,0.5004,0.52,37504589.53
APEUSDTSWAP,1440,20250425,030000,0.5201,0.5433,0.5141,0.5271,34281387.19
APEUSDTSWAP,1440,20250426,030000,0.5272,0.5637,0.527,0.5535,32354700.52
APEUSDTSWAP,1440,20250427,030000,0.5535,0.5556,0.5135,0.5151,25271472.74
APEUSDTSWAP,1440,20250428,030000,0.5149,0.551,0.5057,0.5437,32091924.12
APEUSDTSWAP,1440,20250429,030000,0.5438,0.5636,0.5185,0.524,29229050.43
APEUSDTSWAP,1440,20250430,030000,0.524,0.5436,0.516,0.5311,24990145.31
APEUSDTSWAP,1440,20250501,030000,0.5311,0.5465,0.5282,0.5378,25293799.49
APEUSDTSWAP,1440,20250502,030000,0.5377,0.5527,0.5306,0.5459,48986219.14
APEUSDTSWAP,1440,20250503,030000,0.5459,0.5474,0.494,0.501,28977972.58
APEUSDTSWAP,1440,20250504,030000,0.501,0.5038,0.4812,0.4874,23756797.76
APEUSDTSWAP,1440,20250505,030000,0.4874,0.5011,0.4776,0.4848,27094096.63
APEUSDTSWAP,1440,20250506,030000,0.4848,0.4971,0.4604,0.4778,27830809.85
APEUSDTSWAP,1440,20250507,030000,0.4779,0.4964,0.4751,0.4871,20798017.8
APEUSDTSWAP,1440,20250508,030000,0.487,0.5733,0.4866,0.5654,46287859.78
APEUSDTSWAP,1440,20250509,030000,0.5654,0.6463,0.5654,0.6409,78275845.78
APEUSDTSWAP,1440,20250510,030000,0.6409,0.6861,0.6366,0.6828,55645400.98
APEUSDTSWAP,1440,20250511,030000,0.6826,0.6887,0.6417,0.6617,49003092.22
APEUSDTSWAP,1440,20250512,030000,0.6617,0.7159,0.644,0.6742,67595255.48
APEUSDTSWAP,1440,20250513,030000,0.6742,0.7141,0.6354,0.7018,83248936.37
APEUSDTSWAP,1440,20250514,030000,0.702,0.7257,0.6587,0.6641,87418846.94
APEUSDTSWAP,1440,20250515,030000,0.6642,0.6731,0.6084,0.6224,61491928.91
APEUSDTSWAP,1440,20250516,030000,0.6225,0.6434,0.6018,0.6097,27755238.18
APEUSDTSWAP,1440,20250517,030000,0.6097,0.6426,0.5867,0.6148,49649716.56
APEUSDTSWAP,1440,20250518,030000,0.6147,0.6803,0.6089,0.6796,57238977.49
APEUSDTSWAP,1440,20250519,030000,0.6798,0.6859,0.6221,0.6491,80421919.18
APEUSDTSWAP,1440,20250520,030000,0.6492,0.6687,0.6259,0.6603,49936441.93
APEUSDTSWAP,1440,20250521,030000,0.6602,0.69,0.6491,0.6803,61690869.22
APEUSDTSWAP,1440,20250522,030000,0.6803,0.7095,0.6793,0.7065,37842216.77
APEUSDTSWAP,1440,20250523,030000,0.7067,0.7193,0.6378,0.6411,68951167.09
APEUSDTSWAP,1440,20250524,030000,0.6412,0.6575,0.6345,0.6385,29727453.54
APEUSDTSWAP,1440,20250525,030000,0.6385,0.6497,0.6219,0.6482,34204415.63
APEUSDTSWAP,1440,20250526,030000,0.6482,0.6772,0.6438,0.6578,36237991.12
APEUSDTSWAP,1440,20250527,030000,0.6579,0.7049,0.6396,0.6996,54934882.9
APEUSDTSWAP,1440,20250528,030000,0.6997,0.7163,0.6861,0.7148,61790745.6
APEUSDTSWAP,1440,20250529,030000,0.7148,0.7356,0.6893,0.6926,74678744.3
APEUSDTSWAP,1440,20250530,030000,0.6926,0.6979,0.6356,0.6383,74073908.68
APEUSDTSWAP,1440,20250531,030000,0.6383,0.6397,0.5925,0.6149,75791726.04
APEUSDTSWAP,1440,20250601,030000,0.6147,0.6467,0.5992,0.6465,63418252.31
APEUSDTSWAP,1440,20250602,030000,0.6465,0.7118,0.6249,0.7038,96890101.62
APEUSDTSWAP,1440,20250603,030000,0.7039,0.7138,0.6754,0.6826,69828929.05
APEUSDTSWAP,1440,20250604,030000,0.6828,0.7852,0.6813,0.7195,354139406.55
