<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APEUSDTSWAP,60,20250531,190000,0.5994,0.6092,0.5984,0.6048,2488790.32
APEUSDTSWAP,60,20250531,200000,0.6048,0.6062,0.5994,0.5996,1156942.48
APEUSDTSWAP,60,20250531,210000,0.5995,0.6091,0.599,0.6079,1177886.21
APEUSDTSWAP,60,20250531,220000,0.608,0.61,0.6066,0.6082,1140194.56
APEUSDTSWAP,60,20250531,230000,0.6082,0.6167,0.6061,0.6164,3595585.95
APEUSDTSWAP,60,20250601,000000,0.6164,0.6232,0.6161,0.6171,1854160.79
APEUSDTSWAP,60,20250601,010000,0.6171,0.6182,0.6099,0.6118,2133165.36
APEUSDTSWAP,60,20250601,020000,0.6117,0.6153,0.6103,0.6149,1944470.12
APEUSDTSWAP,60,20250601,030000,0.6147,0.6152,0.6049,0.6121,4813881.67
APEUSDTSWAP,60,20250601,040000,0.612,0.6163,0.6054,0.6067,1220012.82
APEUSDTSWAP,60,20250601,050000,0.6065,0.6106,0.5992,0.6096,2896544.53
APEUSDTSWAP,60,20250601,060000,0.6097,0.6132,0.6063,0.613,2818053.52
APEUSDTSWAP,60,20250601,070000,0.6131,0.6219,0.6097,0.62,1735719.82
APEUSDTSWAP,60,20250601,080000,0.6199,0.6217,0.6157,0.6217,936387.47
APEUSDTSWAP,60,20250601,090000,0.6217,0.6294,0.6199,0.6242,6230284.49
APEUSDTSWAP,60,20250601,100000,0.6242,0.6243,0.618,0.6204,1994453.83
APEUSDTSWAP,60,20250601,110000,0.6204,0.6268,0.6181,0.6256,1746745.51
APEUSDTSWAP,60,20250601,120000,0.6255,0.6278,0.617,0.6222,4242295.5
APEUSDTSWAP,60,20250601,130000,0.622,0.6252,0.6157,0.6206,2767149.87
APEUSDTSWAP,60,20250601,140000,0.6205,0.6267,0.6181,0.6217,1427778.57
APEUSDTSWAP,60,20250601,150000,0.6217,0.6251,0.618,0.6223,1732437.3
APEUSDTSWAP,60,20250601,160000,0.6223,0.6332,0.6216,0.6238,3781991.53
APEUSDTSWAP,60,20250601,170000,0.6237,0.641,0.6235,0.6375,7347427.37
APEUSDTSWAP,60,20250601,180000,0.6374,0.6391,0.6333,0.6361,4158381.66
APEUSDTSWAP,60,20250601,190000,0.636,0.6427,0.6356,0.6374,2645436.28
APEUSDTSWAP,60,20250601,200000,0.6375,0.6382,0.6303,0.6365,3033861.22
APEUSDTSWAP,60,20250601,210000,0.6364,0.6417,0.6281,0.6324,3195541.32
APEUSDTSWAP,60,20250601,220000,0.6325,0.6357,0.6297,0.6316,1030054.08
APEUSDTSWAP,60,20250601,230000,0.6316,0.6365,0.6303,0.634,697568.09
APEUSDTSWAP,60,20250602,000000,0.6338,0.6388,0.633,0.6388,483796.65
APEUSDTSWAP,60,20250602,010000,0.6389,0.642,0.6363,0.6369,1136454.24
APEUSDTSWAP,60,20250602,020000,0.6371,0.6467,0.6368,0.6465,2330378.65
APEUSDTSWAP,60,20250602,030000,0.6465,0.6494,0.6427,0.644,3619159.37
APEUSDTSWAP,60,20250602,040000,0.6441,0.6493,0.6425,0.6436,1820299.38
APEUSDTSWAP,60,20250602,050000,0.6437,0.6444,0.6334,0.6345,4593525.59
APEUSDTSWAP,60,20250602,060000,0.6346,0.6351,0.629,0.6315,1437164.02
APEUSDTSWAP,60,20250602,070000,0.6314,0.6347,0.6295,0.6299,1005068.2
APEUSDTSWAP,60,20250602,080000,0.6301,0.633,0.6249,0.629,1275199.53
APEUSDTSWAP,60,20250602,090000,0.6291,0.6383,0.6268,0.6365,2071962.24
APEUSDTSWAP,60,20250602,100000,0.6366,0.6475,0.6366,0.642,3632657.95
APEUSDTSWAP,60,20250602,110000,0.6419,0.6449,0.6384,0.6403,1050297.96
APEUSDTSWAP,60,20250602,120000,0.6403,0.6405,0.6333,0.6362,1518385.01
APEUSDTSWAP,60,20250602,130000,0.6361,0.6373,0.6273,0.6316,3785434.92
APEUSDTSWAP,60,20250602,140000,0.6314,0.635,0.63,0.6342,1205465.09
APEUSDTSWAP,60,20250602,150000,0.6341,0.6459,0.6331,0.6441,3002630.27
APEUSDTSWAP,60,20250602,160000,0.6441,0.6476,0.6391,0.6412,1695507.58
APEUSDTSWAP,60,20250602,170000,0.641,0.6624,0.6384,0.6606,8599947.01
APEUSDTSWAP,60,20250602,180000,0.6607,0.6646,0.6571,0.6595,4268288.5
APEUSDTSWAP,60,20250602,190000,0.6594,0.6607,0.6526,0.6578,3465283.5
APEUSDTSWAP,60,20250602,200000,0.6577,0.6655,0.6569,0.6643,1853568.94
APEUSDTSWAP,60,20250602,210000,0.6642,0.6766,0.6642,0.6712,6221051.96
APEUSDTSWAP,60,20250602,220000,0.6711,0.6809,0.6654,0.6705,7108255.63
APEUSDTSWAP,60,20250602,230000,0.6705,0.6923,0.6705,0.6898,8396452.92
APEUSDTSWAP,60,20250603,000000,0.6898,0.6973,0.688,0.6963,6498493.36
APEUSDTSWAP,60,20250603,010000,0.6963,0.7042,0.6954,0.7032,6860904.32
APEUSDTSWAP,60,20250603,020000,0.7033,0.7118,0.7006,0.7038,14408876.33
APEUSDTSWAP,60,20250603,030000,0.7039,0.7138,0.7026,0.7049,6753847.29
APEUSDTSWAP,60,20250603,040000,0.705,0.712,0.7036,0.7088,4504668.0
APEUSDTSWAP,60,20250603,050000,0.7088,0.7112,0.6938,0.6964,6135335.23
APEUSDTSWAP,60,20250603,060000,0.6964,0.699,0.69,0.6909,2726974.96
APEUSDTSWAP,60,20250603,070000,0.6909,0.6969,0.6881,0.6957,2887309.1
APEUSDTSWAP,60,20250603,080000,0.6959,0.6987,0.686,0.6889,2766427.97
APEUSDTSWAP,60,20250603,090000,0.689,0.6891,0.6812,0.6832,2859782.69
APEUSDTSWAP,60,20250603,100000,0.6831,0.6846,0.6783,0.679,2078689.69
APEUSDTSWAP,60,20250603,110000,0.6789,0.6817,0.6754,0.6805,1885449.23
APEUSDTSWAP,60,20250603,120000,0.6804,0.6881,0.6785,0.6868,2391737.32
APEUSDTSWAP,60,20250603,130000,0.687,0.6903,0.6858,0.6866,1992106.95
APEUSDTSWAP,60,20250603,140000,0.6866,0.6868,0.6805,0.6842,1947286.17
APEUSDTSWAP,60,20250603,150000,0.6842,0.6942,0.6825,0.6934,2617558.99
APEUSDTSWAP,60,20250603,160000,0.6931,0.6977,0.691,0.6974,3700485.16
APEUSDTSWAP,60,20250603,170000,0.6972,0.6984,0.6919,0.6954,2412749.84
APEUSDTSWAP,60,20250603,180000,0.6955,0.701,0.6932,0.6972,2580672.92
APEUSDTSWAP,60,20250603,190000,0.6974,0.6999,0.6943,0.6946,2975254.85
APEUSDTSWAP,60,20250603,200000,0.6946,0.7044,0.6941,0.7036,2511538.85
APEUSDTSWAP,60,20250603,210000,0.7037,0.7043,0.6971,0.7003,1350139.93
APEUSDTSWAP,60,20250603,220000,0.7,0.7042,0.6984,0.7004,1822956.1
APEUSDTSWAP,60,20250603,230000,0.7003,0.7004,0.688,0.6892,3892352.14
APEUSDTSWAP,60,20250604,000000,0.6893,0.6901,0.6824,0.6869,2976595.23
APEUSDTSWAP,60,20250604,010000,0.687,0.6902,0.6861,0.6888,1235342.79
APEUSDTSWAP,60,20250604,020000,0.6889,0.6897,0.6822,0.6826,1966813.63
APEUSDTSWAP,60,20250604,030000,0.6828,0.693,0.6813,0.6923,2912747.64
APEUSDTSWAP,60,20250604,040000,0.6922,0.6995,0.6913,0.6983,2994073.03
APEUSDTSWAP,60,20250604,050000,0.6985,0.7101,0.6985,0.7096,6810889.79
APEUSDTSWAP,60,20250604,060000,0.7094,0.7193,0.7053,0.7174,9566300.85
APEUSDTSWAP,60,20250604,070000,0.7174,0.7233,0.7139,0.7231,10492326.53
APEUSDTSWAP,60,20250604,080000,0.7231,0.7341,0.7219,0.7322,14259709.16
APEUSDTSWAP,60,20250604,090000,0.7321,0.7476,0.7301,0.7447,33625884.5
APEUSDTSWAP,60,20250604,100000,0.7448,0.7595,0.7434,0.7576,26433839.8
APEUSDTSWAP,60,20250604,110000,0.7576,0.7852,0.7551,0.7718,75590724.89
APEUSDTSWAP,60,20250604,120000,0.7717,0.7736,0.7503,0.763,61212403.87
APEUSDTSWAP,60,20250604,130000,0.763,0.7669,0.7558,0.761,21406250.36
APEUSDTSWAP,60,20250604,140000,0.761,0.7611,0.7437,0.7459,17400955.99
APEUSDTSWAP,60,20250604,150000,0.746,0.7573,0.7456,0.7485,14521311.49
APEUSDTSWAP,60,20250604,160000,0.7483,0.7494,0.7349,0.7382,16142932.97
APEUSDTSWAP,60,20250604,170000,0.7382,0.7536,0.7327,0.7515,20090209.7
APEUSDTSWAP,60,20250604,180000,0.7515,0.7616,0.7433,0.7448,22422188.37
APEUSDTSWAP,60,20250604,190000,0.7448,0.7453,0.7244,0.7335,17906142.72
APEUSDTSWAP,60,20250604,200000,0.7329,0.7364,0.7216,0.7253,7642626.23
APEUSDTSWAP,60,20250604,210000,0.7256,0.7279,0.7188,0.7189,4743401.03
APEUSDTSWAP,60,20250604,220000,0.7191,0.7223,0.7178,0.7201,1416600.39
