<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
APEUSDTSWAP,3,20250604,172700,0.7418,0.7425,0.739,0.7412,756859.28
APEUSDTSWAP,3,20250604,173000,0.741,0.7417,0.7394,0.7404,519409.14
APEUSDTSWAP,3,20250604,173300,0.7406,0.7426,0.7401,0.7409,713198.54
APEUSDTSWAP,3,20250604,173600,0.7407,0.7408,0.7383,0.7389,458921.42
APEUSDTSWAP,3,20250604,173900,0.7386,0.7421,0.7384,0.742,401803.57
APEUSDTSWAP,3,20250604,174200,0.7419,0.7433,0.7408,0.7422,645826.92
APEUSDTSWAP,3,20250604,174500,0.7422,0.747,0.7415,0.7461,1296117.96
APEUSDTSWAP,3,20250604,174800,0.7462,0.7485,0.7454,0.7462,2040892.82
APEUSDTSWAP,3,20250604,175100,0.7462,0.7535,0.746,0.7518,4695963.45
APEUSDTSWAP,3,20250604,175400,0.7517,0.7536,0.7509,0.7526,1367612.16
APEUSDTSWAP,3,20250604,175700,0.7526,0.753,0.7508,0.7515,741069.42
APEUSDTSWAP,3,20250604,180000,0.7515,0.7554,0.7507,0.752,2853377.86
APEUSDTSWAP,3,20250604,180300,0.7519,0.7519,0.7477,0.748,1140197.7
APEUSDTSWAP,3,20250604,180600,0.7482,0.75,0.7475,0.7478,1214178.96
APEUSDTSWAP,3,20250604,180900,0.748,0.7504,0.7472,0.7498,586772.34
APEUSDTSWAP,3,20250604,181200,0.7496,0.7509,0.7485,0.749,239472.46
APEUSDTSWAP,3,20250604,181500,0.749,0.7616,0.749,0.758,3533163.33
APEUSDTSWAP,3,20250604,181800,0.758,0.7615,0.7575,0.7575,2083701.83
APEUSDTSWAP,3,20250604,182100,0.7574,0.758,0.7562,0.7573,972563.71
APEUSDTSWAP,3,20250604,182400,0.7572,0.7592,0.7546,0.7546,1391701.8
APEUSDTSWAP,3,20250604,182700,0.7546,0.7548,0.7527,0.7532,845214.63
APEUSDTSWAP,3,20250604,183000,0.7529,0.7529,0.748,0.7504,2742841.8
APEUSDTSWAP,3,20250604,183300,0.7506,0.7512,0.7473,0.7482,863064.65
APEUSDTSWAP,3,20250604,183600,0.7478,0.7494,0.7462,0.7482,712115.73
APEUSDTSWAP,3,20250604,183900,0.7482,0.7483,0.7447,0.7455,970540.35
