<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ARBUSDTSWAP,1440,20250225,030000,0.411,0.4274,0.3802,0.4195,6461037.05
ARBUSDTSWAP,1440,20250226,030000,0.4196,0.433,0.4034,0.4225,2872003.85
ARBUSDTSWAP,1440,20250227,030000,0.4226,0.4389,0.4117,0.4251,2146828.37
ARBUSDTSWAP,1440,20250228,030000,0.4251,0.4267,0.3834,0.4219,5093422.88
ARBUSDTSWAP,1440,20250301,030000,0.422,0.4271,0.4027,0.4178,1761223.96
ARBUSDTSWAP,1440,20250302,030000,0.4179,0.4667,0.4089,0.4629,4720801.83
ARBUSDTSWAP,1440,20250303,030000,0.4631,0.4645,0.3826,0.3918,5140244.58
ARBUSDTSWAP,1440,20250304,030000,0.3918,0.3937,0.3492,0.3798,6297813.93
ARBUSDTSWAP,1440,20250305,030000,0.3797,0.4347,0.3747,0.415,5642282.24
ARBUSDTSWAP,1440,20250306,030000,0.415,0.4293,0.3996,0.4037,2485747.95
ARBUSDTSWAP,1440,20250307,030000,0.4037,0.4159,0.3854,0.3949,2977155.81
ARBUSDTSWAP,1440,20250308,030000,0.3949,0.4042,0.3818,0.398,1111354.67
ARBUSDTSWAP,1440,20250309,030000,0.3979,0.3995,0.3443,0.3495,2105450.05
ARBUSDTSWAP,1440,20250310,030000,0.3495,0.3724,0.314,0.3202,2787313.67
ARBUSDTSWAP,1440,20250311,030000,0.3203,0.3471,0.2945,0.3376,3736521.02
ARBUSDTSWAP,1440,20250312,030000,0.3376,0.3545,0.3263,0.3485,2087067.44
ARBUSDTSWAP,1440,20250313,030000,0.3485,0.3544,0.3307,0.3437,1285178.82
ARBUSDTSWAP,1440,20250314,030000,0.3438,0.3667,0.3424,0.3588,1121147.99
ARBUSDTSWAP,1440,20250315,030000,0.3587,0.3701,0.3568,0.3643,790337.56
ARBUSDTSWAP,1440,20250316,030000,0.3642,0.3653,0.3445,0.3482,1146312.25
ARBUSDTSWAP,1440,20250317,030000,0.3482,0.3761,0.3482,0.3697,1602038.88
ARBUSDTSWAP,1440,20250318,030000,0.3698,0.3722,0.3518,0.3716,1114963.05
ARBUSDTSWAP,1440,20250319,030000,0.3716,0.3872,0.3668,0.3849,2337812.41
ARBUSDTSWAP,1440,20250320,030000,0.3849,0.3874,0.3663,0.3756,1066529.84
ARBUSDTSWAP,1440,20250321,030000,0.3757,0.3794,0.3579,0.3596,1098471.47
ARBUSDTSWAP,1440,20250322,030000,0.3596,0.3724,0.3591,0.365,840665.33
ARBUSDTSWAP,1440,20250323,030000,0.365,0.3743,0.3623,0.3685,755774.95
ARBUSDTSWAP,1440,20250324,030000,0.3686,0.3956,0.3614,0.3909,2087500.45
ARBUSDTSWAP,1440,20250325,030000,0.3908,0.3953,0.3838,0.3935,1188501.66
ARBUSDTSWAP,1440,20250326,030000,0.3935,0.4028,0.3777,0.3819,1577928.66
ARBUSDTSWAP,1440,20250327,030000,0.382,0.3911,0.3739,0.3843,1398056.02
ARBUSDTSWAP,1440,20250328,030000,0.3843,0.3877,0.3416,0.3478,2490546.61
ARBUSDTSWAP,1440,20250329,030000,0.3478,0.3497,0.326,0.3309,3045801.98
ARBUSDTSWAP,1440,20250330,030000,0.3309,0.3388,0.3255,0.332,2318013.27
ARBUSDTSWAP,1440,20250331,030000,0.3321,0.3353,0.3179,0.3279,2659814.07
ARBUSDTSWAP,1440,20250401,030000,0.3278,0.3426,0.3274,0.3334,1784596.21
ARBUSDTSWAP,1440,20250402,030000,0.3334,0.3392,0.3025,0.3071,4451100.71
ARBUSDTSWAP,1440,20250403,030000,0.3069,0.3169,0.2934,0.3105,2836339.75
ARBUSDTSWAP,1440,20250404,030000,0.3105,0.3183,0.3004,0.3126,1843631.6
ARBUSDTSWAP,1440,20250405,030000,0.3125,0.3153,0.3047,0.3089,792031.06
