<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ARBUSDTSWAP,60,20250531,190000,0.3399,0.3449,0.3387,0.3437,88969.06
ARBUSDTSWAP,60,20250531,200000,0.3437,0.3439,0.3391,0.3396,125761.51
ARBUSDTSWAP,60,20250531,210000,0.3396,0.3429,0.3392,0.3425,77278.97
ARBUSDTSWAP,60,20250531,220000,0.3424,0.3442,0.3417,0.3423,37286.85
ARBUSDTSWAP,60,20250531,230000,0.3422,0.3432,0.3409,0.3428,42882.21
ARBUSDTSWAP,60,20250601,000000,0.3428,0.345,0.3424,0.343,107316.11
ARBUSDTSWAP,60,20250601,010000,0.3431,0.3433,0.3395,0.3396,65135.24
ARBUSDTSWAP,60,20250601,020000,0.3396,0.3423,0.3385,0.3394,110311.32
ARBUSDTSWAP,60,20250601,030000,0.3394,0.3396,0.3361,0.3383,90475.66
ARBUSDTSWAP,60,20250601,040000,0.3383,0.3393,0.334,0.336,76511.45
ARBUSDTSWAP,60,20250601,050000,0.336,0.3387,0.3332,0.3379,47033.82
ARBUSDTSWAP,60,20250601,060000,0.338,0.3388,0.3348,0.3372,47069.1
ARBUSDTSWAP,60,20250601,070000,0.3372,0.3413,0.336,0.3408,53742.06
ARBUSDTSWAP,60,20250601,080000,0.3408,0.3425,0.3386,0.3399,43422.21
ARBUSDTSWAP,60,20250601,090000,0.3398,0.3403,0.3382,0.3388,32414.98
ARBUSDTSWAP,60,20250601,100000,0.3387,0.3396,0.3375,0.3383,26775.25
ARBUSDTSWAP,60,20250601,110000,0.3383,0.3388,0.3357,0.3363,82087.24
ARBUSDTSWAP,60,20250601,120000,0.3363,0.3371,0.3296,0.3325,159814.03
ARBUSDTSWAP,60,20250601,130000,0.3324,0.3347,0.3317,0.334,79195.53
ARBUSDTSWAP,60,20250601,140000,0.3339,0.3365,0.3327,0.3349,39616.6
ARBUSDTSWAP,60,20250601,150000,0.3349,0.3357,0.3306,0.332,59134.83
ARBUSDTSWAP,60,20250601,160000,0.332,0.3354,0.3316,0.3334,53063.69
ARBUSDTSWAP,60,20250601,170000,0.3335,0.3399,0.3333,0.3372,95473.45
ARBUSDTSWAP,60,20250601,180000,0.3373,0.3398,0.3364,0.3392,47252.26
ARBUSDTSWAP,60,20250601,190000,0.339,0.3439,0.3384,0.3413,142911.21
ARBUSDTSWAP,60,20250601,200000,0.3413,0.3423,0.3396,0.3404,67753.41
ARBUSDTSWAP,60,20250601,210000,0.3403,0.3403,0.3326,0.3362,125738.6
ARBUSDTSWAP,60,20250601,220000,0.3362,0.3378,0.336,0.3375,41879.09
ARBUSDTSWAP,60,20250601,230000,0.3376,0.3409,0.3368,0.3388,55009.02
ARBUSDTSWAP,60,20250602,000000,0.3388,0.3415,0.3384,0.3413,36533.75
ARBUSDTSWAP,60,20250602,010000,0.3412,0.3439,0.3408,0.3421,39367.55
ARBUSDTSWAP,60,20250602,020000,0.3421,0.3443,0.3413,0.3423,52190.26
ARBUSDTSWAP,60,20250602,030000,0.3423,0.3442,0.3411,0.3429,60148.37
ARBUSDTSWAP,60,20250602,040000,0.3429,0.3459,0.3419,0.3424,70752.65
ARBUSDTSWAP,60,20250602,050000,0.3424,0.3427,0.3378,0.3386,68570.7
ARBUSDTSWAP,60,20250602,060000,0.3386,0.3395,0.3354,0.3379,80840.75
ARBUSDTSWAP,60,20250602,070000,0.3378,0.3394,0.3369,0.3375,48730.79
ARBUSDTSWAP,60,20250602,080000,0.3375,0.3397,0.3356,0.3378,46805.51
ARBUSDTSWAP,60,20250602,090000,0.3378,0.3417,0.3362,0.3396,106711.9
ARBUSDTSWAP,60,20250602,100000,0.3396,0.3441,0.3394,0.3414,108439.17
ARBUSDTSWAP,60,20250602,110000,0.3414,0.3425,0.3359,0.3371,112734.58
ARBUSDTSWAP,60,20250602,120000,0.3372,0.3372,0.3333,0.3345,95711.96
ARBUSDTSWAP,60,20250602,130000,0.3344,0.336,0.3326,0.3347,160220.77
ARBUSDTSWAP,60,20250602,140000,0.3346,0.3363,0.3336,0.3352,42936.78
ARBUSDTSWAP,60,20250602,150000,0.3351,0.3394,0.3336,0.3388,128533.97
ARBUSDTSWAP,60,20250602,160000,0.3388,0.3434,0.3367,0.339,182023.52
ARBUSDTSWAP,60,20250602,170000,0.3391,0.3455,0.3382,0.3433,169608.26
ARBUSDTSWAP,60,20250602,180000,0.3432,0.347,0.3415,0.3457,205432.42
ARBUSDTSWAP,60,20250602,190000,0.3458,0.3461,0.3419,0.345,123593.97
ARBUSDTSWAP,60,20250602,200000,0.3451,0.3456,0.3423,0.344,120493.53
ARBUSDTSWAP,60,20250602,210000,0.344,0.3468,0.3425,0.3434,108144.62
ARBUSDTSWAP,60,20250602,220000,0.3434,0.3449,0.3387,0.3409,118349.1
ARBUSDTSWAP,60,20250602,230000,0.341,0.3464,0.341,0.3456,138496.74
ARBUSDTSWAP,60,20250603,000000,0.3456,0.3517,0.3456,0.3517,84246.57
ARBUSDTSWAP,60,20250603,010000,0.3516,0.3571,0.3515,0.3551,155790.83
ARBUSDTSWAP,60,20250603,020000,0.3552,0.3597,0.3548,0.3576,119087.76
ARBUSDTSWAP,60,20250603,030000,0.3577,0.3638,0.3568,0.3621,161455.23
ARBUSDTSWAP,60,20250603,040000,0.3621,0.3689,0.3612,0.3672,165365.93
ARBUSDTSWAP,60,20250603,050000,0.3673,0.3676,0.3602,0.3615,221174.07
ARBUSDTSWAP,60,20250603,060000,0.3615,0.3626,0.3579,0.3592,83422.49
ARBUSDTSWAP,60,20250603,070000,0.3592,0.3594,0.3553,0.3564,94552.75
ARBUSDTSWAP,60,20250603,080000,0.3565,0.3638,0.3562,0.3632,156778.86
ARBUSDTSWAP,60,20250603,090000,0.3631,0.3654,0.3613,0.365,77635.46
ARBUSDTSWAP,60,20250603,100000,0.3652,0.3656,0.362,0.3624,46746.0
ARBUSDTSWAP,60,20250603,110000,0.3624,0.3631,0.3576,0.361,94620.94
ARBUSDTSWAP,60,20250603,120000,0.361,0.3645,0.3602,0.3634,64225.19
ARBUSDTSWAP,60,20250603,130000,0.3634,0.3662,0.3624,0.3649,49088.11
ARBUSDTSWAP,60,20250603,140000,0.3649,0.3668,0.3615,0.3628,70166.11
ARBUSDTSWAP,60,20250603,150000,0.3628,0.3661,0.3615,0.365,110856.44
ARBUSDTSWAP,60,20250603,160000,0.365,0.3711,0.365,0.3704,174052.51
ARBUSDTSWAP,60,20250603,170000,0.3704,0.3727,0.3671,0.3722,143319.13
ARBUSDTSWAP,60,20250603,180000,0.3722,0.373,0.3673,0.368,108442.81
ARBUSDTSWAP,60,20250603,190000,0.3679,0.3688,0.3662,0.3667,66339.07
