<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ARBUSDTSWAP,3,20250604,172700,0.3598,0.3598,0.3594,0.3596,8157.67
ARBUSDTSWAP,3,20250604,173000,0.3597,0.3601,0.3594,0.3601,1387.11
ARBUSDTSWAP,3,20250604,173300,0.3602,0.361,0.3602,0.3605,9199.51
ARBUSDTSWAP,3,20250604,173600,0.3605,0.3606,0.3599,0.3601,956.77
ARBUSDTSWAP,3,20250604,173900,0.3602,0.3612,0.3602,0.3612,2491.43
ARBUSDTSWAP,3,20250604,174200,0.3613,0.3616,0.3608,0.3616,5271.04
ARBUSDTSWAP,3,20250604,174500,0.3617,0.3628,0.3614,0.3628,13594.13
ARBUSDTSWAP,3,20250604,174800,0.3627,0.3636,0.3622,0.3626,14751.99
ARBUSDTSWAP,3,20250604,175100,0.3625,0.3635,0.3622,0.3635,2943.03
ARBUSDTSWAP,3,20250604,175400,0.3634,0.3657,0.3634,0.3655,33584.7
ARBUSDTSWAP,3,20250604,175700,0.3655,0.3658,0.3649,0.3656,17379.96
ARBUSDTSWAP,3,20250604,180000,0.3656,0.3661,0.3652,0.3656,15247.27
ARBUSDTSWAP,3,20250604,180300,0.3656,0.3658,0.3648,0.3649,14455.02
ARBUSDTSWAP,3,20250604,180600,0.365,0.3668,0.365,0.3654,9164.71
ARBUSDTSWAP,3,20250604,180900,0.3654,0.3662,0.365,0.366,3528.78
ARBUSDTSWAP,3,20250604,181200,0.3659,0.3672,0.3659,0.3669,16304.39
ARBUSDTSWAP,3,20250604,181500,0.3671,0.3691,0.367,0.3686,13596.54
ARBUSDTSWAP,3,20250604,181800,0.3686,0.3686,0.3672,0.3672,45617.68
ARBUSDTSWAP,3,20250604,182100,0.3673,0.3692,0.367,0.3688,37388.61
ARBUSDTSWAP,3,20250604,182400,0.3688,0.3693,0.3681,0.3681,26183.25
ARBUSDTSWAP,3,20250604,182700,0.3681,0.3687,0.3679,0.3679,12492.14
ARBUSDTSWAP,3,20250604,183000,0.368,0.3683,0.3669,0.3682,6192.37
ARBUSDTSWAP,3,20250604,183300,0.3682,0.3685,0.3674,0.3676,1909.3
ARBUSDTSWAP,3,20250604,183600,0.3676,0.3695,0.3676,0.3695,28190.18
ARBUSDTSWAP,3,20250604,183900,0.3694,0.3702,0.3688,0.37,11696.94
ARBUSDTSWAP,3,20250604,184200,0.37,0.3709,0.3693,0.3696,18058.29
ARBUSDTSWAP,3,20250604,184500,0.3697,0.371,0.3697,0.3702,13027.93
ARBUSDTSWAP,3,20250604,184800,0.3702,0.3705,0.3694,0.37,17664.17
ARBUSDTSWAP,3,20250604,185100,0.3699,0.3703,0.3691,0.3698,4135.85
ARBUSDTSWAP,3,20250604,185400,0.3697,0.3724,0.3697,0.3719,11320.1
ARBUSDTSWAP,3,20250604,185700,0.372,0.3721,0.3713,0.3718,13504.53
ARBUSDTSWAP,3,20250604,190000,0.3718,0.3723,0.3707,0.3713,14078.69
ARBUSDTSWAP,3,20250604,190300,0.3713,0.3716,0.3704,0.3708,26683.59
ARBUSDTSWAP,3,20250604,190600,0.3707,0.3709,0.3695,0.3695,15992.89
ARBUSDTSWAP,3,20250604,190900,0.3696,0.3702,0.3696,0.37,6468.85
ARBUSDTSWAP,3,20250604,191200,0.37,0.3709,0.3699,0.3708,4941.83
ARBUSDTSWAP,3,20250604,191500,0.3708,0.3709,0.3696,0.3696,8040.02
ARBUSDTSWAP,3,20250604,191800,0.3696,0.3707,0.3686,0.3706,11735.98
ARBUSDTSWAP,3,20250604,192100,0.3706,0.3708,0.3681,0.3684,11758.25
ARBUSDTSWAP,3,20250604,192400,0.3684,0.3692,0.3679,0.3684,11120.52
ARBUSDTSWAP,3,20250604,192700,0.3684,0.3689,0.368,0.368,5993.5
ARBUSDTSWAP,3,20250604,193000,0.3681,0.3689,0.3678,0.3683,3698.78
ARBUSDTSWAP,3,20250604,193300,0.3684,0.369,0.3684,0.3689,2192.05
ARBUSDTSWAP,3,20250604,193600,0.3689,0.3689,0.3675,0.3676,2693.15
ARBUSDTSWAP,3,20250604,193900,0.3677,0.3687,0.3676,0.3676,4572.13
ARBUSDTSWAP,3,20250604,194200,0.3676,0.3682,0.3673,0.3681,8943.49
ARBUSDTSWAP,3,20250604,194500,0.368,0.3684,0.3668,0.3672,5151.01
ARBUSDTSWAP,3,20250604,194800,0.3673,0.3684,0.3668,0.3683,2280.82
ARBUSDTSWAP,3,20250604,195100,0.3683,0.3696,0.368,0.3693,6283.68
ARBUSDTSWAP,3,20250604,195400,0.3693,0.37,0.3692,0.3693,2353.33
ARBUSDTSWAP,3,20250604,195700,0.3694,0.3698,0.3688,0.3695,18469.67
ARBUSDTSWAP,3,20250604,200000,0.3695,0.3697,0.368,0.3685,21341.84
ARBUSDTSWAP,3,20250604,200300,0.3686,0.3692,0.3682,0.3685,2270.72
ARBUSDTSWAP,3,20250604,200600,0.3685,0.3685,0.3678,0.3683,1572.28
ARBUSDTSWAP,3,20250604,200900,0.3682,0.3682,0.3676,0.368,1980.92
ARBUSDTSWAP,3,20250604,201200,0.3678,0.3692,0.3678,0.3687,2443.77
ARBUSDTSWAP,3,20250604,201500,0.3687,0.369,0.368,0.3683,1951.31
ARBUSDTSWAP,3,20250604,201800,0.3683,0.3688,0.3679,0.368,1918.62
ARBUSDTSWAP,3,20250604,202100,0.3681,0.3685,0.3678,0.368,896.62
ARBUSDTSWAP,3,20250604,202400,0.3679,0.368,0.3659,0.3662,8997.62
ARBUSDTSWAP,3,20250604,202700,0.3663,0.3666,0.3659,0.3659,4283.29
ARBUSDTSWAP,3,20250604,203000,0.3658,0.3658,0.3643,0.3646,15813.79
ARBUSDTSWAP,3,20250604,203300,0.3646,0.3656,0.3639,0.3652,5850.44
ARBUSDTSWAP,3,20250604,203600,0.3651,0.3651,0.364,0.3648,7657.39
ARBUSDTSWAP,3,20250604,203900,0.3649,0.3653,0.3643,0.3653,8507.94
ARBUSDTSWAP,3,20250604,204200,0.3652,0.3653,0.3646,0.3647,991.23
ARBUSDTSWAP,3,20250604,204500,0.3647,0.365,0.364,0.3643,1665.11
ARBUSDTSWAP,3,20250604,204800,0.3642,0.3653,0.3639,0.3643,2027.61
ARBUSDTSWAP,3,20250604,205100,0.3643,0.3649,0.3641,0.3647,460.4
ARBUSDTSWAP,3,20250604,205400,0.3648,0.3652,0.3648,0.3649,910.25
ARBUSDTSWAP,3,20250604,205700,0.3649,0.3652,0.3649,0.3652,1525.61
ARBUSDTSWAP,3,20250604,210000,0.3652,0.3663,0.3652,0.3657,11152.44
ARBUSDTSWAP,3,20250604,210300,0.3657,0.3672,0.3657,0.3672,11409.44
ARBUSDTSWAP,3,20250604,210600,0.3673,0.3673,0.3656,0.3657,4839.21
ARBUSDTSWAP,3,20250604,210900,0.3656,0.3668,0.3654,0.3668,1235.03
ARBUSDTSWAP,3,20250604,211200,0.3668,0.3669,0.3662,0.3668,862.71
ARBUSDTSWAP,3,20250604,211500,0.367,0.3672,0.3665,0.3672,496.92
ARBUSDTSWAP,3,20250604,211800,0.3671,0.3676,0.3663,0.3673,1783.96
ARBUSDTSWAP,3,20250604,212100,0.3672,0.3676,0.3672,0.3675,487.35
ARBUSDTSWAP,3,20250604,212400,0.3674,0.3679,0.3674,0.3679,1133.87
