<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ARCUSDTSWAP,60,20250531,190000,0.04006,0.04131,0.03987,0.04078,23810.9
ARCUSDTSWAP,60,20250531,200000,0.04079,0.04107,0.04017,0.04027,16454.11
ARCUSDTSWAP,60,20250531,210000,0.04027,0.04111,0.0402,0.04093,9968.15
ARCUSDTSWAP,60,20250531,220000,0.04094,0.0414,0.04069,0.0408,26673.68
ARCUSDTSWAP,60,20250531,230000,0.04079,0.04083,0.04054,0.04069,15696.77
ARCUSDTSWAP,60,20250601,000000,0.04067,0.0409,0.0404,0.0405,18258.51
ARCUSDTSWAP,60,20250601,010000,0.04051,0.04058,0.03992,0.0401,14178.7
ARCUSDTSWAP,60,20250601,020000,0.04009,0.0407,0.03993,0.04036,16227.87
ARCUSDTSWAP,60,20250601,030000,0.04037,0.04086,0.04,0.04048,21669.16
ARCUSDTSWAP,60,20250601,040000,0.04049,0.0406,0.03954,0.0396,19924.81
ARCUSDTSWAP,60,20250601,050000,0.03961,0.04011,0.03882,0.03978,29789.29
ARCUSDTSWAP,60,20250601,060000,0.03982,0.03984,0.03912,0.03925,16920.91
ARCUSDTSWAP,60,20250601,070000,0.03926,0.04022,0.03921,0.03997,16106.73
ARCUSDTSWAP,60,20250601,080000,0.03997,0.0401,0.03935,0.03955,10260.94
ARCUSDTSWAP,60,20250601,090000,0.03953,0.03982,0.03922,0.03935,10191.15
ARCUSDTSWAP,60,20250601,100000,0.03933,0.0396,0.03901,0.03955,10748.02
ARCUSDTSWAP,60,20250601,110000,0.03954,0.0396,0.03911,0.03927,11281.75
ARCUSDTSWAP,60,20250601,120000,0.03928,0.03947,0.03775,0.03841,36544.03
ARCUSDTSWAP,60,20250601,130000,0.03841,0.03898,0.03837,0.03885,13433.44
ARCUSDTSWAP,60,20250601,140000,0.03885,0.03932,0.03842,0.03906,21071.31
ARCUSDTSWAP,60,20250601,150000,0.03905,0.03916,0.03827,0.03865,22551.14
ARCUSDTSWAP,60,20250601,160000,0.03863,0.03979,0.03852,0.03942,28851.39
ARCUSDTSWAP,60,20250601,170000,0.03941,0.04058,0.03941,0.04013,26422.75
ARCUSDTSWAP,60,20250601,180000,0.04011,0.04081,0.03984,0.04042,21415.21
ARCUSDTSWAP,60,20250601,190000,0.04041,0.04128,0.04024,0.04066,39799.36
ARCUSDTSWAP,60,20250601,200000,0.04063,0.04129,0.04047,0.04082,23380.41
ARCUSDTSWAP,60,20250601,210000,0.04082,0.04084,0.03978,0.04045,28060.24
ARCUSDTSWAP,60,20250601,220000,0.04046,0.04119,0.04029,0.04115,14990.39
ARCUSDTSWAP,60,20250601,230000,0.04115,0.04263,0.04093,0.04215,30664.53
ARCUSDTSWAP,60,20250602,000000,0.04215,0.04285,0.04191,0.04264,18052.59
ARCUSDTSWAP,60,20250602,010000,0.04262,0.04362,0.04214,0.04218,36951.41
