<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ATHUSDTSWAP,60,20250531,190000,0.04753,0.04899,0.04735,0.04898,2258.29
ATHUSDTSWAP,60,20250531,200000,0.04898,0.04899,0.04764,0.04769,1245.17
ATHUSDTSWAP,60,20250531,210000,0.04767,0.04846,0.04765,0.04809,909.11
ATHUSDTSWAP,60,20250531,220000,0.04809,0.0482,0.04764,0.04767,837.34
ATHUSDTSWAP,60,20250531,230000,0.04769,0.04797,0.04761,0.04782,439.42
ATHUSDTSWAP,60,20250601,000000,0.04783,0.04846,0.04781,0.04798,862.42
ATHUSDTSWAP,60,20250601,010000,0.04798,0.04815,0.04762,0.04763,762.88
ATHUSDTSWAP,60,20250601,020000,0.04763,0.04805,0.04703,0.04721,1465.96
ATHUSDTSWAP,60,20250601,030000,0.04721,0.04723,0.04624,0.04657,4099.15
ATHUSDTSWAP,60,20250601,040000,0.0466,0.04694,0.046,0.04604,879.71
ATHUSDTSWAP,60,20250601,050000,0.04605,0.0481,0.04569,0.04802,4633.09
ATHUSDTSWAP,60,20250601,060000,0.04802,0.04867,0.04768,0.04774,3446.01
ATHUSDTSWAP,60,20250601,070000,0.04773,0.048,0.04717,0.0474,2229.61
ATHUSDTSWAP,60,20250601,080000,0.0474,0.04776,0.04708,0.04749,771.58
ATHUSDTSWAP,60,20250601,090000,0.0475,0.04762,0.04712,0.04717,685.9
ATHUSDTSWAP,60,20250601,100000,0.04715,0.04716,0.04663,0.04707,946.77
ATHUSDTSWAP,60,20250601,110000,0.04707,0.04714,0.04678,0.04703,963.99
ATHUSDTSWAP,60,20250601,120000,0.04702,0.04715,0.04573,0.04604,1687.5
ATHUSDTSWAP,60,20250601,130000,0.04604,0.04625,0.04546,0.04618,2395.14
ATHUSDTSWAP,60,20250601,140000,0.04616,0.04658,0.04587,0.04652,1575.35
ATHUSDTSWAP,60,20250601,150000,0.04653,0.04661,0.04551,0.04618,3433.82
ATHUSDTSWAP,60,20250601,160000,0.0462,0.0475,0.0462,0.04662,2526.86
ATHUSDTSWAP,60,20250601,170000,0.04661,0.04792,0.0466,0.04742,2267.9
ATHUSDTSWAP,60,20250601,180000,0.04741,0.04763,0.04716,0.04725,605.57
ATHUSDTSWAP,60,20250601,190000,0.04726,0.04813,0.04716,0.04724,2747.6
ATHUSDTSWAP,60,20250601,200000,0.04727,0.04727,0.04681,0.04686,773.34
ATHUSDTSWAP,60,20250601,210000,0.04688,0.04689,0.04632,0.04659,1025.59
ATHUSDTSWAP,60,20250601,220000,0.04659,0.04677,0.04657,0.04667,451.5
ATHUSDTSWAP,60,20250601,230000,0.04667,0.04688,0.04649,0.04659,395.99
ATHUSDTSWAP,60,20250602,000000,0.04658,0.04701,0.04654,0.04684,419.41
ATHUSDTSWAP,60,20250602,010000,0.04684,0.0477,0.04684,0.04741,1325.67
ATHUSDTSWAP,60,20250602,020000,0.04742,0.04791,0.04737,0.0476,876.56
ATHUSDTSWAP,60,20250602,030000,0.0476,0.0476,0.04687,0.0473,1177.05
ATHUSDTSWAP,60,20250602,040000,0.04729,0.04746,0.04681,0.04684,859.59
ATHUSDTSWAP,60,20250602,050000,0.04684,0.04747,0.04675,0.04699,849.86
ATHUSDTSWAP,60,20250602,060000,0.04702,0.04708,0.04675,0.0468,605.62
ATHUSDTSWAP,60,20250602,070000,0.0468,0.04705,0.04601,0.04607,1269.92
ATHUSDTSWAP,60,20250602,080000,0.04606,0.04667,0.04591,0.0461,1498.47
ATHUSDTSWAP,60,20250602,090000,0.04609,0.04681,0.04607,0.04648,808.33
ATHUSDTSWAP,60,20250602,100000,0.04649,0.04676,0.04574,0.0459,2461.55
ATHUSDTSWAP,60,20250602,110000,0.04591,0.04612,0.04528,0.04545,1418.94
ATHUSDTSWAP,60,20250602,120000,0.04547,0.04553,0.04499,0.04503,3188.81
ATHUSDTSWAP,60,20250602,130000,0.04504,0.04525,0.04456,0.04521,1889.79
ATHUSDTSWAP,60,20250602,140000,0.04518,0.04544,0.04497,0.04507,1203.19
ATHUSDTSWAP,60,20250602,150000,0.04511,0.0452,0.04472,0.04492,1014.66
ATHUSDTSWAP,60,20250602,160000,0.04493,0.04547,0.04477,0.04496,879.86
ATHUSDTSWAP,60,20250602,170000,0.04495,0.04605,0.04482,0.04597,1551.45
ATHUSDTSWAP,60,20250602,180000,0.04595,0.04648,0.04556,0.04591,1401.25
ATHUSDTSWAP,60,20250602,190000,0.04591,0.04627,0.04554,0.0459,787.68
ATHUSDTSWAP,60,20250602,200000,0.04588,0.04598,0.04537,0.0455,739.95
ATHUSDTSWAP,60,20250602,210000,0.04552,0.04594,0.04532,0.0454,713.16
ATHUSDTSWAP,60,20250602,220000,0.04541,0.04552,0.04511,0.04535,373.41
ATHUSDTSWAP,60,20250602,230000,0.04536,0.04639,0.04536,0.04635,776.47
ATHUSDTSWAP,60,20250603,000000,0.04634,0.04658,0.04614,0.0464,1601.93
ATHUSDTSWAP,60,20250603,010000,0.04641,0.0468,0.04639,0.04654,1076.94
ATHUSDTSWAP,60,20250603,020000,0.04655,0.04665,0.04637,0.04642,876.16
ATHUSDTSWAP,60,20250603,030000,0.04642,0.04682,0.04621,0.04648,1256.59
ATHUSDTSWAP,60,20250603,040000,0.04644,0.04699,0.04637,0.04695,948.4
ATHUSDTSWAP,60,20250603,050000,0.04696,0.04707,0.04606,0.04606,1713.34
ATHUSDTSWAP,60,20250603,060000,0.04607,0.04625,0.04567,0.04576,1385.42
ATHUSDTSWAP,60,20250603,070000,0.04578,0.04586,0.04513,0.04526,1426.83
ATHUSDTSWAP,60,20250603,080000,0.04528,0.04556,0.04524,0.0455,1065.85
ATHUSDTSWAP,60,20250603,090000,0.04548,0.04558,0.0452,0.04554,863.03
ATHUSDTSWAP,60,20250603,100000,0.04554,0.04557,0.04502,0.04507,584.28
ATHUSDTSWAP,60,20250603,110000,0.04507,0.04514,0.04458,0.04491,1353.32
ATHUSDTSWAP,60,20250603,120000,0.04491,0.04559,0.04491,0.04546,1204.35
ATHUSDTSWAP,60,20250603,130000,0.04548,0.04575,0.04537,0.04559,1183.53
ATHUSDTSWAP,60,20250603,140000,0.0456,0.04568,0.04533,0.04548,470.96
