<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ATHUSDTSWAP,3,20250604,172700,0.04938,0.04963,0.04923,0.0495,695.07
ATHUSDTSWAP,3,20250604,173000,0.04949,0.04982,0.04948,0.04975,135.21
ATHUSDTSWAP,3,20250604,173300,0.04974,0.04984,0.04974,0.04982,27.95
ATHUSDTSWAP,3,20250604,173600,0.0498,0.0498,0.04952,0.04952,111.7
ATHUSDTSWAP,3,20250604,173900,0.04957,0.04978,0.04953,0.04978,47.39
ATHUSDTSWAP,3,20250604,174200,0.04975,0.04978,0.04962,0.04962,93.13
ATHUSDTSWAP,3,20250604,174500,0.04961,0.04975,0.0496,0.04973,182.56
ATHUSDTSWAP,3,20250604,174800,0.04972,0.04984,0.04969,0.04976,194.85
ATHUSDTSWAP,3,20250604,175100,0.04974,0.04988,0.04966,0.04985,172.15
ATHUSDTSWAP,3,20250604,175400,0.04985,0.04992,0.04978,0.04991,306.08
ATHUSDTSWAP,3,20250604,175700,0.04991,0.04993,0.04986,0.04992,142.69
ATHUSDTSWAP,3,20250604,180000,0.0499,0.04998,0.04987,0.04991,164.47
ATHUSDTSWAP,3,20250604,180300,0.04989,0.04992,0.04975,0.04992,49.54
ATHUSDTSWAP,3,20250604,180600,0.04995,0.04998,0.04982,0.04983,68.38
ATHUSDTSWAP,3,20250604,180900,0.04983,0.04995,0.04983,0.04994,57.06
ATHUSDTSWAP,3,20250604,181200,0.04992,0.04998,0.04991,0.04991,37.79
ATHUSDTSWAP,3,20250604,181500,0.0499,0.05002,0.0499,0.04995,26.0
ATHUSDTSWAP,3,20250604,181800,0.04994,0.04995,0.04978,0.04978,32.61
ATHUSDTSWAP,3,20250604,182100,0.04978,0.04983,0.04972,0.04981,132.91
ATHUSDTSWAP,3,20250604,182400,0.04979,0.04988,0.04976,0.04978,59.85
ATHUSDTSWAP,3,20250604,182700,0.04979,0.04979,0.04969,0.04972,42.47
ATHUSDTSWAP,3,20250604,183000,0.04972,0.0499,0.04972,0.04988,116.84
ATHUSDTSWAP,3,20250604,183300,0.04988,0.04988,0.04977,0.04978,102.1
ATHUSDTSWAP,3,20250604,183600,0.04978,0.04986,0.04973,0.04983,183.94
ATHUSDTSWAP,3,20250604,183900,0.04983,0.04986,0.04979,0.04984,127.27
ATHUSDTSWAP,3,20250604,184200,0.04986,0.04987,0.04976,0.04982,89.15
ATHUSDTSWAP,3,20250604,184500,0.04983,0.04987,0.04965,0.04966,109.73
ATHUSDTSWAP,3,20250604,184800,0.04967,0.04973,0.04964,0.04969,29.06
ATHUSDTSWAP,3,20250604,185100,0.0497,0.04979,0.04968,0.04972,27.78
ATHUSDTSWAP,3,20250604,185400,0.04972,0.04979,0.04967,0.04973,29.83
ATHUSDTSWAP,3,20250604,185700,0.04974,0.04974,0.04956,0.04963,53.72
ATHUSDTSWAP,3,20250604,190000,0.0496,0.04969,0.04953,0.04966,70.23
ATHUSDTSWAP,3,20250604,190300,0.04964,0.04975,0.04964,0.04969,17.27
ATHUSDTSWAP,3,20250604,190600,0.0497,0.04977,0.04964,0.04966,88.07
ATHUSDTSWAP,3,20250604,190900,0.04967,0.04984,0.04965,0.04984,30.1
ATHUSDTSWAP,3,20250604,191200,0.04982,0.04986,0.04972,0.04985,52.76
ATHUSDTSWAP,3,20250604,191500,0.04983,0.04989,0.04978,0.0498,27.31
ATHUSDTSWAP,3,20250604,191800,0.0498,0.04985,0.04969,0.04973,82.82
ATHUSDTSWAP,3,20250604,192100,0.04975,0.04979,0.04973,0.04976,51.49
ATHUSDTSWAP,3,20250604,192400,0.04973,0.04975,0.04962,0.04965,65.2
ATHUSDTSWAP,3,20250604,192700,0.04965,0.04965,0.04946,0.04962,78.74
ATHUSDTSWAP,3,20250604,193000,0.04959,0.04968,0.04956,0.04967,31.39
ATHUSDTSWAP,3,20250604,193300,0.04966,0.04972,0.04961,0.04972,13.16
ATHUSDTSWAP,3,20250604,193600,0.04969,0.0497,0.04962,0.0497,51.38
ATHUSDTSWAP,3,20250604,193900,0.04968,0.04979,0.04968,0.04972,40.14
ATHUSDTSWAP,3,20250604,194200,0.04972,0.04974,0.04958,0.04968,31.72
ATHUSDTSWAP,3,20250604,194500,0.04967,0.04972,0.04962,0.04966,18.08
ATHUSDTSWAP,3,20250604,194800,0.04966,0.04973,0.04964,0.04973,24.93
ATHUSDTSWAP,3,20250604,195100,0.04972,0.04976,0.0497,0.04974,14.07
ATHUSDTSWAP,3,20250604,195400,0.04973,0.04985,0.04973,0.0498,66.49
ATHUSDTSWAP,3,20250604,195700,0.04979,0.04981,0.04968,0.04981,30.97
