<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AVAAIUSDTSWAP,1440,20250225,030000,0.05174,0.06435,0.04119,0.0594,3202975.62
AVAAIUSDTSWAP,1440,20250226,030000,0.05941,0.06467,0.05433,0.06237,2187277.12
AVAAIUSDTSWAP,1440,20250227,030000,0.0624,0.06268,0.05003,0.05049,1447338.3
AVAAIUSDTSWAP,1440,20250228,030000,0.05051,0.05864,0.04825,0.05219,1050274.33
AVAAIUSDTSWAP,1440,20250301,030000,0.05219,0.05291,0.03986,0.0404,844438.79
AVAAIUSDTSWAP,1440,20250302,030000,0.04041,0.05697,0.03991,0.05549,1229727.3
AVAAIUSDTSWAP,1440,20250303,030000,0.05553,0.06179,0.05269,0.054,1615396.69
AVAAIUSDTSWAP,1440,20250304,030000,0.05402,0.06141,0.04793,0.05311,1773889.26
AVAAIUSDTSWAP,1440,20250305,030000,0.05314,0.06399,0.04816,0.05586,1571707.8
AVAAIUSDTSWAP,1440,20250306,030000,0.05589,0.05715,0.04296,0.04463,1568581.97
AVAAIUSDTSWAP,1440,20250307,030000,0.04467,0.04733,0.03928,0.04004,1268104.78
AVAAIUSDTSWAP,1440,20250308,030000,0.04005,0.04475,0.03404,0.03495,1036215.29
AVAAIUSDTSWAP,1440,20250309,030000,0.03495,0.03923,0.03492,0.03702,800042.65
AVAAIUSDTSWAP,1440,20250310,030000,0.03703,0.0413,0.0341,0.03745,1006153.83
AVAAIUSDTSWAP,1440,20250311,030000,0.03745,0.03969,0.0335,0.03739,777894.02
AVAAIUSDTSWAP,1440,20250312,030000,0.03744,0.03966,0.0336,0.03919,1041605.02
AVAAIUSDTSWAP,1440,20250313,030000,0.03918,0.04467,0.03376,0.03614,1644756.89
AVAAIUSDTSWAP,1440,20250314,030000,0.03614,0.04159,0.03461,0.0385,1374989.16
AVAAIUSDTSWAP,1440,20250315,030000,0.03849,0.0456,0.03714,0.04175,1181922.51
AVAAIUSDTSWAP,1440,20250316,030000,0.04172,0.04628,0.04011,0.04019,1483375.46
AVAAIUSDTSWAP,1440,20250317,030000,0.04021,0.04659,0.04009,0.04329,1062056.6
AVAAIUSDTSWAP,1440,20250318,030000,0.04329,0.04364,0.03435,0.03631,924033.79
AVAAIUSDTSWAP,1440,20250319,030000,0.0363,0.04459,0.0363,0.04284,1831887.16
AVAAIUSDTSWAP,1440,20250320,030000,0.04282,0.04345,0.03805,0.03937,743178.78
AVAAIUSDTSWAP,1440,20250321,030000,0.03939,0.04166,0.03682,0.04043,451810.39
AVAAIUSDTSWAP,1440,20250322,030000,0.04044,0.04206,0.03771,0.03917,481539.66
