<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AVAAIUSDTSWAP,60,20250531,190000,0.04274,0.04443,0.04262,0.04428,28049.45
AVAAIUSDTSWAP,60,20250531,200000,0.04428,0.04439,0.04279,0.043,34895.03
AVAAIUSDTSWAP,60,20250531,210000,0.04298,0.04396,0.04294,0.04347,17770.55
AVAAIUSDTSWAP,60,20250531,220000,0.04346,0.04404,0.04343,0.04354,14674.88
AVAAIUSDTSWAP,60,20250531,230000,0.04353,0.04354,0.04311,0.04339,11054.88
AVAAIUSDTSWAP,60,20250601,000000,0.04337,0.04376,0.0431,0.04331,11417.54
AVAAIUSDTSWAP,60,20250601,010000,0.04332,0.04342,0.04281,0.04305,13604.86
AVAAIUSDTSWAP,60,20250601,020000,0.04304,0.04372,0.04289,0.04338,12549.6
AVAAIUSDTSWAP,60,20250601,030000,0.04338,0.04409,0.04315,0.0435,18954.24
AVAAIUSDTSWAP,60,20250601,040000,0.0435,0.04378,0.04259,0.04282,16896.1
AVAAIUSDTSWAP,60,20250601,050000,0.04281,0.04333,0.04218,0.04293,16945.14
AVAAIUSDTSWAP,60,20250601,060000,0.04294,0.04305,0.04246,0.04263,8251.57
AVAAIUSDTSWAP,60,20250601,070000,0.04263,0.04344,0.04227,0.04299,12654.8
AVAAIUSDTSWAP,60,20250601,080000,0.04299,0.04325,0.04257,0.04265,8664.81
AVAAIUSDTSWAP,60,20250601,090000,0.04267,0.04273,0.04212,0.04214,11202.45
AVAAIUSDTSWAP,60,20250601,100000,0.04214,0.04249,0.04144,0.04189,25158.46
AVAAIUSDTSWAP,60,20250601,110000,0.0419,0.04219,0.04144,0.04165,16115.12
AVAAIUSDTSWAP,60,20250601,120000,0.04166,0.04183,0.03996,0.04013,51821.46
AVAAIUSDTSWAP,60,20250601,130000,0.04013,0.04094,0.03998,0.04081,27180.25
AVAAIUSDTSWAP,60,20250601,140000,0.0408,0.04144,0.04008,0.0413,29757.28
AVAAIUSDTSWAP,60,20250601,150000,0.04131,0.04185,0.04075,0.04093,28007.77
AVAAIUSDTSWAP,60,20250601,160000,0.04091,0.0422,0.04064,0.04184,22212.7
AVAAIUSDTSWAP,60,20250601,170000,0.04184,0.04353,0.04182,0.04278,40175.23
AVAAIUSDTSWAP,60,20250601,180000,0.04278,0.04368,0.04272,0.04319,15554.64
AVAAIUSDTSWAP,60,20250601,190000,0.04318,0.04406,0.0427,0.04356,30140.33
AVAAIUSDTSWAP,60,20250601,200000,0.04355,0.04418,0.04334,0.04376,13807.96
AVAAIUSDTSWAP,60,20250601,210000,0.04375,0.04376,0.04259,0.04333,24165.31
AVAAIUSDTSWAP,60,20250601,220000,0.04334,0.04397,0.04328,0.04376,13357.13
AVAAIUSDTSWAP,60,20250601,230000,0.04377,0.0456,0.0433,0.04544,34907.23
AVAAIUSDTSWAP,60,20250602,000000,0.0454,0.04847,0.04521,0.04819,46228.32
