<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BABYUSDTSWAP,1440,20250410,030000,0.09553,0.108,0.06924,0.08307,41732382.14
BABYUSDTSWAP,1440,20250411,030000,0.08304,0.1248,0.075,0.11214,34902178.35
BABYUSDTSWAP,1440,20250412,030000,0.11218,0.16749,0.10635,0.14059,66520669.49
BABYUSDTSWAP,1440,20250413,030000,0.14059,0.14966,0.12121,0.12298,40356639.27
BABYUSDTSWAP,1440,20250414,030000,0.12297,0.13451,0.10016,0.10286,27379902.07
BABYUSDTSWAP,1440,20250415,030000,0.10286,0.10573,0.09075,0.09178,17763501.3
BABYUSDTSWAP,1440,20250416,030000,0.09177,0.09876,0.08323,0.08473,13042736.37
BABYUSDTSWAP,1440,20250417,030000,0.08474,0.08642,0.07382,0.07443,10871744.15
BABYUSDTSWAP,1440,20250418,030000,0.07443,0.07886,0.06926,0.07058,10249085.06
BABYUSDTSWAP,1440,20250419,030000,0.07057,0.07456,0.06613,0.07257,7868781.46
BABYUSDTSWAP,1440,20250420,030000,0.07257,0.07817,0.06971,0.07366,9469902.92
BABYUSDTSWAP,1440,20250421,030000,0.07367,0.08896,0.07161,0.08132,14169943.51
BABYUSDTSWAP,1440,20250422,030000,0.08134,0.08628,0.07644,0.08447,14213432.53
BABYUSDTSWAP,1440,20250423,030000,0.08447,0.09198,0.07782,0.07837,11628765.11
BABYUSDTSWAP,1440,20250424,030000,0.07839,0.07929,0.07141,0.07628,7166498.7
BABYUSDTSWAP,1440,20250425,030000,0.07628,0.07957,0.07456,0.07779,5385320.17
BABYUSDTSWAP,1440,20250426,030000,0.07779,0.08357,0.07773,0.08095,3995665.46
BABYUSDTSWAP,1440,20250427,030000,0.08094,0.08102,0.07548,0.07814,2663271.61
BABYUSDTSWAP,1440,20250428,030000,0.07813,0.08792,0.07742,0.08648,3974063.39
BABYUSDTSWAP,1440,20250429,030000,0.08649,0.0954,0.08649,0.08822,7977878.16
BABYUSDTSWAP,1440,20250430,030000,0.08821,0.10991,0.08716,0.10514,10293432.55
BABYUSDTSWAP,1440,20250501,030000,0.10514,0.11225,0.09781,0.09938,9093233.61
BABYUSDTSWAP,1440,20250502,030000,0.09936,0.10188,0.09632,0.10085,4407499.01
BABYUSDTSWAP,1440,20250503,030000,0.10084,0.10498,0.08839,0.08856,8625618.34
BABYUSDTSWAP,1440,20250504,030000,0.08857,0.08979,0.0835,0.08708,5014268.23
BABYUSDTSWAP,1440,20250505,030000,0.08708,0.08966,0.08235,0.08353,3974238.37
BABYUSDTSWAP,1440,20250506,030000,0.08354,0.08518,0.07504,0.07839,4976629.09
BABYUSDTSWAP,1440,20250507,030000,0.07839,0.08003,0.07603,0.07784,2985475.62
BABYUSDTSWAP,1440,20250508,030000,0.07785,0.08998,0.07754,0.08756,3668958.86
BABYUSDTSWAP,1440,20250509,030000,0.08756,0.09631,0.08461,0.09601,4716124.67
BABYUSDTSWAP,1440,20250510,030000,0.096,0.09984,0.08951,0.0964,4182017.66
BABYUSDTSWAP,1440,20250511,030000,0.09637,0.09989,0.09123,0.09865,4050752.3
BABYUSDTSWAP,1440,20250512,030000,0.09866,0.11539,0.09495,0.11246,7405405.98
BABYUSDTSWAP,1440,20250513,030000,0.11246,0.11358,0.09824,0.10428,5033058.46
BABYUSDTSWAP,1440,20250514,030000,0.10428,0.10831,0.09364,0.09466,3666216.49
BABYUSDTSWAP,1440,20250515,030000,0.09466,0.09567,0.08377,0.08688,3799623.53
BABYUSDTSWAP,1440,20250516,030000,0.08689,0.09062,0.08408,0.08524,2327409.3
BABYUSDTSWAP,1440,20250517,030000,0.08524,0.08562,0.07261,0.07568,3800885.44
BABYUSDTSWAP,1440,20250518,030000,0.07568,0.08582,0.07481,0.08526,3191777.81
BABYUSDTSWAP,1440,20250519,030000,0.08525,0.08737,0.07526,0.08308,3739864.9
BABYUSDTSWAP,1440,20250520,030000,0.08309,0.08494,0.07916,0.08202,2400497.02
BABYUSDTSWAP,1440,20250521,030000,0.08204,0.08742,0.07935,0.08544,2627292.36
BABYUSDTSWAP,1440,20250522,030000,0.08544,0.0962,0.08508,0.09093,4315242.29
BABYUSDTSWAP,1440,20250523,030000,0.09094,0.09351,0.07882,0.07972,3089360.66
BABYUSDTSWAP,1440,20250524,030000,0.07973,0.08368,0.07925,0.08346,1252417.58
BABYUSDTSWAP,1440,20250525,030000,0.08348,0.08447,0.07619,0.08203,1696185.21
BABYUSDTSWAP,1440,20250526,030000,0.08203,0.08622,0.08078,0.08237,1928503.07
BABYUSDTSWAP,1440,20250527,030000,0.08238,0.08402,0.07991,0.08144,1706187.67
BABYUSDTSWAP,1440,20250528,030000,0.08144,0.08179,0.07667,0.07889,1224473.12
BABYUSDTSWAP,1440,20250529,030000,0.0789,0.0811,0.07625,0.07676,1075441.32
BABYUSDTSWAP,1440,20250530,030000,0.07675,0.07736,0.06085,0.06147,2124857.06
BABYUSDTSWAP,1440,20250531,030000,0.06147,0.06513,0.05901,0.06463,1410405.05
BABYUSDTSWAP,1440,20250601,030000,0.06462,0.07024,0.06295,0.06874,1314958.0
BABYUSDTSWAP,1440,20250602,030000,0.06874,0.07042,0.06591,0.06926,1771920.88
BABYUSDTSWAP,1440,20250603,030000,0.06928,0.07137,0.06818,0.06876,882024.26
BABYUSDTSWAP,1440,20250604,030000,0.06877,0.07003,0.06606,0.06639,829494.32
