<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BABYUSDTSWAP,60,20250531,190000,0.06157,0.06295,0.06124,0.0625,64121.4
BABYUSDTSWAP,60,20250531,200000,0.0625,0.06258,0.06151,0.06156,30125.94
BABYUSDTSWAP,60,20250531,210000,0.06157,0.06247,0.06145,0.06236,27831.98
BABYUSDTSWAP,60,20250531,220000,0.06238,0.06318,0.0623,0.06296,32129.44
BABYUSDTSWAP,60,20250531,230000,0.06295,0.06428,0.06269,0.06396,46429.84
BABYUSDTSWAP,60,20250601,000000,0.06394,0.06488,0.06381,0.06458,34056.62
BABYUSDTSWAP,60,20250601,010000,0.0646,0.0647,0.06404,0.06436,19071.28
BABYUSDTSWAP,60,20250601,020000,0.06434,0.06513,0.06418,0.06463,48136.42
BABYUSDTSWAP,60,20250601,030000,0.06462,0.06585,0.06451,0.06544,54405.45
BABYUSDTSWAP,60,20250601,040000,0.06542,0.066,0.06402,0.06421,89342.0
BABYUSDTSWAP,60,20250601,050000,0.0642,0.06435,0.06295,0.06415,80858.87
BABYUSDTSWAP,60,20250601,060000,0.06416,0.06466,0.06326,0.06426,44250.9
BABYUSDTSWAP,60,20250601,070000,0.06426,0.06538,0.06426,0.06523,44676.83
BABYUSDTSWAP,60,20250601,080000,0.06522,0.0655,0.06499,0.06528,32285.07
BABYUSDTSWAP,60,20250601,090000,0.06527,0.06593,0.06494,0.06524,52238.32
BABYUSDTSWAP,60,20250601,100000,0.06525,0.06539,0.06455,0.06536,49959.18
BABYUSDTSWAP,60,20250601,110000,0.06535,0.06535,0.06468,0.06505,30376.31
BABYUSDTSWAP,60,20250601,120000,0.06506,0.06547,0.06367,0.06423,83418.11
BABYUSDTSWAP,60,20250601,130000,0.06424,0.06465,0.06392,0.06448,41102.81
BABYUSDTSWAP,60,20250601,140000,0.06448,0.06528,0.06442,0.06457,72925.53
BABYUSDTSWAP,60,20250601,150000,0.0646,0.06482,0.0642,0.06463,39471.96
BABYUSDTSWAP,60,20250601,160000,0.06464,0.0657,0.0645,0.06526,49832.53
BABYUSDTSWAP,60,20250601,170000,0.06525,0.06685,0.06515,0.06633,78145.81
BABYUSDTSWAP,60,20250601,180000,0.06634,0.06651,0.06592,0.06619,36335.68
BABYUSDTSWAP,60,20250601,190000,0.0662,0.06732,0.06595,0.06664,94921.73
BABYUSDTSWAP,60,20250601,200000,0.06663,0.06719,0.06651,0.06713,27659.91
BABYUSDTSWAP,60,20250601,210000,0.06714,0.06714,0.06561,0.06645,61099.62
BABYUSDTSWAP,60,20250601,220000,0.06646,0.06746,0.0664,0.06744,44586.75
BABYUSDTSWAP,60,20250601,230000,0.06743,0.06869,0.06716,0.06816,57437.55
BABYUSDTSWAP,60,20250602,000000,0.06816,0.06879,0.06745,0.06859,30466.22
BABYUSDTSWAP,60,20250602,010000,0.06858,0.06972,0.06857,0.06912,65696.76
BABYUSDTSWAP,60,20250602,020000,0.06912,0.07024,0.06852,0.06874,76327.76
BABYUSDTSWAP,60,20250602,030000,0.06874,0.06922,0.06811,0.06835,51010.44
BABYUSDTSWAP,60,20250602,040000,0.06836,0.06891,0.06775,0.06844,67521.84
BABYUSDTSWAP,60,20250602,050000,0.06842,0.06843,0.06721,0.06731,52135.42
BABYUSDTSWAP,60,20250602,060000,0.06731,0.06752,0.06624,0.06675,80486.54
BABYUSDTSWAP,60,20250602,070000,0.06673,0.06756,0.06661,0.06678,39951.78
BABYUSDTSWAP,60,20250602,080000,0.06677,0.0674,0.06591,0.06658,58922.92
BABYUSDTSWAP,60,20250602,090000,0.06659,0.0686,0.06613,0.06751,121617.91
BABYUSDTSWAP,60,20250602,100000,0.06751,0.06905,0.06751,0.06854,109830.13
BABYUSDTSWAP,60,20250602,110000,0.06852,0.06909,0.06804,0.06866,63640.49
BABYUSDTSWAP,60,20250602,120000,0.06867,0.06942,0.06821,0.06895,89317.01
BABYUSDTSWAP,60,20250602,130000,0.06893,0.06999,0.06871,0.06932,142339.07
BABYUSDTSWAP,60,20250602,140000,0.06932,0.06949,0.06774,0.06899,185415.33
BABYUSDTSWAP,60,20250602,150000,0.06898,0.06939,0.06793,0.06801,97388.24
