<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIGTIMEUSDTSWAP,1440,20250225,030000,0.05928,0.06429,0.05595,0.06316,938588.6
BIGTIMEUSDTSWAP,1440,20250226,030000,0.06317,0.06436,0.0601,0.06278,505794.36
BIGTIMEUSDTSWAP,1440,20250227,030000,0.0628,0.06594,0.06056,0.06202,407026.71
BIGTIMEUSDTSWAP,1440,20250228,030000,0.06202,0.06871,0.05838,0.06816,1504191.71
BIGTIMEUSDTSWAP,1440,20250301,030000,0.06817,0.06819,0.06347,0.06556,517084.17
BIGTIMEUSDTSWAP,1440,20250302,030000,0.06556,0.06952,0.06227,0.06867,668035.68
BIGTIMEUSDTSWAP,1440,20250303,030000,0.06869,0.06879,0.05491,0.05647,830682.87
BIGTIMEUSDTSWAP,1440,20250304,030000,0.05646,0.05691,0.05117,0.05571,777379.28
BIGTIMEUSDTSWAP,1440,20250305,030000,0.05568,0.05742,0.05426,0.05623,383824.18
BIGTIMEUSDTSWAP,1440,20250306,030000,0.05622,0.05728,0.05421,0.055,342483.19
BIGTIMEUSDTSWAP,1440,20250307,030000,0.05501,0.05787,0.05263,0.05365,944149.12
BIGTIMEUSDTSWAP,1440,20250308,030000,0.05365,0.05402,0.05186,0.05312,259280.69
BIGTIMEUSDTSWAP,1440,20250309,030000,0.05313,0.05328,0.0449,0.04658,468333.19
BIGTIMEUSDTSWAP,1440,20250310,030000,0.04659,0.05009,0.04373,0.04459,509192.5
BIGTIMEUSDTSWAP,1440,20250311,030000,0.04459,0.04742,0.04076,0.04619,553774.27
BIGTIMEUSDTSWAP,1440,20250312,030000,0.0462,0.04811,0.04466,0.04666,391183.72
BIGTIMEUSDTSWAP,1440,20250313,030000,0.04665,0.04716,0.04373,0.04538,296323.37
BIGTIMEUSDTSWAP,1440,20250314,030000,0.04539,0.04779,0.04509,0.04681,211286.95
BIGTIMEUSDTSWAP,1440,20250315,030000,0.04681,0.04878,0.04664,0.04845,250907.03
BIGTIMEUSDTSWAP,1440,20250316,030000,0.04844,0.04845,0.04446,0.04494,335773.82
BIGTIMEUSDTSWAP,1440,20250317,030000,0.04494,0.04869,0.04479,0.04811,294920.86
BIGTIMEUSDTSWAP,1440,20250318,030000,0.04812,0.05148,0.04658,0.04859,1040587.83
BIGTIMEUSDTSWAP,1440,20250319,030000,0.04858,0.04971,0.04765,0.0496,547287.07
BIGTIMEUSDTSWAP,1440,20250320,030000,0.04961,0.05219,0.04905,0.04975,694473.32
BIGTIMEUSDTSWAP,1440,20250321,030000,0.04973,0.05066,0.04787,0.04969,347233.31
BIGTIMEUSDTSWAP,1440,20250322,030000,0.04969,0.05372,0.04904,0.05362,697869.12
BIGTIMEUSDTSWAP,1440,20250323,030000,0.05362,0.05485,0.05121,0.05232,557064.56
BIGTIMEUSDTSWAP,1440,20250324,030000,0.05232,0.05506,0.05179,0.05446,554056.61
BIGTIMEUSDTSWAP,1440,20250325,030000,0.05444,0.05501,0.05211,0.05496,377858.4
