<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIGTIMEUSDTSWAP,3,20250604,172700,0.06362,0.06362,0.0635,0.06353,154.09
BIGTIMEUSDTSWAP,3,20250604,173000,0.06353,0.06357,0.06349,0.06357,193.45
BIGTIMEUSDTSWAP,3,20250604,173300,0.06357,0.06364,0.06352,0.06357,80.73
BIGTIMEUSDTSWAP,3,20250604,173600,0.06353,0.06353,0.0634,0.06341,255.26
BIGTIMEUSDTSWAP,3,20250604,173900,0.0634,0.06352,0.06337,0.06351,313.45
BIGTIMEUSDTSWAP,3,20250604,174200,0.0635,0.06361,0.06343,0.06361,318.39
BIGTIMEUSDTSWAP,3,20250604,174500,0.06363,0.06374,0.06358,0.06374,349.14
BIGTIMEUSDTSWAP,3,20250604,174800,0.06376,0.06378,0.06366,0.06367,258.1
BIGTIMEUSDTSWAP,3,20250604,175100,0.06368,0.0637,0.06365,0.06369,352.41
BIGTIMEUSDTSWAP,3,20250604,175400,0.0637,0.06387,0.0637,0.06387,421.95
BIGTIMEUSDTSWAP,3,20250604,175700,0.06387,0.064,0.06386,0.06398,512.43
BIGTIMEUSDTSWAP,3,20250604,180000,0.06398,0.06404,0.06388,0.06388,509.22
BIGTIMEUSDTSWAP,3,20250604,180300,0.06385,0.06387,0.06381,0.06382,729.61
BIGTIMEUSDTSWAP,3,20250604,180600,0.06384,0.06402,0.06383,0.0639,554.71
BIGTIMEUSDTSWAP,3,20250604,180900,0.0639,0.06402,0.0639,0.06399,656.25
BIGTIMEUSDTSWAP,3,20250604,181200,0.06402,0.0641,0.06402,0.06406,534.95
BIGTIMEUSDTSWAP,3,20250604,181500,0.06407,0.06428,0.06407,0.06425,382.88
BIGTIMEUSDTSWAP,3,20250604,181800,0.06425,0.06432,0.06419,0.06422,2501.83
BIGTIMEUSDTSWAP,3,20250604,182100,0.06422,0.06444,0.06415,0.06435,2002.7
BIGTIMEUSDTSWAP,3,20250604,182400,0.06436,0.06446,0.06436,0.06443,675.2
BIGTIMEUSDTSWAP,3,20250604,182700,0.06443,0.0645,0.06438,0.06439,748.93
BIGTIMEUSDTSWAP,3,20250604,183000,0.0644,0.06444,0.0643,0.06444,1167.38
BIGTIMEUSDTSWAP,3,20250604,183300,0.06443,0.06445,0.06436,0.06438,371.89
BIGTIMEUSDTSWAP,3,20250604,183600,0.06439,0.06459,0.06438,0.06457,1109.44
BIGTIMEUSDTSWAP,3,20250604,183900,0.06458,0.06458,0.06449,0.06451,146.85
BIGTIMEUSDTSWAP,3,20250604,184200,0.06453,0.06457,0.06446,0.06449,306.9
BIGTIMEUSDTSWAP,3,20250604,184500,0.0645,0.06455,0.06438,0.0644,118.36
BIGTIMEUSDTSWAP,3,20250604,184800,0.06439,0.0644,0.0643,0.06434,270.44
BIGTIMEUSDTSWAP,3,20250604,185100,0.06435,0.06447,0.06432,0.06444,116.86
BIGTIMEUSDTSWAP,3,20250604,185400,0.06443,0.06461,0.06441,0.06458,152.83
BIGTIMEUSDTSWAP,3,20250604,185700,0.06461,0.06463,0.06445,0.06453,233.57
BIGTIMEUSDTSWAP,3,20250604,190000,0.06453,0.06459,0.06449,0.06449,257.99
BIGTIMEUSDTSWAP,3,20250604,190300,0.06451,0.06458,0.06446,0.06446,207.59
BIGTIMEUSDTSWAP,3,20250604,190600,0.06441,0.06441,0.06428,0.0643,554.38
