<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIOUSDTSWAP,1440,20250225,030000,0.1032,0.1109,0.0932,0.1079,21730129.36
BIOUSDTSWAP,1440,20250226,030000,0.1079,0.1217,0.105,0.117,12993481.04
BIOUSDTSWAP,1440,20250227,030000,0.1171,0.132,0.1158,0.1218,21567219.21
BIOUSDTSWAP,1440,20250228,030000,0.1218,0.1325,0.1144,0.1267,24273804.21
BIOUSDTSWAP,1440,20250301,030000,0.1268,0.1328,0.1189,0.1219,13584739.56
BIOUSDTSWAP,1440,20250302,030000,0.122,0.1363,0.1191,0.1349,14129102.8
BIOUSDTSWAP,1440,20250303,030000,0.1349,0.1354,0.1033,0.1041,16140154.88
BIOUSDTSWAP,1440,20250304,030000,0.1041,0.1053,0.0889,0.1007,20817812.34
BIOUSDTSWAP,1440,20250305,030000,0.1007,0.108,0.0969,0.1057,7320291.74
BIOUSDTSWAP,1440,20250306,030000,0.1056,0.1123,0.102,0.1021,8674757.41
BIOUSDTSWAP,1440,20250307,030000,0.1022,0.1066,0.0986,0.1,7648995.17
BIOUSDTSWAP,1440,20250308,030000,0.0999,0.1003,0.0916,0.0936,5175191.53
BIOUSDTSWAP,1440,20250309,030000,0.0937,0.0938,0.08,0.0825,6837714.12
BIOUSDTSWAP,1440,20250310,030000,0.0826,0.0926,0.08,0.0826,7595600.04
BIOUSDTSWAP,1440,20250311,030000,0.0827,0.0884,0.0759,0.0845,6774078.49
BIOUSDTSWAP,1440,20250312,030000,0.0845,0.0875,0.0816,0.0859,3938730.22
BIOUSDTSWAP,1440,20250313,030000,0.086,0.0871,0.0795,0.0827,3782425.08
BIOUSDTSWAP,1440,20250314,030000,0.0827,0.0888,0.0824,0.0854,3040291.5
BIOUSDTSWAP,1440,20250315,030000,0.0854,0.096,0.0847,0.0938,3189485.72
BIOUSDTSWAP,1440,20250316,030000,0.0938,0.0938,0.0845,0.0852,4025784.57
BIOUSDTSWAP,1440,20250317,030000,0.0853,0.09383,0.085,0.09134,3339106.29
BIOUSDTSWAP,1440,20250318,030000,0.09133,0.09181,0.082,0.08588,3736208.47
BIOUSDTSWAP,1440,20250319,030000,0.08587,0.08961,0.08424,0.08937,3782251.92
BIOUSDTSWAP,1440,20250320,030000,0.08936,0.09618,0.0845,0.085,10312703.39
BIOUSDTSWAP,1440,20250321,030000,0.08505,0.08883,0.07912,0.08373,8923912.67
BIOUSDTSWAP,1440,20250322,030000,0.08373,0.08943,0.08134,0.0864,4332608.68
BIOUSDTSWAP,1440,20250323,030000,0.08641,0.08788,0.08476,0.0876,2542923.77
BIOUSDTSWAP,1440,20250324,030000,0.08757,0.10165,0.0855,0.09967,8136307.87
BIOUSDTSWAP,1440,20250325,030000,0.09966,0.10282,0.09601,0.10076,8413009.28
BIOUSDTSWAP,1440,20250326,030000,0.10076,0.10576,0.09613,0.09906,18662932.35
BIOUSDTSWAP,1440,20250327,030000,0.09905,0.10143,0.09479,0.09517,5086463.44
BIOUSDTSWAP,1440,20250328,030000,0.09516,0.09685,0.08571,0.08995,7281499.03
BIOUSDTSWAP,1440,20250329,030000,0.08995,0.09069,0.0765,0.07845,6290694.9
BIOUSDTSWAP,1440,20250330,030000,0.07844,0.08085,0.07672,0.0778,3465261.37
BIOUSDTSWAP,1440,20250331,030000,0.07782,0.07868,0.0724,0.07308,3447193.94
BIOUSDTSWAP,1440,20250401,030000,0.07308,0.07812,0.07236,0.07333,3114991.08
BIOUSDTSWAP,1440,20250402,030000,0.07334,0.07343,0.06671,0.06975,6731115.5
BIOUSDTSWAP,1440,20250403,030000,0.06975,0.07069,0.06181,0.06447,4297080.16
BIOUSDTSWAP,1440,20250404,030000,0.06447,0.06623,0.06162,0.0655,2814536.04
BIOUSDTSWAP,1440,20250405,030000,0.0655,0.06671,0.06358,0.06442,1499084.29
BIOUSDTSWAP,1440,20250406,030000,0.06441,0.06447,0.05253,0.05443,4447111.48
BIOUSDTSWAP,1440,20250407,030000,0.05441,0.06021,0.04961,0.05726,3796348.49
BIOUSDTSWAP,1440,20250408,030000,0.05728,0.06051,0.0551,0.05557,4261992.92
BIOUSDTSWAP,1440,20250409,030000,0.05557,0.06244,0.05317,0.06128,2766249.15
BIOUSDTSWAP,1440,20250410,030000,0.06125,0.06131,0.05387,0.05529,2878313.59
BIOUSDTSWAP,1440,20250411,030000,0.0553,0.05901,0.05523,0.05709,2832325.32
BIOUSDTSWAP,1440,20250412,030000,0.05708,0.06017,0.05568,0.05725,4265201.68
