<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIOUSDTSWAP,60,20250531,190000,0.06555,0.06799,0.06539,0.06769,402612.16
BIOUSDTSWAP,60,20250531,200000,0.06766,0.06815,0.06641,0.06647,291926.78
BIOUSDTSWAP,60,20250531,210000,0.06646,0.06783,0.06646,0.06735,107608.51
BIOUSDTSWAP,60,20250531,220000,0.0674,0.06844,0.06704,0.06817,353786.1
BIOUSDTSWAP,60,20250531,230000,0.06816,0.06823,0.0676,0.06791,170785.38
BIOUSDTSWAP,60,20250601,000000,0.0679,0.06815,0.06732,0.06783,144640.24
BIOUSDTSWAP,60,20250601,010000,0.06782,0.06803,0.06727,0.06731,86169.79
BIOUSDTSWAP,60,20250601,020000,0.06729,0.06776,0.06658,0.06693,148729.14
BIOUSDTSWAP,60,20250601,030000,0.0669,0.06701,0.06584,0.06635,329119.77
BIOUSDTSWAP,60,20250601,040000,0.06633,0.06691,0.06544,0.06568,198242.59
BIOUSDTSWAP,60,20250601,050000,0.06567,0.06603,0.06484,0.06573,227816.65
BIOUSDTSWAP,60,20250601,060000,0.06574,0.06595,0.06488,0.06529,170668.14
BIOUSDTSWAP,60,20250601,070000,0.06526,0.06644,0.06512,0.06575,202763.86
BIOUSDTSWAP,60,20250601,080000,0.06575,0.06604,0.06535,0.06578,129237.67
BIOUSDTSWAP,60,20250601,090000,0.06575,0.06608,0.06516,0.06544,99935.07
BIOUSDTSWAP,60,20250601,100000,0.0654,0.06599,0.06492,0.0659,122092.51
BIOUSDTSWAP,60,20250601,110000,0.0659,0.06601,0.0651,0.06563,163319.77
BIOUSDTSWAP,60,20250601,120000,0.06562,0.06594,0.06432,0.06493,280287.56
BIOUSDTSWAP,60,20250601,130000,0.0649,0.06554,0.06464,0.06519,120464.98
BIOUSDTSWAP,60,20250601,140000,0.06518,0.0662,0.0647,0.06595,172807.5
BIOUSDTSWAP,60,20250601,150000,0.06594,0.06596,0.06453,0.06522,273213.16
BIOUSDTSWAP,60,20250601,160000,0.0652,0.06572,0.065,0.06543,207837.71
BIOUSDTSWAP,60,20250601,170000,0.06539,0.06727,0.06539,0.0666,412495.55
BIOUSDTSWAP,60,20250601,180000,0.06663,0.06705,0.06574,0.06664,262282.07
BIOUSDTSWAP,60,20250601,190000,0.06661,0.06816,0.06633,0.06752,254838.74
BIOUSDTSWAP,60,20250601,200000,0.06751,0.06756,0.06642,0.06681,237871.35
BIOUSDTSWAP,60,20250601,210000,0.06679,0.06686,0.0649,0.06585,273788.51
BIOUSDTSWAP,60,20250601,220000,0.06587,0.06639,0.06563,0.06635,112681.04
BIOUSDTSWAP,60,20250601,230000,0.06633,0.06677,0.06585,0.06629,110837.96
BIOUSDTSWAP,60,20250602,000000,0.06626,0.06766,0.06625,0.06763,156272.49
BIOUSDTSWAP,60,20250602,010000,0.0676,0.0683,0.06726,0.06745,157333.32
BIOUSDTSWAP,60,20250602,020000,0.06745,0.06871,0.06745,0.06846,151460.05
BIOUSDTSWAP,60,20250602,030000,0.06846,0.06862,0.06801,0.06829,154990.15
BIOUSDTSWAP,60,20250602,040000,0.06829,0.06948,0.06783,0.06786,277812.46
BIOUSDTSWAP,60,20250602,050000,0.06788,0.06819,0.0672,0.0674,190909.78
BIOUSDTSWAP,60,20250602,060000,0.06743,0.06751,0.06659,0.06696,157811.01
BIOUSDTSWAP,60,20250602,070000,0.06692,0.06708,0.06586,0.06595,278186.64
BIOUSDTSWAP,60,20250602,080000,0.06598,0.06672,0.06561,0.06622,152613.26
BIOUSDTSWAP,60,20250602,090000,0.06622,0.06754,0.06565,0.06708,208952.51
BIOUSDTSWAP,60,20250602,100000,0.06709,0.06788,0.06702,0.06723,113886.95
BIOUSDTSWAP,60,20250602,110000,0.06718,0.06796,0.06633,0.06657,88959.69
BIOUSDTSWAP,60,20250602,120000,0.06659,0.06659,0.065,0.06534,149122.64
BIOUSDTSWAP,60,20250602,130000,0.06535,0.06564,0.06476,0.06531,187536.07
BIOUSDTSWAP,60,20250602,140000,0.06532,0.0659,0.06486,0.0657,118319.54
BIOUSDTSWAP,60,20250602,150000,0.0657,0.06641,0.06515,0.06617,127001.45
BIOUSDTSWAP,60,20250602,160000,0.06618,0.06652,0.06505,0.06539,149505.65
BIOUSDTSWAP,60,20250602,170000,0.06537,0.06707,0.06509,0.06617,201435.82
BIOUSDTSWAP,60,20250602,180000,0.06623,0.0668,0.06543,0.06641,168704.24
BIOUSDTSWAP,60,20250602,190000,0.06642,0.06662,0.06543,0.06643,139153.75
BIOUSDTSWAP,60,20250602,200000,0.06643,0.06704,0.06564,0.06693,152021.87
BIOUSDTSWAP,60,20250602,210000,0.06688,0.06805,0.06614,0.06634,199616.2
BIOUSDTSWAP,60,20250602,220000,0.06634,0.06655,0.06489,0.06581,276830.25
BIOUSDTSWAP,60,20250602,230000,0.06581,0.06783,0.06581,0.06775,198050.92
BIOUSDTSWAP,60,20250603,000000,0.06773,0.06909,0.06773,0.06889,153192.26
BIOUSDTSWAP,60,20250603,010000,0.06888,0.07004,0.06886,0.0691,208093.99
BIOUSDTSWAP,60,20250603,020000,0.06911,0.06992,0.06887,0.06961,244719.41
BIOUSDTSWAP,60,20250603,030000,0.06961,0.07129,0.0693,0.07061,321076.68
BIOUSDTSWAP,60,20250603,040000,0.07063,0.07296,0.07036,0.07273,296839.24
BIOUSDTSWAP,60,20250603,050000,0.07273,0.0729,0.07025,0.07042,224335.1
BIOUSDTSWAP,60,20250603,060000,0.07041,0.07156,0.06948,0.0714,383881.02
BIOUSDTSWAP,60,20250603,070000,0.07141,0.0715,0.06941,0.0697,270631.83
BIOUSDTSWAP,60,20250603,080000,0.06971,0.07061,0.06962,0.07057,88773.31
BIOUSDTSWAP,60,20250603,090000,0.07054,0.07069,0.06991,0.07069,79223.69
BIOUSDTSWAP,60,20250603,100000,0.07069,0.07073,0.0695,0.06957,120484.25
BIOUSDTSWAP,60,20250603,110000,0.06958,0.06991,0.06866,0.06935,191717.74
BIOUSDTSWAP,60,20250603,120000,0.06938,0.07007,0.06915,0.06956,131328.29
BIOUSDTSWAP,60,20250603,130000,0.0696,0.06989,0.06928,0.06968,104047.13
BIOUSDTSWAP,60,20250603,140000,0.06967,0.07009,0.06921,0.06953,95799.04
BIOUSDTSWAP,60,20250603,150000,0.06954,0.07027,0.06903,0.07001,172424.36
BIOUSDTSWAP,60,20250603,160000,0.07002,0.07135,0.06988,0.07043,216232.47
BIOUSDTSWAP,60,20250603,170000,0.07042,0.0715,0.06953,0.07144,190985.1
BIOUSDTSWAP,60,20250603,180000,0.07142,0.07185,0.07048,0.0707,218699.97
BIOUSDTSWAP,60,20250603,190000,0.07071,0.0708,0.06976,0.06995,126438.32
BIOUSDTSWAP,60,20250603,200000,0.06993,0.07117,0.0698,0.0707,99926.89
BIOUSDTSWAP,60,20250603,210000,0.07071,0.07072,0.06989,0.07022,70911.66
BIOUSDTSWAP,60,20250603,220000,0.07023,0.07161,0.07023,0.0714,125499.68
BIOUSDTSWAP,60,20250603,230000,0.07141,0.07145,0.06929,0.06989,183330.11
BIOUSDTSWAP,60,20250604,000000,0.06987,0.07013,0.0683,0.06867,164454.63
BIOUSDTSWAP,60,20250604,010000,0.06869,0.0699,0.06857,0.06941,111286.32
BIOUSDTSWAP,60,20250604,020000,0.06943,0.06967,0.06909,0.0695,68687.31
BIOUSDTSWAP,60,20250604,030000,0.06949,0.07026,0.06891,0.07011,99052.99
BIOUSDTSWAP,60,20250604,040000,0.07012,0.07143,0.07005,0.0702,155499.79
BIOUSDTSWAP,60,20250604,050000,0.07023,0.07087,0.0697,0.06971,101632.71
BIOUSDTSWAP,60,20250604,060000,0.06972,0.07064,0.06953,0.06986,123268.45
BIOUSDTSWAP,60,20250604,070000,0.06986,0.07014,0.06927,0.06972,84775.11
BIOUSDTSWAP,60,20250604,080000,0.06976,0.07011,0.06921,0.06925,78579.34
BIOUSDTSWAP,60,20250604,090000,0.06926,0.06958,0.06863,0.06878,86178.07
BIOUSDTSWAP,60,20250604,100000,0.0688,0.06912,0.0678,0.06809,160173.21
BIOUSDTSWAP,60,20250604,110000,0.06809,0.06864,0.06756,0.06767,170914.96
BIOUSDTSWAP,60,20250604,120000,0.06766,0.06791,0.06668,0.06759,186109.25
BIOUSDTSWAP,60,20250604,130000,0.0676,0.06784,0.06674,0.06688,102216.74
BIOUSDTSWAP,60,20250604,140000,0.06685,0.06703,0.06592,0.06608,128819.08
BIOUSDTSWAP,60,20250604,150000,0.06608,0.06652,0.06539,0.06547,132776.26
BIOUSDTSWAP,60,20250604,160000,0.06544,0.06592,0.06462,0.06516,319440.06
BIOUSDTSWAP,60,20250604,170000,0.06513,0.06623,0.06448,0.06618,271066.04
BIOUSDTSWAP,60,20250604,180000,0.06616,0.06754,0.06579,0.06735,164049.54
BIOUSDTSWAP,60,20250604,190000,0.06734,0.06734,0.06536,0.06556,307213.7
BIOUSDTSWAP,60,20250604,200000,0.06555,0.06562,0.06341,0.06402,328723.55
BIOUSDTSWAP,60,20250604,210000,0.06405,0.06452,0.06389,0.06416,139179.82
BIOUSDTSWAP,60,20250604,220000,0.06415,0.06456,0.06408,0.06446,41395.03
