<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BIOUSDTSWAP,3,20250604,172700,0.0652,0.06524,0.06505,0.06508,2592.61
BIOUSDTSWAP,3,20250604,173000,0.06508,0.06514,0.06492,0.06511,3297.21
BIOUSDTSWAP,3,20250604,173300,0.06514,0.06527,0.065,0.06512,4922.17
BIOUSDTSWAP,3,20250604,173600,0.06509,0.06509,0.0649,0.0649,2274.5
BIOUSDTSWAP,3,20250604,173900,0.0649,0.06522,0.06489,0.06517,2150.85
BIOUSDTSWAP,3,20250604,174200,0.06518,0.06518,0.06503,0.06517,4556.6
BIOUSDTSWAP,3,20250604,174500,0.06516,0.06531,0.06505,0.06528,4966.76
BIOUSDTSWAP,3,20250604,174800,0.0653,0.06555,0.0653,0.06537,12550.07
BIOUSDTSWAP,3,20250604,175100,0.06538,0.06557,0.06534,0.06557,11691.45
BIOUSDTSWAP,3,20250604,175400,0.06559,0.06608,0.06557,0.06602,33152.86
BIOUSDTSWAP,3,20250604,175700,0.06602,0.06623,0.0659,0.06618,25278.53
BIOUSDTSWAP,3,20250604,180000,0.06616,0.06622,0.06595,0.06595,19344.32
BIOUSDTSWAP,3,20250604,180300,0.06593,0.06606,0.06579,0.06588,8650.61
BIOUSDTSWAP,3,20250604,180600,0.06592,0.06628,0.06589,0.06601,9663.87
BIOUSDTSWAP,3,20250604,180900,0.06601,0.06624,0.06599,0.06619,7502.04
BIOUSDTSWAP,3,20250604,181200,0.06618,0.06634,0.06609,0.06625,6890.07
BIOUSDTSWAP,3,20250604,181500,0.06621,0.06663,0.06621,0.06652,17116.74
BIOUSDTSWAP,3,20250604,181800,0.0665,0.06674,0.06646,0.06651,21983.1
BIOUSDTSWAP,3,20250604,182100,0.06648,0.06684,0.06643,0.06673,6142.42
BIOUSDTSWAP,3,20250604,182400,0.06674,0.06695,0.06673,0.0668,5307.97
BIOUSDTSWAP,3,20250604,182700,0.06682,0.06691,0.06668,0.06675,8458.94
BIOUSDTSWAP,3,20250604,183000,0.06669,0.06685,0.06649,0.06682,5496.79
BIOUSDTSWAP,3,20250604,183300,0.06686,0.06715,0.06685,0.0669,5198.63
BIOUSDTSWAP,3,20250604,183600,0.06693,0.06731,0.06691,0.06728,9205.28
BIOUSDTSWAP,3,20250604,183900,0.06727,0.06746,0.06721,0.06746,10144.92
BIOUSDTSWAP,3,20250604,184200,0.06746,0.06749,0.06725,0.06739,6069.65
BIOUSDTSWAP,3,20250604,184500,0.06733,0.06753,0.06722,0.06722,9168.53
BIOUSDTSWAP,3,20250604,184800,0.06721,0.06725,0.06701,0.06708,2024.37
BIOUSDTSWAP,3,20250604,185100,0.06706,0.06734,0.06704,0.06719,1289.97
BIOUSDTSWAP,3,20250604,185400,0.06718,0.06754,0.06718,0.0675,2134.11
BIOUSDTSWAP,3,20250604,185700,0.06751,0.06751,0.06722,0.06735,3255.6
