<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BLURUSDTSWAP,60,20250531,190000,0.08795,0.08897,0.08763,0.08849,13119.94
BLURUSDTSWAP,60,20250531,200000,0.0885,0.0887,0.08786,0.08796,6819.9
BLURUSDTSWAP,60,20250531,210000,0.08796,0.08894,0.08794,0.08876,4643.76
BLURUSDTSWAP,60,20250531,220000,0.08873,0.08934,0.08873,0.08908,4770.57
BLURUSDTSWAP,60,20250531,230000,0.08908,0.08942,0.08882,0.08934,1692.52
BLURUSDTSWAP,60,20250601,000000,0.08936,0.08976,0.08924,0.0893,6480.39
BLURUSDTSWAP,60,20250601,010000,0.08931,0.08947,0.08871,0.08874,6409.42
BLURUSDTSWAP,60,20250601,020000,0.08873,0.08912,0.08842,0.08863,8244.88
BLURUSDTSWAP,60,20250601,030000,0.08863,0.08868,0.08801,0.08847,12479.99
BLURUSDTSWAP,60,20250601,040000,0.08848,0.08915,0.08771,0.08795,12673.7
BLURUSDTSWAP,60,20250601,050000,0.08794,0.08851,0.08735,0.08834,5411.21
BLURUSDTSWAP,60,20250601,060000,0.08835,0.08836,0.08753,0.08808,6529.15
BLURUSDTSWAP,60,20250601,070000,0.08809,0.0892,0.08802,0.08896,6437.0
BLURUSDTSWAP,60,20250601,080000,0.08897,0.08935,0.08849,0.08871,16103.13
BLURUSDTSWAP,60,20250601,090000,0.08873,0.08881,0.088,0.08802,9344.42
BLURUSDTSWAP,60,20250601,100000,0.08803,0.08803,0.08741,0.08764,11715.47
BLURUSDTSWAP,60,20250601,110000,0.08765,0.08787,0.08693,0.08723,7978.25
BLURUSDTSWAP,60,20250601,120000,0.08721,0.08745,0.08563,0.0862,16126.79
BLURUSDTSWAP,60,20250601,130000,0.08621,0.0867,0.08607,0.08669,6324.02
BLURUSDTSWAP,60,20250601,140000,0.08663,0.08704,0.08642,0.08676,5871.0
BLURUSDTSWAP,60,20250601,150000,0.08679,0.08701,0.08591,0.08618,7031.64
BLURUSDTSWAP,60,20250601,160000,0.08616,0.08716,0.08612,0.08688,5665.36
BLURUSDTSWAP,60,20250601,170000,0.0869,0.08845,0.0869,0.08806,22531.61
BLURUSDTSWAP,60,20250601,180000,0.08809,0.08858,0.08783,0.08828,7767.07
BLURUSDTSWAP,60,20250601,190000,0.08825,0.0898,0.08812,0.08914,15105.58
BLURUSDTSWAP,60,20250601,200000,0.08915,0.08948,0.08887,0.08898,7676.62
BLURUSDTSWAP,60,20250601,210000,0.08899,0.08899,0.08731,0.08809,9705.34
BLURUSDTSWAP,60,20250601,220000,0.08809,0.08842,0.08804,0.08832,5362.65
BLURUSDTSWAP,60,20250601,230000,0.08832,0.08863,0.08797,0.08818,4182.92
BLURUSDTSWAP,60,20250602,000000,0.08819,0.08893,0.08814,0.08882,7550.56
BLURUSDTSWAP,60,20250602,010000,0.0888,0.08919,0.08854,0.08868,7401.21
BLURUSDTSWAP,60,20250602,020000,0.08867,0.08945,0.08867,0.08928,10643.41
BLURUSDTSWAP,60,20250602,030000,0.08928,0.08946,0.0885,0.08895,19376.62
BLURUSDTSWAP,60,20250602,040000,0.08897,0.08936,0.08811,0.08814,7467.34
