<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BLURUSDTSWAP,3,20250604,172700,0.09191,0.09196,0.09177,0.09183,1099.52
BLURUSDTSWAP,3,20250604,173000,0.09183,0.09195,0.09183,0.09189,212.77
BLURUSDTSWAP,3,20250604,173300,0.09195,0.09201,0.09179,0.09185,253.51
BLURUSDTSWAP,3,20250604,173600,0.09188,0.09192,0.09178,0.09178,123.21
BLURUSDTSWAP,3,20250604,173900,0.09177,0.092,0.09177,0.09192,93.61
BLURUSDTSWAP,3,20250604,174200,0.09192,0.09207,0.09187,0.09205,263.08
BLURUSDTSWAP,3,20250604,174500,0.09204,0.09248,0.09203,0.09241,8101.91
BLURUSDTSWAP,3,20250604,174800,0.09241,0.09252,0.09227,0.09234,2443.41
BLURUSDTSWAP,3,20250604,175100,0.09234,0.09254,0.09227,0.09251,1150.83
BLURUSDTSWAP,3,20250604,175400,0.09251,0.09275,0.0925,0.09272,3187.62
BLURUSDTSWAP,3,20250604,175700,0.09271,0.09297,0.09265,0.09289,2837.02
BLURUSDTSWAP,3,20250604,180000,0.09289,0.09305,0.09289,0.09293,1056.62
BLURUSDTSWAP,3,20250604,180300,0.09295,0.093,0.0929,0.09297,2034.02
BLURUSDTSWAP,3,20250604,180600,0.09299,0.09332,0.09299,0.09308,1714.36
BLURUSDTSWAP,3,20250604,180900,0.09311,0.09336,0.09311,0.09336,1097.3
BLURUSDTSWAP,3,20250604,181200,0.09333,0.09343,0.09328,0.09333,1708.31
BLURUSDTSWAP,3,20250604,181500,0.09333,0.09372,0.09333,0.09364,2715.53
BLURUSDTSWAP,3,20250604,181800,0.09363,0.09377,0.09358,0.0936,1278.14
BLURUSDTSWAP,3,20250604,182100,0.09359,0.09394,0.09353,0.09384,755.55
BLURUSDTSWAP,3,20250604,182400,0.09384,0.09396,0.09381,0.09385,662.04
BLURUSDTSWAP,3,20250604,182700,0.09384,0.09398,0.09379,0.09379,673.58
BLURUSDTSWAP,3,20250604,183000,0.09382,0.09387,0.09359,0.09387,536.93
BLURUSDTSWAP,3,20250604,183300,0.09381,0.09387,0.09357,0.09362,2490.84
BLURUSDTSWAP,3,20250604,183600,0.09361,0.09396,0.09361,0.09389,2556.96
BLURUSDTSWAP,3,20250604,183900,0.09386,0.09403,0.09382,0.09392,1489.37
BLURUSDTSWAP,3,20250604,184200,0.09394,0.09399,0.09378,0.09383,850.06
BLURUSDTSWAP,3,20250604,184500,0.09384,0.09395,0.09369,0.09369,997.24
BLURUSDTSWAP,3,20250604,184800,0.09367,0.09376,0.09358,0.0937,1679.32
BLURUSDTSWAP,3,20250604,185100,0.09369,0.09396,0.09362,0.09391,1580.64
BLURUSDTSWAP,3,20250604,185400,0.09386,0.09414,0.09384,0.09414,2806.98
BLURUSDTSWAP,3,20250604,185700,0.09411,0.09411,0.09376,0.09387,668.28
BLURUSDTSWAP,3,20250604,190000,0.09389,0.09397,0.09383,0.0939,1424.59
BLURUSDTSWAP,3,20250604,190300,0.09392,0.09398,0.09371,0.09371,1583.49
BLURUSDTSWAP,3,20250604,190600,0.0937,0.09375,0.09358,0.09363,1043.63
BLURUSDTSWAP,3,20250604,190900,0.09363,0.09384,0.09363,0.09378,1558.75
BLURUSDTSWAP,3,20250604,191200,0.09379,0.09386,0.09369,0.09369,2981.21
BLURUSDTSWAP,3,20250604,191500,0.09362,0.09365,0.09336,0.09337,923.47
BLURUSDTSWAP,3,20250604,191800,0.09335,0.09362,0.09326,0.09362,1520.76
BLURUSDTSWAP,3,20250604,192100,0.09357,0.09366,0.09338,0.09346,2357.59
BLURUSDTSWAP,3,20250604,192400,0.0934,0.09342,0.09324,0.09324,1027.87
BLURUSDTSWAP,3,20250604,192700,0.09322,0.09329,0.09317,0.09325,1029.43
BLURUSDTSWAP,3,20250604,193000,0.09313,0.09331,0.0931,0.09331,1251.48
BLURUSDTSWAP,3,20250604,193300,0.09333,0.09353,0.09333,0.09349,1509.71
BLURUSDTSWAP,3,20250604,193600,0.09349,0.09349,0.09332,0.09337,1547.07
BLURUSDTSWAP,3,20250604,193900,0.09342,0.09355,0.09342,0.0935,918.88
BLURUSDTSWAP,3,20250604,194200,0.09348,0.09361,0.0933,0.09339,4906.02
BLURUSDTSWAP,3,20250604,194500,0.0934,0.09351,0.0933,0.09347,619.15
BLURUSDTSWAP,3,20250604,194800,0.09343,0.09348,0.09322,0.09345,4107.37
BLURUSDTSWAP,3,20250604,195100,0.09341,0.09341,0.09333,0.09341,615.48
BLURUSDTSWAP,3,20250604,195400,0.09341,0.09357,0.09339,0.09346,760.17
BLURUSDTSWAP,3,20250604,195700,0.09348,0.09348,0.09334,0.09346,169.11
BLURUSDTSWAP,3,20250604,200000,0.09346,0.09352,0.09322,0.09326,393.19
BLURUSDTSWAP,3,20250604,200300,0.09322,0.09328,0.0931,0.09315,1338.45
BLURUSDTSWAP,3,20250604,200600,0.09314,0.09314,0.09294,0.09301,225.96
BLURUSDTSWAP,3,20250604,200900,0.093,0.093,0.09287,0.09289,260.31
BLURUSDTSWAP,3,20250604,201200,0.0929,0.09306,0.0929,0.09294,30.01
BLURUSDTSWAP,3,20250604,201500,0.09296,0.09296,0.0927,0.09277,781.79
BLURUSDTSWAP,3,20250604,201800,0.09275,0.09282,0.09275,0.09279,62.51
BLURUSDTSWAP,3,20250604,202100,0.09282,0.09291,0.09277,0.09289,75.09
BLURUSDTSWAP,3,20250604,202400,0.09285,0.09287,0.09263,0.09272,126.93
BLURUSDTSWAP,3,20250604,202700,0.09268,0.09274,0.09245,0.09245,1014.01
BLURUSDTSWAP,3,20250604,203000,0.0924,0.09243,0.09213,0.09215,480.76
BLURUSDTSWAP,3,20250604,203300,0.09216,0.09233,0.09204,0.09223,305.33
BLURUSDTSWAP,3,20250604,203600,0.09223,0.09223,0.09186,0.09203,2539.92
BLURUSDTSWAP,3,20250604,203900,0.09202,0.09216,0.09193,0.09203,969.43
BLURUSDTSWAP,3,20250604,204200,0.09204,0.09204,0.09189,0.09192,366.5
BLURUSDTSWAP,3,20250604,204500,0.09192,0.09201,0.09179,0.0918,591.6
BLURUSDTSWAP,3,20250604,204800,0.09183,0.092,0.09177,0.09186,166.67
BLURUSDTSWAP,3,20250604,205100,0.09186,0.0921,0.09184,0.0921,147.34
BLURUSDTSWAP,3,20250604,205400,0.09212,0.09217,0.09208,0.09209,273.14
BLURUSDTSWAP,3,20250604,205700,0.09211,0.09216,0.0921,0.09215,66.69
BLURUSDTSWAP,3,20250604,210000,0.09217,0.09244,0.09217,0.09228,1438.13
BLURUSDTSWAP,3,20250604,210300,0.09228,0.09243,0.09224,0.09235,320.77
BLURUSDTSWAP,3,20250604,210600,0.09236,0.09236,0.09192,0.09197,923.32
BLURUSDTSWAP,3,20250604,210900,0.09195,0.09225,0.09195,0.09225,274.29
BLURUSDTSWAP,3,20250604,211200,0.09222,0.09226,0.09218,0.09219,52.75
BLURUSDTSWAP,3,20250604,211500,0.09219,0.09226,0.09211,0.09221,263.48
BLURUSDTSWAP,3,20250604,211800,0.0922,0.09247,0.09214,0.09234,1191.04
BLURUSDTSWAP,3,20250604,212100,0.09235,0.09239,0.09232,0.09235,201.88
BLURUSDTSWAP,3,20250604,212400,0.09235,0.09253,0.09235,0.0925,284.62
BLURUSDTSWAP,3,20250604,212700,0.09252,0.09261,0.09251,0.09257,113.06
BLURUSDTSWAP,3,20250604,213000,0.09255,0.09266,0.0924,0.09253,185.84
BLURUSDTSWAP,3,20250604,213300,0.09248,0.09248,0.09233,0.09233,59.0
BLURUSDTSWAP,3,20250604,213600,0.09235,0.09239,0.09234,0.09237,91.06
BLURUSDTSWAP,3,20250604,213900,0.09235,0.09235,0.09218,0.09222,115.53
BLURUSDTSWAP,3,20250604,214200,0.09225,0.09247,0.09225,0.09238,91.7
BLURUSDTSWAP,3,20250604,214500,0.0924,0.0924,0.09226,0.09229,1049.2
BLURUSDTSWAP,3,20250604,214800,0.09232,0.09235,0.09212,0.09216,851.19
BLURUSDTSWAP,3,20250604,215100,0.09214,0.09218,0.09208,0.09215,510.27
BLURUSDTSWAP,3,20250604,215400,0.09215,0.09217,0.09194,0.09202,348.14
BLURUSDTSWAP,3,20250604,215700,0.09205,0.09214,0.09199,0.09204,142.59
BLURUSDTSWAP,3,20250604,220000,0.09204,0.09208,0.09198,0.09208,525.18
BLURUSDTSWAP,3,20250604,220300,0.09204,0.09228,0.09201,0.09221,301.52
