<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BOMEUSDTSWAP,1440,20250225,030000,0.001687,0.001853,0.001587,0.001811,21984.91
BOMEUSDTSWAP,1440,20250226,030000,0.001812,0.001898,0.001743,0.001861,13325.59
BOMEUSDTSWAP,1440,20250227,030000,0.001862,0.001955,0.001807,0.00187,7782.75
BOMEUSDTSWAP,1440,20250228,030000,0.00187,0.001969,0.001684,0.001923,17861.88
BOMEUSDTSWAP,1440,20250301,030000,0.001924,0.001951,0.001759,0.001826,7580.0
BOMEUSDTSWAP,1440,20250302,030000,0.001826,0.002141,0.001814,0.002119,17181.79
BOMEUSDTSWAP,1440,20250303,030000,0.002119,0.002123,0.001685,0.001735,17520.94
BOMEUSDTSWAP,1440,20250304,030000,0.001735,0.001757,0.001507,0.001663,19279.82
BOMEUSDTSWAP,1440,20250305,030000,0.001663,0.001725,0.001601,0.00169,7691.84
BOMEUSDTSWAP,1440,20250306,030000,0.00169,0.001714,0.001572,0.001597,8910.9
BOMEUSDTSWAP,1440,20250307,030000,0.001598,0.001674,0.001495,0.001567,12863.71
BOMEUSDTSWAP,1440,20250308,030000,0.001567,0.001577,0.00136,0.001434,10232.37
BOMEUSDTSWAP,1440,20250309,030000,0.001434,0.001449,0.001216,0.001259,13456.38
BOMEUSDTSWAP,1440,20250310,030000,0.00126,0.001418,0.001219,0.001267,15594.18
BOMEUSDTSWAP,1440,20250311,030000,0.001268,0.001378,0.001147,0.001324,17605.5
BOMEUSDTSWAP,1440,20250312,030000,0.001325,0.001397,0.001292,0.001374,9641.78
BOMEUSDTSWAP,1440,20250313,030000,0.001374,0.001429,0.001306,0.001356,9131.32
BOMEUSDTSWAP,1440,20250314,030000,0.001355,0.001463,0.00135,0.001413,6563.93
BOMEUSDTSWAP,1440,20250315,030000,0.001414,0.001478,0.001398,0.001468,4866.14
BOMEUSDTSWAP,1440,20250316,030000,0.001469,0.001483,0.001349,0.001365,9307.64
BOMEUSDTSWAP,1440,20250317,030000,0.001366,0.001469,0.001362,0.001449,9903.57
BOMEUSDTSWAP,1440,20250318,030000,0.001449,0.001453,0.001329,0.001386,11497.67
BOMEUSDTSWAP,1440,20250319,030000,0.001387,0.001444,0.001358,0.001441,8647.3
BOMEUSDTSWAP,1440,20250320,030000,0.001441,0.001455,0.001365,0.001403,4628.53
BOMEUSDTSWAP,1440,20250321,030000,0.001403,0.001438,0.001316,0.001352,6177.38
BOMEUSDTSWAP,1440,20250322,030000,0.001352,0.001623,0.001343,0.001428,28386.76
BOMEUSDTSWAP,1440,20250323,030000,0.001427,0.001514,0.001415,0.001484,26596.72
BOMEUSDTSWAP,1440,20250324,030000,0.001484,0.001842,0.001449,0.001568,69249.74
BOMEUSDTSWAP,1440,20250325,030000,0.001567,0.001624,0.001514,0.001622,11516.85
BOMEUSDTSWAP,1440,20250326,030000,0.001621,0.001717,0.001571,0.001603,16060.41
BOMEUSDTSWAP,1440,20250327,030000,0.001604,0.001672,0.001545,0.001578,19498.49
BOMEUSDTSWAP,1440,20250328,030000,0.001578,0.001603,0.001386,0.001409,14854.22
BOMEUSDTSWAP,1440,20250329,030000,0.001409,0.001428,0.001295,0.001321,9607.38
BOMEUSDTSWAP,1440,20250330,030000,0.001321,0.001355,0.001286,0.001321,14430.61
BOMEUSDTSWAP,1440,20250331,030000,0.001322,0.001372,0.001283,0.001322,13945.3
BOMEUSDTSWAP,1440,20250401,030000,0.001321,0.001382,0.00126,0.001273,13111.03
BOMEUSDTSWAP,1440,20250402,030000,0.001273,0.001298,0.001143,0.00116,17598.24
BOMEUSDTSWAP,1440,20250403,030000,0.00116,0.001207,0.001078,0.001132,11896.91
BOMEUSDTSWAP,1440,20250404,030000,0.001131,0.001168,0.001082,0.001149,8284.86
BOMEUSDTSWAP,1440,20250405,030000,0.001149,0.001165,0.001111,0.001131,6002.91
BOMEUSDTSWAP,1440,20250406,030000,0.001131,0.001134,0.000956,0.000987,13633.46
BOMEUSDTSWAP,1440,20250407,030000,0.000987,0.001076,0.000889,0.001031,14243.92
BOMEUSDTSWAP,1440,20250408,030000,0.001032,0.00107,0.000966,0.000987,10049.28
BOMEUSDTSWAP,1440,20250409,030000,0.000986,0.001131,0.000941,0.001109,8021.62
BOMEUSDTSWAP,1440,20250410,030000,0.00111,0.001121,0.001029,0.001076,6097.69
BOMEUSDTSWAP,1440,20250411,030000,0.001076,0.001159,0.001068,0.001138,5968.61
BOMEUSDTSWAP,1440,20250412,030000,0.001138,0.001205,0.001113,0.001203,4127.49
BOMEUSDTSWAP,1440,20250413,030000,0.001203,0.001204,0.001097,0.001118,4705.05
BOMEUSDTSWAP,1440,20250414,030000,0.001117,0.001169,0.001105,0.001115,3468.83
BOMEUSDTSWAP,1440,20250415,030000,0.001115,0.00114,0.001077,0.001094,2808.58
BOMEUSDTSWAP,1440,20250416,030000,0.001094,0.001107,0.001037,0.001077,5418.35
BOMEUSDTSWAP,1440,20250417,030000,0.001077,0.001138,0.001069,0.001119,4699.7
BOMEUSDTSWAP,1440,20250418,030000,0.001119,0.001235,0.001109,0.001222,7506.44
BOMEUSDTSWAP,1440,20250419,030000,0.001223,0.001243,0.001183,0.001227,3728.21
BOMEUSDTSWAP,1440,20250420,030000,0.001227,0.001304,0.001212,0.001268,7060.89
BOMEUSDTSWAP,1440,20250421,030000,0.001268,0.00133,0.001257,0.001264,3157.82
BOMEUSDTSWAP,1440,20250422,030000,0.001265,0.00142,0.001241,0.001414,3215.88
BOMEUSDTSWAP,1440,20250423,030000,0.001415,0.001542,0.00141,0.001475,7271.61
BOMEUSDTSWAP,1440,20250424,030000,0.001475,0.001513,0.001376,0.001494,6745.43
BOMEUSDTSWAP,1440,20250425,030000,0.001494,0.001617,0.001467,0.001607,6057.51
BOMEUSDTSWAP,1440,20250426,030000,0.001607,0.00174,0.00154,0.001672,10219.71
BOMEUSDTSWAP,1440,20250427,030000,0.001672,0.001674,0.001483,0.001507,5555.15
BOMEUSDTSWAP,1440,20250428,030000,0.001508,0.001634,0.001455,0.001582,5782.83
BOMEUSDTSWAP,1440,20250429,030000,0.001582,0.001602,0.001472,0.0015,2471.14
BOMEUSDTSWAP,1440,20250430,030000,0.0015,0.001594,0.001468,0.001587,4260.39
BOMEUSDTSWAP,1440,20250501,030000,0.001587,0.001631,0.001557,0.001576,3223.8
BOMEUSDTSWAP,1440,20250502,030000,0.001576,0.001622,0.001539,0.001606,3234.16
BOMEUSDTSWAP,1440,20250503,030000,0.001606,0.001606,0.001424,0.001427,2460.61
BOMEUSDTSWAP,1440,20250504,030000,0.001427,0.001441,0.001372,0.001391,2526.06
BOMEUSDTSWAP,1440,20250505,030000,0.001391,0.00142,0.00134,0.00137,1878.62
BOMEUSDTSWAP,1440,20250506,030000,0.00137,0.001405,0.001301,0.001357,3152.27
BOMEUSDTSWAP,1440,20250507,030000,0.001358,0.001405,0.001328,0.001391,2390.23
BOMEUSDTSWAP,1440,20250508,030000,0.001392,0.001669,0.001387,0.001637,3990.99
BOMEUSDTSWAP,1440,20250509,030000,0.001637,0.002095,0.001634,0.002052,25417.84
BOMEUSDTSWAP,1440,20250510,030000,0.002053,0.002364,0.001987,0.0022,26218.51
BOMEUSDTSWAP,1440,20250511,030000,0.002198,0.00232,0.002009,0.002177,18294.37
BOMEUSDTSWAP,1440,20250512,030000,0.002176,0.00277,0.002162,0.002316,51364.93
BOMEUSDTSWAP,1440,20250513,030000,0.002316,0.003235,0.002114,0.003024,91644.06
BOMEUSDTSWAP,1440,20250514,030000,0.003024,0.003165,0.002622,0.00267,51784.64
BOMEUSDTSWAP,1440,20250515,030000,0.00267,0.002817,0.002292,0.002368,51328.41
BOMEUSDTSWAP,1440,20250516,030000,0.002368,0.002445,0.002167,0.00219,21416.23
BOMEUSDTSWAP,1440,20250517,030000,0.00219,0.002202,0.002037,0.002089,13078.95
BOMEUSDTSWAP,1440,20250518,030000,0.002088,0.002454,0.002076,0.002342,24623.53
BOMEUSDTSWAP,1440,20250519,030000,0.002343,0.002344,0.002036,0.002231,17827.92
BOMEUSDTSWAP,1440,20250520,030000,0.002232,0.002295,0.002074,0.002222,11418.85
