<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BOMEUSDTSWAP,3,20250604,172700,0.001898,0.001898,0.001895,0.001896,5.23
BOMEUSDTSWAP,3,20250604,173000,0.001896,0.001897,0.001892,0.001897,18.22
BOMEUSDTSWAP,3,20250604,173300,0.001898,0.001903,0.001897,0.0019,12.23
BOMEUSDTSWAP,3,20250604,173600,0.001899,0.0019,0.001894,0.001895,2.14
BOMEUSDTSWAP,3,20250604,173900,0.001895,0.001899,0.001894,0.001899,4.75
BOMEUSDTSWAP,3,20250604,174200,0.001899,0.0019,0.001896,0.0019,9.15
BOMEUSDTSWAP,3,20250604,174500,0.0019,0.001904,0.001896,0.001904,3.85
BOMEUSDTSWAP,3,20250604,174800,0.001905,0.001911,0.001903,0.001903,13.94
BOMEUSDTSWAP,3,20250604,175100,0.001903,0.001907,0.001901,0.001907,12.42
BOMEUSDTSWAP,3,20250604,175400,0.001907,0.001925,0.001907,0.001923,245.75
BOMEUSDTSWAP,3,20250604,175700,0.001923,0.00193,0.001921,0.001927,24.47
BOMEUSDTSWAP,3,20250604,180000,0.001927,0.001929,0.001919,0.001919,16.08
BOMEUSDTSWAP,3,20250604,180300,0.001919,0.001922,0.001917,0.001919,7.26
BOMEUSDTSWAP,3,20250604,180600,0.001919,0.001933,0.001919,0.001921,24.56
BOMEUSDTSWAP,3,20250604,180900,0.001922,0.001926,0.001921,0.001925,14.32
BOMEUSDTSWAP,3,20250604,181200,0.001924,0.001927,0.001922,0.001925,6.74
BOMEUSDTSWAP,3,20250604,181500,0.001925,0.001942,0.001925,0.001936,34.63
BOMEUSDTSWAP,3,20250604,181800,0.001936,0.001942,0.001934,0.001934,36.32
BOMEUSDTSWAP,3,20250604,182100,0.001934,0.001943,0.001931,0.00194,22.71
BOMEUSDTSWAP,3,20250604,182400,0.00194,0.001946,0.00194,0.001941,13.11
BOMEUSDTSWAP,3,20250604,182700,0.001941,0.001948,0.001937,0.001938,14.58
BOMEUSDTSWAP,3,20250604,183000,0.001938,0.001943,0.001932,0.001943,9.14
BOMEUSDTSWAP,3,20250604,183300,0.001943,0.001948,0.001941,0.001941,11.44
BOMEUSDTSWAP,3,20250604,183600,0.001941,0.001956,0.001941,0.001953,70.85
BOMEUSDTSWAP,3,20250604,183900,0.001952,0.001956,0.001948,0.001954,14.12
BOMEUSDTSWAP,3,20250604,184200,0.001956,0.001961,0.001951,0.001956,17.66
BOMEUSDTSWAP,3,20250604,184500,0.001956,0.001957,0.001946,0.001946,17.28
BOMEUSDTSWAP,3,20250604,184800,0.001946,0.001948,0.00194,0.001941,41.77
BOMEUSDTSWAP,3,20250604,185100,0.001941,0.001945,0.001938,0.001941,41.01
BOMEUSDTSWAP,3,20250604,185400,0.00194,0.00195,0.001939,0.001948,17.69
BOMEUSDTSWAP,3,20250604,185700,0.001947,0.001948,0.001942,0.001948,9.59
BOMEUSDTSWAP,3,20250604,190000,0.001948,0.001949,0.001938,0.001939,10.36
BOMEUSDTSWAP,3,20250604,190300,0.001939,0.00194,0.001935,0.001935,13.52
BOMEUSDTSWAP,3,20250604,190600,0.001935,0.001939,0.001933,0.001933,12.38
BOMEUSDTSWAP,3,20250604,190900,0.001934,0.001937,0.001933,0.001937,8.7
BOMEUSDTSWAP,3,20250604,191200,0.001936,0.001939,0.001932,0.001932,13.05
BOMEUSDTSWAP,3,20250604,191500,0.001931,0.001934,0.001924,0.001924,19.42
BOMEUSDTSWAP,3,20250604,191800,0.001924,0.001932,0.001921,0.001932,24.02
BOMEUSDTSWAP,3,20250604,192100,0.001931,0.001934,0.001924,0.001925,7.93
BOMEUSDTSWAP,3,20250604,192400,0.001925,0.001925,0.00192,0.001921,5.39
BOMEUSDTSWAP,3,20250604,192700,0.001921,0.001925,0.001921,0.001921,5.08
BOMEUSDTSWAP,3,20250604,193000,0.001921,0.001926,0.001919,0.001924,21.12
BOMEUSDTSWAP,3,20250604,193300,0.001924,0.001929,0.001924,0.001926,4.34
BOMEUSDTSWAP,3,20250604,193600,0.001927,0.001928,0.001922,0.001926,7.31
BOMEUSDTSWAP,3,20250604,193900,0.001925,0.001932,0.001925,0.001925,2.82
BOMEUSDTSWAP,3,20250604,194200,0.001925,0.001925,0.001921,0.001924,4.88
BOMEUSDTSWAP,3,20250604,194500,0.001924,0.001927,0.001921,0.001927,7.84
BOMEUSDTSWAP,3,20250604,194800,0.001927,0.001931,0.001925,0.001931,3.91
BOMEUSDTSWAP,3,20250604,195100,0.00193,0.001931,0.001929,0.00193,5.76
BOMEUSDTSWAP,3,20250604,195400,0.00193,0.001936,0.001929,0.00193,3.33
BOMEUSDTSWAP,3,20250604,195700,0.00193,0.00193,0.001926,0.00193,5.09
BOMEUSDTSWAP,3,20250604,200000,0.00193,0.001931,0.00192,0.001921,15.92
BOMEUSDTSWAP,3,20250604,200300,0.001923,0.001925,0.00192,0.001921,6.78
BOMEUSDTSWAP,3,20250604,200600,0.001921,0.001921,0.001915,0.001919,20.44
BOMEUSDTSWAP,3,20250604,200900,0.001919,0.001919,0.001912,0.001913,12.87
BOMEUSDTSWAP,3,20250604,201200,0.001913,0.001918,0.001912,0.001917,4.09
BOMEUSDTSWAP,3,20250604,201500,0.001916,0.001917,0.001909,0.001911,8.58
BOMEUSDTSWAP,3,20250604,201800,0.001912,0.001914,0.001911,0.001913,5.1
BOMEUSDTSWAP,3,20250604,202100,0.001913,0.001914,0.001909,0.001912,7.7
BOMEUSDTSWAP,3,20250604,202400,0.001911,0.001913,0.001904,0.001906,4.9
BOMEUSDTSWAP,3,20250604,202700,0.001906,0.001909,0.001902,0.001902,4.84
BOMEUSDTSWAP,3,20250604,203000,0.001901,0.001901,0.001888,0.001892,92.14
BOMEUSDTSWAP,3,20250604,203300,0.001891,0.001897,0.001884,0.001893,19.35
BOMEUSDTSWAP,3,20250604,203600,0.001892,0.001892,0.001886,0.001889,13.22
BOMEUSDTSWAP,3,20250604,203900,0.001889,0.001893,0.001888,0.00189,25.36
BOMEUSDTSWAP,3,20250604,204200,0.001889,0.001891,0.001886,0.001889,16.27
BOMEUSDTSWAP,3,20250604,204500,0.001889,0.001894,0.001888,0.001889,16.21
BOMEUSDTSWAP,3,20250604,204800,0.001889,0.001896,0.001888,0.001892,11.03
BOMEUSDTSWAP,3,20250604,205100,0.001892,0.001896,0.001891,0.001896,1.95
BOMEUSDTSWAP,3,20250604,205400,0.001896,0.001898,0.001895,0.001897,3.55
BOMEUSDTSWAP,3,20250604,205700,0.001897,0.001902,0.001897,0.001901,4.42
BOMEUSDTSWAP,3,20250604,210000,0.001901,0.001909,0.001901,0.001905,42.34
BOMEUSDTSWAP,3,20250604,210300,0.001906,0.001911,0.001906,0.001909,6.94
BOMEUSDTSWAP,3,20250604,210600,0.001909,0.001909,0.001897,0.001898,1.97
BOMEUSDTSWAP,3,20250604,210900,0.001899,0.001908,0.001899,0.001908,7.43
BOMEUSDTSWAP,3,20250604,211200,0.001907,0.001907,0.001903,0.001903,2.77
BOMEUSDTSWAP,3,20250604,211500,0.001904,0.001906,0.001903,0.001905,1.55
BOMEUSDTSWAP,3,20250604,211800,0.001905,0.001911,0.001902,0.001909,4.05
BOMEUSDTSWAP,3,20250604,212100,0.001909,0.001911,0.001908,0.00191,2.85
BOMEUSDTSWAP,3,20250604,212400,0.001911,0.001912,0.00191,0.001912,3.74
BOMEUSDTSWAP,3,20250604,212700,0.001912,0.001914,0.001912,0.001912,5.46
BOMEUSDTSWAP,3,20250604,213000,0.001913,0.001915,0.001907,0.001909,7.57
BOMEUSDTSWAP,3,20250604,213300,0.001909,0.001909,0.001905,0.001908,3.74
BOMEUSDTSWAP,3,20250604,213600,0.001908,0.001908,0.001903,0.001903,3.63
BOMEUSDTSWAP,3,20250604,213900,0.001903,0.001903,0.0019,0.001902,6.72
BOMEUSDTSWAP,3,20250604,214200,0.001902,0.001908,0.001901,0.001906,2.52
BOMEUSDTSWAP,3,20250604,214500,0.001907,0.001908,0.001903,0.001906,10.99
BOMEUSDTSWAP,3,20250604,214800,0.001907,0.001908,0.0019,0.001901,5.68
BOMEUSDTSWAP,3,20250604,215100,0.0019,0.001901,0.001899,0.0019,8.41
BOMEUSDTSWAP,3,20250604,215400,0.0019,0.0019,0.001893,0.001896,16.94
BOMEUSDTSWAP,3,20250604,215700,0.001896,0.001898,0.001895,0.001897,3.58
BOMEUSDTSWAP,3,20250604,220000,0.001896,0.001901,0.001896,0.001897,9.22
BOMEUSDTSWAP,3,20250604,220300,0.001896,0.001903,0.001896,0.001903,7.04
BOMEUSDTSWAP,3,20250604,220600,0.001903,0.001903,0.001897,0.001899,8.93
BOMEUSDTSWAP,3,20250604,220900,0.001899,0.001899,0.001893,0.001896,9.44
BOMEUSDTSWAP,3,20250604,221200,0.001897,0.001899,0.001897,0.001898,4.14
BOMEUSDTSWAP,3,20250604,221500,0.001897,0.001897,0.001892,0.001896,11.9
BOMEUSDTSWAP,3,20250604,221800,0.001897,0.001902,0.001897,0.001901,3.04
BOMEUSDTSWAP,3,20250604,222100,0.001901,0.001904,0.0019,0.001902,5.26
BOMEUSDTSWAP,3,20250604,222400,0.001902,0.001902,0.0019,0.0019,1.36
