<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BONKUSDTSWAP,60,20250531,190000,0.000016412,0.000016866,0.000016352,0.00001672,8.69
BONKUSDTSWAP,60,20250531,200000,0.00001672,0.000016749,0.000016435,0.000016448,4.53
BONKUSDTSWAP,60,20250531,210000,0.00001645,0.000016714,0.000016426,0.000016612,2.78
BONKUSDTSWAP,60,20250531,220000,0.000016615,0.000016775,0.000016615,0.00001668,1.92
BONKUSDTSWAP,60,20250531,230000,0.000016677,0.000016704,0.000016603,0.000016691,3.01
BONKUSDTSWAP,60,20250601,000000,0.000016694,0.000016805,0.000016603,0.00001668,4.63
BONKUSDTSWAP,60,20250601,010000,0.000016683,0.000016719,0.000016528,0.000016535,1.85
BONKUSDTSWAP,60,20250601,020000,0.000016534,0.000016736,0.000016482,0.00001655,4.64
BONKUSDTSWAP,60,20250601,030000,0.00001655,0.000016592,0.000016318,0.000016464,6.09
BONKUSDTSWAP,60,20250601,040000,0.000016462,0.000016555,0.000016272,0.000016357,5.13
BONKUSDTSWAP,60,20250601,050000,0.000016358,0.000016469,0.000016148,0.000016377,5.45
BONKUSDTSWAP,60,20250601,060000,0.000016379,0.000016445,0.000016218,0.00001636,3.76
BONKUSDTSWAP,60,20250601,070000,0.00001636,0.000016635,0.0000163,0.00001656,5.47
BONKUSDTSWAP,60,20250601,080000,0.00001656,0.000016647,0.000016348,0.000016407,3.0
BONKUSDTSWAP,60,20250601,090000,0.000016405,0.000016443,0.000016285,0.0000163,3.42
BONKUSDTSWAP,60,20250601,100000,0.000016301,0.000016365,0.000016173,0.000016288,3.69
BONKUSDTSWAP,60,20250601,110000,0.000016288,0.000016303,0.000016144,0.000016201,3.55
BONKUSDTSWAP,60,20250601,120000,0.000016206,0.000016281,0.000015904,0.000016089,8.65
BONKUSDTSWAP,60,20250601,130000,0.000016084,0.000016176,0.000015984,0.000016122,6.81
BONKUSDTSWAP,60,20250601,140000,0.000016121,0.000016322,0.000016042,0.000016195,5.25
BONKUSDTSWAP,60,20250601,150000,0.000016194,0.000016223,0.000015955,0.000016015,2.85
BONKUSDTSWAP,60,20250601,160000,0.000016015,0.000016197,0.000015973,0.000016137,3.78
BONKUSDTSWAP,60,20250601,170000,0.00001614,0.000016506,0.000016139,0.000016383,5.57
BONKUSDTSWAP,60,20250601,180000,0.000016384,0.000016526,0.000016334,0.000016448,4.57
BONKUSDTSWAP,60,20250601,190000,0.000016444,0.00001678,0.000016428,0.000016638,9.33
BONKUSDTSWAP,60,20250601,200000,0.00001664,0.00001678,0.000016544,0.000016646,5.08
BONKUSDTSWAP,60,20250601,210000,0.000016644,0.00001666,0.000016253,0.000016458,4.55
BONKUSDTSWAP,60,20250601,220000,0.00001646,0.000016599,0.000016451,0.000016572,3.36
BONKUSDTSWAP,60,20250601,230000,0.000016571,0.000016749,0.00001648,0.000016597,2.76
BONKUSDTSWAP,60,20250602,000000,0.000016598,0.000016815,0.000016569,0.000016788,2.33
BONKUSDTSWAP,60,20250602,010000,0.000016792,0.000016922,0.000016758,0.000016822,5.19
BONKUSDTSWAP,60,20250602,020000,0.00001682,0.000016981,0.000016802,0.000016857,4.69
BONKUSDTSWAP,60,20250602,030000,0.00001686,0.000017165,0.000016837,0.00001715,8.65
BONKUSDTSWAP,60,20250602,040000,0.000017154,0.000017307,0.00001688,0.000016935,9.85
BONKUSDTSWAP,60,20250602,050000,0.000016934,0.00001696,0.000016707,0.000016744,5.08
BONKUSDTSWAP,60,20250602,060000,0.000016744,0.000016751,0.000016535,0.000016622,5.96
BONKUSDTSWAP,60,20250602,070000,0.000016622,0.000016758,0.000016546,0.000016568,3.92
BONKUSDTSWAP,60,20250602,080000,0.00001657,0.000016736,0.000016476,0.000016612,2.84
BONKUSDTSWAP,60,20250602,090000,0.000016612,0.000016782,0.000016457,0.000016724,4.53
BONKUSDTSWAP,60,20250602,100000,0.000016724,0.000016916,0.000016674,0.000016727,5.84
BONKUSDTSWAP,60,20250602,110000,0.000016726,0.000016896,0.000016571,0.000016602,6.25
BONKUSDTSWAP,60,20250602,120000,0.000016605,0.000016609,0.000016323,0.00001637,5.54
BONKUSDTSWAP,60,20250602,130000,0.000016371,0.000016467,0.000016284,0.000016422,4.05
BONKUSDTSWAP,60,20250602,140000,0.000016424,0.000016479,0.000016294,0.000016397,3.15
BONKUSDTSWAP,60,20250602,150000,0.000016396,0.000016629,0.000016253,0.000016629,6.53
BONKUSDTSWAP,60,20250602,160000,0.000016629,0.000016831,0.000016468,0.00001652,16.03
BONKUSDTSWAP,60,20250602,170000,0.000016515,0.000017079,0.000016423,0.000016757,12.21
BONKUSDTSWAP,60,20250602,180000,0.000016757,0.000016875,0.000016573,0.000016722,4.56
BONKUSDTSWAP,60,20250602,190000,0.000016725,0.000016857,0.000016577,0.000016774,4.5
BONKUSDTSWAP,60,20250602,200000,0.000016774,0.000016875,0.000016651,0.000016819,4.63
BONKUSDTSWAP,60,20250602,210000,0.00001682,0.000017039,0.000016707,0.000016728,5.39
BONKUSDTSWAP,60,20250602,220000,0.000016729,0.000016835,0.000016516,0.000016678,5.79
BONKUSDTSWAP,60,20250602,230000,0.000016682,0.000017065,0.000016681,0.000017051,5.66
BONKUSDTSWAP,60,20250603,000000,0.00001705,0.000017274,0.000017016,0.000017271,5.47
BONKUSDTSWAP,60,20250603,010000,0.00001727,0.000017613,0.000017264,0.000017583,11.28
BONKUSDTSWAP,60,20250603,020000,0.000017586,0.000017627,0.000017447,0.00001747,6.03
BONKUSDTSWAP,60,20250603,030000,0.000017471,0.00001771,0.000017415,0.000017644,5.87
BONKUSDTSWAP,60,20250603,040000,0.000017647,0.000018067,0.000017626,0.000018065,9.11
BONKUSDTSWAP,60,20250603,050000,0.000018063,0.000018092,0.000017557,0.000017603,9.96
BONKUSDTSWAP,60,20250603,060000,0.000017599,0.000017672,0.000017372,0.000017586,5.44
BONKUSDTSWAP,60,20250603,070000,0.000017583,0.000017621,0.000017354,0.000017428,3.21
BONKUSDTSWAP,60,20250603,080000,0.00001743,0.000017658,0.00001742,0.000017632,4.72
BONKUSDTSWAP,60,20250603,090000,0.000017627,0.000017688,0.000017442,0.000017684,3.01
BONKUSDTSWAP,60,20250603,100000,0.000017682,0.000017754,0.000017536,0.000017565,3.01
BONKUSDTSWAP,60,20250603,110000,0.000017567,0.000017583,0.000017246,0.000017488,5.67
BONKUSDTSWAP,60,20250603,120000,0.000017493,0.000017558,0.000017373,0.000017469,2.83
BONKUSDTSWAP,60,20250603,130000,0.000017467,0.000017537,0.000017329,0.000017434,5.86
BONKUSDTSWAP,60,20250603,140000,0.000017435,0.000017512,0.000017364,0.0000174,2.82
BONKUSDTSWAP,60,20250603,150000,0.0000174,0.000017539,0.000017335,0.000017431,3.41
BONKUSDTSWAP,60,20250603,160000,0.000017433,0.000017697,0.000017391,0.00001746,8.9
BONKUSDTSWAP,60,20250603,170000,0.000017466,0.000017798,0.000017245,0.000017774,8.76
BONKUSDTSWAP,60,20250603,180000,0.000017781,0.000017862,0.000017596,0.000017626,6.37
BONKUSDTSWAP,60,20250603,190000,0.000017625,0.00001766,0.000017358,0.000017369,5.04
BONKUSDTSWAP,60,20250603,200000,0.00001737,0.000017636,0.000017343,0.000017487,4.04
BONKUSDTSWAP,60,20250603,210000,0.000017485,0.00001749,0.000017348,0.000017467,3.69
BONKUSDTSWAP,60,20250603,220000,0.000017469,0.000017667,0.000017466,0.000017565,3.25
BONKUSDTSWAP,60,20250603,230000,0.000017567,0.000017572,0.00001691,0.000016995,14.09
BONKUSDTSWAP,60,20250604,000000,0.000016994,0.000017029,0.000016563,0.000016597,11.12
BONKUSDTSWAP,60,20250604,010000,0.000016608,0.000016914,0.000016551,0.000016856,12.91
BONKUSDTSWAP,60,20250604,020000,0.000016857,0.000016864,0.000016687,0.000016748,3.53
BONKUSDTSWAP,60,20250604,030000,0.000016745,0.000016818,0.000016594,0.000016782,2.82
BONKUSDTSWAP,60,20250604,040000,0.000016785,0.000017079,0.000016765,0.000016859,7.95
BONKUSDTSWAP,60,20250604,050000,0.00001686,0.000016993,0.000016829,0.000016847,2.36
BONKUSDTSWAP,60,20250604,060000,0.000016851,0.000017059,0.000016834,0.000016926,3.85
BONKUSDTSWAP,60,20250604,070000,0.000016928,0.00001698,0.000016832,0.000016892,2.77
BONKUSDTSWAP,60,20250604,080000,0.000016893,0.000016946,0.000016822,0.000016856,2.72
BONKUSDTSWAP,60,20250604,090000,0.000016856,0.000016999,0.000016794,0.00001689,2.39
BONKUSDTSWAP,60,20250604,100000,0.000016894,0.000016962,0.000016745,0.000016868,3.02
BONKUSDTSWAP,60,20250604,110000,0.000016871,0.000017049,0.000016866,0.0000169,3.22
BONKUSDTSWAP,60,20250604,120000,0.000016902,0.000016933,0.000016735,0.000016869,2.99
BONKUSDTSWAP,60,20250604,130000,0.000016866,0.000016911,0.0000166,0.000016656,4.92
BONKUSDTSWAP,60,20250604,140000,0.000016653,0.000016729,0.000016564,0.000016584,2.95
BONKUSDTSWAP,60,20250604,150000,0.000016586,0.000016643,0.000016248,0.000016326,35.11
BONKUSDTSWAP,60,20250604,160000,0.000016323,0.00001652,0.000016294,0.00001639,5.09
BONKUSDTSWAP,60,20250604,170000,0.00001639,0.000016464,0.000016149,0.000016455,8.18
BONKUSDTSWAP,60,20250604,180000,0.000016453,0.000016694,0.000016406,0.000016619,6.0
BONKUSDTSWAP,60,20250604,190000,0.000016617,0.000016617,0.000016358,0.00001646,6.57
BONKUSDTSWAP,60,20250604,200000,0.000016458,0.000016459,0.000016155,0.000016267,2.74
BONKUSDTSWAP,60,20250604,210000,0.000016271,0.000016351,0.000016197,0.000016217,2.36
BONKUSDTSWAP,60,20250604,220000,0.000016217,0.000016268,0.000016158,0.000016231,0.74
