<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BONKUSDTSWAP,3,20250604,172700,0.000016267,0.000016267,0.000016209,0.000016222,0.22
BONKUSDTSWAP,3,20250604,173000,0.000016223,0.000016261,0.000016212,0.000016261,0.07
BONKUSDTSWAP,3,20250604,173300,0.000016263,0.000016299,0.000016245,0.000016274,0.16
BONKUSDTSWAP,3,20250604,173600,0.000016273,0.000016283,0.000016239,0.000016242,0.06
BONKUSDTSWAP,3,20250604,173900,0.000016245,0.000016297,0.000016245,0.000016286,0.2
BONKUSDTSWAP,3,20250604,174200,0.000016287,0.000016313,0.000016273,0.000016313,0.27
BONKUSDTSWAP,3,20250604,174500,0.000016311,0.000016328,0.000016282,0.000016323,0.15
BONKUSDTSWAP,3,20250604,174800,0.000016329,0.00001637,0.000016312,0.000016338,0.35
BONKUSDTSWAP,3,20250604,175100,0.000016335,0.00001634,0.000016322,0.00001634,0.05
BONKUSDTSWAP,3,20250604,175400,0.000016338,0.000016427,0.000016337,0.000016416,0.24
BONKUSDTSWAP,3,20250604,175700,0.000016414,0.000016464,0.000016414,0.000016455,0.46
BONKUSDTSWAP,3,20250604,180000,0.000016453,0.000016469,0.00001641,0.00001641,0.16
BONKUSDTSWAP,3,20250604,180300,0.000016409,0.000016484,0.000016406,0.000016472,0.44
BONKUSDTSWAP,3,20250604,180600,0.000016472,0.000016642,0.000016471,0.000016521,0.88
BONKUSDTSWAP,3,20250604,180900,0.00001652,0.000016574,0.000016509,0.000016545,0.48
BONKUSDTSWAP,3,20250604,181200,0.000016546,0.00001658,0.000016537,0.000016566,0.12
BONKUSDTSWAP,3,20250604,181500,0.000016563,0.000016669,0.000016563,0.000016614,0.28
BONKUSDTSWAP,3,20250604,181800,0.000016613,0.000016625,0.000016567,0.000016572,0.38
BONKUSDTSWAP,3,20250604,182100,0.000016572,0.000016657,0.000016548,0.000016612,0.68
BONKUSDTSWAP,3,20250604,182400,0.000016608,0.000016645,0.000016603,0.000016603,0.14
BONKUSDTSWAP,3,20250604,182700,0.000016603,0.00001664,0.0000166,0.000016636,0.13
BONKUSDTSWAP,3,20250604,183000,0.00001663,0.000016644,0.000016571,0.00001662,0.25
BONKUSDTSWAP,3,20250604,183300,0.000016634,0.000016644,0.000016577,0.000016586,0.16
BONKUSDTSWAP,3,20250604,183600,0.000016583,0.000016668,0.000016583,0.00001665,0.43
BONKUSDTSWAP,3,20250604,183900,0.000016652,0.000016677,0.000016612,0.000016668,0.27
BONKUSDTSWAP,3,20250604,184200,0.000016665,0.000016694,0.000016632,0.000016646,0.36
BONKUSDTSWAP,3,20250604,184500,0.000016648,0.000016667,0.0000166,0.0000166,0.13
BONKUSDTSWAP,3,20250604,184800,0.0000166,0.000016616,0.000016564,0.000016579,0.23
BONKUSDTSWAP,3,20250604,185100,0.000016581,0.000016625,0.000016574,0.000016592,0.09
BONKUSDTSWAP,3,20250604,185400,0.000016591,0.000016642,0.000016583,0.00001663,0.25
BONKUSDTSWAP,3,20250604,185700,0.000016631,0.000016635,0.000016579,0.000016619,0.2
BONKUSDTSWAP,3,20250604,190000,0.000016617,0.000016617,0.000016555,0.00001657,0.36
