<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRETTUSDTSWAP,1440,20250225,030000,0.04029,0.04098,0.0364,0.03968,55588.68
BRETTUSDTSWAP,1440,20250226,030000,0.0397,0.0404,0.0356,0.03797,40512.58
BRETTUSDTSWAP,1440,20250227,030000,0.03798,0.03952,0.03602,0.03727,30635.69
BRETTUSDTSWAP,1440,20250228,030000,0.03729,0.03879,0.03367,0.03817,47022.91
BRETTUSDTSWAP,1440,20250301,030000,0.03817,0.0393,0.03609,0.03763,26054.12
BRETTUSDTSWAP,1440,20250302,030000,0.03767,0.04613,0.03614,0.04583,35413.27
BRETTUSDTSWAP,1440,20250303,030000,0.04584,0.04606,0.0382,0.03916,45917.74
BRETTUSDTSWAP,1440,20250304,030000,0.03915,0.03971,0.03397,0.03856,59302.66
BRETTUSDTSWAP,1440,20250305,030000,0.03855,0.04323,0.03808,0.04215,31744.96
BRETTUSDTSWAP,1440,20250306,030000,0.04215,0.04541,0.04063,0.04185,33742.93
BRETTUSDTSWAP,1440,20250307,030000,0.04189,0.04274,0.0374,0.03797,43893.93
BRETTUSDTSWAP,1440,20250308,030000,0.03797,0.03836,0.03495,0.0355,33315.3
BRETTUSDTSWAP,1440,20250309,030000,0.03551,0.03603,0.03031,0.03084,33114.39
BRETTUSDTSWAP,1440,20250310,030000,0.03086,0.03312,0.02618,0.02766,35022.77
BRETTUSDTSWAP,1440,20250311,030000,0.02767,0.0301,0.02547,0.02901,29230.95
BRETTUSDTSWAP,1440,20250312,030000,0.02902,0.03132,0.02813,0.03118,27247.43
BRETTUSDTSWAP,1440,20250313,030000,0.03118,0.03246,0.02961,0.0309,19575.3
BRETTUSDTSWAP,1440,20250314,030000,0.03088,0.03361,0.03072,0.03193,17026.68
BRETTUSDTSWAP,1440,20250315,030000,0.03194,0.03443,0.03178,0.03392,13091.38
BRETTUSDTSWAP,1440,20250316,030000,0.03394,0.03471,0.03129,0.03182,19745.88
BRETTUSDTSWAP,1440,20250317,030000,0.0318,0.03466,0.03179,0.03364,16330.67
BRETTUSDTSWAP,1440,20250318,030000,0.03365,0.03389,0.03158,0.03339,10611.06
BRETTUSDTSWAP,1440,20250319,030000,0.03337,0.03424,0.03118,0.03402,22937.14
BRETTUSDTSWAP,1440,20250320,030000,0.03401,0.03444,0.03212,0.03247,8735.64
BRETTUSDTSWAP,1440,20250321,030000,0.03248,0.03344,0.03117,0.03197,13047.09
BRETTUSDTSWAP,1440,20250322,030000,0.032,0.03466,0.03174,0.03347,13027.23
BRETTUSDTSWAP,1440,20250323,030000,0.03346,0.03422,0.03189,0.03291,7543.19
BRETTUSDTSWAP,1440,20250324,030000,0.03289,0.03822,0.0323,0.03622,16651.71
BRETTUSDTSWAP,1440,20250325,030000,0.03619,0.03828,0.03549,0.03774,15760.89
BRETTUSDTSWAP,1440,20250326,030000,0.03773,0.04187,0.0372,0.03746,18764.37
BRETTUSDTSWAP,1440,20250327,030000,0.03746,0.03966,0.03552,0.0365,13401.91
BRETTUSDTSWAP,1440,20250328,030000,0.03653,0.03707,0.03307,0.03388,11421.94
BRETTUSDTSWAP,1440,20250329,030000,0.0339,0.03428,0.02989,0.03055,14442.08
BRETTUSDTSWAP,1440,20250330,030000,0.03056,0.03133,0.02961,0.03025,8190.63
BRETTUSDTSWAP,1440,20250331,030000,0.03025,0.03106,0.0293,0.03001,8804.72
BRETTUSDTSWAP,1440,20250401,030000,0.03001,0.03416,0.02987,0.03255,12394.91
BRETTUSDTSWAP,1440,20250402,030000,0.03253,0.03321,0.02881,0.02929,16778.52
BRETTUSDTSWAP,1440,20250403,030000,0.0293,0.03137,0.02865,0.03052,17140.21
BRETTUSDTSWAP,1440,20250404,030000,0.03053,0.03172,0.02945,0.0306,10269.16
BRETTUSDTSWAP,1440,20250405,030000,0.03061,0.03088,0.02951,0.02993,3390.7
