<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRETTUSDTSWAP,60,20250531,190000,0.05223,0.05375,0.05206,0.05337,1002.24
BRETTUSDTSWAP,60,20250531,200000,0.05336,0.05339,0.05228,0.05241,2108.95
BRETTUSDTSWAP,60,20250531,210000,0.05242,0.05424,0.05229,0.05395,3534.31
BRETTUSDTSWAP,60,20250531,220000,0.05398,0.05447,0.05375,0.0541,1140.98
BRETTUSDTSWAP,60,20250531,230000,0.05413,0.05454,0.05385,0.05413,592.94
BRETTUSDTSWAP,60,20250601,000000,0.05413,0.05426,0.0535,0.05366,988.31
BRETTUSDTSWAP,60,20250601,010000,0.05374,0.05384,0.05284,0.05304,836.84
BRETTUSDTSWAP,60,20250601,020000,0.05304,0.05345,0.05269,0.05276,601.69
BRETTUSDTSWAP,60,20250601,030000,0.05278,0.05352,0.05232,0.05314,978.33
BRETTUSDTSWAP,60,20250601,040000,0.05313,0.05342,0.05225,0.05253,1249.25
BRETTUSDTSWAP,60,20250601,050000,0.05252,0.05324,0.05185,0.0528,952.03
BRETTUSDTSWAP,60,20250601,060000,0.05282,0.05301,0.052,0.05244,797.74
BRETTUSDTSWAP,60,20250601,070000,0.05245,0.05369,0.05226,0.05337,588.12
BRETTUSDTSWAP,60,20250601,080000,0.05333,0.05482,0.05332,0.05429,2587.04
BRETTUSDTSWAP,60,20250601,090000,0.05424,0.05452,0.05368,0.05401,1459.6
BRETTUSDTSWAP,60,20250601,100000,0.05397,0.05485,0.05372,0.05464,1202.18
BRETTUSDTSWAP,60,20250601,110000,0.05463,0.05476,0.05383,0.05402,815.74
BRETTUSDTSWAP,60,20250601,120000,0.05406,0.05438,0.04585,0.04821,13892.5
BRETTUSDTSWAP,60,20250601,130000,0.04822,0.04972,0.04767,0.0496,5428.66
BRETTUSDTSWAP,60,20250601,140000,0.04958,0.05035,0.04889,0.05014,2618.07
BRETTUSDTSWAP,60,20250601,150000,0.05019,0.05037,0.04904,0.04946,3028.06
BRETTUSDTSWAP,60,20250601,160000,0.04946,0.05218,0.04922,0.05142,4043.8
BRETTUSDTSWAP,60,20250601,170000,0.05142,0.05324,0.0514,0.05207,2162.93
BRETTUSDTSWAP,60,20250601,180000,0.05205,0.05339,0.05192,0.05295,1486.55
BRETTUSDTSWAP,60,20250601,190000,0.05287,0.05406,0.05262,0.05282,2066.95
BRETTUSDTSWAP,60,20250601,200000,0.05283,0.05346,0.0524,0.0528,1030.98
BRETTUSDTSWAP,60,20250601,210000,0.05275,0.0528,0.0511,0.05197,2107.42
BRETTUSDTSWAP,60,20250601,220000,0.05198,0.05257,0.05176,0.05244,791.34
BRETTUSDTSWAP,60,20250601,230000,0.05244,0.05553,0.05194,0.05396,5687.9
BRETTUSDTSWAP,60,20250602,000000,0.05395,0.05526,0.05375,0.05516,1598.92
BRETTUSDTSWAP,60,20250602,010000,0.05514,0.05588,0.05429,0.05457,2019.5
BRETTUSDTSWAP,60,20250602,020000,0.05455,0.0553,0.05435,0.05464,1146.37
BRETTUSDTSWAP,60,20250602,030000,0.05461,0.05497,0.0537,0.054,2703.9
BRETTUSDTSWAP,60,20250602,040000,0.05403,0.05516,0.05356,0.05487,2659.09
BRETTUSDTSWAP,60,20250602,050000,0.05486,0.05497,0.05348,0.05369,1534.82
BRETTUSDTSWAP,60,20250602,060000,0.05371,0.05388,0.05285,0.05371,962.91
BRETTUSDTSWAP,60,20250602,070000,0.0537,0.05398,0.0529,0.05311,448.07
BRETTUSDTSWAP,60,20250602,080000,0.0531,0.05355,0.0527,0.05331,612.08
BRETTUSDTSWAP,60,20250602,090000,0.0533,0.05432,0.05285,0.0539,780.79
BRETTUSDTSWAP,60,20250602,100000,0.05389,0.05528,0.05389,0.0549,1702.01
BRETTUSDTSWAP,60,20250602,110000,0.05489,0.05538,0.05359,0.05377,1526.05
BRETTUSDTSWAP,60,20250602,120000,0.0538,0.05385,0.05218,0.05282,3456.7
BRETTUSDTSWAP,60,20250602,130000,0.05285,0.05403,0.05254,0.05365,4629.66
BRETTUSDTSWAP,60,20250602,140000,0.05367,0.05408,0.05312,0.05378,1512.74
BRETTUSDTSWAP,60,20250602,150000,0.05376,0.05407,0.05316,0.05397,1744.89
BRETTUSDTSWAP,60,20250602,160000,0.05398,0.05451,0.05319,0.05329,1937.34
BRETTUSDTSWAP,60,20250602,170000,0.05326,0.05454,0.05268,0.05315,4325.19
BRETTUSDTSWAP,60,20250602,180000,0.05309,0.05309,0.05015,0.05154,9956.39
BRETTUSDTSWAP,60,20250602,190000,0.05155,0.05164,0.0503,0.05134,3463.08
BRETTUSDTSWAP,60,20250602,200000,0.05133,0.05166,0.05054,0.05131,1295.47
BRETTUSDTSWAP,60,20250602,210000,0.05131,0.05246,0.05082,0.05096,1452.23
BRETTUSDTSWAP,60,20250602,220000,0.05093,0.05143,0.04979,0.05052,1652.02
BRETTUSDTSWAP,60,20250602,230000,0.05051,0.05211,0.05036,0.05199,1095.01
BRETTUSDTSWAP,60,20250603,000000,0.05196,0.05302,0.05187,0.05293,1213.37
BRETTUSDTSWAP,60,20250603,010000,0.0529,0.05374,0.05287,0.05311,2261.37
BRETTUSDTSWAP,60,20250603,020000,0.0531,0.05364,0.05283,0.05291,1821.65
BRETTUSDTSWAP,60,20250603,030000,0.05291,0.05466,0.05273,0.05392,3133.44
BRETTUSDTSWAP,60,20250603,040000,0.05391,0.05533,0.05391,0.055,2101.57
BRETTUSDTSWAP,60,20250603,050000,0.05498,0.05509,0.0539,0.05423,1988.79
BRETTUSDTSWAP,60,20250603,060000,0.05424,0.05443,0.05333,0.05382,2719.05
BRETTUSDTSWAP,60,20250603,070000,0.05383,0.0539,0.05237,0.05247,1362.65
BRETTUSDTSWAP,60,20250603,080000,0.05248,0.05313,0.05177,0.05305,1766.27
BRETTUSDTSWAP,60,20250603,090000,0.05301,0.05349,0.05261,0.05341,1011.85
