<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BRETTUSDTSWAP,3,20250604,172700,0.05127,0.05128,0.05098,0.05108,46.6
BRETTUSDTSWAP,3,20250604,173000,0.05109,0.05116,0.05098,0.05112,27.28
BRETTUSDTSWAP,3,20250604,173300,0.05115,0.05135,0.05105,0.05113,28.7
BRETTUSDTSWAP,3,20250604,173600,0.05112,0.05117,0.05098,0.05098,31.29
BRETTUSDTSWAP,3,20250604,173900,0.05099,0.05132,0.05097,0.05132,35.79
BRETTUSDTSWAP,3,20250604,174200,0.05128,0.05133,0.05109,0.05132,24.92
BRETTUSDTSWAP,3,20250604,174500,0.05129,0.05146,0.0512,0.05145,65.04
BRETTUSDTSWAP,3,20250604,174800,0.05147,0.05164,0.05141,0.05147,52.91
BRETTUSDTSWAP,3,20250604,175100,0.05144,0.0517,0.05142,0.05164,112.4
BRETTUSDTSWAP,3,20250604,175400,0.05164,0.05192,0.05163,0.05192,91.04
BRETTUSDTSWAP,3,20250604,175700,0.05194,0.0522,0.05185,0.05216,133.85
BRETTUSDTSWAP,3,20250604,180000,0.05217,0.05222,0.05188,0.05188,81.23
BRETTUSDTSWAP,3,20250604,180300,0.05193,0.05196,0.05173,0.05179,60.6
BRETTUSDTSWAP,3,20250604,180600,0.0518,0.05224,0.0518,0.05198,172.55
BRETTUSDTSWAP,3,20250604,180900,0.052,0.05225,0.052,0.05222,29.8
BRETTUSDTSWAP,3,20250604,181200,0.05222,0.05235,0.05214,0.0523,74.15
BRETTUSDTSWAP,3,20250604,181500,0.05226,0.05267,0.05225,0.05261,97.99
BRETTUSDTSWAP,3,20250604,181800,0.05256,0.05275,0.0525,0.05257,139.34
BRETTUSDTSWAP,3,20250604,182100,0.05255,0.05306,0.05242,0.05289,304.11
BRETTUSDTSWAP,3,20250604,182400,0.05288,0.05288,0.05268,0.05273,132.73
BRETTUSDTSWAP,3,20250604,182700,0.0527,0.05297,0.05244,0.05287,556.83
BRETTUSDTSWAP,3,20250604,183000,0.05285,0.05296,0.05259,0.05291,176.47
BRETTUSDTSWAP,3,20250604,183300,0.05287,0.05309,0.05283,0.05293,57.1
BRETTUSDTSWAP,3,20250604,183600,0.05293,0.0533,0.05288,0.05326,128.99
BRETTUSDTSWAP,3,20250604,183900,0.05325,0.05352,0.05321,0.05351,176.9
BRETTUSDTSWAP,3,20250604,184200,0.05352,0.05356,0.05325,0.05331,61.01
