<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATIUSDTSWAP,1440,20250225,030000,0.1371,0.1544,0.13,0.1499,11108388.07
CATIUSDTSWAP,1440,20250226,030000,0.15,0.1552,0.1393,0.1447,4354761.9
CATIUSDTSWAP,1440,20250227,030000,0.1447,0.1513,0.141,0.1484,2844937.15
CATIUSDTSWAP,1440,20250228,030000,0.1485,0.162,0.1387,0.156,8104500.06
CATIUSDTSWAP,1440,20250301,030000,0.156,0.1577,0.1491,0.1521,2900346.38
CATIUSDTSWAP,1440,20250302,030000,0.1522,0.1683,0.1498,0.1671,4042819.04
CATIUSDTSWAP,1440,20250303,030000,0.1671,0.1681,0.1415,0.143,4448326.16
CATIUSDTSWAP,1440,20250304,030000,0.1431,0.1587,0.1415,0.1517,8817325.73
CATIUSDTSWAP,1440,20250305,030000,0.1518,0.1556,0.1474,0.1522,2759734.47
CATIUSDTSWAP,1440,20250306,030000,0.1521,0.1578,0.1454,0.1492,3005819.82
CATIUSDTSWAP,1440,20250307,030000,0.1492,0.1621,0.1439,0.1519,4723002.69
CATIUSDTSWAP,1440,20250308,030000,0.1518,0.1534,0.1435,0.1473,2261487.86
CATIUSDTSWAP,1440,20250309,030000,0.1473,0.1578,0.1431,0.1543,5956353.46
CATIUSDTSWAP,1440,20250310,030000,0.1543,0.1653,0.1486,0.1512,20709461.22
CATIUSDTSWAP,1440,20250311,030000,0.1512,0.1596,0.146,0.1543,8607649.23
CATIUSDTSWAP,1440,20250312,030000,0.1543,0.1576,0.1444,0.1552,5160664.88
CATIUSDTSWAP,1440,20250313,030000,0.1552,0.1624,0.1478,0.1524,5434500.27
CATIUSDTSWAP,1440,20250314,030000,0.1526,0.1614,0.1514,0.1572,3522602.22
CATIUSDTSWAP,1440,20250315,030000,0.1572,0.1727,0.1555,0.1614,7965919.79
CATIUSDTSWAP,1440,20250316,030000,0.1614,0.1681,0.1356,0.1432,20063150.28
CATIUSDTSWAP,1440,20250317,030000,0.1431,0.1526,0.1421,0.1489,13833089.06
CATIUSDTSWAP,1440,20250318,030000,0.149,0.1495,0.1399,0.1435,5513570.07
CATIUSDTSWAP,1440,20250319,030000,0.1437,0.1461,0.142,0.1453,2863600.43
CATIUSDTSWAP,1440,20250320,030000,0.1454,0.1469,0.1418,0.1436,3272374.0
