<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATIUSDTSWAP,60,20250531,190000,0.0935,0.09662,0.09298,0.0966,658383.99
CATIUSDTSWAP,60,20250531,200000,0.09659,0.09887,0.09603,0.09618,1320065.78
CATIUSDTSWAP,60,20250531,210000,0.09618,0.09792,0.0961,0.09716,542506.37
CATIUSDTSWAP,60,20250531,220000,0.09716,0.0979,0.09636,0.09766,315101.83
CATIUSDTSWAP,60,20250531,230000,0.09768,0.09866,0.09736,0.09855,346100.56
CATIUSDTSWAP,60,20250601,000000,0.09856,0.10114,0.09841,0.10018,573506.05
CATIUSDTSWAP,60,20250601,010000,0.10019,0.10141,0.09955,0.10019,551681.41
CATIUSDTSWAP,60,20250601,020000,0.1002,0.10055,0.09917,0.09998,562067.39
CATIUSDTSWAP,60,20250601,030000,0.09996,0.10135,0.09908,0.0999,535146.16
CATIUSDTSWAP,60,20250601,040000,0.09997,0.10124,0.09882,0.09956,590365.74
CATIUSDTSWAP,60,20250601,050000,0.09955,0.10104,0.09891,0.10044,403469.68
CATIUSDTSWAP,60,20250601,060000,0.10045,0.10057,0.09934,0.09943,427705.65
CATIUSDTSWAP,60,20250601,070000,0.09942,0.10025,0.09873,0.09971,348229.78
CATIUSDTSWAP,60,20250601,080000,0.09971,0.10002,0.09841,0.09877,423270.94
CATIUSDTSWAP,60,20250601,090000,0.09874,0.09902,0.09725,0.09755,455257.65
CATIUSDTSWAP,60,20250601,100000,0.09754,0.09758,0.09668,0.09682,474338.87
CATIUSDTSWAP,60,20250601,110000,0.09683,0.09691,0.09245,0.09321,1637425.32
CATIUSDTSWAP,60,20250601,120000,0.09321,0.09367,0.08941,0.09031,1341289.01
CATIUSDTSWAP,60,20250601,130000,0.09031,0.09098,0.08973,0.09075,588125.0
CATIUSDTSWAP,60,20250601,140000,0.09075,0.09136,0.0901,0.09027,422489.17
CATIUSDTSWAP,60,20250601,150000,0.09028,0.09089,0.08975,0.09073,530789.79
CATIUSDTSWAP,60,20250601,160000,0.09074,0.09325,0.09072,0.09241,1117951.01
CATIUSDTSWAP,60,20250601,170000,0.09239,0.09437,0.09191,0.09379,616447.42
CATIUSDTSWAP,60,20250601,180000,0.09381,0.09439,0.09315,0.09382,477525.73
CATIUSDTSWAP,60,20250601,190000,0.09379,0.09503,0.09337,0.09415,582498.65
CATIUSDTSWAP,60,20250601,200000,0.09416,0.09568,0.09368,0.09495,473117.94
CATIUSDTSWAP,60,20250601,210000,0.09495,0.0954,0.09318,0.09428,593423.45
CATIUSDTSWAP,60,20250601,220000,0.09428,0.09518,0.09428,0.09459,256003.76
CATIUSDTSWAP,60,20250601,230000,0.09456,0.09663,0.09416,0.09586,372630.42
CATIUSDTSWAP,60,20250602,000000,0.09588,0.09644,0.09554,0.09616,170516.73
CATIUSDTSWAP,60,20250602,010000,0.09617,0.09662,0.09523,0.09585,494800.71
CATIUSDTSWAP,60,20250602,020000,0.09583,0.09659,0.09578,0.09621,159647.03
CATIUSDTSWAP,60,20250602,030000,0.09623,0.09625,0.09507,0.09555,337728.23
CATIUSDTSWAP,60,20250602,040000,0.09555,0.0961,0.09472,0.09478,269369.21
CATIUSDTSWAP,60,20250602,050000,0.09478,0.09491,0.09372,0.09417,300772.2
CATIUSDTSWAP,60,20250602,060000,0.09418,0.0943,0.09236,0.09309,373395.54
CATIUSDTSWAP,60,20250602,070000,0.09309,0.0932,0.09175,0.09201,271402.59
CATIUSDTSWAP,60,20250602,080000,0.09202,0.09341,0.09136,0.09186,369600.45
CATIUSDTSWAP,60,20250602,090000,0.09187,0.0941,0.09143,0.09324,411915.68
CATIUSDTSWAP,60,20250602,100000,0.09324,0.09511,0.09316,0.09379,360642.62
CATIUSDTSWAP,60,20250602,110000,0.09379,0.09407,0.09262,0.09292,344682.66
CATIUSDTSWAP,60,20250602,120000,0.09294,0.09295,0.09113,0.09144,366694.58
CATIUSDTSWAP,60,20250602,130000,0.09145,0.09154,0.09045,0.09112,508210.88
CATIUSDTSWAP,60,20250602,140000,0.09111,0.09201,0.09096,0.09151,224394.82
CATIUSDTSWAP,60,20250602,150000,0.09151,0.09199,0.09027,0.09184,412538.34
CATIUSDTSWAP,60,20250602,160000,0.09186,0.09343,0.09149,0.09209,402038.89
CATIUSDTSWAP,60,20250602,170000,0.09209,0.09315,0.0915,0.09236,391044.25
CATIUSDTSWAP,60,20250602,180000,0.0924,0.09286,0.09158,0.09199,336048.64
CATIUSDTSWAP,60,20250602,190000,0.09202,0.0929,0.09133,0.09269,294200.82
CATIUSDTSWAP,60,20250602,200000,0.09269,0.0933,0.0919,0.09303,331165.15
CATIUSDTSWAP,60,20250602,210000,0.09302,0.09369,0.09237,0.09279,248114.39
CATIUSDTSWAP,60,20250602,220000,0.0928,0.09329,0.09177,0.09237,189544.65
CATIUSDTSWAP,60,20250602,230000,0.09238,0.09505,0.09238,0.09498,312655.31
CATIUSDTSWAP,60,20250603,000000,0.09498,0.09616,0.09484,0.09601,319098.8
CATIUSDTSWAP,60,20250603,010000,0.09601,0.09708,0.09581,0.09633,353395.43
CATIUSDTSWAP,60,20250603,020000,0.09632,0.09663,0.09566,0.09572,248611.07
CATIUSDTSWAP,60,20250603,030000,0.09573,0.09749,0.09532,0.09688,394057.23
CATIUSDTSWAP,60,20250603,040000,0.09688,0.09858,0.09681,0.09796,447876.05
CATIUSDTSWAP,60,20250603,050000,0.09796,0.09835,0.0969,0.09803,353427.14
CATIUSDTSWAP,60,20250603,060000,0.09804,0.09815,0.0965,0.09727,330631.57
CATIUSDTSWAP,60,20250603,070000,0.09726,0.09732,0.09522,0.09586,306574.7
CATIUSDTSWAP,60,20250603,080000,0.09588,0.09712,0.09581,0.09695,279617.91
CATIUSDTSWAP,60,20250603,090000,0.09692,0.09741,0.09637,0.09729,174425.08
CATIUSDTSWAP,60,20250603,100000,0.09728,0.0975,0.09642,0.09657,216284.47
CATIUSDTSWAP,60,20250603,110000,0.09658,0.09662,0.09507,0.09595,328592.49
CATIUSDTSWAP,60,20250603,120000,0.09596,0.09729,0.09589,0.0969,162318.55
CATIUSDTSWAP,60,20250603,130000,0.0969,0.09836,0.0962,0.09649,754591.89
CATIUSDTSWAP,60,20250603,140000,0.09648,0.09716,0.09577,0.09609,283662.01
CATIUSDTSWAP,60,20250603,150000,0.09609,0.09643,0.09564,0.09588,214111.77
CATIUSDTSWAP,60,20250603,160000,0.09588,0.09691,0.0956,0.09564,312801.79
CATIUSDTSWAP,60,20250603,170000,0.09564,0.09696,0.09515,0.09687,354550.39
CATIUSDTSWAP,60,20250603,180000,0.09687,0.09718,0.09611,0.09637,262147.66
CATIUSDTSWAP,60,20250603,190000,0.09637,0.09727,0.09591,0.0967,343500.84
CATIUSDTSWAP,60,20250603,200000,0.09669,0.09831,0.0966,0.09782,306510.97
CATIUSDTSWAP,60,20250603,210000,0.09781,0.09791,0.09693,0.09764,167806.55
CATIUSDTSWAP,60,20250603,220000,0.09765,0.09855,0.09715,0.09764,169752.42
CATIUSDTSWAP,60,20250603,230000,0.09766,0.09782,0.09555,0.09603,247383.13
CATIUSDTSWAP,60,20250604,000000,0.09602,0.09637,0.09447,0.09536,261338.5
CATIUSDTSWAP,60,20250604,010000,0.09534,0.09762,0.0953,0.09719,356364.24
CATIUSDTSWAP,60,20250604,020000,0.0972,0.09792,0.09675,0.09726,249211.86
CATIUSDTSWAP,60,20250604,030000,0.09727,0.09757,0.09556,0.09671,380901.83
CATIUSDTSWAP,60,20250604,040000,0.0967,0.09833,0.0967,0.09742,275548.0
CATIUSDTSWAP,60,20250604,050000,0.09742,0.09777,0.09681,0.09706,237266.8
CATIUSDTSWAP,60,20250604,060000,0.09707,0.098,0.09667,0.09724,240838.24
CATIUSDTSWAP,60,20250604,070000,0.09725,0.09773,0.09659,0.09763,152347.38
CATIUSDTSWAP,60,20250604,080000,0.09763,0.0979,0.09675,0.09706,172220.0
CATIUSDTSWAP,60,20250604,090000,0.09707,0.0976,0.09676,0.09695,211113.17
CATIUSDTSWAP,60,20250604,100000,0.09696,0.09723,0.09586,0.09611,196340.61
CATIUSDTSWAP,60,20250604,110000,0.09613,0.09712,0.09588,0.09594,174985.44
CATIUSDTSWAP,60,20250604,120000,0.09594,0.09609,0.09367,0.0956,696910.85
CATIUSDTSWAP,60,20250604,130000,0.09561,0.09569,0.09445,0.09475,309730.79
CATIUSDTSWAP,60,20250604,140000,0.09473,0.09507,0.09383,0.09402,234648.01
CATIUSDTSWAP,60,20250604,150000,0.09402,0.09463,0.09363,0.09385,267168.83
CATIUSDTSWAP,60,20250604,160000,0.09386,0.09501,0.09367,0.09423,264929.8
CATIUSDTSWAP,60,20250604,170000,0.09423,0.09479,0.0936,0.09477,249399.2
CATIUSDTSWAP,60,20250604,180000,0.09477,0.09544,0.09437,0.09515,170502.32
CATIUSDTSWAP,60,20250604,190000,0.09516,0.09522,0.09414,0.09438,166618.02
CATIUSDTSWAP,60,20250604,200000,0.09437,0.09447,0.09332,0.09383,155874.52
CATIUSDTSWAP,60,20250604,210000,0.09382,0.09499,0.09382,0.09479,122872.77
CATIUSDTSWAP,60,20250604,220000,0.09479,0.09503,0.09424,0.09427,49867.79
