<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATIUSDTSWAP,3,20250604,172700,0.09423,0.09424,0.09396,0.09401,5649.84
CATIUSDTSWAP,3,20250604,173000,0.09405,0.09416,0.09393,0.09416,3656.19
CATIUSDTSWAP,3,20250604,173300,0.09414,0.09433,0.09406,0.09412,8159.96
CATIUSDTSWAP,3,20250604,173600,0.09412,0.09412,0.0938,0.09384,10406.47
CATIUSDTSWAP,3,20250604,173900,0.09384,0.09403,0.09381,0.09402,5037.61
CATIUSDTSWAP,3,20250604,174200,0.094,0.09417,0.09394,0.09414,10612.98
CATIUSDTSWAP,3,20250604,174500,0.09415,0.0944,0.09404,0.09439,7490.86
CATIUSDTSWAP,3,20250604,174800,0.09436,0.09453,0.09432,0.0944,8246.59
CATIUSDTSWAP,3,20250604,175100,0.09439,0.09445,0.0943,0.09443,2023.53
CATIUSDTSWAP,3,20250604,175400,0.09444,0.09473,0.09444,0.09471,6174.39
CATIUSDTSWAP,3,20250604,175700,0.09469,0.09479,0.09461,0.09477,7868.64
CATIUSDTSWAP,3,20250604,180000,0.09477,0.09483,0.09437,0.09437,11272.7
CATIUSDTSWAP,3,20250604,180300,0.09441,0.09456,0.09437,0.09449,6408.55
CATIUSDTSWAP,3,20250604,180600,0.0945,0.09494,0.0945,0.09465,8890.75
CATIUSDTSWAP,3,20250604,180900,0.09466,0.09486,0.09466,0.09484,2759.81
CATIUSDTSWAP,3,20250604,181200,0.09481,0.09495,0.09474,0.09485,4476.17
CATIUSDTSWAP,3,20250604,181500,0.09485,0.09532,0.09484,0.09515,10216.2
CATIUSDTSWAP,3,20250604,181800,0.09514,0.09526,0.09503,0.09503,7687.5
CATIUSDTSWAP,3,20250604,182100,0.09504,0.09528,0.09496,0.09521,5434.58
CATIUSDTSWAP,3,20250604,182400,0.09521,0.09534,0.09516,0.09522,7754.09
CATIUSDTSWAP,3,20250604,182700,0.0952,0.09528,0.0951,0.09516,14553.89
CATIUSDTSWAP,3,20250604,183000,0.09515,0.0952,0.09483,0.09504,13355.73
CATIUSDTSWAP,3,20250604,183300,0.09508,0.09516,0.09484,0.09491,8558.44
CATIUSDTSWAP,3,20250604,183600,0.09487,0.09537,0.09487,0.09535,22098.64
CATIUSDTSWAP,3,20250604,183900,0.09534,0.09538,0.09524,0.09529,5662.53
CATIUSDTSWAP,3,20250604,184200,0.0953,0.09541,0.09521,0.09531,9472.15
CATIUSDTSWAP,3,20250604,184500,0.09528,0.09544,0.09519,0.09519,5190.28
CATIUSDTSWAP,3,20250604,184800,0.09521,0.09521,0.09497,0.09497,7299.27
CATIUSDTSWAP,3,20250604,185100,0.09499,0.09523,0.09494,0.09509,4919.82
CATIUSDTSWAP,3,20250604,185400,0.09508,0.09535,0.09507,0.09526,7567.23
CATIUSDTSWAP,3,20250604,185700,0.09528,0.09528,0.09505,0.09515,7356.38
CATIUSDTSWAP,3,20250604,190000,0.09516,0.09522,0.09485,0.09492,8204.31
CATIUSDTSWAP,3,20250604,190300,0.09491,0.09497,0.09473,0.09473,9156.06
CATIUSDTSWAP,3,20250604,190600,0.09473,0.09475,0.09455,0.09455,6158.78
CATIUSDTSWAP,3,20250604,190900,0.09456,0.09472,0.09455,0.09472,7312.99
CATIUSDTSWAP,3,20250604,191200,0.09473,0.0948,0.09462,0.09466,3679.03
CATIUSDTSWAP,3,20250604,191500,0.09465,0.09465,0.09439,0.09441,10292.81
CATIUSDTSWAP,3,20250604,191800,0.09442,0.09454,0.09424,0.09452,13250.05
