<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATUSDTSWAP,1440,20250225,030000,0.00000899,0.000009954,0.000008639,0.000009617,197.01
CATUSDTSWAP,1440,20250226,030000,0.00000962,0.00001018,0.000009392,0.000010096,119.74
CATUSDTSWAP,1440,20250227,030000,0.000010101,0.00001046,0.000009566,0.00000993,85.28
CATUSDTSWAP,1440,20250228,030000,0.000009931,0.000010681,0.000009108,0.00001035,121.02
CATUSDTSWAP,1440,20250301,030000,0.000010353,0.000010369,0.000009439,0.000009914,73.27
CATUSDTSWAP,1440,20250302,030000,0.000009913,0.000011095,0.000009648,0.00001055,110.59
CATUSDTSWAP,1440,20250303,030000,0.000010553,0.000010594,0.000008253,0.000008507,140.2
CATUSDTSWAP,1440,20250304,030000,0.000008507,0.000008569,0.00000748,0.000008213,189.45
CATUSDTSWAP,1440,20250305,030000,0.00000821,0.000008557,0.000008051,0.000008284,122.82
CATUSDTSWAP,1440,20250306,030000,0.000008282,0.000008477,0.000007892,0.000007954,149.62
CATUSDTSWAP,1440,20250307,030000,0.000007954,0.00000854,0.000007552,0.000007988,177.59
CATUSDTSWAP,1440,20250308,030000,0.000007989,0.000008153,0.000007621,0.00000783,117.25
CATUSDTSWAP,1440,20250309,030000,0.000007831,0.000007878,0.000006693,0.000006908,110.17
CATUSDTSWAP,1440,20250310,030000,0.000006909,0.000007574,0.000006536,0.000006743,133.49
CATUSDTSWAP,1440,20250311,030000,0.000006746,0.000007202,0.000006239,0.000006971,155.18
CATUSDTSWAP,1440,20250312,030000,0.000006971,0.000007373,0.000006722,0.000007327,117.92
CATUSDTSWAP,1440,20250313,030000,0.000007326,0.000007531,0.00000702,0.000007248,115.45
CATUSDTSWAP,1440,20250314,030000,0.000007248,0.000007755,0.000007233,0.000007519,77.82
CATUSDTSWAP,1440,20250315,030000,0.00000752,0.000008007,0.000007411,0.000007874,47.05
CATUSDTSWAP,1440,20250316,030000,0.000007874,0.000007903,0.000007365,0.000007476,53.24
CATUSDTSWAP,1440,20250317,030000,0.000007476,0.000008751,0.000007468,0.000008217,158.21
CATUSDTSWAP,1440,20250318,030000,0.000008216,0.000008299,0.000007705,0.000008048,90.54
CATUSDTSWAP,1440,20250319,030000,0.000008047,0.000008053,0.000007603,0.000007995,59.41
CATUSDTSWAP,1440,20250320,030000,0.000007996,0.000008057,0.000007384,0.000007483,51.22
CATUSDTSWAP,1440,20250321,030000,0.000007483,0.000007633,0.000007221,0.000007443,55.55
CATUSDTSWAP,1440,20250322,030000,0.000007443,0.000007845,0.000007345,0.00000768,37.24
CATUSDTSWAP,1440,20250323,030000,0.000007679,0.000007805,0.000007479,0.000007682,36.09
CATUSDTSWAP,1440,20250324,030000,0.000007683,0.000008142,0.000007552,0.000008042,57.81
CATUSDTSWAP,1440,20250325,030000,0.000008041,0.00000819,0.00000786,0.000008081,60.37
CATUSDTSWAP,1440,20250326,030000,0.000008081,0.000008767,0.000007891,0.000008035,74.85
CATUSDTSWAP,1440,20250327,030000,0.000008037,0.000008538,0.000007996,0.000008243,64.18
