<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATUSDTSWAP,60,20250531,190000,0.000007055,0.000007172,0.000007006,0.000007107,0.97
CATUSDTSWAP,60,20250531,200000,0.00000711,0.000007132,0.000007042,0.000007047,0.45
CATUSDTSWAP,60,20250531,210000,0.000007044,0.00000718,0.00000703,0.000007165,0.66
CATUSDTSWAP,60,20250531,220000,0.000007166,0.00000726,0.000007164,0.000007222,0.74
CATUSDTSWAP,60,20250531,230000,0.00000722,0.000007278,0.000007218,0.00000727,0.56
CATUSDTSWAP,60,20250601,000000,0.000007277,0.000007332,0.000007251,0.00000727,0.7
CATUSDTSWAP,60,20250601,010000,0.000007267,0.000007279,0.000007191,0.000007212,1.05
CATUSDTSWAP,60,20250601,020000,0.000007208,0.00000725,0.000007172,0.000007232,0.58
CATUSDTSWAP,60,20250601,030000,0.000007231,0.000007242,0.000007147,0.000007203,0.58
CATUSDTSWAP,60,20250601,040000,0.000007201,0.000007263,0.000007081,0.000007104,0.68
CATUSDTSWAP,60,20250601,050000,0.000007104,0.00000718,0.000007045,0.000007151,1.01
CATUSDTSWAP,60,20250601,060000,0.000007153,0.000007169,0.000007087,0.00000712,0.71
CATUSDTSWAP,60,20250601,070000,0.000007119,0.000007229,0.000007096,0.000007194,0.85
CATUSDTSWAP,60,20250601,080000,0.000007192,0.000007267,0.000007189,0.000007263,0.68
CATUSDTSWAP,60,20250601,090000,0.00000726,0.000007291,0.000007203,0.000007208,0.55
CATUSDTSWAP,60,20250601,100000,0.000007209,0.000007215,0.000007153,0.000007215,0.61
CATUSDTSWAP,60,20250601,110000,0.000007208,0.000007227,0.000007132,0.000007148,0.93
CATUSDTSWAP,60,20250601,120000,0.000007148,0.000007172,0.000006956,0.00000703,1.21
CATUSDTSWAP,60,20250601,130000,0.000007032,0.000007096,0.000007007,0.00000707,0.86
CATUSDTSWAP,60,20250601,140000,0.000007068,0.000007131,0.00000702,0.00000708,0.62
CATUSDTSWAP,60,20250601,150000,0.00000708,0.000007154,0.00000703,0.00000708,0.97
CATUSDTSWAP,60,20250601,160000,0.000007076,0.000007162,0.000007038,0.000007131,1.2
CATUSDTSWAP,60,20250601,170000,0.000007128,0.000007283,0.000007126,0.000007222,0.78
CATUSDTSWAP,60,20250601,180000,0.000007228,0.00000728,0.00000718,0.000007253,0.82
CATUSDTSWAP,60,20250601,190000,0.000007251,0.000007384,0.000007237,0.000007339,1.23
CATUSDTSWAP,60,20250601,200000,0.000007338,0.000007384,0.000007315,0.000007334,0.68
CATUSDTSWAP,60,20250601,210000,0.000007334,0.000007337,0.000007179,0.000007267,0.97
CATUSDTSWAP,60,20250601,220000,0.000007268,0.00000732,0.000007259,0.000007317,0.26
CATUSDTSWAP,60,20250601,230000,0.000007317,0.000007371,0.000007286,0.000007333,0.42
CATUSDTSWAP,60,20250602,000000,0.000007333,0.000007413,0.000007333,0.000007409,0.29
CATUSDTSWAP,60,20250602,010000,0.000007413,0.000007428,0.000007331,0.000007342,0.6
CATUSDTSWAP,60,20250602,020000,0.000007344,0.000007406,0.000007344,0.000007369,0.4
CATUSDTSWAP,60,20250602,030000,0.00000737,0.000007387,0.000007324,0.000007352,0.41
CATUSDTSWAP,60,20250602,040000,0.000007354,0.000007451,0.000007349,0.000007363,0.56
CATUSDTSWAP,60,20250602,050000,0.000007364,0.000007371,0.000007256,0.000007266,0.66
CATUSDTSWAP,60,20250602,060000,0.000007267,0.000007273,0.000007184,0.000007225,0.69
