<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CATUSDTSWAP,3,20250604,172700,0.000007175,0.000007178,0.000007165,0.000007173,0.02
CATUSDTSWAP,3,20250604,173000,0.000007173,0.000007174,0.000007163,0.000007174,0.0
CATUSDTSWAP,3,20250604,173300,0.000007178,0.000007188,0.000007165,0.000007168,0.02
CATUSDTSWAP,3,20250604,173600,0.000007167,0.00000717,0.000007154,0.000007157,0.01
CATUSDTSWAP,3,20250604,173900,0.000007156,0.000007184,0.000007156,0.000007181,0.01
CATUSDTSWAP,3,20250604,174200,0.000007179,0.000007179,0.000007162,0.000007177,0.01
CATUSDTSWAP,3,20250604,174500,0.000007175,0.000007191,0.000007163,0.00000719,0.01
CATUSDTSWAP,3,20250604,174800,0.000007194,0.000007208,0.000007172,0.000007172,0.01
CATUSDTSWAP,3,20250604,175100,0.000007171,0.000007187,0.000007171,0.000007187,0.01
CATUSDTSWAP,3,20250604,175400,0.000007193,0.000007222,0.000007193,0.000007216,0.02
CATUSDTSWAP,3,20250604,175700,0.000007215,0.000007234,0.000007213,0.000007229,0.05
CATUSDTSWAP,3,20250604,180000,0.000007229,0.000007231,0.000007209,0.000007209,0.09
CATUSDTSWAP,3,20250604,180300,0.000007207,0.000007223,0.000007207,0.00000721,0.01
CATUSDTSWAP,3,20250604,180600,0.000007213,0.00000725,0.000007213,0.00000722,0.05
CATUSDTSWAP,3,20250604,180900,0.000007221,0.000007248,0.000007221,0.00000724,0.03
CATUSDTSWAP,3,20250604,181200,0.00000724,0.000007247,0.000007233,0.000007241,0.02
CATUSDTSWAP,3,20250604,181500,0.000007244,0.00000729,0.000007244,0.000007284,0.06
CATUSDTSWAP,3,20250604,181800,0.00000728,0.000007295,0.000007272,0.000007272,0.04
CATUSDTSWAP,3,20250604,182100,0.000007272,0.00000729,0.000007264,0.00000728,0.02
CATUSDTSWAP,3,20250604,182400,0.000007282,0.000007287,0.000007276,0.000007281,0.03
CATUSDTSWAP,3,20250604,182700,0.00000728,0.000007287,0.000007266,0.000007268,0.02
CATUSDTSWAP,3,20250604,183000,0.000007267,0.000007278,0.000007244,0.000007278,0.07
CATUSDTSWAP,3,20250604,183300,0.000007276,0.000007282,0.000007266,0.000007273,0.01
CATUSDTSWAP,3,20250604,183600,0.000007267,0.000007311,0.000007267,0.000007311,0.1
CATUSDTSWAP,3,20250604,183900,0.000007308,0.000007315,0.000007295,0.000007304,0.1
CATUSDTSWAP,3,20250604,184200,0.000007309,0.000007315,0.000007294,0.0000073,0.02
CATUSDTSWAP,3,20250604,184500,0.0000073,0.000007318,0.000007294,0.000007294,0.02
CATUSDTSWAP,3,20250604,184800,0.00000729,0.000007299,0.000007273,0.000007286,0.03
CATUSDTSWAP,3,20250604,185100,0.000007283,0.000007306,0.000007283,0.000007306,0.01
CATUSDTSWAP,3,20250604,185400,0.000007303,0.000007351,0.000007302,0.000007334,0.1
CATUSDTSWAP,3,20250604,185700,0.000007335,0.000007336,0.000007304,0.000007314,0.02
CATUSDTSWAP,3,20250604,190000,0.000007313,0.000007313,0.000007294,0.000007296,0.02
CATUSDTSWAP,3,20250604,190300,0.000007297,0.000007298,0.00000728,0.000007284,0.0
CATUSDTSWAP,3,20250604,190600,0.000007277,0.00000728,0.000007259,0.000007259,0.05
CATUSDTSWAP,3,20250604,190900,0.000007257,0.000007264,0.000007252,0.000007259,0.03
CATUSDTSWAP,3,20250604,191200,0.000007263,0.000007263,0.000007245,0.000007245,0.03
CATUSDTSWAP,3,20250604,191500,0.000007242,0.000007264,0.000007238,0.000007241,0.04
CATUSDTSWAP,3,20250604,191800,0.000007237,0.000007255,0.000007223,0.000007255,0.02
CATUSDTSWAP,3,20250604,192100,0.000007252,0.000007259,0.000007243,0.000007248,0.03
CATUSDTSWAP,3,20250604,192400,0.000007245,0.000007251,0.000007235,0.000007237,0.02
CATUSDTSWAP,3,20250604,192700,0.000007235,0.000007242,0.000007235,0.00000724,0.01
CATUSDTSWAP,3,20250604,193000,0.000007234,0.000007249,0.000007229,0.000007249,0.02
CATUSDTSWAP,3,20250604,193300,0.00000725,0.000007269,0.000007249,0.000007268,0.04
CATUSDTSWAP,3,20250604,193600,0.000007265,0.000007267,0.000007257,0.000007259,0.01
CATUSDTSWAP,3,20250604,193900,0.000007263,0.000007277,0.000007262,0.000007264,0.03
CATUSDTSWAP,3,20250604,194200,0.000007262,0.000007263,0.000007253,0.000007261,0.0
CATUSDTSWAP,3,20250604,194500,0.000007259,0.000007276,0.000007256,0.000007273,0.05
CATUSDTSWAP,3,20250604,194800,0.000007275,0.000007283,0.000007263,0.000007283,0.02
CATUSDTSWAP,3,20250604,195100,0.000007271,0.000007273,0.000007265,0.000007268,0.0
CATUSDTSWAP,3,20250604,195400,0.000007273,0.000007283,0.000007269,0.000007269,0.01
CATUSDTSWAP,3,20250604,195700,0.000007267,0.000007273,0.000007258,0.000007273,0.01
CATUSDTSWAP,3,20250604,200000,0.000007276,0.000007279,0.000007242,0.000007242,0.02
CATUSDTSWAP,3,20250604,200300,0.000007247,0.000007248,0.000007239,0.000007244,0.0
CATUSDTSWAP,3,20250604,200600,0.000007246,0.000007246,0.000007232,0.00000724,0.0
CATUSDTSWAP,3,20250604,200900,0.000007237,0.000007237,0.000007222,0.000007227,0.03
CATUSDTSWAP,3,20250604,201200,0.000007223,0.000007244,0.000007223,0.000007242,0.01
CATUSDTSWAP,3,20250604,201500,0.000007239,0.000007239,0.00000722,0.000007229,0.02
CATUSDTSWAP,3,20250604,201800,0.000007229,0.000007237,0.000007226,0.000007232,0.02
CATUSDTSWAP,3,20250604,202100,0.000007241,0.000007243,0.000007229,0.00000724,0.01
CATUSDTSWAP,3,20250604,202400,0.000007233,0.00000724,0.000007212,0.000007216,0.02
CATUSDTSWAP,3,20250604,202700,0.000007218,0.000007224,0.0000072,0.0000072,0.02
CATUSDTSWAP,3,20250604,203000,0.0000072,0.0000072,0.000007172,0.000007176,0.06
CATUSDTSWAP,3,20250604,203300,0.000007177,0.00000719,0.000007163,0.000007177,0.05
CATUSDTSWAP,3,20250604,203600,0.000007174,0.000007174,0.000007158,0.000007171,0.03
CATUSDTSWAP,3,20250604,203900,0.00000717,0.000007177,0.000007158,0.000007164,0.03
CATUSDTSWAP,3,20250604,204200,0.000007167,0.00000717,0.000007157,0.000007168,0.0
CATUSDTSWAP,3,20250604,204500,0.000007167,0.000007179,0.000007166,0.000007168,0.01
CATUSDTSWAP,3,20250604,204800,0.000007158,0.000007192,0.000007157,0.000007176,0.03
CATUSDTSWAP,3,20250604,205100,0.000007175,0.000007192,0.000007173,0.000007192,0.01
CATUSDTSWAP,3,20250604,205400,0.00000719,0.000007197,0.00000719,0.000007191,0.0
CATUSDTSWAP,3,20250604,205700,0.000007194,0.000007211,0.000007194,0.000007208,0.05
CATUSDTSWAP,3,20250604,210000,0.000007212,0.000007231,0.000007206,0.000007212,0.04
CATUSDTSWAP,3,20250604,210300,0.000007213,0.000007228,0.000007213,0.00000722,0.01
CATUSDTSWAP,3,20250604,210600,0.000007219,0.000007219,0.000007185,0.00000719,0.01
CATUSDTSWAP,3,20250604,210900,0.000007192,0.000007209,0.000007191,0.000007209,0.01
CATUSDTSWAP,3,20250604,211200,0.000007206,0.000007207,0.000007199,0.000007207,0.0
CATUSDTSWAP,3,20250604,211500,0.000007207,0.000007212,0.000007203,0.000007208,0.01
CATUSDTSWAP,3,20250604,211800,0.00000721,0.000007221,0.000007206,0.000007207,0.01
CATUSDTSWAP,3,20250604,212100,0.000007208,0.000007217,0.000007208,0.000007214,0.01
CATUSDTSWAP,3,20250604,212400,0.000007215,0.000007216,0.000007213,0.000007214,0.0
CATUSDTSWAP,3,20250604,212700,0.000007214,0.000007222,0.00000721,0.00000721,0.03
CATUSDTSWAP,3,20250604,213000,0.000007213,0.000007216,0.0000072,0.00000721,0.03
CATUSDTSWAP,3,20250604,213300,0.000007206,0.000007207,0.000007195,0.000007195,0.02
CATUSDTSWAP,3,20250604,213600,0.000007197,0.000007198,0.000007192,0.000007192,0.0
CATUSDTSWAP,3,20250604,213900,0.000007194,0.000007195,0.000007186,0.000007186,0.0
CATUSDTSWAP,3,20250604,214200,0.000007191,0.000007211,0.000007191,0.000007205,0.06
CATUSDTSWAP,3,20250604,214500,0.000007207,0.000007208,0.000007192,0.000007192,0.04
CATUSDTSWAP,3,20250604,214800,0.000007195,0.000007204,0.000007188,0.000007188,0.06
CATUSDTSWAP,3,20250604,215100,0.000007183,0.000007186,0.000007176,0.000007179,0.01
CATUSDTSWAP,3,20250604,215400,0.000007176,0.000007182,0.00000716,0.000007165,0.09
CATUSDTSWAP,3,20250604,215700,0.000007167,0.000007172,0.000007162,0.000007165,0.01
CATUSDTSWAP,3,20250604,220000,0.000007163,0.000007168,0.000007154,0.000007156,0.02
CATUSDTSWAP,3,20250604,220300,0.000007157,0.000007178,0.000007156,0.000007175,0.0
CATUSDTSWAP,3,20250604,220600,0.000007177,0.00000718,0.000007165,0.000007172,0.0
