<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CETUSUSDTSWAP,1440,20250225,030000,0.11257,0.12236,0.10607,0.11981,1003222.83
CETUSUSDTSWAP,1440,20250226,030000,0.11983,0.12482,0.11313,0.12077,600124.1
CETUSUSDTSWAP,1440,20250227,030000,0.1208,0.12354,0.11469,0.11748,329736.16
CETUSUSDTSWAP,1440,20250228,030000,0.11751,0.12266,0.10644,0.12003,594460.41
CETUSUSDTSWAP,1440,20250301,030000,0.12004,0.12137,0.11393,0.11605,260298.82
CETUSUSDTSWAP,1440,20250302,030000,0.11606,0.1342,0.11354,0.13111,562671.07
CETUSUSDTSWAP,1440,20250303,030000,0.13119,0.13154,0.10275,0.10479,639658.56
CETUSUSDTSWAP,1440,20250304,030000,0.10478,0.10606,0.08992,0.1001,856809.53
CETUSUSDTSWAP,1440,20250305,030000,0.10006,0.10672,0.09702,0.10463,422050.88
CETUSUSDTSWAP,1440,20250306,030000,0.10463,0.11767,0.10288,0.11341,1540053.16
CETUSUSDTSWAP,1440,20250307,030000,0.11342,0.11691,0.10563,0.1068,1323301.31
CETUSUSDTSWAP,1440,20250308,030000,0.10676,0.10804,0.09935,0.10139,493841.01
CETUSUSDTSWAP,1440,20250309,030000,0.1014,0.10214,0.08886,0.0907,546856.69
CETUSUSDTSWAP,1440,20250310,030000,0.09072,0.09851,0.08243,0.08496,596675.06
CETUSUSDTSWAP,1440,20250311,030000,0.08498,0.0925,0.07926,0.08932,502631.55
CETUSUSDTSWAP,1440,20250312,030000,0.08933,0.09396,0.08612,0.09351,448953.37
CETUSUSDTSWAP,1440,20250313,030000,0.09348,0.09693,0.08798,0.09041,477800.68
CETUSUSDTSWAP,1440,20250314,030000,0.09041,0.09894,0.09009,0.09558,289469.4
CETUSUSDTSWAP,1440,20250315,030000,0.09559,0.10088,0.09512,0.09984,261344.59
CETUSUSDTSWAP,1440,20250316,030000,0.09986,0.1006,0.09261,0.09415,265456.54
CETUSUSDTSWAP,1440,20250317,030000,0.0942,0.10451,0.09411,0.10348,465351.2
CETUSUSDTSWAP,1440,20250318,030000,0.10348,0.10482,0.09697,0.10472,360280.83
CETUSUSDTSWAP,1440,20250319,030000,0.1047,0.11997,0.10394,0.11688,1141977.87
CETUSUSDTSWAP,1440,20250320,030000,0.11683,0.11954,0.11065,0.11112,529066.99
CETUSUSDTSWAP,1440,20250321,030000,0.11111,0.11338,0.1062,0.10736,273397.71
CETUSUSDTSWAP,1440,20250322,030000,0.10734,0.11483,0.10677,0.11086,236529.16
CETUSUSDTSWAP,1440,20250323,030000,0.11084,0.1147,0.10991,0.1147,200394.51
CETUSUSDTSWAP,1440,20250324,030000,0.11472,0.11994,0.11055,0.11692,350046.74
CETUSUSDTSWAP,1440,20250325,030000,0.11699,0.11858,0.1127,0.11658,276169.4
CETUSUSDTSWAP,1440,20250326,030000,0.11663,0.1338,0.11486,0.12427,763555.27
CETUSUSDTSWAP,1440,20250327,030000,0.12428,0.135,0.12398,0.13027,1789161.35
CETUSUSDTSWAP,1440,20250328,030000,0.13023,0.13152,0.11393,0.11585,821901.98
CETUSUSDTSWAP,1440,20250329,030000,0.11586,0.11777,0.10037,0.10308,595401.3
CETUSUSDTSWAP,1440,20250330,030000,0.10309,0.1095,0.10073,0.10213,406412.94
CETUSUSDTSWAP,1440,20250331,030000,0.10216,0.10319,0.09687,0.09961,391925.7
CETUSUSDTSWAP,1440,20250401,030000,0.09958,0.10878,0.09903,0.10266,333996.1
CETUSUSDTSWAP,1440,20250402,030000,0.10265,0.10869,0.09576,0.09767,474735.31
CETUSUSDTSWAP,1440,20250403,030000,0.09768,0.10274,0.09162,0.09695,294991.45
CETUSUSDTSWAP,1440,20250404,030000,0.09695,0.10366,0.09298,0.10191,380840.93
CETUSUSDTSWAP,1440,20250405,030000,0.10192,0.1029,0.09719,0.09978,235114.97
CETUSUSDTSWAP,1440,20250406,030000,0.09975,0.10019,0.08265,0.08483,414870.72
CETUSUSDTSWAP,1440,20250407,030000,0.08484,0.09431,0.07634,0.09042,750834.68
CETUSUSDTSWAP,1440,20250408,030000,0.09048,0.09377,0.08567,0.08634,277104.95
CETUSUSDTSWAP,1440,20250409,030000,0.0864,0.09977,0.08304,0.09546,461206.05
CETUSUSDTSWAP,1440,20250410,030000,0.09548,0.09581,0.08754,0.09004,311760.53
CETUSUSDTSWAP,1440,20250411,030000,0.09003,0.09637,0.08982,0.09391,268341.44
CETUSUSDTSWAP,1440,20250412,030000,0.09392,0.10564,0.09178,0.1036,308024.82
