<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CETUSUSDTSWAP,3,20250604,172700,0.12827,0.12828,0.12796,0.12809,730.24
CETUSUSDTSWAP,3,20250604,173000,0.12812,0.12813,0.12778,0.12805,659.43
CETUSUSDTSWAP,3,20250604,173300,0.12806,0.12844,0.12786,0.12798,1164.32
CETUSUSDTSWAP,3,20250604,173600,0.12797,0.128,0.12748,0.12749,1688.18
CETUSUSDTSWAP,3,20250604,173900,0.12751,0.12826,0.12751,0.12824,923.17
CETUSUSDTSWAP,3,20250604,174200,0.12821,0.12832,0.12801,0.12811,1117.48
CETUSUSDTSWAP,3,20250604,174500,0.12814,0.12824,0.12782,0.12824,1474.51
CETUSUSDTSWAP,3,20250604,174800,0.12826,0.12854,0.12804,0.12812,1394.44
CETUSUSDTSWAP,3,20250604,175100,0.12811,0.12828,0.12802,0.12828,1623.92
CETUSUSDTSWAP,3,20250604,175400,0.12829,0.12893,0.12829,0.12892,1210.8
CETUSUSDTSWAP,3,20250604,175700,0.1289,0.12967,0.1289,0.12904,14179.26
CETUSUSDTSWAP,3,20250604,180000,0.12906,0.12915,0.12875,0.1288,2951.6
CETUSUSDTSWAP,3,20250604,180300,0.12879,0.12946,0.12783,0.12897,24115.15
CETUSUSDTSWAP,3,20250604,180600,0.12896,0.12967,0.12885,0.129,4528.82
CETUSUSDTSWAP,3,20250604,180900,0.12904,0.12971,0.12904,0.12959,4292.13
CETUSUSDTSWAP,3,20250604,181200,0.12958,0.1296,0.12937,0.12939,1652.79
CETUSUSDTSWAP,3,20250604,181500,0.12941,0.13027,0.12941,0.12998,4242.45
CETUSUSDTSWAP,3,20250604,181800,0.12998,0.13031,0.12984,0.12998,4148.18
CETUSUSDTSWAP,3,20250604,182100,0.12994,0.13034,0.12953,0.13013,3439.38
CETUSUSDTSWAP,3,20250604,182400,0.13013,0.13052,0.13012,0.13031,4284.27
CETUSUSDTSWAP,3,20250604,182700,0.13031,0.13062,0.13014,0.13017,2977.45
CETUSUSDTSWAP,3,20250604,183000,0.13018,0.13042,0.12945,0.13038,7129.96
CETUSUSDTSWAP,3,20250604,183300,0.13037,0.13051,0.13003,0.13008,2512.49
CETUSUSDTSWAP,3,20250604,183600,0.13007,0.13109,0.13004,0.1309,3863.21
