<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CFXUSDTSWAP,1440,20250225,030000,0.111,0.1157,0.104,0.1136,2227537.68
CFXUSDTSWAP,1440,20250226,030000,0.1136,0.1178,0.1105,0.116,1167420.28
CFXUSDTSWAP,1440,20250227,030000,0.116,0.1203,0.1126,0.1156,871019.18
CFXUSDTSWAP,1440,20250228,030000,0.1155,0.1157,0.1042,0.1123,2253612.44
CFXUSDTSWAP,1440,20250301,030000,0.1124,0.1133,0.1075,0.1116,803661.8
CFXUSDTSWAP,1440,20250302,030000,0.1115,0.1229,0.1102,0.1226,1506639.07
CFXUSDTSWAP,1440,20250303,030000,0.1226,0.1233,0.1013,0.1027,2626962.58
CFXUSDTSWAP,1440,20250304,030000,0.1027,0.1036,0.0899,0.0985,2547004.16
CFXUSDTSWAP,1440,20250305,030000,0.0985,0.1041,0.0972,0.1027,1101663.7
CFXUSDTSWAP,1440,20250306,030000,0.1027,0.1048,0.0984,0.0999,1013700.86
CFXUSDTSWAP,1440,20250307,030000,0.0999,0.1044,0.0943,0.0995,1936472.99
CFXUSDTSWAP,1440,20250308,030000,0.0995,0.1009,0.0963,0.098,875810.04
CFXUSDTSWAP,1440,20250309,030000,0.098,0.0985,0.0787,0.0809,2833215.97
CFXUSDTSWAP,1440,20250310,030000,0.081,0.0862,0.0701,0.0728,2963657.81
CFXUSDTSWAP,1440,20250311,030000,0.0729,0.0794,0.067,0.0773,2250555.17
CFXUSDTSWAP,1440,20250312,030000,0.0774,0.0821,0.0748,0.0806,1759098.13
CFXUSDTSWAP,1440,20250313,030000,0.0805,0.0818,0.0773,0.0801,2833769.85
CFXUSDTSWAP,1440,20250314,030000,0.0802,0.0856,0.0796,0.0833,1203317.67
CFXUSDTSWAP,1440,20250315,030000,0.0832,0.087,0.0825,0.0868,690859.6
CFXUSDTSWAP,1440,20250316,030000,0.0868,0.0874,0.0812,0.0832,1506702.09
