<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CFXUSDTSWAP,60,20250531,190000,0.07571,0.07691,0.07551,0.07665,20283.16
CFXUSDTSWAP,60,20250531,200000,0.07666,0.07694,0.07583,0.07593,19162.32
CFXUSDTSWAP,60,20250531,210000,0.07592,0.07678,0.07587,0.07649,11650.53
CFXUSDTSWAP,60,20250531,220000,0.0765,0.07688,0.07613,0.07632,16719.08
CFXUSDTSWAP,60,20250531,230000,0.07631,0.07661,0.07616,0.07653,6716.96
CFXUSDTSWAP,60,20250601,000000,0.0765,0.077,0.07643,0.07663,10782.37
CFXUSDTSWAP,60,20250601,010000,0.07666,0.07685,0.07639,0.07656,7340.27
CFXUSDTSWAP,60,20250601,020000,0.07654,0.07689,0.07627,0.07644,13499.28
CFXUSDTSWAP,60,20250601,030000,0.07644,0.0767,0.0756,0.07646,50503.68
CFXUSDTSWAP,60,20250601,040000,0.07647,0.07711,0.07565,0.07587,34532.48
CFXUSDTSWAP,60,20250601,050000,0.07587,0.07614,0.07503,0.07585,49449.26
CFXUSDTSWAP,60,20250601,060000,0.07588,0.07593,0.0753,0.07571,9930.87
CFXUSDTSWAP,60,20250601,070000,0.07571,0.07655,0.07542,0.07629,16177.56
CFXUSDTSWAP,60,20250601,080000,0.07631,0.07655,0.07593,0.07614,11057.4
CFXUSDTSWAP,60,20250601,090000,0.07614,0.07616,0.07547,0.0755,19769.98
CFXUSDTSWAP,60,20250601,100000,0.07551,0.07555,0.07512,0.07547,15346.58
CFXUSDTSWAP,60,20250601,110000,0.07548,0.07571,0.07491,0.07523,10362.12
CFXUSDTSWAP,60,20250601,120000,0.07524,0.07544,0.07371,0.07431,34368.05
CFXUSDTSWAP,60,20250601,130000,0.07436,0.07472,0.07402,0.07444,13962.95
CFXUSDTSWAP,60,20250601,140000,0.07442,0.07499,0.07431,0.07465,13112.06
CFXUSDTSWAP,60,20250601,150000,0.07465,0.07477,0.07391,0.07427,16108.13
CFXUSDTSWAP,60,20250601,160000,0.07429,0.07563,0.07427,0.07524,23660.62
CFXUSDTSWAP,60,20250601,170000,0.07524,0.07675,0.07523,0.0762,47268.7
CFXUSDTSWAP,60,20250601,180000,0.07623,0.07655,0.07601,0.07634,19037.6
CFXUSDTSWAP,60,20250601,190000,0.07633,0.0772,0.07609,0.07659,32989.83
CFXUSDTSWAP,60,20250601,200000,0.0766,0.07687,0.07624,0.07643,18929.62
CFXUSDTSWAP,60,20250601,210000,0.07643,0.07646,0.07492,0.07568,29698.79
CFXUSDTSWAP,60,20250601,220000,0.07569,0.07616,0.07566,0.0761,10610.53
CFXUSDTSWAP,60,20250601,230000,0.07611,0.07662,0.0758,0.07636,8954.49
CFXUSDTSWAP,60,20250602,000000,0.07635,0.07701,0.07625,0.077,11699.26
CFXUSDTSWAP,60,20250602,010000,0.07701,0.0776,0.07701,0.07716,18529.68
CFXUSDTSWAP,60,20250602,020000,0.07715,0.0776,0.07702,0.07717,10431.84
CFXUSDTSWAP,60,20250602,030000,0.07717,0.07717,0.07661,0.07681,12666.84
CFXUSDTSWAP,60,20250602,040000,0.07682,0.07735,0.07648,0.0765,22873.15
CFXUSDTSWAP,60,20250602,050000,0.07652,0.07657,0.07572,0.07592,18323.4
CFXUSDTSWAP,60,20250602,060000,0.07593,0.07607,0.07524,0.0758,23533.29
CFXUSDTSWAP,60,20250602,070000,0.07582,0.07612,0.07563,0.07571,10119.92
CFXUSDTSWAP,60,20250602,080000,0.07574,0.07626,0.07543,0.07592,13332.06
CFXUSDTSWAP,60,20250602,090000,0.07595,0.07769,0.07577,0.07688,51777.17
CFXUSDTSWAP,60,20250602,100000,0.07689,0.0779,0.07675,0.07695,71563.83
CFXUSDTSWAP,60,20250602,110000,0.07695,0.07724,0.0758,0.07608,62923.25
CFXUSDTSWAP,60,20250602,120000,0.07609,0.0761,0.07499,0.07504,90487.37
CFXUSDTSWAP,60,20250602,130000,0.07505,0.07519,0.07417,0.07456,60940.6
CFXUSDTSWAP,60,20250602,140000,0.07454,0.07522,0.07448,0.07501,24598.2
CFXUSDTSWAP,60,20250602,150000,0.07499,0.07619,0.07481,0.07598,46147.5
CFXUSDTSWAP,60,20250602,160000,0.07599,0.07682,0.07553,0.07589,27934.08
CFXUSDTSWAP,60,20250602,170000,0.07589,0.07686,0.07566,0.07632,32015.11
CFXUSDTSWAP,60,20250602,180000,0.07634,0.07703,0.07601,0.07674,25124.79
CFXUSDTSWAP,60,20250602,190000,0.07675,0.07676,0.07586,0.07653,13271.84
CFXUSDTSWAP,60,20250602,200000,0.07654,0.07676,0.07604,0.07664,13794.8
CFXUSDTSWAP,60,20250602,210000,0.07669,0.07735,0.07642,0.07651,11487.01
CFXUSDTSWAP,60,20250602,220000,0.07651,0.07666,0.0754,0.07598,24820.3
CFXUSDTSWAP,60,20250602,230000,0.07598,0.07774,0.07597,0.07734,71565.03
CFXUSDTSWAP,60,20250603,000000,0.07734,0.0779,0.07732,0.0779,17155.09
CFXUSDTSWAP,60,20250603,010000,0.07789,0.07898,0.07786,0.0784,27402.95
CFXUSDTSWAP,60,20250603,020000,0.07842,0.07912,0.07836,0.07884,18427.29
CFXUSDTSWAP,60,20250603,030000,0.07884,0.07979,0.07869,0.0794,25136.64
CFXUSDTSWAP,60,20250603,040000,0.07941,0.08021,0.07925,0.08015,19262.56
CFXUSDTSWAP,60,20250603,050000,0.08017,0.08031,0.07902,0.07927,28039.62
CFXUSDTSWAP,60,20250603,060000,0.07928,0.07948,0.07855,0.07878,20404.21
CFXUSDTSWAP,60,20250603,070000,0.07877,0.07877,0.07809,0.0783,15776.13
CFXUSDTSWAP,60,20250603,080000,0.07836,0.07926,0.07836,0.07922,15945.55
CFXUSDTSWAP,60,20250603,090000,0.07921,0.07945,0.07886,0.07942,8148.25
CFXUSDTSWAP,60,20250603,100000,0.07945,0.07948,0.07885,0.07889,12414.7
CFXUSDTSWAP,60,20250603,110000,0.07889,0.07911,0.07822,0.07873,14678.51
CFXUSDTSWAP,60,20250603,120000,0.07872,0.0794,0.07862,0.07927,11155.1
CFXUSDTSWAP,60,20250603,130000,0.07923,0.07941,0.07908,0.07926,8272.33
CFXUSDTSWAP,60,20250603,140000,0.07927,0.0796,0.07921,0.07944,11248.81
CFXUSDTSWAP,60,20250603,150000,0.07941,0.07965,0.07894,0.07946,14599.13
CFXUSDTSWAP,60,20250603,160000,0.07944,0.08011,0.07923,0.07953,20420.45
CFXUSDTSWAP,60,20250603,170000,0.07953,0.08018,0.07879,0.0801,29597.96
CFXUSDTSWAP,60,20250603,180000,0.08017,0.08027,0.07946,0.07965,17191.33
CFXUSDTSWAP,60,20250603,190000,0.07966,0.07996,0.07934,0.07947,15096.37
CFXUSDTSWAP,60,20250603,200000,0.07947,0.08026,0.07935,0.08003,11272.18
