<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHZUSDTSWAP,60,20250531,190000,0.03872,0.03918,0.03864,0.03902,4585.8
CHZUSDTSWAP,60,20250531,200000,0.03901,0.03906,0.03869,0.03873,4305.03
CHZUSDTSWAP,60,20250531,210000,0.03873,0.03908,0.0387,0.03901,5042.14
CHZUSDTSWAP,60,20250531,220000,0.03903,0.03921,0.03892,0.039,1991.39
CHZUSDTSWAP,60,20250531,230000,0.039,0.03914,0.03885,0.03911,2355.83
CHZUSDTSWAP,60,20250601,000000,0.03911,0.0395,0.03911,0.03932,8067.42
CHZUSDTSWAP,60,20250601,010000,0.03934,0.03936,0.03895,0.03898,4200.92
CHZUSDTSWAP,60,20250601,020000,0.03898,0.03917,0.03885,0.03891,6098.07
CHZUSDTSWAP,60,20250601,030000,0.03891,0.03898,0.03872,0.03889,4236.95
CHZUSDTSWAP,60,20250601,040000,0.03889,0.03908,0.03853,0.03862,4755.16
CHZUSDTSWAP,60,20250601,050000,0.03861,0.03893,0.03839,0.03884,6383.58
CHZUSDTSWAP,60,20250601,060000,0.03888,0.03904,0.03873,0.03891,5429.2
CHZUSDTSWAP,60,20250601,070000,0.0389,0.03924,0.03885,0.03916,2971.34
CHZUSDTSWAP,60,20250601,080000,0.03914,0.0393,0.03909,0.03923,2573.49
CHZUSDTSWAP,60,20250601,090000,0.03924,0.03935,0.03904,0.03909,3925.22
CHZUSDTSWAP,60,20250601,100000,0.03908,0.03912,0.03895,0.03908,3517.0
CHZUSDTSWAP,60,20250601,110000,0.03909,0.03912,0.03883,0.03892,3404.82
CHZUSDTSWAP,60,20250601,120000,0.03893,0.03905,0.03837,0.03856,9186.08
CHZUSDTSWAP,60,20250601,130000,0.03857,0.03866,0.03833,0.03855,6805.99
CHZUSDTSWAP,60,20250601,140000,0.03855,0.03872,0.03845,0.03853,6133.15
CHZUSDTSWAP,60,20250601,150000,0.03854,0.03863,0.0382,0.0384,4651.43
CHZUSDTSWAP,60,20250601,160000,0.03839,0.0389,0.03837,0.03881,3433.45
CHZUSDTSWAP,60,20250601,170000,0.03882,0.03936,0.03882,0.03916,6565.01
CHZUSDTSWAP,60,20250601,180000,0.03917,0.03929,0.03907,0.03923,2129.44
CHZUSDTSWAP,60,20250601,190000,0.03923,0.03971,0.0392,0.03954,8311.74
CHZUSDTSWAP,60,20250601,200000,0.03954,0.03964,0.03946,0.03954,3436.78
CHZUSDTSWAP,60,20250601,210000,0.03954,0.03956,0.03895,0.03922,5089.91
CHZUSDTSWAP,60,20250601,220000,0.03922,0.03945,0.03922,0.03942,1713.21
CHZUSDTSWAP,60,20250601,230000,0.03941,0.03958,0.0393,0.03942,987.85
CHZUSDTSWAP,60,20250602,000000,0.03943,0.03959,0.03938,0.03951,5931.18
CHZUSDTSWAP,60,20250602,010000,0.03952,0.03965,0.03947,0.03956,2881.48
CHZUSDTSWAP,60,20250602,020000,0.03958,0.03967,0.03946,0.03952,1929.29
CHZUSDTSWAP,60,20250602,030000,0.03952,0.03956,0.03936,0.03947,4025.55
CHZUSDTSWAP,60,20250602,040000,0.03947,0.03971,0.03941,0.03943,2563.3
CHZUSDTSWAP,60,20250602,050000,0.03942,0.03944,0.03914,0.03918,2186.47
CHZUSDTSWAP,60,20250602,060000,0.0392,0.03921,0.039,0.03908,3849.95
CHZUSDTSWAP,60,20250602,070000,0.03908,0.03918,0.039,0.03908,2947.41
CHZUSDTSWAP,60,20250602,080000,0.03907,0.03917,0.03892,0.03913,3868.75
CHZUSDTSWAP,60,20250602,090000,0.03913,0.03962,0.0391,0.03951,6368.33
CHZUSDTSWAP,60,20250602,100000,0.0395,0.03975,0.03949,0.03954,9235.61
CHZUSDTSWAP,60,20250602,110000,0.03954,0.03975,0.03927,0.03933,10139.36
CHZUSDTSWAP,60,20250602,120000,0.03935,0.03935,0.03894,0.03907,2932.64
CHZUSDTSWAP,60,20250602,130000,0.03905,0.03914,0.03893,0.03906,5656.7
CHZUSDTSWAP,60,20250602,140000,0.03905,0.03928,0.03898,0.03925,2644.19
CHZUSDTSWAP,60,20250602,150000,0.03923,0.03971,0.03912,0.03968,8478.19
CHZUSDTSWAP,60,20250602,160000,0.03968,0.0397,0.03933,0.03937,5209.55
CHZUSDTSWAP,60,20250602,170000,0.03938,0.03985,0.03923,0.0394,8571.81
CHZUSDTSWAP,60,20250602,180000,0.03941,0.03963,0.03924,0.03943,7566.88
CHZUSDTSWAP,60,20250602,190000,0.03944,0.03951,0.03915,0.03938,5982.61
CHZUSDTSWAP,60,20250602,200000,0.03938,0.03956,0.03921,0.03951,3450.63
CHZUSDTSWAP,60,20250602,210000,0.03949,0.03965,0.0393,0.03933,4190.8
CHZUSDTSWAP,60,20250602,220000,0.03932,0.03947,0.03899,0.03919,8667.39
CHZUSDTSWAP,60,20250602,230000,0.0392,0.03971,0.0392,0.03971,4572.88
CHZUSDTSWAP,60,20250603,000000,0.03971,0.04004,0.03971,0.04004,7548.71
CHZUSDTSWAP,60,20250603,010000,0.04004,0.04035,0.04004,0.04022,6946.94
CHZUSDTSWAP,60,20250603,020000,0.04022,0.04027,0.04014,0.04019,6199.99
CHZUSDTSWAP,60,20250603,030000,0.04021,0.04051,0.04011,0.04032,6764.33
CHZUSDTSWAP,60,20250603,040000,0.04034,0.04067,0.04033,0.04065,5374.58
CHZUSDTSWAP,60,20250603,050000,0.04065,0.04069,0.04035,0.04041,12703.08
CHZUSDTSWAP,60,20250603,060000,0.0404,0.04043,0.04007,0.04013,11476.31
CHZUSDTSWAP,60,20250603,070000,0.04012,0.04014,0.03991,0.03997,8001.77
CHZUSDTSWAP,60,20250603,080000,0.03999,0.04045,0.03999,0.04044,7924.1
CHZUSDTSWAP,60,20250603,090000,0.04043,0.04051,0.0403,0.04049,3932.59
CHZUSDTSWAP,60,20250603,100000,0.04051,0.04053,0.04026,0.04027,11657.85
CHZUSDTSWAP,60,20250603,110000,0.04028,0.04042,0.03996,0.04019,9043.67
CHZUSDTSWAP,60,20250603,120000,0.04019,0.04038,0.04008,0.04031,3794.06
CHZUSDTSWAP,60,20250603,130000,0.04032,0.04054,0.04026,0.04041,3977.33
CHZUSDTSWAP,60,20250603,140000,0.04043,0.0406,0.04034,0.0404,3793.1
CHZUSDTSWAP,60,20250603,150000,0.04041,0.04061,0.04038,0.04045,8606.12
CHZUSDTSWAP,60,20250603,160000,0.04045,0.04082,0.04038,0.04059,11977.93
CHZUSDTSWAP,60,20250603,170000,0.0406,0.04065,0.04001,0.04041,17373.27
CHZUSDTSWAP,60,20250603,180000,0.0404,0.0405,0.04011,0.04024,10428.29
CHZUSDTSWAP,60,20250603,190000,0.04026,0.04041,0.04003,0.04009,8427.42
CHZUSDTSWAP,60,20250603,200000,0.04008,0.04043,0.04006,0.04043,2144.44
CHZUSDTSWAP,60,20250603,210000,0.04043,0.04046,0.04009,0.04022,5513.88
CHZUSDTSWAP,60,20250603,220000,0.04023,0.04047,0.04022,0.04033,2639.21
CHZUSDTSWAP,60,20250603,230000,0.04034,0.04038,0.03968,0.04003,4359.3
CHZUSDTSWAP,60,20250604,000000,0.04002,0.04009,0.03955,0.03967,7086.98
CHZUSDTSWAP,60,20250604,010000,0.03968,0.04006,0.03965,0.03999,3800.63
CHZUSDTSWAP,60,20250604,020000,0.04,0.04003,0.03979,0.0399,6618.96
CHZUSDTSWAP,60,20250604,030000,0.03991,0.04012,0.03973,0.04012,11665.89
CHZUSDTSWAP,60,20250604,040000,0.04014,0.04053,0.04012,0.04036,8517.75
CHZUSDTSWAP,60,20250604,050000,0.04036,0.04046,0.04022,0.04023,4816.16
CHZUSDTSWAP,60,20250604,060000,0.04023,0.04066,0.04022,0.04044,7984.25
CHZUSDTSWAP,60,20250604,070000,0.04044,0.04054,0.0404,0.04048,2196.9
CHZUSDTSWAP,60,20250604,080000,0.04049,0.04053,0.04031,0.04032,5501.46
CHZUSDTSWAP,60,20250604,090000,0.04034,0.04041,0.04017,0.04028,5953.98
CHZUSDTSWAP,60,20250604,100000,0.04029,0.04035,0.04005,0.04016,3855.35
