<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHZUSDTSWAP,3,20250604,172700,0.03937,0.03937,0.03932,0.03932,149.45
CHZUSDTSWAP,3,20250604,173000,0.03934,0.03935,0.03932,0.03935,35.09
CHZUSDTSWAP,3,20250604,173300,0.03937,0.03941,0.03936,0.03938,328.39
CHZUSDTSWAP,3,20250604,173600,0.03936,0.03938,0.03933,0.03933,238.95
CHZUSDTSWAP,3,20250604,173900,0.03933,0.03941,0.03933,0.0394,415.68
CHZUSDTSWAP,3,20250604,174200,0.03938,0.03941,0.03936,0.03941,252.31
CHZUSDTSWAP,3,20250604,174500,0.03939,0.03947,0.03937,0.03947,305.23
CHZUSDTSWAP,3,20250604,174800,0.03948,0.03958,0.03948,0.0395,1593.85
CHZUSDTSWAP,3,20250604,175100,0.03949,0.03953,0.03948,0.03953,396.91
CHZUSDTSWAP,3,20250604,175400,0.03954,0.03966,0.03954,0.03965,1413.95
CHZUSDTSWAP,3,20250604,175700,0.03965,0.03969,0.03961,0.03968,834.0
CHZUSDTSWAP,3,20250604,180000,0.03967,0.03971,0.03965,0.03966,2822.76
CHZUSDTSWAP,3,20250604,180300,0.03964,0.03967,0.03962,0.03962,406.94
CHZUSDTSWAP,3,20250604,180600,0.03963,0.03974,0.03962,0.03962,782.34
CHZUSDTSWAP,3,20250604,180900,0.03963,0.0397,0.03962,0.03968,170.05
CHZUSDTSWAP,3,20250604,181200,0.03968,0.0397,0.03966,0.03968,104.36
CHZUSDTSWAP,3,20250604,181500,0.03969,0.03987,0.03969,0.03987,1458.77
CHZUSDTSWAP,3,20250604,181800,0.03986,0.0399,0.0398,0.0398,1299.79
CHZUSDTSWAP,3,20250604,182100,0.03981,0.03984,0.03977,0.03983,127.75
CHZUSDTSWAP,3,20250604,182400,0.03982,0.03983,0.03979,0.0398,38.98
CHZUSDTSWAP,3,20250604,182700,0.03979,0.03981,0.03978,0.0398,330.65
CHZUSDTSWAP,3,20250604,183000,0.03979,0.0398,0.03972,0.0398,78.03
CHZUSDTSWAP,3,20250604,183300,0.03981,0.03984,0.03978,0.03978,1465.37
CHZUSDTSWAP,3,20250604,183600,0.03978,0.03994,0.03978,0.03993,1340.15
CHZUSDTSWAP,3,20250604,183900,0.03992,0.03994,0.03989,0.03991,1199.84
CHZUSDTSWAP,3,20250604,184200,0.03992,0.03994,0.03988,0.03989,509.5
CHZUSDTSWAP,3,20250604,184500,0.03988,0.03991,0.03985,0.03985,1029.98
CHZUSDTSWAP,3,20250604,184800,0.03985,0.03985,0.03978,0.03981,1187.05
CHZUSDTSWAP,3,20250604,185100,0.0398,0.03986,0.03979,0.03985,595.77
CHZUSDTSWAP,3,20250604,185400,0.03985,0.03996,0.03984,0.03996,1569.37
CHZUSDTSWAP,3,20250604,185700,0.03994,0.03994,0.03987,0.03989,296.67
CHZUSDTSWAP,3,20250604,190000,0.0399,0.03993,0.03987,0.03987,1070.28
CHZUSDTSWAP,3,20250604,190300,0.03988,0.03991,0.03986,0.03987,1726.48
CHZUSDTSWAP,3,20250604,190600,0.03987,0.0399,0.03986,0.03987,1488.03
CHZUSDTSWAP,3,20250604,190900,0.03987,0.04,0.03987,0.04,1487.71
CHZUSDTSWAP,3,20250604,191200,0.04,0.04001,0.03991,0.03994,214.44
CHZUSDTSWAP,3,20250604,191500,0.03993,0.03994,0.03982,0.03985,401.98
CHZUSDTSWAP,3,20250604,191800,0.03984,0.03986,0.03979,0.03986,488.12
CHZUSDTSWAP,3,20250604,192100,0.03986,0.03987,0.03976,0.03976,237.05
CHZUSDTSWAP,3,20250604,192400,0.03977,0.03977,0.03972,0.03972,172.16
CHZUSDTSWAP,3,20250604,192700,0.03971,0.03973,0.0397,0.03971,134.86
CHZUSDTSWAP,3,20250604,193000,0.0397,0.03972,0.03969,0.03972,51.69
CHZUSDTSWAP,3,20250604,193300,0.03973,0.03978,0.03973,0.03977,178.78
CHZUSDTSWAP,3,20250604,193600,0.03979,0.03979,0.03973,0.03977,265.52
CHZUSDTSWAP,3,20250604,193900,0.03978,0.03983,0.03977,0.03977,331.41
CHZUSDTSWAP,3,20250604,194200,0.03979,0.03979,0.03975,0.03975,52.92
CHZUSDTSWAP,3,20250604,194500,0.03975,0.03977,0.0397,0.03974,115.59
CHZUSDTSWAP,3,20250604,194800,0.03976,0.0398,0.03972,0.0398,111.61
CHZUSDTSWAP,3,20250604,195100,0.03978,0.03978,0.03978,0.03978,8.39
CHZUSDTSWAP,3,20250604,195400,0.03979,0.03984,0.03977,0.03977,117.1
